,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30220,패배,마오카이,twice손채영,7,9,6,20924,2,24,2,149,5.5,0,1,2
1,30220,패배,세주아니,작전동 노란머리,6,7,11,12273,6,28,6,130,4.8,0,1,2
2,30220,패배,야스오,hf ghkyu,10,7,7,23123,3,12,2,210,7.7,0,1,2
3,30220,패배,진,BtC RYAN,3,11,6,9015,1,10,6,164,6.0,0,1,2
4,30220,패배,미스 포츈,커소리어스나,3,9,12,16067,7,35,3,42,1.5,0,1,2
5,30220,승리,카밀,Heiz4,5,9,9,20328,0,11,9,196,7.2,1,1,10
6,30220,승리,니달리,담원 크러쉬,11,4,13,23256,5,16,9,141,5.2,1,1,10
7,30220,승리,트위스티드 페이트,TeachersWu,13,3,8,24899,4,13,5,255,9.4,1,1,10
8,30220,승리,이즈리얼,해강고원딜 팬,10,7,15,32430,1,17,2,146,5.4,1,1,10
9,30220,승리,카르마,Heart,4,6,19,15573,5,17,7,58,2.1,1,1,10
10,30221,승리,카밀,Heiz4,3,2,9,12685,0,7,2,126,5.9,1,2,8
11,30221,승리,렝가,twice손채영,7,2,9,10853,3,22,13,193,9.0,1,2,8
12,30221,승리,다이애나,이야공,8,0,7,15203,3,7,0,187,8.7,1,2,8
13,30221,승리,진,hf ghkyu,7,4,7,11205,0,6,4,143,6.7,1,2,8
14,30221,승리,탐 켄치,YserAoA,2,1,14,4112,6,24,3,34,1.6,1,2,8
15,30221,패배,제이스,우에하라 크롱,0,6,3,8506,8,26,4,122,5.7,0,0,3
16,30221,패배,세주아니,F0y,2,4,5,2902,4,29,4,114,5.3,0,0,3
17,30221,패배,오리아나,TeachersWu,1,5,3,5786,3,11,4,180,8.4,0,0,3
18,30221,패배,드레이븐,해강고원딜 팬,6,6,0,11433,2,11,1,165,7.7,0,0,3
19,30221,패배,쉔,BtC Joker,0,6,6,5647,8,26,7,39,1.8,0,0,3
20,30222,승리,제이스,삶이힘든사람,3,5,11,20193,1,12,3,240,8.0,1,2,11
21,30222,승리,니달리,sanspareil1,4,5,18,12619,7,11,16,178,5.9,1,2,11
22,30222,승리,라이즈,Yaharong,6,1,10,24897,3,32,8,300,10.0,1,2,11
23,30222,승리,진,LPL noob ad QAQ,12,1,9,24838,2,10,2,241,8.1,1,2,11
24,30222,승리,쓰레쉬,hf ghkyu,5,4,16,10526,6,24,14,40,1.3,1,2,11
25,30222,패배,문도 박사,선비모드,5,6,5,20478,3,12,4,253,8.5,0,1,2
26,30222,패배,렉사이,마이엠브,3,8,3,7414,7,19,4,156,5.2,0,1,2
27,30222,패배,조이,PawN God,3,5,3,20559,2,29,7,173,5.8,0,1,2
28,30222,패배,트리스타나,7nian xing,4,6,2,14564,3,13,4,293,9.8,0,1,2
29,30222,패배,레오나,pa13tte,1,5,8,6216,12,48,6,50,1.7,0,1,2
30,30223,승리,다이애나,bbq Crazy,4,4,6,22108,3,33,3,247,7.5,1,2,7
31,30223,승리,렝가,커닝시티 피그미,12,3,5,24609,6,23,7,177,5.4,1,2,7
32,30223,승리,야스오,hf ghkyu,8,7,5,19961,1,11,3,308,9.4,1,2,7
33,30223,승리,자야,fndasjkfkqw,10,1,8,39680,3,33,16,332,10.1,1,2,7
34,30223,승리,라칸,taesang,1,5,17,10089,8,50,5,15,0.5,1,2,7
35,30223,패배,마오카이,xaxaxaxaxa,2,6,4,14366,0,11,6,165,5.0,1,1,3
36,30223,패배,카직스,PuncHh,6,6,8,24637,7,16,14,169,5.1,1,1,3
37,30223,패배,신드라,킬안주면꼬라박음,6,7,7,19218,1,6,9,288,8.8,1,1,3
38,30223,패배,애쉬,ART PLUS,4,7,5,14388,4,15,14,230,7.0,1,1,3
39,30223,패배,알리스타,JAG SnowFlower,2,9,5,8014,11,40,21,56,1.7,1,1,3
40,30224,승리,올라프,코w코,4,0,5,10982,3,18,4,143,7.5,0,1,8
41,30224,승리,엘리스,망고코코아,10,3,8,9368,5,13,4,104,5.4,0,1,8
42,30224,승리,제드,hf ghkyu,3,0,5,7344,0,4,5,156,8.1,0,1,8
43,30224,승리,자야,Zhongdan XD,4,3,1,6491,4,9,7,155,8.1,0,1,8
44,30224,승리,블리츠크랭크,Z 2017 11 25,3,3,6,5270,5,21,2,38,2.0,0,1,8
45,30224,패배,마오카이,우에하라 크롱,2,5,2,6791,2,7,2,84,4.4,0,0,1
46,30224,패배,렝가,종학윙,3,5,2,5385,4,5,5,90,4.7,0,0,1
47,30224,패배,르블랑,chirchri,0,4,1,6602,2,14,0,103,5.4,0,0,1
48,30224,패배,트리스타나,whisper snow,2,2,3,4705,1,6,1,121,6.3,0,0,1
49,30224,패배,티모,박투신,2,8,3,8747,6,27,7,17,0.9,0,0,1
50,30225,승리,럼블,18501159717,2,1,6,7763,1,10,16,211,9.7,0,2,5
51,30225,승리,자르반 4세,쫄깃한 우동사리,1,0,11,11500,2,20,7,141,6.5,0,2,5
52,30225,승리,제드,hf ghkyu,7,2,1,11599,3,8,8,171,7.9,0,2,5
53,30225,승리,코그모,deft123456,7,3,3,15485,2,19,2,182,8.4,0,2,5
54,30225,승리,브라움,Nem2sis,1,2,8,4602,5,25,9,43,2.0,0,2,5
55,30225,패배,제이스,Possible tts,1,2,3,6507,2,20,3,213,9.8,0,0,2
56,30225,패배,리 신,일견무시도성빈,1,3,5,2998,6,25,5,105,4.8,0,0,2
57,30225,패배,라이즈,송하영 팬,2,6,2,10912,1,7,2,169,7.8,0,0,2
58,30225,패배,바루스,Dingchenyu,2,3,5,7682,2,10,10,199,9.2,0,0,2
59,30225,패배,알리스타,Z 2017 11 25,2,4,5,4256,6,25,12,49,2.3,0,0,2
60,30226,승리,제이스,18501159717,10,4,4,26924,6,37,18,195,6.7,1,2,10
61,30226,승리,케인,hf ghkyu,7,4,10,26818,2,7,10,183,6.3,1,2,10
62,30226,승리,아지르,DAN Ggoong,9,4,7,25878,1,13,8,215,7.4,1,2,10
63,30226,승리,애쉬,deft123456,6,2,12,20676,6,17,4,237,8.2,1,2,10
64,30226,승리,브라움,Nem2sis,3,1,16,7606,7,23,12,58,2.0,1,2,10
65,30226,패배,자르반 4세,Co2dplay,4,5,9,12019,2,25,5,199,6.9,0,1,1
66,30226,패배,카직스,커닝시티 피그미,3,5,4,8235,5,45,9,139,4.8,0,1,1
67,30226,패배,애니비아,송하영 팬,2,7,6,15244,3,10,2,231,8.0,0,1,1
68,30226,패배,바루스,Possible tts,1,9,6,13729,2,13,6,191,6.6,0,1,1
69,30226,패배,제라스,SKT T1 Effort,5,9,4,20038,6,28,9,39,1.3,0,1,1
70,30227,승리,제이스,혼자혼자,3,3,4,16724,0,9,0,212,8.8,0,3,8
71,30227,승리,쉬바나,yizhiyu,3,4,10,12938,2,8,4,188,7.8,0,3,8
72,30227,승리,야스오,hf ghkyu,9,3,2,17435,1,9,1,215,9.0,0,3,8
73,30227,승리,트리스타나,SKT T1 WoIf,8,2,5,15035,0,7,6,217,9.1,0,3,8
74,30227,승리,알리스타,R4phael,1,5,14,5927,7,27,9,31,1.3,0,3,8
75,30227,패배,오른,Possible tts,7,2,5,12679,0,10,2,172,7.2,0,0,0
