,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40931,승리,잭스,2018서폿챌도전,11,0,2,16901,1,5,1,158,8.5,0,0,9
1,40931,승리,자크,SKT T1 Eport,1,0,11,8015,3,13,2,81,4.3,0,0,9
2,40931,승리,라이즈,위즐링,2,2,5,7515,2,8,0,132,7.1,0,0,9
3,40931,승리,트리스타나,뭐든못막는방패,7,0,7,13556,2,8,0,158,8.5,0,0,9
4,40931,승리,알리스타,술담배 마약 여자,3,2,8,4817,3,11,1,30,1.6,0,0,9
5,40931,패배,올라프,plz top only one,0,8,0,7057,2,3,0,76,4.1,0,0,0
6,40931,패배,그라가스,deer heart,1,8,1,5397,2,6,1,56,3.0,0,0,0
7,40931,패배,오리아나,오리팡,2,3,1,11544,2,4,3,144,7.7,0,0,0
8,40931,패배,칼리스타,78945612,1,3,0,4294,0,3,0,103,5.5,0,0,0
9,40931,패배,브라움,챌린저질리언,0,2,2,4169,1,14,5,35,1.9,0,0,0
10,40932,승리,잭스,2018서폿챌도전,9,0,5,14493,0,5,0,87,5.6,0,0,4
11,40932,승리,이즈리얼,악어새,1,2,5,3542,0,6,0,66,4.3,0,0,4
12,40932,승리,아지르,sparkling 1,4,0,0,6430,1,6,2,124,8.1,0,0,4
13,40932,승리,트리스타나,꽃주먹석규,1,1,3,5092,1,7,0,132,8.6,0,0,4
14,40932,승리,레오나,잘해줘서고마워,4,0,5,3185,2,11,4,20,1.3,0,0,4
15,40932,패배,카밀,체 링,0,7,1,5110,1,5,0,57,3.7,0,0,0
16,40932,패배,카직스,착한젤리,0,3,1,3565,1,7,0,40,2.6,0,0,0
17,40932,패배,트위스티드 페이트,Rimu666,1,4,0,4204,1,7,2,84,5.5,0,0,0
18,40932,패배,자야,Awe Saizy,1,2,0,5381,2,6,0,105,6.8,0,0,0
19,40932,패배,룰루,3991,0,3,1,2128,2,5,0,2,0.1,0,0,0
20,40933,승리,잭스,2018서폿챌도전,4,12,18,21076,0,24,4,260,5.3,2,3,8
21,40933,승리,세주아니,WOOAK,10,5,25,22579,4,9,14,245,5.0,2,3,8
22,40933,승리,카사딘,카페베네설탕도둑,12,9,14,44601,0,6,7,317,6.5,2,3,8
23,40933,승리,칼리스타,꽃주먹석규,13,6,12,42311,4,22,14,480,9.8,2,3,8
24,40933,승리,레오나,잘해줘서고마워,4,8,27,9860,5,69,30,94,1.9,2,3,8
25,40933,패배,오른,범블비,8,6,23,37380,0,9,3,298,6.1,1,1,8
26,40933,패배,엘리스,삼성 카직스,11,12,9,29097,5,11,21,230,4.7,1,1,8
27,40933,패배,카르마,응와애,8,9,23,41056,4,19,2,261,5.3,1,1,8
28,40933,패배,바루스,응과애,12,7,14,62809,1,18,10,401,8.2,1,1,8
29,40933,패배,알리스타,난Max,1,9,23,9176,28,106,15,62,1.3,1,1,8
30,40934,승리,잭스,2018서폿챌도전,5,3,7,19670,2,17,1,232,6.8,1,2,7
31,40934,승리,카직스,일견무시도성빈,5,2,11,18143,8,13,10,164,4.8,1,2,7
32,40934,승리,룰루,지은쨩,4,4,12,11380,2,10,3,248,7.3,1,2,7
33,40934,승리,자야,뭐든못막는방패,10,3,6,43045,2,15,2,324,9.5,1,2,7
34,40934,승리,레오나,잘해줘서고마워,1,4,18,6630,6,41,24,62,1.8,1,2,7
35,40934,패배,초가스,샤니 쨔응,5,3,4,16077,3,15,4,255,7.5,1,1,0
36,40934,패배,이블린,십수딘,2,6,6,14605,6,18,3,103,3.0,1,1,0
37,40934,패배,제드,밀짚모자짱구,6,6,4,22326,5,18,6,259,7.6,1,1,0
38,40934,패배,바루스,78945612,1,4,7,16030,0,10,3,251,7.3,1,1,0
39,40934,패배,라칸,외전평,2,6,9,8966,8,43,15,22,0.6,1,1,0
40,40935,승리,잭스,2018서폿챌도전,7,1,9,18902,1,13,2,248,8.8,0,1,11
41,40935,승리,엘리스,Segnics,9,0,13,17859,4,17,11,119,4.2,0,1,11
42,40935,승리,카시오페아,AAAA1234,5,3,5,17602,5,15,0,202,7.2,0,1,11
43,40935,승리,칼리스타,꽃주먹석규,6,2,8,11223,2,12,2,240,8.5,0,1,11
44,40935,승리,그라가스,gragas zz,5,1,15,11161,8,27,2,47,1.7,0,1,11
45,40935,패배,렝가,이책인지심책기,3,12,1,15406,3,11,2,201,7.2,1,1,4
46,40935,패배,이블린,십수딘,2,4,1,11664,7,18,3,79,2.8,1,1,4
47,40935,패배,야스오,Pz ZZang,2,6,1,13479,0,11,4,234,8.3,1,1,4
48,40935,패배,케이틀린,cbzOvO,0,4,2,13749,0,8,3,286,10.2,1,1,4
49,40935,패배,알리스타,난Max,0,6,2,6252,4,28,5,40,1.4,1,1,4
50,40936,승리,잭스,2018서폿챌도전,1,0,3,3855,0,7,0,127,7.8,0,0,5
51,40936,승리,다이애나,케타케리온,7,1,4,7407,0,5,1,94,5.8,0,0,5
52,40936,승리,제드,강가중인리신,3,1,1,5933,0,6,2,131,8.1,0,0,5
53,40936,승리,칼리스타,뭐든못막는방패,6,1,6,12422,2,8,0,125,7.7,0,0,5
54,40936,승리,레오나,님멍미,2,2,10,6160,3,10,2,27,1.7,0,0,5
55,40936,패배,야스오,FeelsIronMan,1,4,0,3344,1,7,0,114,7.0,0,0,0
56,40936,패배,자르반 4세,동민이애오,1,4,1,4077,1,6,3,81,5.0,0,0,0
57,40936,패배,오리아나,mid123456789,0,4,2,9034,2,6,1,100,6.1,0,0,0
58,40936,패배,트리스타나,할수있다아아,3,3,0,5529,0,5,2,102,6.3,0,0,0
59,40936,패배,블리츠크랭크,LnD ddalGI,0,4,2,3914,1,10,1,22,1.4,0,0,0
60,40937,승리,잭스,2018서폿챌도전,5,2,3,13011,2,11,1,151,6.8,0,2,6
61,40937,승리,룰루,beet,4,3,13,9363,3,18,8,61,2.7,0,2,6
62,40937,승리,제이스,2000 07 03,11,1,6,25821,0,8,3,155,7.0,0,2,6
63,40937,승리,코그모,뭐든못막는방패,8,4,5,16130,1,9,1,190,8.6,0,2,6
64,40937,승리,소라카,YOYOuuuuuO,0,2,18,5282,2,11,0,5,0.2,0,2,6
