,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3639,패배,쉔,IGS Bear,7,4,7,15423,2,12,3,188,6.7,0,1,4
1,3639,패배,렉사이,43480287del,3,4,5,8872,5,12,4,140,5.0,0,1,4
2,3639,패배,신드라,CrazySound,4,4,9,22058,2,12,0,235,8.4,0,1,4
3,3639,패배,진,수영장파티박종우,5,3,7,11908,1,9,2,179,6.4,0,1,4
4,3639,패배,오른,IndonesiaMassage,4,3,5,7980,6,33,10,55,2.0,0,1,4
5,3639,승리,트런들,최석배 사생팬,2,3,6,10773,1,12,5,241,8.6,1,1,8
6,3639,승리,잭스,마이엠브,2,5,8,7408,10,13,5,117,4.2,1,1,8
7,3639,승리,말자하,갬 성,5,8,8,14826,3,13,6,204,7.3,1,1,8
8,3639,승리,트리스타나,6학년4반장용준,7,5,4,17932,5,15,2,251,8.9,1,1,8
9,3639,승리,타릭,천천히올라감,2,2,10,5515,8,26,4,52,1.8,1,1,8
10,3640,패배,피오라,Jisu2,5,7,3,10842,2,11,2,161,6.8,0,0,1
11,3640,패배,그레이브즈,43480287del,4,8,4,12900,5,10,5,111,4.7,0,0,1
12,3640,패배,르블랑,유내현,3,2,3,10762,3,9,1,183,7.7,0,0,1
13,3640,패배,자야,빅파이초코파이,1,9,2,13208,1,10,4,166,7.0,0,0,1
14,3640,패배,모르가나,Siste aeterno,2,5,6,7293,3,19,6,24,1.0,0,0,1
15,3640,승리,오른,이제 졸려,5,4,5,16303,0,9,0,110,4.6,1,2,7
16,3640,승리,에코,L1sure,12,3,3,13433,3,12,4,100,4.2,1,2,7
17,3640,승리,라이즈,By 불비,3,2,5,7869,3,9,2,191,8.0,1,2,7
18,3640,승리,칼리스타,Yeeclipse,9,3,6,16978,3,12,9,205,8.6,1,2,7
19,3640,승리,알리스타,Dutch Coffee,2,3,15,5758,6,20,3,46,1.9,1,2,7
20,3641,패배,쉔,JAG S0hwan,0,2,2,7155,1,10,0,143,6.6,0,1,1
21,3641,패배,제이스,43480287del,6,6,3,11071,6,24,8,84,3.9,0,1,1
22,3641,패배,블라디미르,love left,1,3,4,10329,5,8,3,165,7.6,0,1,1
23,3641,패배,트리스타나,Afreeca Aiming,3,3,2,10940,4,10,3,178,8.2,0,1,1
24,3641,패배,잔나,바람의 늑대,1,2,4,3127,4,17,4,9,0.4,0,1,1
25,3641,승리,레넥톤,땅우양,0,0,3,6483,0,8,3,186,8.6,1,1,5
26,3641,승리,니달리,빅파이초코파이,5,2,4,10482,3,12,4,127,5.9,1,1,5
27,3641,승리,오리아나,Sakura Devil,4,2,2,13434,0,5,3,189,8.8,1,1,5
28,3641,승리,트위치,hard girl,7,4,3,20896,4,11,4,156,7.2,1,1,5
29,3641,승리,룰루,Dutch Coffee,0,3,9,4510,7,18,2,6,0.3,1,1,5
30,3642,승리,잭스,mianma,1,1,3,13601,1,6,0,275,10.5,1,3,10
31,3642,승리,카직스,FeelsPepsiMan,15,0,9,20704,2,6,6,119,4.5,1,3,10
32,3642,승리,르블랑,43480287del,10,6,12,21313,2,12,1,142,5.4,1,3,10
33,3642,승리,트리스타나,비 브이 오 와이,8,2,6,16196,3,13,5,231,8.8,1,3,10
34,3642,승리,알리스타,FW SwordArT,2,4,10,4422,6,29,6,32,1.2,1,3,10
35,3642,패배,신지드,Lehends,2,5,8,15877,2,13,3,225,8.6,0,0,1
36,3642,패배,자르반 4세,P2k Key,3,6,5,9143,7,27,4,97,3.7,0,0,1
37,3642,패배,아지르,최석배 사생팬,4,7,4,13450,1,8,1,166,6.3,0,0,1
38,3642,패배,코그모,FeelsWowMan,2,11,2,20738,0,10,4,171,6.5,0,0,1
39,3642,패배,룰루,h1rb,2,7,7,3795,5,11,3,19,0.7,0,0,1
40,3643,승리,야스오,Klmjg,5,6,11,21279,2,18,9,373,9.2,2,2,8
41,3643,승리,자크,오억만,2,5,23,17059,3,29,9,187,4.6,2,2,8
42,3643,승리,카사딘,아라가키 유이,10,5,13,35611,5,21,2,315,7.8,2,2,8
43,3643,승리,트리스타나,43480287del,13,6,9,44188,3,20,18,322,8.0,2,2,8
44,3643,승리,탐 켄치,160810,2,3,21,6746,18,64,21,69,1.7,2,2,8
45,3643,패배,카밀,Co1dplay,8,6,8,34491,0,18,5,402,10.0,0,0,5
46,3643,패배,세주아니,KT MATA,4,7,13,12457,10,39,19,147,3.6,0,0,5
47,3643,패배,말자하,강고릴,3,4,9,27841,1,14,6,325,8.0,0,0,5
48,3643,패배,바루스,Yumemiru Shonen,7,9,9,33734,3,9,10,302,7.5,0,0,5
49,3643,패배,알리스타,Nova1,3,6,12,7948,19,67,21,58,1.4,0,0,5
50,3644,패배,제이스,MVP ADD,1,4,0,7560,2,9,3,139,7.9,0,0,1
51,3644,패배,세주아니,43480287del,1,2,3,4956,3,9,3,85,4.8,0,0,1
52,3644,패배,블라디미르,Siste aeterno,2,4,1,4799,2,2,1,117,6.7,0,0,1
53,3644,패배,케이틀린,Zhongdan XD,0,1,1,4890,1,7,1,155,8.8,0,0,1
54,3644,패배,알리스타,KT MATA,1,2,1,1963,5,19,3,22,1.3,0,0,1
55,3644,승리,자르반 4세,Co1dplay,3,1,1,6808,2,9,1,139,7.9,0,0,4
56,3644,승리,자크,오억만,5,0,6,6839,2,12,3,129,7.3,0,0,4
57,3644,승리,신드라,kn9ght,4,2,1,9107,2,6,3,167,9.5,0,0,4
58,3644,승리,자야,강고릴,1,1,2,5142,2,8,2,154,8.8,0,0,4
59,3644,승리,라칸,IgNar,0,1,3,3416,6,17,8,14,0.8,0,0,4
60,3645,승리,야스오,xaxaxaxaxa,7,3,3,16679,1,9,1,162,7.9,0,2,7
61,3645,승리,니달리,Lz Tv SuShi,5,1,7,7493,2,6,4,128,6.2,0,2,7
62,3645,승리,신드라,항복 오빠,2,2,4,8037,2,6,2,186,9.0,0,2,7
63,3645,승리,트리스타나,43480287del,5,2,3,11558,3,11,4,185,9.0,0,2,7
64,3645,승리,소라카,토마토페이스트,1,2,12,3591,4,10,0,4,0.2,0,2,7
65,3645,패배,오른,JAG S0hwan,1,6,2,9423,1,7,1,136,6.6,0,0,0
66,3645,패배,리 신,Wzb1,1,5,4,7208,2,21,0,61,3.0,0,0,0
67,3645,패배,블라디미르,최석배 사생팬,4,3,0,9606,1,8,0,174,8.5,0,0,0
68,3645,패배,트위치,이제 졸려,3,3,1,9349,1,7,2,145,7.0,0,0,0
69,3645,패배,룰루,Xero,1,3,3,4420,2,14,0,9,0.4,0,0,0
70,3646,승리,럼블,DWG Nuguri,8,8,14,36049,2,15,1,246,7.5,2,2,9
71,3646,승리,카직스,43480287del,11,9,6,18233,6,11,10,156,4.8,2,2,9
72,3646,승리,탈리야,Siste aeterno,16,7,18,46008,3,12,3,234,7.1,2,2,9
73,3646,승리,베인,Sim Student,7,6,10,21114,3,15,9,234,7.1,2,2,9
74,3646,승리,알리스타,walking300 fan,7,5,25,14591,11,42,2,31,0.9,2,2,9
75,3646,패배,레넥톤,JAG S0hwan,8,12,9,27163,6,18,5,226,6.9,0,0,2
76,3646,패배,자르반 4세,진쟤승,11,8,14,16024,3,9,3,93,2.8,0,0,2
77,3646,패배,신드라,CrazySound,3,11,11,19850,4,12,4,239,7.3,0,0,2
78,3646,패배,자야,FeelsCoffeeMan,12,10,7,37635,2,8,4,239,7.3,0,0,2
79,3646,패배,룰루,VeryBitter,1,8,18,10567,12,41,15,25,0.8,0,0,2
80,3647,패배,초가스,love left,1,6,0,7985,1,8,0,160,6.9,0,0,0
81,3647,패배,렝가,43480287del,5,6,2,10669,5,9,5,114,4.9,0,0,0
82,3647,패배,카사딘,GSRDJ,0,6,3,10012,3,5,3,173,7.5,0,0,0
83,3647,패배,시비르,Bvoy,2,3,2,10396,5,12,4,208,9.0,0,0,0
84,3647,패배,레오나,AKG Bene,1,4,2,3158,3,12,1,40,1.7,0,0,0
85,3647,승리,카밀,쌀국수뚝붸기,4,2,10,14585,2,11,2,173,7.5,1,1,10
86,3647,승리,엘리스,땅우양,12,2,4,12108,1,7,1,98,4.2,1,1,10
87,3647,승리,탈리야,ablela,5,1,9,14171,2,12,1,223,9.7,1,1,10
88,3647,승리,진,샤크사장,2,3,9,13180,1,9,3,185,8.0,1,1,10
