,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30598,승리,나르,7hal,5,3,7,16903,1,16,1,238,8.5,0,1,10
1,30598,승리,자크,h1rb,4,4,17,9467,5,17,6,143,5.1,0,1,10
2,30598,승리,탈리야,555555555554,8,3,11,17673,1,27,6,212,7.6,0,1,10
3,30598,승리,이즈리얼,RRRuleRRR,11,3,7,33624,1,12,11,251,9.0,0,1,10
4,30598,승리,브라움,fengquyunbuhui,0,3,17,4981,8,58,9,63,2.3,0,1,10
5,30598,패배,럼블,좋은날,5,6,4,20619,2,10,6,202,7.2,0,1,0
6,30598,패배,카직스,담원 크러쉬,3,4,9,8766,7,21,5,143,5.1,0,1,0
7,30598,패배,라이즈,Heart,3,9,7,16608,1,14,8,243,8.7,0,1,0
8,30598,패배,진,Rachel Berry,3,6,2,13907,3,12,6,199,7.1,0,1,0
9,30598,패배,잔나,Lvmao,1,3,8,7098,7,27,16,18,0.6,0,1,0
10,30599,승리,나르,CooN,4,4,3,11438,1,13,4,147,7.3,0,1,9
11,30599,승리,쉬바나,yizhiyu,8,1,10,13273,2,7,5,155,7.7,0,1,9
12,30599,승리,말자하,555555555554,1,5,9,8664,3,11,2,150,7.4,0,1,9
13,30599,승리,미스 포츈,여청추,10,1,3,11799,5,10,5,186,9.2,0,1,9
14,30599,승리,레오나,pipidan,0,0,9,3808,3,41,9,39,1.9,0,1,9
15,30599,패배,카밀,Alielie,3,4,2,10317,3,4,1,156,7.7,0,0,1
16,30599,패배,세주아니,ROX Se0ngHwan,4,2,2,4158,5,21,4,117,5.8,0,0,1
17,30599,패배,카타리나,duibuqiziji,3,8,1,7172,0,6,4,134,6.6,0,0,1
18,30599,패배,트리스타나,whisper snow,1,3,1,4070,0,7,2,163,8.1,0,0,1
19,30599,패배,쉔,슬프다고말하면,0,6,4,3993,5,19,6,40,2.0,0,0,1
20,30600,패배,뽀삐,누구를 위한,3,9,13,21299,2,19,4,218,5.0,1,0,4
21,30600,패배,자르반 4세,ROX Lindarang,5,7,20,11657,10,77,12,163,3.7,1,0,4
22,30600,패배,질리언,555555555554,5,3,23,44328,6,23,4,331,7.6,1,0,4
23,30600,패배,진,덤벼보던가,18,6,15,85281,3,18,10,410,9.4,1,0,4
24,30600,패배,미스 포츈,JAG Wraith,8,6,21,33922,13,96,19,47,1.1,1,0,4
25,30600,승리,블라디미르,kfo,4,6,15,47040,2,20,10,353,8.1,2,4,10
26,30600,승리,쉬바나,yizhiyu,6,10,12,26218,4,8,28,254,5.8,2,4,10
27,30600,승리,라이즈,MeteorOvO,5,10,8,29297,6,20,13,366,8.4,2,4,10
28,30600,승리,트리스타나,whisper snow,14,5,5,48844,0,14,18,387,8.8,2,4,10
29,30600,승리,쉔,xk4nk4vpn,2,8,18,11074,5,59,14,76,1.7,2,4,10
30,30601,승리,나르,암고잉빽투더스탙,6,7,9,25028,2,27,6,313,9.6,2,3,10
31,30601,승리,리 신,SnakeLight,7,4,11,16124,8,36,9,190,5.8,2,3,10
32,30601,승리,카서스,555555555554,15,4,6,32975,2,14,6,304,9.3,2,3,10
33,30601,승리,미스 포츈,Rachel Berry,9,6,14,25697,5,17,9,212,6.5,2,3,10
34,30601,승리,알리스타,fndasjkfkqw,7,4,14,8723,12,40,14,47,1.4,2,3,10
35,30601,패배,케넨,CooN,4,8,10,19174,1,13,8,220,6.8,0,0,4
36,30601,패배,자르반 4세,9346,8,9,9,18263,0,50,16,161,4.9,0,0,4
37,30601,패배,아지르,UcaL,5,9,6,25822,2,26,8,305,9.4,0,0,4
38,30601,패배,애쉬,선비모드,3,13,5,20768,2,11,3,249,7.6,0,0,4
39,30601,패배,제라스,아테나찡,5,5,5,28845,5,28,10,68,2.1,0,0,4
40,30602,패배,나르,피넛사냥개2,11,7,8,34321,1,37,7,292,8.0,2,0,9
41,30602,패배,자르반 4세,Plz No Die,2,4,17,14736,13,58,18,173,4.8,2,0,9
42,30602,패배,피즈,555555555554,14,5,5,34895,1,37,9,306,8.4,2,0,9
43,30602,패배,바루스,CooN,9,9,9,35817,1,9,7,272,7.5,2,0,9
44,30602,패배,브라움,fengquyunbuhui,3,5,15,11607,15,83,20,88,2.4,2,0,9
45,30602,승리,오른,Alielie,7,6,12,27117,3,6,10,235,6.5,0,3,7
46,30602,승리,카직스,w1sdom ovo,7,10,6,21989,10,29,14,167,4.6,0,3,7
47,30602,승리,신드라,Peecaboo,7,8,10,34943,4,10,5,289,7.9,0,3,7
48,30602,승리,진,Afreeca Kramer,8,7,10,30500,5,31,24,374,10.3,0,3,7
49,30602,승리,타릭,선비모드,1,8,17,8538,6,34,30,89,2.4,0,3,7
50,30603,패배,신지드,She Jinping,4,9,8,14654,2,20,5,226,5.8,1,3,7
51,30603,패배,세주아니,cbzOvO,11,2,10,15808,4,23,15,175,4.5,1,3,7
52,30603,패배,아지르,FeelsAwesomeMan,9,6,9,38015,3,20,9,316,8.1,1,3,7
53,30603,패배,애쉬,555555555554,3,2,23,37667,4,19,8,282,7.2,1,3,7
54,30603,패배,쓰레쉬,리인제이,4,4,15,10130,17,51,22,59,1.5,1,3,7
55,30603,승리,올라프,Alielie,6,5,8,21529,1,12,3,314,8.0,1,2,10
56,30603,승리,카직스,삼성갤럭시 하루,2,7,5,14460,17,51,9,170,4.3,1,2,10
57,30603,승리,라이즈,성민콩,5,6,15,32445,6,17,3,279,7.1,1,2,10
58,30603,승리,트리스타나,SnakeLight,10,5,5,36166,1,17,8,420,10.7,1,2,10
