,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,20400,승리,카밀,쌀국수뚝붸기,13,7,11,32374,2,22,10,324,7.2,1,1,8
1,20400,승리,카직스,6학년4반장용준,7,5,11,19712,12,46,17,239,5.3,1,1,8
2,20400,승리,탈리야,DWG ShowMaker,8,7,17,46065,6,11,8,404,9.0,1,1,8
3,20400,승리,진,상어가족,6,7,19,31983,2,19,17,263,5.9,1,1,8
4,20400,승리,제라스,PawN God,7,9,17,35704,11,101,28,117,2.6,1,1,8
5,20400,패배,나르,빅파이초코파이,5,11,5,23516,2,23,8,343,7.6,2,3,10
6,20400,패배,렝가,담원 크러쉬,5,9,8,21878,6,28,19,216,4.8,2,3,10
7,20400,패배,라이즈,마산가자,8,8,11,37073,9,29,10,369,8.2,2,3,10
8,20400,패배,미스 포츈,Greed A Pride,14,6,6,31110,9,58,34,373,8.3,2,3,10
9,20400,패배,레오나,160810,3,7,16,12144,18,68,23,78,1.7,2,3,10
10,20401,승리,레넥톤,Gazuaaaaaaa,3,4,8,22749,3,36,12,338,8.6,2,1,8
11,20401,승리,자르반 4세,KDM 유준,3,3,18,10129,10,80,22,165,4.2,2,1,8
12,20401,승리,베이가,ZhanQiHuaYm,11,6,5,38202,3,8,25,361,9.2,2,1,8
13,20401,승리,미스 포츈,6학년4반장용준,6,5,12,32738,1,13,19,374,9.5,2,1,8
14,20401,승리,쉔,좋은날,5,5,11,9186,16,101,22,70,1.8,2,1,8
15,20401,패배,카밀,쌀국수뚝붸기,2,7,7,24669,3,20,8,296,7.5,0,2,4
16,20401,패배,세주아니,reMember Mistake,4,5,12,14251,13,64,27,158,4.0,0,2,4
17,20401,패배,조이,MVP Ian,9,6,7,41798,5,44,17,303,7.7,0,2,4
18,20401,패배,트리스타나,우에하라 크롱,7,3,6,27714,2,13,17,403,10.3,0,2,4
19,20401,패배,브라움,1414774182,1,7,11,8449,17,58,28,84,2.1,0,2,4
20,20402,승리,나르,Gazuaaaaaaa,10,5,5,24939,7,42,14,293,8.4,1,3,8
21,20402,승리,자르반 4세,Afreeca M0wgli,6,2,22,15952,12,39,17,173,5.0,1,3,8
22,20402,승리,라이즈,KDM 유준,6,3,13,27334,1,15,6,287,8.3,1,3,8
23,20402,승리,미스 포츈,6학년4반장용준,10,4,8,33551,3,15,6,309,8.9,1,3,8
24,20402,승리,쉔,JAG SnowFlower,2,4,20,13586,8,38,13,84,2.4,1,3,8
25,20402,패배,이렐리아,빅파이초코파이,5,9,3,20214,4,36,13,284,8.2,0,0,3
26,20402,패배,렝가,SKT T1 WoIf,5,9,6,17291,6,26,10,170,4.9,0,0,3
27,20402,패배,카사딘,점점나의마음이끌,3,6,5,19875,3,17,8,289,8.3,0,0,3
28,20402,패배,진,GuGer,5,6,4,28997,0,11,8,268,7.7,0,0,3
29,20402,패배,트런들,Delicious Fish,0,4,8,6318,17,52,27,94,2.7,0,0,3
30,20403,승리,카밀,TnTeddy,1,7,5,12730,2,13,3,213,8.2,0,2,6
31,20403,승리,쉬바나,75387,7,2,2,8106,6,12,15,171,6.6,0,2,6
32,20403,승리,코르키,ysdgqxcj,10,1,2,23028,2,12,11,280,10.8,0,2,6
33,20403,승리,코그모,6학년4반장용준,2,3,2,11232,1,11,5,249,9.6,0,2,6
34,20403,승리,브라움,GuGer,0,3,6,5956,10,31,18,61,2.3,0,2,6
35,20403,패배,나르,Co1dplay,4,3,3,12332,3,25,4,222,8.5,0,1,4
36,20403,패배,엘리스,마이엠브,7,4,4,14315,10,29,6,136,5.2,0,1,4
37,20403,패배,조이,PawN God,2,7,4,13032,3,24,4,209,8.0,0,1,4
38,20403,패배,미스 포츈,GALA,3,4,2,13559,2,19,3,190,7.3,0,1,4
39,20403,패배,알리스타,강고릴,0,2,5,2949,9,31,7,37,1.4,0,1,4
40,20404,승리,블라디미르,Alielie,7,5,6,25967,2,10,4,256,7.6,1,0,7
