,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,31015,패배,말자하,7hal,3,9,10,37891,4,24,12,378,9.6,1,0,6
1,31015,패배,카직스,5gak,11,7,5,33487,13,64,14,166,4.2,1,0,6
2,31015,패배,오리아나,LFT MID,7,3,7,31808,3,22,12,319,8.1,1,0,6
3,31015,패배,미스 포츈,빅파이초코파이,5,6,9,31248,7,22,17,329,8.3,1,0,6
4,31015,패배,알리스타,선기박,0,4,19,13041,16,60,15,57,1.4,1,0,6
5,31015,승리,블라디미르,최석배 사생팬,6,6,10,29684,3,13,9,385,9.7,1,4,9
6,31015,승리,초가스,TeachersWu,1,6,5,3931,4,32,7,177,4.5,1,4,9
7,31015,승리,탈론,PawN God,7,3,5,21724,7,54,15,346,8.7,1,4,9
8,31015,승리,이즈리얼,삼성갤럭시 Ru1er,13,6,7,47135,6,22,18,371,9.4,1,4,9
9,31015,승리,쉔,은종섭,2,5,16,11002,14,61,24,77,1.9,1,4,9
10,31016,승리,오른,7hal,4,3,10,18982,3,18,6,295,9.3,1,2,6
11,31016,승리,세주아니,5gak,6,2,11,14547,13,51,17,198,6.2,1,2,6
12,31016,승리,조이,PawN God,12,4,10,41991,11,24,7,161,5.1,1,2,6
13,31016,승리,진,해운대잠만보,6,2,10,22641,2,10,11,274,8.6,1,2,6
14,31016,승리,알리스타,선기박,3,2,14,8137,18,52,16,56,1.8,1,2,6
15,31016,패배,신지드,빅파이초코파이,7,6,4,31867,0,13,3,237,7.5,0,1,2
16,31016,패배,리 신,TeachersWu,0,8,3,4294,3,24,11,132,4.2,0,1,2
17,31016,패배,오리아나,LFT MID,4,5,5,23303,2,16,3,240,7.6,0,1,2
18,31016,패배,애쉬,삼성갤럭시 Ru1er,2,6,6,19676,4,27,15,296,9.3,0,1,2
19,31016,패배,브라움,은종섭,0,6,9,6734,10,67,19,61,1.9,0,1,2
20,31017,승리,일라오이,xaxaxaxaxa,1,4,0,8127,1,6,0,159,9.1,0,1,4
21,31017,승리,세주아니,SKT T1 WoIf,1,1,8,6282,3,20,3,89,5.1,0,1,4
22,31017,승리,탈리야,7hal,2,0,5,10048,2,9,7,142,8.1,0,1,4
23,31017,승리,이즈리얼,삼성갤럭시 Ru1er,12,4,3,14089,2,5,4,145,8.3,0,1,4
24,31017,승리,카르마,MataMataMata,4,1,7,5912,10,23,9,16,0.9,0,1,4
25,31017,패배,오른,쌀국수뚝붸기,1,2,2,7255,1,7,0,105,6.0,0,0,0
26,31017,패배,니달리,chorongie,3,4,1,4706,3,20,9,103,5.9,0,0,0
27,31017,패배,자르반 4세,Heart,5,3,1,8711,1,16,3,146,8.3,0,0,0
28,31017,패배,미스 포츈,다시 돌아갈까요,1,6,3,4993,0,7,1,95,5.4,0,0,0
29,31017,패배,제라스,혼자가 편해졌어,0,5,4,5959,6,17,7,10,0.6,0,0,0
30,31018,패배,카밀,7hal,2,5,2,9453,1,10,1,187,8.5,0,1,0
31,31018,패배,렉사이,chorongie,2,6,3,5276,5,23,6,120,5.5,0,1,0
32,31018,패배,라이즈,SKT T1 WoIf,1,4,2,7942,2,8,5,151,6.9,0,1,0
33,31018,패배,미스 포츈,원딜둥이,3,7,2,9693,2,9,3,149,6.8,0,1,0
34,31018,패배,쓰레쉬,다시 돌아갈까요,1,6,3,3778,6,19,7,32,1.5,0,1,0
35,31018,승리,초가스,Delicious Fish,5,0,6,11257,1,11,6,189,8.6,1,1,6
36,31018,승리,카직스,점점나의마음이끌,7,1,5,12277,6,19,4,118,5.4,1,1,6
37,31018,승리,말자하,Heart,8,3,8,15693,1,11,2,212,9.6,1,1,6
38,31018,승리,애쉬,삼성갤럭시 Ru1er,5,4,7,10535,4,15,3,159,7.2,1,1,6
39,31018,승리,알리스타,MataMataMata,3,1,12,6069,7,28,7,37,1.7,1,1,6
40,31019,패배,나르,7hal,3,5,9,26657,1,41,5,327,8.3,0,1,5
41,31019,패배,니달리,나는야베이베이1,7,9,10,29390,5,48,7,194,4.9,0,1,5
42,31019,패배,말자하,성민콩,5,6,7,22644,5,17,4,306,7.8,0,1,5
43,31019,패배,바루스,fndasjkfkqw,8,7,11,33340,3,31,8,318,8.1,0,1,5
44,31019,패배,피들스틱,deft123456,2,8,14,16562,28,68,11,65,1.7,0,1,5
45,31019,승리,케넨,커피물조절장인,6,5,8,27869,3,21,12,353,9.0,2,3,7
46,31019,승리,세주아니,PeanuToT,4,2,18,12868,12,17,26,221,5.6,2,3,7
47,31019,승리,아지르,11 14 9 7 8 20,7,6,10,24639,2,7,15,358,9.1,2,3,7
48,31019,승리,칼리스타,승 로,13,7,12,28087,0,13,18,328,8.3,2,3,7
49,31019,승리,그라가스,MataMataMata,5,5,20,14289,25,71,23,77,2.0,2,3,7
50,31020,승리,나르,7hal,1,2,4,8924,4,13,2,188,9.4,0,2,3
51,31020,승리,쉬바나,PeanuToT,10,0,2,10485,4,12,8,155,7.7,0,2,3
52,31020,승리,아지르,MataMataMata,0,1,3,5397,7,12,1,186,9.3,0,2,3
53,31020,승리,바루스,비 브이 오 와이,3,3,10,9922,2,10,6,161,8.0,0,2,3
54,31020,승리,알리스타,supbest,4,1,8,6048,4,15,4,29,1.4,0,2,3
55,31020,패배,블라디미르,kfo,1,2,0,6292,1,10,7,200,10.0,0,1,1
56,31020,패배,카직스,259x,1,3,4,5275,3,15,6,90,4.5,0,1,1
57,31020,패배,말자하,성민콩,1,4,1,4515,3,9,2,152,7.6,0,1,1
58,31020,패배,진,세메론,3,5,1,9106,1,9,2,154,7.7,0,1,1
59,31020,패배,오른,DWG BeryL,1,4,3,6838,9,32,5,36,1.8,0,1,1
60,31021,패배,럼블,7hal,5,4,1,20905,3,9,1,264,9.7,0,1,5
61,31021,패배,카직스,sanspareil1,4,6,4,9845,8,27,12,134,4.9,0,1,5
62,31021,패배,코르키,성민콩,2,4,4,13960,3,11,6,250,9.2,0,1,5
63,31021,패배,시비르,Rain1ng,2,2,3,16728,0,8,13,235,8.7,0,1,5
64,31021,패배,레오나,호잇이,1,5,4,4895,10,36,26,63,2.3,0,1,5
65,31021,승리,마오카이,세메론,4,3,9,12065,0,12,4,195,7.2,1,1,7
66,31021,승리,리 신,PeanuToT,3,5,9,10464,3,44,7,156,5.7,1,1,7
67,31021,승리,탈리야,풀 뜯는 미드,7,4,5,20392,4,27,6,240,8.8,1,1,7
68,31021,승리,미스 포츈,FVV BETTY,4,2,8,12365,4,19,6,276,10.2,1,1,7
69,31021,승리,쉔,FeelsIronMan,3,0,11,5464,10,42,14,72,2.7,1,1,7
70,31022,패배,사이온,7hal,1,4,2,6676,0,16,4,123,6.1,0,0,1
71,31022,패배,니달리,h1rb,0,4,2,4692,2,12,8,106,5.3,0,0,1
72,31022,패배,라이즈,풀 뜯는 미드,2,2,2,10255,0,15,5,172,8.5,0,0,1
73,31022,패배,진,Rain1ng,5,4,2,9957,0,6,3,158,7.8,0,0,1
74,31022,패배,알리스타,supbest,1,5,5,4433,3,18,9,25,1.2,0,0,1
75,31022,승리,제이스,삶이힘든사람,5,2,6,8794,1,16,7,167,8.3,0,0,5
76,31022,승리,세주아니,점점나의마음이끌,4,0,9,7776,7,36,7,145,7.2,0,0,5
77,31022,승리,카사딘,Delicious Fish,7,1,2,9573,2,9,3,162,8.0,0,0,5
78,31022,승리,미스 포츈,Lucete,1,4,8,9395,2,7,2,139,6.9,0,0,5
79,31022,승리,브라움,DaYE,2,2,10,3871,3,20,7,39,1.9,0,0,5
80,31023,패배,카밀,7hal,7,6,10,34624,3,32,9,310,8.6,1,2,4
81,31023,패배,쉬바나,SKT T1 BIank,5,7,12,24007,7,12,17,182,5.0,1,2,4
82,31023,패배,말자하,SKT T1 WoIf,7,7,17,30040,1,11,3,240,6.6,1,2,4
83,31023,패배,바루스,Jacen,7,12,11,27553,1,12,10,154,4.3,1,2,4
84,31023,패배,제라스,한쿡말알아,10,6,16,41850,4,26,8,66,1.8,1,2,4
85,31023,승리,갱플랭크,아 백,6,6,14,33617,2,23,7,290,8.0,1,2,10
86,31023,승리,자크,h1rb,10,3,15,18947,8,24,4,183,5.1,1,2,10
87,31023,승리,라이즈,풀 뜯는 미드,6,8,11,24323,1,33,2,284,7.8,1,2,10
88,31023,승리,이즈리얼,혼자가 편해졌어,8,12,17,37561,0,16,4,295,8.1,1,2,10
89,31023,승리,레오나,supbest,8,7,16,11501,11,51,14,72,2.0,1,2,10
90,31024,패배,다리우스,7hal,0,5,1,5914,1,8,2,128,7.0,0,0,0
91,31024,패배,니달리,으아으앙으아앙,1,4,5,5776,2,21,8,82,4.5,0,0,0
92,31024,패배,베이가,FW Maple,3,1,1,7066,2,5,1,155,8.4,0,0,0
93,31024,패배,이즈리얼,Dingchenyu,1,5,1,8058,0,7,2,147,8.0,0,0,0
94,31024,패배,바드,534N,1,5,3,5504,2,19,6,8,0.4,0,0,0
95,31024,승리,오른,baramgaebi,1,1,6,6960,2,10,2,140,7.6,0,0,4
96,31024,승리,카직스,kenzhu9,6,0,4,9770,7,24,4,106,5.8,0,0,4
97,31024,승리,라이즈,PawN God,5,1,6,11504,3,11,0,152,8.3,0,0,4
98,31024,승리,진,암고잉빽투더스탙,6,1,3,9480,3,10,3,169,9.2,0,0,4
99,31024,승리,타릭,ROX Hoon,1,3,6,2798,7,19,4,30,1.6,0,0,4
100,31025,승리,뽀삐,7hal,6,2,7,11563,3,11,7,188,8.1,0,1,7
101,31025,승리,그레이브즈,259x,8,2,6,13923,3,21,15,152,6.5,0,1,7
102,31025,승리,라이즈,FeelsAwesomeMan,5,2,7,15872,1,9,11,218,9.4,0,1,7
103,31025,승리,이즈리얼,Pilott,4,5,6,14541,1,12,2,178,7.7,0,1,7
104,31025,승리,브라움,Wilder,1,3,15,7914,7,32,4,33,1.4,0,1,7
105,31025,패배,카밀,코w코,7,3,3,13927,1,20,1,174,7.5,0,0,1
106,31025,패배,자르반 4세,DS XiaoPeng,0,7,11,5757,7,32,7,111,4.8,0,0,1
107,31025,패배,카사딘,mide gui tou,4,7,3,12471,5,6,3,159,6.8,0,0,1
108,31025,패배,미스 포츈,Excal1bur1,1,3,5,10285,3,19,5,188,8.1,0,0,1
109,31025,패배,알리스타,baramgaebi,2,4,5,6216,5,19,5,46,2.0,0,0,1
110,31026,승리,카밀,7hal,12,1,13,42941,3,46,11,385,10.3,1,2,11
111,31026,승리,카직스,9346,10,7,8,20397,3,28,14,210,5.6,1,2,11
112,31026,승리,조이,11 14 9 7 8 20,8,13,14,32066,4,19,2,227,6.1,1,2,11
113,31026,승리,바루스,SnakeLight,4,3,11,25013,1,12,5,350,9.4,1,2,11
114,31026,승리,소라카,네 명의 짐승 팀,0,5,26,2344,10,46,6,18,0.5,1,2,11
115,31026,패배,쉔,짱귀요미직스,1,7,10,10451,1,13,3,242,6.5,1,1,4
116,31026,패배,니달리,h1rb,9,7,9,26189,3,34,17,221,5.9,1,1,4
117,31026,패배,카사딘,멘탈 실력 운,8,7,6,22944,5,21,8,278,7.5,1,1,4
118,31026,패배,진,SKT T1 Bang,5,5,12,28379,4,20,10,336,9.0,1,1,4
119,31026,패배,제라스,진쟤승,6,8,10,31283,1,15,8,48,1.3,1,1,4
120,31027,승리,카밀,Heiz4,13,4,3,18671,1,8,2,183,8.7,0,2,11
121,31027,승리,니달리,DS XiaoPeng,5,1,2,6331,1,19,16,140,6.7,0,2,11
122,31027,승리,말자하,7hal,0,1,7,8004,2,11,6,181,8.6,0,2,11
123,31027,승리,미스 포츈,Bvoy,2,1,7,13586,2,15,1,129,6.1,0,2,11
124,31027,승리,탐 켄치,진쟤승,0,4,11,5928,5,38,9,47,2.2,0,2,11
125,31027,패배,제이스,Dingchenyu,5,4,3,10124,1,7,4,111,5.3,0,0,0
126,31027,패배,자르반 4세,7895123,1,5,7,3886,8,33,10,98,4.7,0,0,0
127,31027,패배,아지르,마산가자,4,3,4,15165,3,18,4,169,8.0,0,0,0
128,31027,패배,진,NekoL,1,4,8,9382,2,5,4,179,8.5,0,0,0
129,31027,패배,레오나,Destiny,0,4,8,4120,3,24,16,49,2.3,0,0,0
130,31028,패배,레넥톤,7hal,2,7,7,14627,2,27,0,226,7.3,0,1,3
131,31028,패배,리 신,7895123,5,7,7,10976,14,66,13,123,4.0,0,1,3
132,31028,패배,제라스,VIP 민형,9,5,5,26451,5,17,4,239,7.7,0,1,3
133,31028,패배,바루스,Bvoy,4,7,10,13481,3,13,7,237,7.6,0,1,3
134,31028,패배,쉔,진쟤승,3,9,11,8885,10,45,22,65,2.1,0,1,3
135,31028,승리,카밀,Gazuaaaaaaa,4,8,8,19784,5,18,11,263,8.5,1,2,10
136,31028,승리,엘리스,커닝시티 피그미,6,7,8,14387,10,57,14,153,4.9,1,2,10
137,31028,승리,카사딘,Excal1bur1,7,3,11,20797,2,8,7,237,7.6,1,2,10
138,31028,승리,미스 포츈,NekoL,14,3,9,28334,5,15,12,358,11.5,1,2,10
139,31028,승리,트런들,Lvmao,4,2,23,9910,8,43,23,74,2.4,1,2,10
140,31029,승리,사이온,7hal,6,0,2,10470,0,9,3,190,9.2,0,0,7
141,31029,승리,세주아니,7895123,2,2,6,5248,7,21,3,105,5.1,0,0,7
142,31029,승리,말자하,멘탈 실력 운,3,2,6,10957,4,11,8,186,9.0,0,0,7
143,31029,승리,트위치,JAG Wraith,5,3,5,9950,1,18,6,179,8.7,0,0,7
144,31029,승리,소라카,YOYOuuuuuO,1,2,11,3887,3,19,8,12,0.6,0,0,7
145,31029,패배,제이스,Alielie,0,4,0,7742,2,4,1,183,8.9,0,1,2
146,31029,패배,헤카림,yizhiyu,6,4,3,8970,2,16,5,106,5.1,0,1,2
147,31029,패배,모르가나,GReenshower,0,4,5,8296,2,9,5,180,8.7,0,1,2
148,31029,패배,칼리스타,바보팀원,2,4,2,7089,3,10,7,141,6.8,0,1,2
149,31029,패배,타릭,Gambit Support,1,1,4,2674,3,32,6,41,2.0,0,1,2
150,31030,패배,카밀,7hal,5,7,7,13034,4,19,1,158,6.2,0,0,0
151,31030,패배,렝가,DS XiaoPeng,4,8,7,14505,4,25,15,123,4.9,0,0,0
152,31030,패배,라이즈,덤벼보던가,7,5,3,22094,5,9,9,256,10.1,0,0,0
153,31030,패배,미스 포츈,FVV BETTY,2,6,9,17092,2,11,4,201,7.9,0,0,0
154,31030,패배,브라움,진쟤승,1,6,9,6417,4,46,9,36,1.4,0,0,0
155,31030,승리,오른,Eth4n,5,5,6,12460,1,11,3,177,7.0,1,2,10
156,31030,승리,카직스,커닝시티 피그미,8,5,6,14349,8,24,11,133,5.3,1,2,10
157,31030,승리,애니비아,진에어 저스티스,4,1,10,19479,3,15,8,223,8.8,1,2,10
158,31030,승리,칼리스타,RRRuleRRR,13,7,5,26300,4,20,12,226,8.9,1,2,10
159,31030,승리,트런들,GuGer,2,1,20,6781,9,30,6,45,1.8,1,2,10
160,31031,승리,나르,7hal,7,0,6,15346,3,22,0,257,10.6,0,2,5
161,31031,승리,렝가,DS XiaoPeng,5,3,5,10910,6,28,15,137,5.7,0,2,5
162,31031,승리,라이즈,ysdgqxcj,5,0,4,9447,3,6,13,270,11.2,0,2,5
163,31031,승리,시비르,YOYOuuuuuO,5,3,6,10574,0,8,6,134,5.5,0,2,5
164,31031,승리,레오나,fengquyunbuhui,0,4,12,5653,5,42,15,65,2.7,0,2,5
165,31031,패배,갱플랭크,Shi  Yue,0,5,0,6249,0,5,0,150,6.2,0,0,1
166,31031,패배,니달리,종학윙,4,5,4,7748,2,15,11,131,5.4,0,0,1
167,31031,패배,조이,By myself,2,6,1,13311,9,30,7,192,7.9,0,0,1
168,31031,패배,진,Bvoy,4,3,5,14443,5,24,8,217,9.0,0,0,1
169,31031,패배,탐 켄치,YserAoA,0,3,6,4384,7,26,8,40,1.7,0,0,1
170,31032,패배,카르마,7hal,1,2,5,14048,2,13,5,228,9.2,0,1,2
171,31032,패배,니달리,종학윙,6,4,2,11843,1,16,11,149,6.0,0,1,2
172,31032,패배,라이즈,검은머리사나이,2,2,1,17849,4,28,12,222,9.0,0,1,2
173,31032,패배,칼리스타,Yeeclipse,2,7,3,10362,2,20,8,199,8.1,0,1,2
174,31032,패배,오른,JAG S0hwan,0,7,2,5555,4,14,2,44,1.8,0,1,2
175,31032,승리,카타리나,duibuqiziji,6,4,2,10179,1,11,1,171,6.9,1,1,4
176,31032,승리,세주아니,마이엠브,3,2,11,10439,8,41,12,173,7.0,1,1,4
177,31032,승리,블라디미르,ktmgs,1,3,5,7131,3,27,11,190,7.7,1,1,4
178,31032,승리,진,SKT T1 Bang,8,0,11,25283,3,13,5,235,9.5,1,1,4
179,31032,승리,알리스타,우지나 나 갸영이,4,2,15,5534,9,33,19,53,2.1,1,1,4
180,31033,승리,카밀,7hal,2,0,0,7197,1,16,3,148,9.5,0,1,3
181,31033,승리,세주아니,마이엠브,4,0,6,3801,4,19,4,116,7.4,0,1,3
182,31033,승리,코르키,검은머리사나이,3,0,3,9322,2,6,2,158,10.1,0,1,3
183,31033,승리,징크스,종학윙,5,0,6,8517,0,4,4,136,8.7,0,1,3
184,31033,승리,소라카,구운몽임,3,2,8,5226,2,13,3,10,0.6,0,1,3
185,31033,패배,피오라,gamer666,0,1,0,3305,1,7,3,140,9.0,0,0,0
186,31033,패배,자르반 4세,yizhiyu,0,5,1,4078,1,11,3,78,5.0,0,0,0
187,31033,패배,리산드라,pokeryo,0,4,0,4113,2,8,3,115,7.4,0,0,0
188,31033,패배,진,SKT T1 Bang,2,3,0,5976,1,7,3,96,6.1,0,0,0
189,31033,패배,알리스타,우지나 나 갸영이,0,4,2,3675,2,12,1,25,1.6,0,0,0
190,31034,승리,오른,Sun이라는 별,4,7,11,18945,1,12,1,199,6.0,1,1,4
191,31034,승리,자르반 4세,Gon123,9,7,9,15627,1,16,4,119,3.6,1,1,4
192,31034,승리,말자하,7hal,9,4,5,22956,3,11,16,310,9.4,1,1,4
193,31034,승리,애쉬,SKT T1 Bang,5,5,14,18328,4,30,10,265,8.0,1,1,4
194,31034,승리,카르마,Gambit Support,3,5,15,12794,6,56,13,37,1.1,1,1,4
195,31034,패배,제이스,mide gui tou,5,8,3,21027,1,24,8,237,7.2,0,2,4
196,31034,패배,렝가,종학윙,12,4,4,15139,4,13,9,199,6.0,0,2,4
197,31034,패배,아지르,삼성갤럭시 Crown,2,7,7,22270,7,19,12,275,8.3,0,2,4
198,31034,패배,미스 포츈,republic123,8,7,8,24686,2,27,16,268,8.1,0,2,4
199,31034,패배,브라움,yizhiyu,1,4,15,6479,4,37,11,73,2.2,0,2,4
