,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,31094,승리,쉔,멸룡마도사 나츠,2,1,8,17986,2,6,2,237,8.8,1,1,5
1,31094,승리,카직스,8강따리미드,3,3,14,14896,6,21,3,110,4.1,1,1,5
2,31094,승리,탈리야,21312312414214,12,3,8,24409,4,13,1,261,9.7,1,1,5
3,31094,승리,진,mentalboomKid,9,2,10,23662,1,9,1,208,7.7,1,1,5
4,31094,승리,알리스타,JAG Wraith,1,6,14,4756,6,29,14,31,1.1,1,1,5
5,31094,패배,마오카이,YeIl0w,2,5,6,12311,4,14,2,194,7.2,0,2,0
6,31094,패배,렉사이,돌리기,3,6,4,9429,3,5,3,149,5.5,0,2,0
7,31094,패배,카사딘,republic123,2,6,4,10113,2,6,4,214,7.9,0,2,0
8,31094,패배,드레이븐,Good luck c,5,5,5,15712,0,11,6,212,7.9,0,2,0
9,31094,패배,탐 켄치,강고릴,2,5,9,6660,7,37,7,46,1.7,0,2,0
10,31095,승리,제이스,Kingen,5,7,8,24220,5,16,2,198,6.8,1,2,11
11,31095,승리,헤카림,yizhiyu,9,5,10,19076,2,18,5,184,6.3,1,2,11
12,31095,승리,탈리야,8강따리미드,11,3,9,25890,3,16,2,203,7.0,1,2,11
13,31095,승리,진,학식먹을나이,5,2,13,17058,2,11,7,234,8.1,1,2,11
14,31095,승리,카르마,부 권,3,2,16,10665,12,39,19,30,1.0,1,2,11
15,31095,패배,자르반 4세,피넛사냥개2,6,4,8,12940,2,12,3,217,7.5,0,0,0
16,31095,패배,렝가,Dragon Shaco,6,9,1,12550,4,26,9,117,4.0,0,0,0
17,31095,패배,말자하,검은머리사나이,4,5,5,15957,3,13,7,256,8.8,0,0,0
18,31095,패배,미스 포츈,FVV BETTY,2,8,2,10351,2,8,5,178,6.1,0,0,0
19,31095,패배,쓰레쉬,도령니이임,0,7,9,5985,7,31,6,30,1.0,0,0,0
20,31096,승리,제이스,빅파이초코파이,6,3,12,22301,2,21,7,443,11.1,1,3,8
21,31096,승리,카직스,오억만,8,3,8,16846,1,5,13,146,3.7,1,3,8
22,31096,승리,갈리오,8강따리미드,1,2,19,8092,1,21,3,262,6.6,1,3,8
23,31096,승리,코그모,wangchobo,10,5,11,33346,0,13,13,414,10.4,1,3,8
24,31096,승리,룰루,응와애,3,4,20,3651,11,42,11,27,0.7,1,3,8
25,31096,패배,카르마,SOLCA1,2,5,5,13711,3,21,3,251,6.3,1,1,3
26,31096,패배,이즈리얼,Siste aeterno,6,8,6,26482,6,18,6,178,4.5,1,1,3
27,31096,패배,말자하,PawN God,2,6,5,21335,5,16,7,308,7.7,1,1,3
28,31096,패배,진,SmartPilot,7,3,3,26273,2,16,5,352,8.8,1,1,3
29,31096,패배,쓰레쉬,구직자 zzus,0,6,10,6004,16,52,5,23,0.6,1,1,3
30,31097,승리,다이애나,UcaL,9,5,5,25691,0,12,2,283,9.0,1,2,8
31,31097,승리,카직스,오억만,2,8,3,6857,3,6,4,126,4.0,1,2,8
32,31097,승리,탈리야,8강따리미드,12,5,8,31234,2,16,1,250,7.9,1,2,8
33,31097,승리,자야,마이엠브,2,4,15,22312,1,10,3,249,7.9,1,2,8
34,31097,승리,알리스타,HanGuo Xiao Daye,1,10,12,5291,10,39,9,37,1.2,1,2,8
35,31097,패배,쉔,백수 JJUN,3,5,7,11702,0,4,2,169,5.3,1,1,5
36,31097,패배,니달리,L1sure,15,5,6,21062,4,15,6,154,4.9,1,1,5
37,31097,패배,르블랑,단군의청춘부재,4,6,13,19023,4,9,8,192,6.1,1,1,5
38,31097,패배,드레이븐,FeelsWowMan,7,6,12,25227,4,15,3,258,8.2,1,1,5
39,31097,패배,룰루,해운대잠만보,2,4,19,5169,7,33,2,12,0.4,1,1,5
40,31098,승리,라이즈,마레말해뭘말해,3,3,8,11245,1,13,1,245,8.7,1,2,10
41,31098,승리,카직스,오억만,11,3,3,17870,2,4,7,132,4.7,1,2,10
42,31098,승리,탈리야,8강따리미드,2,3,9,15044,2,14,1,237,8.4,1,2,10
43,31098,승리,트리스타나,LPL noob ad QAQ,8,2,5,18051,1,10,5,276,9.8,1,2,10
44,31098,승리,룰루,담원 호잇이,0,7,18,5453,5,26,14,20,0.7,1,2,10
45,31098,패배,카시오페아,SOLCA1,5,5,3,14211,3,13,0,235,8.3,0,0,0
46,31098,패배,렉사이,real gankster,4,5,5,8176,9,14,10,119,4.2,0,0,0
47,31098,패배,신드라,JAG SnowFlower,5,4,2,17082,4,9,4,233,8.3,0,0,0
48,31098,패배,코그모,귀여운스티치,4,6,7,12487,1,10,2,195,6.9,0,0,0
49,31098,패배,쓰레쉬,이상호,0,4,8,5451,7,31,1,31,1.1,0,0,0
50,31099,승리,갈리오,7hal,2,6,9,7608,2,11,2,157,6.3,1,0,7
51,31099,승리,카직스,오억만,6,5,5,14457,0,4,4,80,3.2,1,0,7
52,31099,승리,오리아나,8강따리미드,6,2,8,18087,4,13,2,233,9.3,1,0,7
53,31099,승리,트리스타나,LPL noob ad QAQ,12,5,7,22550,1,8,7,198,7.9,1,0,7
54,31099,승리,브라움,JAG SnowFlower,0,3,19,6235,8,24,5,33,1.3,1,0,7
55,31099,패배,야스오,슬프다고말하면,4,3,7,13396,2,12,0,176,7.0,0,1,3
56,31099,패배,리 신,SnakeLight,4,7,7,10988,1,17,1,118,4.7,0,1,3
57,31099,패배,카시오페아,SOLCA1,8,4,3,11123,5,13,2,156,6.2,0,1,3
58,31099,패배,미스 포츈,학식먹을나이,1,5,5,10667,0,9,2,199,8.0,0,1,3
59,31099,패배,쓰레쉬,BtC Joker,3,7,10,5380,14,42,10,30,1.2,0,1,3
60,31100,승리,트런들,쫄깃한 우동사리,8,3,8,17326,2,10,1,166,7.6,0,2,8
61,31100,승리,카직스,오억만,24,2,6,30293,1,3,3,99,4.5,0,2,8
62,31100,승리,탈리야,8강따리미드,8,5,14,17143,3,12,3,155,7.1,0,2,8
63,31100,승리,트리스타나,LPL noob ad QAQ,7,2,8,15561,2,6,0,155,7.1,0,2,8
64,31100,승리,알리스타,Sim Student,1,4,20,4526,6,20,3,30,1.4,0,2,8
65,31100,패배,뽀삐,누구를 위한,6,7,4,15717,0,8,0,101,4.6,0,0,0
66,31100,패배,이즈리얼,정글노바,7,13,4,16772,3,9,2,81,3.7,0,0,0
67,31100,패배,카타리나,성민콩,2,12,4,10900,3,7,2,107,4.9,0,0,0
68,31100,패배,진,JAG SnowFlower,0,9,4,12468,2,7,2,132,6.0,0,0,0
69,31100,패배,오른,Lvmao,1,7,5,11935,2,12,2,47,2.1,0,0,0
70,31101,승리,마오카이,콩콩2 콩콩2,3,1,10,8018,3,11,1,159,7.1,0,0,7
71,31101,승리,카직스,오억만,3,4,10,10599,4,6,3,71,3.2,0,0,7
72,31101,승리,카시오페아,8강따리미드,11,0,9,24980,3,12,1,165,7.4,0,0,7
