,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40199,승리,마오카이,Shiroma Anna,2,5,12,17429,7,21,4,202,6.4,2,1,7
1,40199,승리,자르반 4세,트와이스 원스,11,4,17,24508,3,26,7,147,4.6,2,1,7
2,40199,승리,카서스,900점 복구포기,7,8,9,29614,0,14,3,228,7.2,2,1,7
3,40199,승리,미스 포츈,코w코,13,5,9,35321,1,11,10,234,7.4,2,1,7
4,40199,승리,브라움,12월27,2,5,24,8965,10,45,11,53,1.7,2,1,7
5,40199,패배,갱플랭크,yiwancibeishang,11,6,5,38120,3,14,8,307,9.7,0,2,3
6,40199,패배,카직스,승 로,6,7,7,16363,0,20,7,143,4.5,0,2,3
7,40199,패배,탈리야,심심풀이 남신,4,8,9,20825,7,14,13,250,7.9,0,2,3
8,40199,패배,드레이븐,FeelsWowMan,4,7,7,22428,1,13,5,204,6.4,0,2,3
9,40199,패배,알리스타,상어가족,2,7,16,12315,5,55,2,27,0.9,0,2,3
10,40200,승리,자르반 4세,republic123,7,7,20,28086,1,19,3,272,7.1,0,3,7
11,40200,승리,자크,Longzhu Cuzz,3,6,26,16599,3,33,14,146,3.8,0,3,7
12,40200,승리,제이스,피넛사냥개1,15,5,9,35542,2,21,10,346,9.0,0,3,7
13,40200,승리,진,FVV BETTY,13,3,13,40871,2,13,11,319,8.3,0,3,7
14,40200,승리,자이라,900점 복구포기,1,8,14,26580,9,34,27,93,2.4,0,3,7
15,40200,패배,오른,DWG Nuguri,7,6,11,37100,2,17,4,287,7.5,2,0,6
16,40200,패배,엘리스,백수 JJUN,9,9,9,26185,4,34,10,195,5.1,2,0,6
17,40200,패배,르블랑,DWG ShowMaker,11,7,9,32343,4,15,6,257,6.7,2,0,6
18,40200,패배,트리스타나,6학년4반장용준,1,8,7,23099,4,31,5,297,7.7,2,0,6
19,40200,패배,브라움,마이엠브,1,10,11,9132,8,39,8,76,2.0,2,0,6
20,40201,승리,피오라,BBD dog,10,1,6,18203,1,9,1,177,8.1,1,1,11
21,40201,승리,엘리스,000811,17,4,8,19817,4,10,1,60,2.7,1,1,11
22,40201,승리,카서스,900점 복구포기,3,5,8,13477,2,10,1,133,6.1,1,1,11
23,40201,승리,진,Keyara,2,3,15,12618,2,8,1,120,5.5,1,1,11
24,40201,승리,바드,AGanQAQ,4,2,16,9841,3,16,5,13,0.6,1,1,11
25,40201,패배,오른,나츠카린,1,5,4,7441,1,4,1,157,7.2,0,0,0
26,40201,패배,이블린,Sniper Joe,5,6,4,10607,0,5,0,72,3.3,0,0,0
27,40201,패배,아우렐리온 솔,미드가는 용용이,4,10,2,14417,3,3,1,101,4.6,0,0,0
28,40201,패배,자야,Be dedicated to,4,8,6,17920,0,6,2,191,8.7,0,0,0
29,40201,패배,타릭,돌두건,1,7,7,3370,5,25,4,43,2.0,0,0,0
30,40202,승리,트런들,Abyss Jungler,3,2,3,7044,1,8,1,111,6.2,0,1,11
