,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3179,패배,초가스,지현이의빗자루,5,10,0,17693,0,8,1,129,5.5,0,0,1
1,3179,패배,니달리,PuncHh,2,9,3,9309,4,17,8,94,4.0,0,0,1
2,3179,패배,카타리나,DWG ShowMaker,2,7,1,12711,2,8,4,189,8.0,0,0,1
3,3179,패배,칼리스타,Afreeca Aiming,2,9,1,10197,1,6,4,133,5.6,0,0,1
4,3179,패배,알리스타,IGS Coli,1,5,1,6032,5,23,0,36,1.5,0,0,1
5,3179,승리,클레드,VIP 민형,10,7,11,24571,3,4,4,147,6.2,1,2,10
6,3179,승리,렝가,Hide on bush,15,2,7,20980,4,25,8,157,6.6,1,2,10
7,3179,승리,아지르,겸손하고 근면한,8,2,4,23191,2,9,1,242,10.2,1,2,10
8,3179,승리,진,LPL noob ad QAQ,7,2,9,19684,3,10,3,194,8.2,1,2,10
9,3179,승리,탐 켄치,라인전이기니갱와,0,0,20,9893,4,17,3,30,1.3,1,2,10
10,3180,승리,갱플랭크,피넛사냥개2,14,5,10,34522,4,18,3,320,9.7,0,2,8
11,3180,승리,렝가,SKT T1 WoIf,9,10,12,21019,5,15,9,172,5.2,0,2,8
12,3180,승리,아지르,ktmgs,3,6,11,15051,4,37,11,248,7.5,0,2,8
13,3180,승리,진,GALA,4,5,13,16276,2,14,4,226,6.8,0,2,8
14,3180,승리,조이,Afreeca Aiming,13,8,8,24657,11,68,9,66,2.0,0,2,8
15,3180,패배,카밀,미율치에오,5,12,3,20784,1,14,4,176,5.3,1,1,2
16,3180,패배,카직스,chijixuanshou,4,10,8,17716,13,29,8,165,5.0,1,1,2
17,3180,패배,베이가,ZhanQiHuaYm,9,6,4,22324,3,7,21,293,8.9,1,1,2
18,3180,패배,이즈리얼,성민콩,10,9,2,26866,2,16,10,242,7.3,1,1,2
19,3180,패배,제라스,Fotune,6,6,10,21614,7,40,8,72,2.2,1,1,2
20,3181,승리,잭스,나네쫓다꿈소년,11,6,6,24790,1,15,8,258,8.7,1,0,10
21,3181,승리,세주아니,수지Suzy,8,2,15,13810,8,44,11,183,6.2,1,0,10
22,3181,승리,말자하,FW Maple,10,3,14,29898,1,14,10,258,8.7,1,0,10
23,3181,승리,바루스,Afreeca Aiming,5,9,9,15862,4,13,17,243,8.2,1,0,10
24,3181,승리,탐 켄치,이재훈다딱,4,7,15,10789,5,25,5,51,1.7,1,0,10
25,3181,패배,말파이트,Mengqiuqiu,3,8,10,21365,0,13,7,201,6.8,0,0,0
26,3181,패배,렝가,피넛사냥개1,8,9,2,13162,4,21,6,119,4.0,0,0,0
27,3181,패배,조이,Sakura Angel,4,9,8,17971,1,25,3,199,6.7,0,0,0
28,3181,패배,미스 포츈,원딜둥이,8,7,8,28161,5,13,9,228,7.7,0,0,0
29,3181,패배,잔나,supbest,4,5,15,11333,11,66,12,35,1.2,0,0,0
30,3182,승리,케넨,뒷텔와드점,4,0,3,6473,1,7,3,135,8.9,0,0,4
