,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3300,승리,하이머딩거,Kingen,3,5,7,14381,1,10,1,167,6.4,1,3,8
1,3300,승리,쉬바나,F0y,11,2,4,19975,7,9,9,197,7.5,1,3,8
2,3300,승리,아지르,chirchri,5,1,7,13768,6,10,6,226,8.6,1,3,8
3,3300,승리,진,Afreeca Kramer,4,2,12,14773,4,19,6,233,8.9,1,3,8
4,3300,승리,쉔,Afreeca Kuro,3,4,12,8152,5,26,7,71,2.7,1,3,8
5,3300,패배,일라오이,xaxaxaxaxa,3,2,7,18417,2,15,1,241,9.2,0,0,2
6,3300,패배,엘리스,마이엠브,7,4,4,14700,6,16,2,153,5.8,0,0,2
7,3300,패배,라이즈,송하영 팬,3,6,2,8375,3,12,8,217,8.3,0,0,2
8,3300,패배,바루스,Greed A Pride,1,6,5,10126,5,24,3,196,7.5,0,0,2
9,3300,패배,미스 포츈,IgNar,0,8,4,9099,3,8,10,43,1.6,0,0,2
10,3301,승리,나르,RVS Poss,4,6,6,14913,3,15,5,193,6.9,1,2,9
11,3301,승리,니달리,종학윙,5,1,8,9951,4,20,10,177,6.3,1,2,9
12,3301,승리,르블랑,Fotune,7,3,3,22303,3,23,3,198,7.1,1,2,9
13,3301,승리,베인,Afreeca Kramer,10,0,5,22897,4,15,8,290,10.4,1,2,9
14,3301,승리,알리스타,진에어 저스티스,0,0,13,4280,11,44,10,46,1.6,1,2,9
15,3301,패배,갱플랭크,Cuz2,4,7,0,11548,1,14,2,197,7.0,0,1,3
16,3301,패배,카직스,PeanuToT,3,3,3,12713,4,24,11,143,5.1,0,1,3
17,3301,패배,아지르,마산가자,3,3,3,23374,4,13,12,264,9.4,0,1,3
18,3301,패배,이즈리얼,Excal1bur1,0,8,2,16571,2,11,3,219,7.8,0,1,3
19,3301,패배,카르마,FeelsCoffeeMan,0,5,3,9281,6,23,10,26,0.9,0,1,3
20,3302,패배,이렐리아,승 로,3,5,3,17327,1,13,2,267,8.5,0,1,1
21,3302,패배,니달리,PeanuToT,4,6,6,18187,8,32,13,228,7.2,0,1,1
22,3302,패배,조이,PawN God,3,4,5,25049,5,33,7,225,7.2,0,1,1
23,3302,패배,미스 포츈,Afreeca Kramer,3,8,3,15016,3,29,8,240,7.6,0,1,1
24,3302,패배,소라카,YOYOuuuuuO,1,9,7,3994,5,27,3,9,0.3,0,1,1
25,3302,승리,갱플랭크,Gazuaaaaaaa,5,2,13,26989,10,24,8,246,7.8,1,3,6
26,3302,승리,쉬바나,yizhiyu,3,6,13,19696,6,12,15,202,6.4,1,3,6
27,3302,승리,라이즈,KDM 유준,6,3,4,17564,1,14,9,283,9.0,1,3,6
28,3302,승리,바루스,쌀국수뚝붸기,9,3,5,15919,5,16,5,226,7.2,1,3,6
29,3302,승리,제라스,호잇이,9,0,11,32642,7,21,20,48,1.5,1,3,6
30,3303,패배,갱플랭크,Gazuaaaaaaa,1,5,1,7164,3,9,4,147,7.3,0,0,0
31,3303,패배,카직스,KDM 유준,3,4,3,8034,2,18,9,94,4.6,0,0,0
32,3303,패배,탈리야,송하영 팬,3,8,0,10489,2,9,5,151,7.5,0,0,0
33,3303,패배,드레이븐,Afreeca Kramer,0,6,2,6733,5,14,8,160,7.9,0,0,0
34,3303,패배,쉔,Nova1,0,6,2,1228,5,22,11,34,1.7,0,0,0
35,3303,승리,제이스,Kingen,2,1,9,14585,0,17,5,130,6.4,0,1,3
36,3303,승리,엘리스,IGS Dasher,8,2,6,9536,5,23,2,94,4.6,0,1,3
37,3303,승리,조이,By myself,10,3,4,19067,5,19,0,150,7.4,0,1,3
38,3303,승리,진,FeelsCoffeeMan,8,1,7,12233,1,7,8,178,8.8,0,1,3
39,3303,승리,브라움,삼성갤럭시CoreJJ,1,0,15,7626,5,40,6,40,2.0,0,1,3
40,3304,패배,판테온,ROYG,4,6,2,9563,2,5,3,154,6.3,0,0,0
41,3304,패배,세주아니,마이엠브,0,3,9,7969,5,37,8,115,4.7,0,0,0
42,3304,패배,애니비아,송하영 팬,1,6,6,9459,4,9,1,190,7.7,0,0,0
43,3304,패배,진,Afreeca Kramer,4,5,2,13766,6,20,4,197,8.0,0,0,0
44,3304,패배,라칸,IgNar,2,6,4,4185,5,42,9,10,0.4,0,0,0
45,3304,승리,마스터 이,Eth4n,10,1,1,11725,3,12,2,199,8.1,0,1,6
46,3304,승리,렝가,XinyiQAQ,6,3,4,10995,6,11,20,151,6.2,0,1,6
47,3304,승리,제라스,진에어 저스티스,6,3,9,18261,4,13,10,151,6.2,0,1,6
48,3304,승리,애쉬,선비모드,1,2,11,15233,6,15,10,198,8.1,0,1,6
49,3304,승리,미스 포츈,11 14 9 7 8 20,3,3,12,16124,5,34,10,42,1.7,0,1,6
50,3305,승리,판테온,Plz No Die,9,3,8,23886,2,28,4,220,7.6,1,2,10
51,3305,승리,카직스,Cuz2,12,6,9,23954,2,15,9,163,5.7,1,2,10
52,3305,승리,라이즈,Lucete,9,5,7,23917,2,11,5,252,8.8,1,2,10
53,3305,승리,이즈리얼,Afreeca Kramer,7,3,13,35260,4,24,3,266,9.2,1,2,10
54,3305,승리,쉔,덤벼보던가,4,6,25,10443,1,28,8,61,2.1,1,2,10
55,3305,패배,갱플랭크,춘봉박,6,5,7,20917,1,12,4,245,8.5,0,0,1
56,3305,패배,자르반 4세,FVV BETTY,6,10,3,11275,5,23,10,130,4.5,0,0,1
57,3305,패배,애니비아,송하영 팬,5,7,8,23314,3,13,11,218,7.6,0,0,1
58,3305,패배,바루스,Please find it,2,10,9,14269,0,6,4,161,5.6,0,0,1
59,3305,패배,알리스타,Afreeca Kuro,4,9,7,7264,9,44,12,48,1.7,0,0,1
60,3306,패배,카밀,Alielie,0,8,1,5713,1,0,2,103,4.7,0,0,0
61,3306,패배,킨드레드,w1sdom ovo,0,6,1,4431,3,10,4,108,4.9,0,0,0
62,3306,패배,조이,어껭간만에찾아뵙,2,5,1,10245,2,9,5,154,7.0,0,0,0
63,3306,패배,진,Afreeca Kramer,2,4,1,6419,2,18,5,175,7.9,0,0,0
64,3306,패배,알리스타,7895123,0,4,2,2786,5,21,7,35,1.6,0,0,0
65,3306,승리,갱플랭크,쌀국수뚝붸기,14,1,1,21862,1,12,2,191,8.6,1,0,5
66,3306,승리,세주아니,스마트섹시뷰티,2,0,8,5344,3,18,3,102,4.6,1,0,5
