,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30520,승리,하이머딩거,Kingen,3,5,7,14381,1,10,1,167,6.4,1,3,8
1,30520,승리,쉬바나,F0y,11,2,4,19975,7,9,9,197,7.5,1,3,8
2,30520,승리,아지르,chirchri,5,1,7,13768,6,10,6,226,8.6,1,3,8
3,30520,승리,진,Afreeca Kramer,4,2,12,14773,4,19,6,233,8.9,1,3,8
4,30520,승리,쉔,Afreeca Kuro,3,4,12,8152,5,26,7,71,2.7,1,3,8
5,30520,패배,일라오이,xaxaxaxaxa,3,2,7,18417,2,15,1,241,9.2,0,0,2
6,30520,패배,엘리스,마이엠브,7,4,4,14700,6,16,2,153,5.8,0,0,2
7,30520,패배,라이즈,송하영 팬,3,6,2,8375,3,12,8,217,8.3,0,0,2
8,30520,패배,바루스,Greed A Pride,1,6,5,10126,5,24,3,196,7.5,0,0,2
9,30520,패배,미스 포츈,IgNar,0,8,4,9099,3,8,10,43,1.6,0,0,2
10,30521,승리,피오라,뒷텔와드점,4,1,5,13707,2,32,3,264,10.6,1,1,11
11,30521,승리,카직스,Twink1e,7,5,10,14502,4,17,1,154,6.2,1,1,11
12,30521,승리,카타리나,h1rb,10,4,12,25914,3,10,2,182,7.3,1,1,11
13,30521,승리,미스 포츈,혼자해도충분하다,5,3,10,15051,1,10,2,205,8.2,1,1,11
14,30521,승리,쉔,Afreeca Kuro,8,1,18,8293,5,33,9,64,2.6,1,1,11
15,30521,패배,카밀,쌀국수뚝붸기,1,8,2,11166,0,9,6,162,6.5,0,0,1
16,30521,패배,니달리,담원 크러쉬,6,7,4,6820,6,23,11,107,4.3,0,0,1
17,30521,패배,말자하,겸손하고 근면한,4,7,3,20379,3,10,2,208,8.3,0,0,1
18,30521,패배,칼리스타,혼자가 편해졌어,2,8,5,15214,4,13,4,185,7.4,0,0,1
19,30521,패배,알리스타,춘봉박,1,4,7,5335,4,22,9,46,1.8,0,0,1
20,30522,패배,마오카이,7895123,3,5,8,12871,3,8,4,153,6.0,0,1,1
21,30522,패배,쉬바나,작전동 노란머리,6,4,5,16579,5,7,14,211,8.2,0,1,1
22,30522,패배,탈론,Afreeca Kuro,5,6,6,10470,4,14,7,181,7.1,0,1,1
23,30522,패배,이즈리얼,GALA,4,9,11,20017,0,10,5,174,6.8,0,1,1
24,30522,패배,브라움,Nova1,3,4,9,5309,11,33,11,58,2.3,0,1,1
25,30522,승리,일라오이,빅파이초코파이,6,7,3,32072,7,20,1,250,9.7,1,2,9
26,30522,승리,카직스,DaYE,8,5,9,20374,1,14,6,107,4.2,1,2,9
27,30522,승리,르블랑,FeelsCoffeeMan,3,1,5,16421,1,21,3,233,9.1,1,2,9
28,30522,승리,트리스타나,비 브이 오 와이,10,3,7,21579,0,21,5,279,10.9,1,2,9
29,30522,승리,쓰레쉬,호경모드,1,5,12,6934,11,31,11,30,1.2,1,2,9
30,30523,승리,카밀,Gazuaaaaaaa,2,2,9,15865,6,20,11,319,9.6,1,2,11
31,30523,승리,카직스,KDM 유준,12,4,4,21929,5,31,22,194,5.9,1,2,11
32,30523,승리,탈리야,Afreeca Kuro,5,3,5,15589,1,35,11,331,10.0,1,2,11
33,30523,승리,바루스,sqb,4,1,6,18837,1,12,11,325,9.8,1,2,11
34,30523,승리,브라움,마이엠브,2,3,9,4682,7,43,32,99,3.0,1,2,11
35,30523,패배,제이스,Like Waves,1,9,5,16718,5,34,9,248,7.5,0,1,3
36,30523,패배,니달리,해운대잠만보,4,7,4,9307,4,22,18,187,5.6,0,1,3
37,30523,패배,라이즈,ROX 라바,4,3,3,16277,4,19,3,353,10.7,0,1,3
38,30523,패배,진,ROX Sangyoon,3,1,6,16595,3,9,2,312,9.4,0,1,3
39,30523,패배,카르마,wo yao qu daye,1,5,5,5582,11,65,20,24,0.7,0,1,3
40,30524,패배,오른,미율치에오,2,4,1,10661,1,9,2,179,8.2,0,0,3
41,30524,패배,자르반 4세,좋은날,5,3,1,7998,6,32,12,116,5.3,0,0,3
42,30524,패배,아지르,Afreeca Kuro,3,5,3,10139,1,23,6,160,7.3,0,0,3
43,30524,패배,진,ROX Sangyoon,1,6,4,9060,1,9,3,172,7.9,0,0,3
44,30524,패배,소라카,ROX 라바,0,9,6,5755,6,17,12,18,0.8,0,0,3
45,30524,승리,카밀,Eth4n,4,3,3,12907,1,10,6,179,8.2,0,1,4
46,30524,승리,세주아니,마이엠브,5,3,11,8617,5,28,9,120,5.5,0,1,4
47,30524,승리,제라스,진에어 저스티스,4,3,13,16408,4,9,11,154,7.0,0,1,4
48,30524,승리,칼리스타,FVV BETTY,11,2,5,13458,2,16,6,212,9.7,0,1,4
49,30524,승리,알리스타,천천히올라감,2,0,15,5810,7,23,4,33,1.5,0,1,4
50,30525,승리,쉬바나,오억만,0,0,0,584,1,2,0,12,3.7,0,2,5
51,30525,승리,피들스틱,1414774182,0,0,0,704,0,1,0,18,5.6,0,2,5
52,30525,승리,미스 포츈,Heart,0,0,0,0,0,0,0,0,0.0,0,2,5
53,30525,승리,마오카이,Afreeca Kuro,0,0,0,415,0,1,0,8,2.5,0,2,5
54,30525,승리,바루스,좋은날,0,1,0,756,0,2,0,7,2.2,0,2,5
55,30525,패배,올라프,코w코,2,6,5,19121,4,36,11,228,7.0,1,1,2
56,30525,패배,자르반 4세,오억만,3,8,15,17798,0,17,12,180,5.6,1,1,2
57,30525,패배,오리아나,TeachersWu,1,9,7,9691,3,15,6,229,7.1,1,1,2
58,30525,패배,트리스타나,fndasjkfkqw,16,5,4,36140,3,37,15,326,10.1,1,1,2
59,30525,패배,마오카이,진쟤승,4,6,17,17262,5,35,15,54,1.7,1,1,2
60,30526,패배,갱플랭크,춘봉박,6,5,7,20917,1,12,4,245,8.5,0,0,1
61,30526,패배,자르반 4세,FVV BETTY,6,10,3,11275,5,23,10,130,4.5,0,0,1
62,30526,패배,애니비아,송하영 팬,5,7,8,23314,3,13,11,218,7.6,0,0,1
63,30526,패배,바루스,Please find it,2,10,9,14269,0,6,4,161,5.6,0,0,1
64,30526,패배,알리스타,Afreeca Kuro,4,9,7,7264,9,44,12,48,1.7,0,0,1
65,30526,승리,판테온,Plz No Die,9,3,8,23886,2,28,4,220,7.6,1,2,10
66,30526,승리,카직스,Cuz2,12,6,9,23954,2,15,9,163,5.7,1,2,10
67,30526,승리,라이즈,Lucete,9,5,7,23917,2,11,5,252,8.8,1,2,10
68,30526,승리,이즈리얼,Afreeca Kramer,7,3,13,35260,4,24,3,266,9.2,1,2,10
69,30526,승리,쉔,덤벼보던가,4,6,25,10443,1,28,8,61,2.1,1,2,10
70,30527,승리,카밀,덤벼보던가,5,9,13,30286,2,48,10,368,8.9,1,2,9
71,30527,승리,쉬바나,Cuz2,8,8,7,22297,4,7,21,291,7.0,1,2,9
72,30527,승리,르블랑,Afreeca Kuro,8,6,9,23569,5,53,11,349,8.5,1,2,9
73,30527,승리,미스 포츈,입이더러운사람,16,1,6,51858,4,18,16,440,10.7,1,2,9
74,30527,승리,알리스타,LFT MID,2,9,15,9471,14,69,19,81,2.0,1,2,9
75,30527,패배,레넥톤,JAG S0hwan,6,7,7,20502,3,23,6,370,9.0,2,3,4
76,30527,패배,자르반 4세,PuncHh,1,8,19,16772,8,39,22,177,4.3,2,3,4
77,30527,패배,아지르,PawN God,20,4,4,51649,5,20,20,361,8.7,2,3,4
78,30527,패배,진,다시 돌아갈까요,5,10,7,24345,5,17,11,344,8.3,2,3,4
79,30527,패배,블리츠크랭크,ysdgqxcj,1,10,14,12250,15,55,10,62,1.5,2,3,4
80,30528,승리,카밀,코w코,5,1,5,9659,1,6,5,115,7.1,0,1,5
81,30528,승리,세주아니,마이엠브,6,0,9,7608,2,22,2,104,6.4,0,1,5
82,30528,승리,루시안,Afreeca Kuro,7,1,3,10629,3,8,6,165,10.2,0,1,5
83,30528,승리,진,LPL noob ad QAQ,2,4,5,4343,0,6,2,83,5.1,0,1,5
84,30528,승리,미스 포츈,쌀국수뚝붸기,1,3,10,6907,6,26,4,16,1.0,0,1,5
