,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30935,승리,제이스,Algorism,4,0,3,8135,3,10,4,150,9.1,0,0,3
1,30935,승리,니달리,작전동 노란머리,6,1,4,7634,3,25,7,116,7.0,0,0,3
2,30935,승리,르블랑,단군의청춘부재,3,1,6,9499,3,14,1,104,6.3,0,0,3
3,30935,승리,진,구름꽃길만걷자,2,1,2,7342,2,6,0,149,9.0,0,0,3
4,30935,승리,바드,슬프다고말하면,0,2,6,5297,4,19,4,6,0.4,0,0,3
5,30935,패배,레넥톤,JAG S0hwan,0,2,1,2118,0,6,5,118,7.2,0,1,0
6,30935,패배,렝가,HanGuo Xiao Daye,4,5,1,3358,6,16,7,70,4.2,0,1,0
7,30935,패배,제라스,상어가족,0,2,4,6612,2,8,6,88,5.3,0,1,0
8,30935,패배,칼리스타,Afreeca Kramer,1,3,0,4307,2,15,2,151,9.2,0,1,0
9,30935,패배,알리스타,토마토페이스트,0,3,3,2436,4,9,1,15,0.9,0,1,0
10,30936,패배,제이스,Algorism,1,3,0,7016,3,10,4,138,7.4,0,0,0
11,30936,패배,오른,작전동 노란머리,1,3,3,5390,4,15,4,110,5.9,0,0,0
12,30936,패배,오리아나,상어가족,3,5,1,9054,2,7,2,134,7.2,0,0,0
13,30936,패배,자야,어껭간만에찾아뵙,1,4,2,7090,0,7,4,142,7.6,0,0,0
14,30936,패배,쉔,Afreeca Kramer,1,5,3,4852,6,13,5,32,1.7,0,0,0
15,30936,승리,카밀,JAG S0hwan,1,0,4,6024,2,17,1,149,8.0,0,1,3
16,30936,승리,쉬바나,PeanuToT,5,3,5,6361,2,8,8,114,6.1,0,1,3
17,30936,승리,르블랑,단군의청춘부재,4,3,7,9662,5,17,2,101,5.4,0,1,3
18,30936,승리,진,whisper snow,9,1,5,13373,0,7,1,169,9.1,0,1,3
19,30936,승리,바드,슬프다고말하면,0,1,11,7792,5,19,8,26,1.4,0,1,3
20,30937,승리,판테온,Algorism,3,4,8,10145,3,11,5,128,5.4,1,0,8
21,30937,승리,렝가,ROX 곰,15,1,4,17457,5,18,6,152,6.5,1,0,8
22,30937,승리,라이즈,ROX 라바,4,2,7,10027,3,13,1,223,9.5,1,0,8
23,30937,승리,이즈리얼,쫄깃한 우동사리,7,2,11,17821,5,15,1,193,8.2,1,0,8
24,30937,승리,브라움,Sim Student,1,4,11,4995,8,34,3,32,1.4,1,0,8
25,30937,패배,나르,커피물조절장인,2,7,3,8872,2,10,2,175,7.4,0,1,4
26,30937,패배,카직스,JAG UmTi,4,5,2,10704,2,18,7,131,5.6,0,1,4
27,30937,패배,아지르,푸딩은푸딩해,2,5,0,7666,0,9,1,206,8.8,0,1,4
28,30937,패배,진,12월27,1,5,4,7740,0,8,4,173,7.4,0,1,4
29,30937,패배,자이라,삼성갤럭시CoreJJ,4,8,4,14019,5,21,6,18,0.8,0,1,4
30,30938,패배,제이스,Algorism,3,7,12,34099,7,26,16,278,6.8,0,4,3
31,30938,패배,쉬바나,커닝시티 피그미,9,5,7,34747,6,10,26,263,6.4,0,4,3
32,30938,패배,오리아나,KDM PERT,5,4,10,38576,3,22,14,377,9.2,0,4,3
33,30938,패배,애쉬,어껭간만에찾아뵙,8,8,6,37303,3,15,16,418,10.2,0,4,3
34,30938,패배,잔나,VeryBitter,0,5,15,8721,20,58,25,29,0.7,0,4,3
35,30938,승리,초가스,YOYOuuuuuO,8,8,9,22422,3,19,8,231,5.6,2,2,10
36,30938,승리,자르반 4세,Flyquest Flame,6,10,13,16851,5,32,13,216,5.3,2,2,10
37,30938,승리,라이즈,담원 쇼메이커,9,4,4,26943,4,9,8,438,10.7,2,2,10
38,30938,승리,이즈리얼,ROX Sangyoon,4,1,12,44615,5,28,9,416,10.1,2,2,10
39,30938,승리,나미,삼성갤럭시CoreJJ,2,2,18,12551,12,101,24,32,0.8,2,2,10
40,30939,패배,요릭,Algorism,1,4,1,4194,2,7,8,118,7.1,0,0,0
41,30939,패배,카직스,스마트섹시뷰티,5,2,1,8564,2,7,2,77,4.6,0,0,0
42,30939,패배,빅토르,cbzOvO,0,3,3,5001,2,6,3,118,7.1,0,0,0
43,30939,패배,이즈리얼,ROX Sangyoon,0,1,2,5226,1,10,2,128,7.7,0,0,0
44,30939,패배,소라카,YOYOuuuuuO,1,2,1,3485,3,14,2,7,0.4,0,0,0
45,30939,승리,제이스,담원 너구리,4,2,2,11864,2,21,9,145,8.7,0,1,3
46,30939,승리,쉬바나,일견무시도성빈,4,2,3,6700,2,8,3,104,6.3,0,1,3
47,30939,승리,라이즈,IGS Dasher,1,1,1,5132,3,9,1,156,9.4,0,1,3
48,30939,승리,진,chirchri,2,0,6,6473,2,8,0,136,8.2,0,1,3
49,30939,승리,자이라,삼성갤럭시CoreJJ,1,2,7,8377,4,21,2,16,1.0,0,1,3
50,30940,승리,사이온,Algorism,4,4,16,25146,5,15,8,218,7.3,1,2,9
51,30940,승리,리 신,9346,0,7,18,7726,4,37,6,113,3.8,1,2,9
52,30940,승리,카타리나,피넛사냥개1,8,6,7,25360,8,23,4,242,8.1,1,2,9
53,30940,승리,칼리스타,Rachel Berry,18,0,4,36859,3,13,9,271,9.1,1,2,9
54,30940,승리,잔나,시즌8빡고수ad1,5,5,18,11228,3,31,15,19,0.6,1,2,9
55,30940,패배,신지드,내 마음 아프니까,3,8,6,14309,1,9,4,173,5.8,0,0,2
56,30940,패배,카직스,w1sdom ovo,8,6,4,19827,10,31,10,161,5.4,0,0,2
57,30940,패배,코르키,소요하다 곡 작,4,6,6,24662,4,16,9,244,8.2,0,0,2
58,30940,패배,진,LPL noob ad QAQ,4,7,6,18578,3,11,6,205,6.9,0,0,2
59,30940,패배,알리스타,루시퍼메이데이,2,8,4,6268,12,47,11,59,2.0,0,0,2
60,30941,승리,마오카이,Algorism,1,3,8,12292,5,12,4,143,5.5,0,0,1
61,30941,승리,자르반 4세,담원 크러쉬,8,3,6,11359,6,20,9,117,4.5,0,0,1
62,30941,승리,조이,FW Maple,6,4,6,20409,4,13,10,171,6.6,0,0,1
63,30941,승리,드레이븐,옷벗고춤추고싶다,3,1,7,19334,3,14,8,255,9.8,0,0,1
64,30941,승리,쓰레쉬,Sim Student,1,1,8,4580,10,26,8,38,1.5,0,0,1
65,30941,패배,일라오이,ZiviZiviZiviZ,2,7,2,21440,3,17,0,212,8.2,0,2,4
66,30941,패배,리 신,T 1 a n,3,3,3,6779,4,41,9,131,5.1,0,2,4
67,30941,패배,아지르,chirchri,3,3,3,14512,7,23,8,186,7.2,0,2,4
68,30941,패배,진,Dingchenyu,2,3,4,12887,1,11,3,226,8.7,0,2,4
69,30941,패배,탐 켄치,whisper snow,2,3,3,5169,3,17,2,38,1.5,0,2,4
70,30942,승리,판테온,Algorism,4,6,7,17122,6,21,4,237,6.9,2,2,9
71,30942,승리,카직스,좋은날,11,8,13,23577,6,22,4,151,4.4,2,2,9
72,30942,승리,조이,bbq Tempt,10,2,11,39740,4,26,5,253,7.3,2,2,9
73,30942,승리,자야,STITCH1,5,2,14,30016,2,10,8,323,9.4,2,2,9
74,30942,승리,라칸,천천히올라감,2,5,27,6957,12,45,8,9,0.3,2,2,9
75,30942,패배,나르,춘봉박,5,5,7,18861,6,20,5,304,8.8,0,0,4
76,30942,패배,세주아니,PawN God,8,5,9,17364,7,26,13,165,4.8,0,0,4
77,30942,패배,트위스티드 페이트,상어가족,1,8,9,13817,3,9,15,218,6.3,0,0,4
78,30942,패배,바루스,Dingchenyu,7,6,1,23986,2,14,6,300,8.7,0,0,4
79,30942,패배,제라스,MinKOOK2,2,8,8,14075,10,40,6,19,0.6,0,0,4
