,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40298,패배,럼블,Reborn3,7,7,3,21599,2,13,0,165,5.5,0,1,4
1,40298,패배,세주아니,So1o,4,6,11,16003,10,24,7,126,4.2,0,1,4
2,40298,패배,루시안,으아으앙으아앙,8,6,7,28160,5,15,8,189,6.3,0,1,4
3,40298,패배,시비르,nekoneko1,2,6,7,15762,4,12,6,270,9.1,0,1,4
4,40298,패배,알리스타,Axiyo,1,6,9,6957,4,24,8,60,2.0,0,1,4
5,40298,승리,잭스,Klmjg,5,1,12,15893,1,12,9,221,7.4,1,1,9
6,40298,승리,쉬바나,yizhiyu,7,7,11,28402,2,6,8,156,5.2,1,1,9
7,40298,승리,트위스티드 페이트,푸딩은푸딩해,3,8,10,20746,1,12,2,196,6.6,1,1,9
8,40298,승리,진,Yeeclipse,11,4,9,24078,6,15,1,227,7.6,1,1,9
9,40298,승리,오른,진쟤승,5,2,15,15345,4,41,7,64,2.2,1,1,9
10,40299,승리,제이스,쌀국수뚝붸기,10,12,15,47584,1,19,3,263,6.1,2,4,10
11,40299,승리,리 신,Klmjg,6,9,14,15828,5,49,19,228,5.3,2,4,10
12,40299,승리,탈리야,민호야 보고싶다,4,9,14,35958,5,19,8,341,7.9,2,4,10
13,40299,승리,트리스타나,Axiyo,17,6,14,55397,0,10,10,397,9.2,2,4,10
14,40299,승리,레오나,Destiny,3,8,24,13459,21,93,18,83,1.9,2,4,10
15,40299,패배,나르,삶이힘든사람,10,9,11,25639,7,24,3,291,6.7,0,1,6
16,40299,패배,세주아니,Removed Enterkey,4,8,25,13881,7,31,16,166,3.8,0,1,6
17,40299,패배,트위스티드 페이트,수영장파티박종우,16,2,10,33082,3,21,14,308,7.1,0,1,6
18,40299,패배,트위치,aquariusz,10,12,13,39670,4,17,13,373,8.6,0,1,6
19,40299,패배,블리츠크랭크,MinKOOK2,3,9,18,11018,15,61,11,52,1.2,0,1,6
20,40300,패배,케넨,쌀국수뚝붸기,0,6,4,16198,0,14,1,227,6.9,0,1,3
21,40300,패배,니달리,수입뿌드,4,5,9,14518,4,26,12,188,5.7,0,1,3
22,40300,패배,말자하,나츠카린,5,5,4,15128,2,8,4,250,7.6,0,1,3
23,40300,패배,칼리스타,iotjeun01,7,3,4,18851,1,7,13,285,8.6,0,1,3
24,40300,패배,바드,Axiyo,1,6,13,10629,7,34,8,11,0.3,0,1,3
25,40300,승리,자르반 4세,F0y,3,2,13,13352,2,15,2,211,6.4,1,2,8
