,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60956,패배,리븐,Good luck c,1,9,1,5076,0,7,2,177,6.3,0,1,4
1,60956,패배,렝가,YoudangXQiao,5,8,5,12204,8,32,7,135,4.8,0,1,4
2,60956,패배,블라디미르,whisper snow,5,5,8,25208,1,13,1,198,7.0,0,1,4
3,60956,패배,이즈리얼,BKKK,12,7,10,31951,0,16,4,227,8.0,0,1,4
4,60956,패배,쓰레쉬,LaoGanDie,2,9,15,12019,3,27,5,47,1.7,0,1,4
5,60956,승리,카밀,jkasjhiufgha,16,0,16,34369,1,12,11,203,7.2,1,1,8
6,60956,승리,세주아니,the unf0rgiven,8,4,10,10949,4,9,3,126,4.5,1,1,8
7,60956,승리,트위스티드 페이트,상어가족,6,2,15,19068,1,12,5,217,7.7,1,1,8
8,60956,승리,케이틀린,Yeeclipse,5,11,8,9709,3,23,6,166,5.9,1,1,8
9,60956,승리,소나,ESRS10,2,8,20,9292,7,26,9,15,0.5,1,1,8
10,60957,패배,쉔,돌고래꼬리,2,3,5,3200,3,14,2,164,6.1,0,1,2
11,60957,패배,리 신,BKKK,7,5,6,13186,5,51,7,110,4.1,0,1,2
12,60957,패배,르블랑,깨비드릴조9999,4,4,6,18474,1,10,2,194,7.2,0,1,2
13,60957,패배,트위치,wowowowoowowowo,5,3,6,17153,3,13,3,239,8.9,0,1,2
14,60957,패배,잔나,Good luck c,2,6,11,7104,0,12,2,17,0.6,0,1,2
15,60957,승리,케넨,여친생기면접응,7,3,3,12699,1,11,4,216,8.0,1,2,9
16,60957,승리,쉬바나,jkasjhiufgha,5,6,9,13388,6,10,4,188,7.0,1,2,9
17,60957,승리,아지르,나라카일,3,6,10,13861,1,21,7,197,7.3,1,2,9
18,60957,승리,직스,작은위엄이야이야,4,2,5,16585,1,12,7,240,8.9,1,2,9
19,60957,승리,카르마,1874  Eason,1,3,11,7661,6,30,8,16,0.6,1,2,9
20,60958,패배,카밀,jkasjhiufgha,7,8,6,24639,3,18,6,217,6.4,1,1,5
21,60958,패배,니달리,F0y,4,6,15,16586,6,35,20,227,6.7,1,1,5
22,60958,패배,제라스,나라카일,2,6,8,17040,1,12,7,241,7.1,1,1,5
23,60958,패배,이즈리얼,Greed A Pride,13,5,5,35657,8,28,15,242,7.1,1,1,5
24,60958,패배,카르마,BKKK,2,6,14,12829,15,61,13,19,0.6,1,1,5
25,60958,승리,갱플랭크,피넛사냥개2,9,10,4,29733,0,18,3,291,8.6,0,3,7
26,60958,승리,세주아니,JAG UmTi,8,4,13,11710,8,27,18,141,4.2,0,3,7
27,60958,승리,아지르,성혁님미드가신다,7,3,13,21798,7,22,16,283,8.3,0,3,7
28,60958,승리,애쉬,ROX Sangyoon,4,3,11,16492,2,9,3,307,9.1,0,3,7
29,60958,승리,알리스타,du jia0 shou,3,8,14,6553,9,62,10,35,1.0,0,3,7
30,60959,패배,나르,우에하라 크롱,4,6,5,10771,4,14,0,175,7.2,1,0,2
31,60959,패배,세주아니,F0y,4,2,7,8713,5,43,11,126,5.1,1,0,2
32,60959,패배,르블랑,피넛사냥개1,9,6,5,17979,5,16,1,184,7.5,1,0,2
33,60959,패배,진,BKKK,0,5,3,6929,1,9,6,172,7.0,1,0,2
34,60959,패배,바드,So1o,3,7,4,7958,5,26,7,19,0.8,1,0,2
35,60959,승리,갱플랭크,쌀국수뚝붸기,4,6,3,8449,0,9,2,189,7.7,0,0,6
36,60959,승리,자르반 4세,오억만,6,5,8,15976,3,16,7,170,6.9,0,0,6
37,60959,승리,라이즈,마산가자,8,4,4,19682,4,12,8,193,7.9,0,0,6
38,60959,승리,이즈리얼,FVV BETTY,7,3,5,17155,3,15,7,207,8.5,0,0,6
39,60959,승리,카르마,PuncHh,1,2,12,10934,11,29,13,18,0.7,0,0,6
40,60960,승리,오른,진쟤승,4,2,8,13079,1,5,4,140,5.9,1,1,10
41,60960,승리,렝가,shirushi,12,2,6,16659,8,24,10,109,4.6,1,1,10
42,60960,승리,라이즈,삼성갤럭시 Crown,5,4,6,13745,8,28,6,215,9.0,1,1,10
43,60960,승리,이즈리얼,FVV BETTY,9,0,11,32875,5,12,8,264,11.1,1,1,10
44,60960,승리,알리스타,BKKK,3,4,11,7132,6,24,7,43,1.8,1,1,10
45,60960,패배,일라오이,xaxaxaxaxa,4,7,0,17274,1,15,0,205,8.6,0,0,3
46,60960,패배,자르반 4세,w1sdom ovo,2,6,4,5509,4,18,6,97,4.1,0,0,3
47,60960,패배,아지르,chirchri,6,5,3,15132,4,10,9,201,8.4,0,0,3
48,60960,패배,시비르,RRRuleRRR,0,9,2,8017,3,12,6,185,7.8,0,0,3
49,60960,패배,탐 켄치,Plz No Die,0,6,5,6377,3,39,6,33,1.4,0,0,3
50,60961,패배,피오라,BKKK,2,4,1,5348,2,7,0,78,4.8,0,0,0
51,60961,패배,렉사이,wo yao qu daye,4,4,3,6327,5,22,6,90,5.6,0,0,0
52,60961,패배,조이,작전동 노란머리,1,5,4,7919,2,13,5,98,6.1,0,0,0
53,60961,패배,진,김메피,2,3,1,6710,2,8,1,89,5.5,0,0,0
54,60961,패배,나서스,진쟤승,2,5,0,8123,0,6,1,34,2.1,0,0,0
55,60961,승리,카밀,이도류,2,3,3,8283,2,8,4,120,7.4,0,1,4
56,60961,승리,렝가,SKT T1 WoIf,6,3,5,7518,4,9,6,80,5.0,0,1,4
57,60961,승리,르블랑,아 백,7,1,3,9016,2,14,6,110,6.8,0,1,4
58,60961,승리,시비르,RRRuleRRR,2,2,4,6665,1,14,4,124,7.7,0,1,4
59,60961,승리,알리스타,담원 얼라이브,4,2,5,5308,5,11,1,27,1.7,0,1,4
60,60962,패배,제이스,해운대잠만보,1,5,1,9275,1,11,0,129,7.1,0,0,0
61,60962,패배,렝가,오억만,4,6,2,5632,0,10,4,91,5.0,0,0,0
62,60962,패배,르블랑,꾸자니 똑땅해,1,4,5,8722,2,19,5,112,6.1,0,0,0
63,60962,패배,미스 포츈,BKKK,0,6,1,5295,0,7,3,104,5.7,0,0,0
64,60962,패배,레오나,ROX 곰,1,3,5,4004,3,10,7,28,1.5,0,0,0
65,60962,승리,마오카이,죠토마킹,1,1,4,6104,1,5,4,144,7.9,0,2,6
66,60962,승리,카직스,shirushi,8,3,4,8270,4,18,4,103,5.6,0,2,6
67,60962,승리,아지르,삼성갤럭시 Crown,5,2,6,10836,3,11,3,166,9.1,0,2,6
68,60962,승리,조이,DWG BeryL,9,0,8,17908,3,15,1,144,7.9,0,2,6
69,60962,승리,탐 켄치,분당고 엄성현,1,1,10,5105,3,18,4,34,1.9,0,2,6
70,60963,승리,카밀,덤벼보던가,8,3,5,21773,1,10,2,181,8.1,0,1,6
71,60963,승리,니달리,분당고 엄성현,8,2,6,10057,3,17,8,160,7.1,0,1,6
72,60963,승리,오리아나,PawN God,3,0,4,11745,5,26,7,249,11.1,0,1,6
73,60963,승리,미스 포츈,FVV BETTY,4,1,3,12992,3,13,2,205,9.1,0,1,6
74,60963,승리,알리스타,BKKK,0,4,8,4169,4,28,4,30,1.3,0,1,6
75,60963,패배,갱플랭크,피넛사냥개2,1,10,3,14356,1,10,1,154,6.9,0,1,1
76,60963,패배,렝가,오억만,3,4,6,9818,1,20,11,129,5.8,0,1,1
