,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30717,패배,우르곳,Bbrother,3,9,3,9688,1,7,0,116,5.5,0,0,1
1,30717,패배,자크,매우뚱뚱한고양이,3,4,10,5565,2,15,2,99,4.7,0,0,1
2,30717,패배,탈론,이상호,8,7,6,15239,2,8,1,90,4.3,0,0,1
3,30717,패배,베인,CrazySound,3,9,5,8118,0,5,0,98,4.6,0,0,1
4,30717,패배,블리츠크랭크,귀여운스티치,4,8,9,7878,6,12,0,17,0.8,0,0,1
5,30717,승리,제이스,사 용 수,6,3,8,17060,3,12,2,158,7.5,0,0,9
6,30717,승리,렉사이,HanGuo Xiao Daye,16,2,5,18058,3,9,1,121,5.7,0,0,9
7,30717,승리,말자하,끄로우,4,5,15,16232,1,7,0,129,6.1,0,0,9
8,30717,승리,케이틀린,네 옆에,4,7,12,20850,0,7,1,116,5.5,0,0,9
9,30717,승리,쓰레쉬,The shy,7,4,9,8100,1,5,3,47,2.2,0,0,9
10,30718,패배,럼블,Bbrother,5,7,2,21818,3,15,2,232,7.2,0,1,1
11,30718,패배,브랜드,귀여운스티치,4,10,7,20187,4,9,3,124,3.9,0,1,1
12,30718,패배,야스오,프제짱,1,8,7,13483,2,16,0,324,10.1,0,1,1
13,30718,패배,드레이븐,FeelsWowMan,8,7,4,29841,2,12,8,223,6.9,0,1,1
14,30718,패배,쓰레쉬,이상호,2,11,6,5725,9,28,5,24,0.7,0,1,1
15,30718,승리,케넨,The shy,11,6,7,33381,1,10,3,251,7.8,2,2,11
16,30718,승리,렉사이,HanGuo Xiao Daye,9,4,9,17347,7,12,6,146,4.5,2,2,11
17,30718,승리,탈론,사스갓지지,8,2,10,21656,4,9,2,223,6.9,2,2,11
18,30718,승리,자야,천점못찍는벌레,13,5,6,26293,1,9,5,206,6.4,2,2,11
19,30718,승리,라칸,진쟤승,2,3,20,6861,5,35,12,16,0.5,2,2,11
20,30719,승리,자르반 4세,IGS Bear,7,8,10,24131,5,21,4,260,6.5,1,3,9
21,30719,승리,니달리,5gak,10,6,14,20813,6,28,21,210,5.3,1,3,9
22,30719,승리,갈리오,Bbrother,13,2,11,43333,6,27,5,369,9.3,1,3,9
23,30719,승리,루시안,한쿡말알아,4,8,15,25696,1,13,7,312,7.8,1,3,9
