,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60498,승리,피오라,Gon123,4,4,5,15768,2,26,3,254,8.1,1,1,7
1,60498,승리,리 신,Boldness,7,5,10,10915,7,50,10,128,4.1,1,1,7
2,60498,승리,말자하,LPL noob ad QAQ,9,5,4,15900,6,9,7,236,7.6,1,1,7
3,60498,승리,자야,원딜둥이,14,8,9,32929,2,12,8,307,9.8,1,1,7
4,60498,승리,라칸,FVV BETTY,2,4,26,7961,9,39,7,24,0.8,1,1,7
5,60498,패배,오른,미율치에오,7,4,2,21209,1,13,11,284,9.1,0,1,3
6,60498,패배,엘리스,종학윙,8,9,5,14369,3,8,14,166,5.3,0,1,3
7,60498,패배,라이즈,단군의청춘부재,2,8,8,11789,2,19,6,214,6.8,0,1,3
8,60498,패배,미스 포츈,RRRuleRRR,8,7,6,25992,6,11,11,264,8.4,0,1,3
9,60498,패배,자이라,Wilder,1,8,11,17353,12,51,18,38,1.2,0,1,3
10,60499,승리,카밀,Gon123,7,1,6,13778,2,12,1,205,8.0,1,0,7
11,60499,승리,세주아니,Boldness,3,2,12,7588,5,21,6,125,4.9,1,0,7
12,60499,승리,라이즈,단군의청춘부재,8,4,9,16872,4,20,4,180,7.0,1,0,7
13,60499,승리,바루스,FVV BETTY,3,4,10,7958,4,19,2,177,6.9,1,0,7
14,60499,승리,제라스,fengquyunbuhui,7,1,13,14861,6,26,8,39,1.5,1,0,7
15,60499,패배,잭스,쌀국수뚝붸기,1,8,3,9148,0,10,4,169,6.6,0,1,4
16,60499,패배,렝가,Wilder,2,4,3,5733,0,18,5,159,6.2,0,1,4
17,60499,패배,말자하,LPL noob ad QAQ,5,9,1,7373,3,9,5,148,5.8,0,1,4
18,60499,패배,이즈리얼,RRRuleRRR,2,5,0,13250,3,7,8,250,9.7,0,1,4
19,60499,패배,블리츠크랭크,Mengqiuqiu,2,2,4,5262,9,35,8,47,1.8,0,1,4
20,60500,패배,갱플랭크,피넛사냥개2,2,8,4,14716,0,11,0,193,7.8,0,0,0
21,60500,패배,니달리,종학윙,6,2,3,8301,2,11,2,113,4.5,0,0,0
22,60500,패배,오리아나,Boldness,0,3,4,11179,1,10,0,217,8.7,0,0,0
23,60500,패배,바루스,원딜둥이,3,7,2,11566,1,11,1,196,7.9,0,0,0
24,60500,패배,레오나,fengquyunbuhui,1,5,5,4315,6,41,7,56,2.3,0,0,0
25,60500,승리,오른,암고잉빽투더스탙,5,2,9,13029,2,13,2,186,7.5,1,3,11
26,60500,승리,쉬바나,yizhiyu,11,1,6,14968,3,7,8,178,7.2,1,3,11
27,60500,승리,라이즈,오억만,1,1,1,10562,0,11,3,233,9.4,1,3,11
28,60500,승리,칼리스타,구름꽃길만걷자,6,4,4,10635,3,9,9,222,8.9,1,3,11
29,60500,승리,모르가나,BtC Joker,2,4,10,9741,9,34,14,18,0.7,1,3,11
30,60501,승리,사이온,뱃살만찌는사람,3,5,9,17813,1,14,0,197,7.0,1,2,9
31,60501,승리,리 신,Boldness,10,3,15,13917,6,39,6,152,5.4,1,2,9
32,60501,승리,트위스티드 페이트,jinwandalaohu,13,4,10,26394,1,12,3,226,8.1,1,2,9
33,60501,승리,시비르,바보팀원,9,9,12,20020,5,15,10,224,8.0,1,2,9
34,60501,승리,카르마,구리구리구리,4,7,18,10054,7,34,15,44,1.6,1,2,9
35,60501,패배,카밀,FeelsIronMan,1,6,8,11673,2,10,7,186,6.6,0,0,3
36,60501,패배,자르반 4세,pokeryo,6,9,12,17767,10,32,10,114,4.1,0,0,3
37,60501,패배,코르키,love left,8,10,8,24352,5,33,8,173,6.2,0,0,3
38,60501,패배,미스 포츈,veigar go next,6,7,6,15654,0,8,1,215,7.7,0,0,3
39,60501,패배,럭스,광지니형개잘함,6,7,11,16617,13,37,19,49,1.8,0,0,3
40,60502,패배,럼블,Boldness,4,11,13,24361,5,19,4,272,6.5,1,3,8
41,60502,패배,카직스,wo yao qu daye,6,10,15,22766,15,34,9,186,4.4,1,3,8
42,60502,패배,애니비아,ROYG,8,8,15,24955,0,16,4,332,7.9,1,3,8
43,60502,패배,진,LPL noob ad QAQ,21,7,14,49509,3,16,8,288,6.8,1,3,8
44,60502,패배,오른,Lvmao,8,12,20,22070,7,44,9,78,1.9,1,3,8
45,60502,승리,제이스,우에하라 크롱,14,7,10,38996,3,22,7,282,6.7,1,1,10
46,60502,승리,엘리스,Jacen,5,13,13,19295,12,17,9,136,3.2,1,1,10
