,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40040,승리,잭스,나네쫓다꿈소년,9,7,3,19020,1,16,1,250,9.1,1,1,6
1,40040,승리,카직스,IGS Coli,13,7,5,23334,5,24,8,157,5.7,1,1,6
2,40040,승리,라이즈,M1anhua,4,3,10,15522,3,7,7,232,8.5,1,1,6
3,40040,승리,이즈리얼,수지Suzy,5,2,11,18921,4,19,8,235,8.6,1,1,6
4,40040,승리,모르가나,BtC Joker,4,4,11,10226,13,45,16,24,0.9,1,1,6
5,40040,패배,나르,VIP 민형,2,10,5,12667,2,4,6,186,6.8,0,1,3
6,40040,패배,렝가,chijixuanshou,8,6,4,11242,10,25,8,183,6.7,0,1,3
7,40040,패배,베이가,ZhanQiHuaYm,7,8,5,13388,8,18,8,188,6.9,0,1,3
8,40040,패배,미스 포츈,nekoneko1,3,4,8,16429,8,15,7,204,7.5,0,1,3
9,40040,패배,제라스,xintai,3,7,8,16997,4,14,4,24,0.9,0,1,3
10,40041,승리,쉔,비 브이 오 와이,4,0,11,12376,1,23,2,155,6.1,1,2,8
11,40041,승리,자르반 4세,MooJin,5,1,6,11124,7,41,7,182,7.2,1,2,8
12,40041,승리,조이,2Kano,9,3,6,23755,2,18,3,193,7.6,1,2,8
13,40041,승리,칼리스타,RRRuleRRR,9,2,6,14180,2,17,8,257,10.1,1,2,8
14,40041,승리,모르가나,BtC Joker,4,3,16,11395,10,37,12,20,0.8,1,2,8
15,40041,패배,블라디미르,뒷텔와드점,1,4,4,15455,1,12,4,239,9.4,0,0,1
16,40041,패배,카직스,DaYE,3,7,1,10905,5,24,10,110,4.3,0,0,1
17,40041,패배,탈리야,Lucete,3,5,3,11989,3,11,9,212,8.4,0,0,1
18,40041,패배,미스 포츈,Please find it,1,10,5,8824,1,7,5,169,6.7,0,0,1
19,40041,패배,브라움,Yumemiru Shonen,1,5,5,3530,8,21,13,56,2.2,0,0,1
20,40042,패배,제이스,뒷텔와드점,1,10,6,10403,2,21,1,179,7.2,1,0,5
21,40042,패배,카직스,DaYE,13,7,6,23004,4,22,8,116,4.7,1,0,5
22,40042,패배,탈리야,마산가자,2,8,9,21109,4,20,1,192,7.7,1,0,5
