,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50356,패배,카밀,피넛사냥개2,0,5,0,5925,1,9,2,108,5.2,0,0,0
1,50356,패배,렝가,Wilder,3,7,2,6603,3,16,6,86,4.1,0,0,0
2,50356,패배,라이즈,find myself,1,5,1,7243,5,15,7,160,7.7,0,0,0
3,50356,패배,이즈리얼,Bvoy,1,4,2,5689,1,10,1,176,8.4,0,0,0
4,50356,패배,쉔,Nova1,1,2,3,3148,12,30,25,47,2.3,0,0,0
5,50356,승리,잭스,담원 너구리,7,0,2,14866,4,12,1,185,8.9,0,1,9
6,50356,승리,카직스,kenzhu9,7,3,5,10827,5,43,14,141,6.8,0,1,9
7,50356,승리,트위스티드 페이트,상어가족,3,0,8,9194,2,5,7,175,8.4,0,1,9
8,50356,승리,바루스,쌀국수뚝붸기,5,2,4,9025,3,11,4,183,8.8,0,1,9
9,50356,승리,미스 포츈,YserAoA,1,1,9,7789,5,35,4,27,1.3,0,1,9
10,50357,승리,오른,쌀국수뚝붸기,2,5,9,11365,2,14,6,191,6.4,1,1,6
11,50357,승리,카직스,피넛사냥개2,18,5,6,27064,5,23,14,174,5.9,1,1,6
12,50357,승리,라이즈,ysdgqxcj,4,6,7,18870,3,14,6,243,8.2,1,1,6
13,50357,승리,자야,Bvoy,5,2,10,24573,6,31,13,293,9.9,1,1,6
14,50357,승리,라칸,YserAoA,0,2,17,6979,13,38,13,16,0.5,1,1,6
15,50357,패배,나르,커피물조절장인,5,3,5,19221,2,25,4,233,7.8,0,2,4
16,50357,패배,엘리스,kenzhu9,5,7,4,18008,8,52,15,188,6.3,0,2,4
17,50357,패배,아지르,find myself,7,7,4,23379,2,11,9,265,8.9,0,2,4
18,50357,패배,루시안,ADEPT1,1,9,4,14458,1,9,7,199,6.7,0,2,4
19,50357,패배,브라움,XinMo,2,3,7,6882,11,37,13,60,2.0,0,2,4
20,50358,패배,갱플랭크,피넛사냥개2,1,5,1,6979,1,9,1,163,7.2,0,0,0
21,50358,패배,카직스,XinyiQAQ,2,3,4,7268,7,11,6,115,5.1,0,0,0
22,50358,패배,탈리야,아테나찡,5,2,1,9613,3,20,5,190,8.5,0,0,0
23,50358,패배,바루스,Bvoy,1,3,1,6147,2,11,3,172,7.7,0,0,0
24,50358,패배,쉔,땅우양,0,4,4,3941,6,22,3,53,2.4,0,0,0
25,50358,승리,라이즈,Like Waves,3,2,0,9710,1,11,1,203,9.0,1,2,5
26,50358,승리,렝가,kenzhu9,6,2,6,11877,3,27,6,169,7.5,1,2,5
27,50358,승리,카타리나,find myself,5,2,2,10487,1,7,5,203,9.0,1,2,5
28,50358,승리,미스 포츈,그러면안돼요짜샤,2,1,6,13734,1,13,1,198,8.8,1,2,5
29,50358,승리,탐 켄치,YserAoA,1,2,9,2850,5,18,7,40,1.8,1,2,5
30,50359,패배,갱플랭크,피넛사냥개2,4,5,7,24816,0,14,1,276,9.5,0,0,4
31,50359,패배,카직스,땅우양,9,7,7,18443,1,19,6,182,6.3,0,0,4
32,50359,패배,코르키,Fotune,8,7,2,21069,1,12,3,263,9.1,0,0,4
33,50359,패배,미스 포츈,혼자가 편해졌어,3,9,8,16715,2,29,11,224,7.7,0,0,4
34,50359,패배,알리스타,Bvoy,2,3,13,5891,11,36,6,53,1.8,0,0,4
35,50359,승리,마오카이,IgNar,2,3,7,10253,2,12,5,181,6.2,1,2,8
36,50359,승리,자르반 4세,XinyiQAQ,7,4,18,19410,11,13,9,154,5.3,1,2,8
37,50359,승리,말자하,Heart,3,6,8,14303,1,15,5,290,10.0,1,2,8
38,50359,승리,드레이븐,kiyomia,15,7,6,35282,0,9,4,235,8.1,1,2,8
39,50359,승리,잔나,리인제이,4,6,21,12385,9,37,15,18,0.6,1,2,8
40,50360,승리,카밀,담원 너구리,6,3,9,30938,2,15,7,260,9.1,1,2,8
41,50360,승리,렝가,Wilder,8,5,4,17149,5,23,9,173,6.0,1,2,8
42,50360,승리,신드라,reMember Mistake,6,2,8,20643,2,28,3,238,8.3,1,2,8
43,50360,승리,진,Bvoy,6,0,10,18308,5,12,5,275,9.6,1,2,8
44,50360,승리,쉔,호잇이,1,1,11,5046,8,33,26,75,2.6,1,2,8
45,50360,패배,일라오이,JAG S0hwan,0,8,3,11286,3,15,3,207,7.2,0,1,2
46,50360,패배,쉬바나,작전동 노란머리,1,4,4,13762,7,12,11,197,6.9,0,1,2
47,50360,패배,제이스,Fotune,6,5,1,17411,4,14,7,257,9.0,0,1,2
48,50360,패배,케이틀린,쌀국수뚝붸기,2,5,1,9059,1,9,3,221,7.7,0,1,2
49,50360,패배,쓰레쉬,IgNar,2,5,4,4142,12,60,11,38,1.3,0,1,2
50,50361,패배,제이스,JAG S0hwan,6,6,3,14238,4,27,4,197,6.9,0,1,4
51,50361,패배,세주아니,ROX Se0ngHwan,2,2,9,8442,4,44,9,162,5.7,0,1,4
52,50361,패배,카사딘,Zhongdan XD,2,3,4,10992,3,10,11,236,8.3,0,1,4
53,50361,패배,바루스,Bvoy,4,3,4,12698,2,26,4,213,7.5,0,1,4
54,50361,패배,제라스,Nem2sis,1,9,6,9608,3,19,10,16,0.6,0,1,4
55,50361,승리,카밀,FeelsIronMan,8,3,4,18576,7,19,5,220,7.7,2,2,7
56,50361,승리,자르반 4세,먹는건즐거워,5,2,9,12704,1,11,4,210,7.4,2,2,7
57,50361,승리,라이즈,FW Maple,3,2,4,16461,6,34,12,260,9.1,2,2,7
58,50361,승리,진,Lucete,5,4,7,13403,5,15,6,190,6.7,2,2,7
59,50361,승리,잔나,FW SwordArT,2,4,13,4774,9,33,14,20,0.7,2,2,7
60,50362,패배,라이즈,duibuqiziji,0,1,0,515,0,1,0,9,2.8,1,4,7
61,50362,패배,카직스,9346,0,0,0,0,0,0,0,0,0.0,1,4,7
62,50362,패배,카타리나,find myself,1,0,0,878,0,1,0,17,5.3,1,4,7
63,50362,패배,시비르,Bvoy,0,0,0,425,0,1,0,6,1.9,1,4,7
64,50362,패배,브라움,Destiny,0,0,0,139,0,1,0,1,0.3,1,4,7
65,50362,승리,럼블,삶이힘든사람,4,4,11,34029,8,25,0,304,7.8,2,1,10
66,50362,승리,카직스,wo liang le,11,4,8,36858,9,36,17,182,4.7,2,1,10
67,50362,승리,라이즈,으아으앙으아앙,2,5,6,20637,2,7,6,402,10.3,2,1,10
68,50362,승리,진,DWG BeryL,10,0,4,38336,6,18,20,396,10.1,2,1,10
69,50362,승리,타릭,Sim Student,1,2,14,4027,15,47,19,96,2.5,2,1,10
70,50363,승리,카밀,Heiz4,13,4,3,18671,1,8,2,183,8.7,0,2,11
71,50363,승리,니달리,DS XiaoPeng,5,1,2,6331,1,19,16,140,6.7,0,2,11
