,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,31114,승리,마오카이,TeawaN,3,2,12,19272,1,27,6,211,7.4,1,2,5
1,31114,승리,이블린,h1rb,14,2,12,21762,4,26,8,126,4.4,1,2,5
2,31114,승리,라이즈,By myself,10,1,5,20805,4,29,2,265,9.3,1,2,5
3,31114,승리,칼리스타,FVV BETTY,5,4,5,23000,2,8,8,262,9.2,1,2,5
4,31114,승리,쉔,Nova1,2,2,13,10067,11,41,14,57,2.0,1,2,5
5,31114,패배,갱플랭크,담원 너구리,3,6,3,29354,5,21,8,248,8.7,0,0,1
6,31114,패배,세주아니,7895123,1,5,3,10418,9,27,11,162,5.7,0,0,1
7,31114,패배,피들스틱,FW Maple,4,8,3,12661,4,14,9,179,6.3,0,0,1
8,31114,패배,진,Heart,0,10,7,19234,4,14,8,195,6.9,0,0,1
9,31114,패배,브라움,YOYOuuuuuO,3,5,3,4679,3,28,12,64,2.3,0,0,1
10,31115,승리,나르,FeelsCoffeeMan,8,6,12,23837,3,33,7,257,7.4,1,3,9
11,31115,승리,카직스,커닝시티 피그미,15,5,3,28961,4,20,14,185,5.3,1,3,9
12,31115,승리,말자하,Heart,6,7,8,31770,4,22,5,329,9.5,1,3,9
13,31115,승리,바루스,sqb,4,4,15,26459,3,14,5,273,7.9,1,3,9
14,31115,승리,쉔,By myself,0,6,19,8189,17,78,21,65,1.9,1,3,9
15,31115,패배,자르반 4세,Yeeclipse,8,7,12,21586,4,20,7,221,6.4,1,0,3
16,31115,패배,세주아니,마이엠브,4,5,15,14121,10,63,27,173,5.0,1,0,3
17,31115,패배,탈리야,푸딩은푸딩해,8,7,7,29080,2,8,6,315,9.1,1,0,3
18,31115,패배,진,GALA,8,8,9,25269,5,15,8,278,8.0,1,0,3
19,31115,패배,브라움,YOYOuuuuuO,0,6,20,7487,6,39,16,61,1.8,1,0,3
20,31116,패배,나르,나는야베이베이1,1,7,4,7825,3,15,10,195,7.3,0,1,1
21,31116,패배,카직스,Afreeca M0wgli,5,4,4,8999,3,22,17,151,5.6,0,1,1
22,31116,패배,탈리야,마산가자,7,5,5,19103,4,15,12,232,8.6,0,1,1
23,31116,패배,진,DWG BeryL,4,3,6,11978,3,10,1,235,8.8,0,1,1
24,31116,패배,쉔,By myself,2,6,11,4443,14,60,18,51,1.9,0,1,1
25,31116,승리,제이스,뒷텔와드점,6,7,3,20107,4,30,10,268,10.0,1,3,11
26,31116,승리,쉬바나,yizhiyu,6,2,9,12595,3,7,12,204,7.6,1,3,11
27,31116,승리,아지르,FW Maple,7,2,5,14560,4,30,13,260,9.7,1,3,11
28,31116,승리,바루스,Yeeclipse,5,3,11,16480,2,12,5,207,7.7,1,3,11
29,31116,승리,블리츠크랭크,SKT T1 WoIf,1,5,10,4972,9,42,18,62,2.3,1,3,11
30,31117,승리,블라디미르,멘탈 실력 운,4,5,10,23877,3,19,6,237,6.4,1,3,8
31,31117,승리,쉬바나,yizhiyu,7,7,11,29502,4,6,26,290,7.8,1,3,8
32,31117,승리,베이가,By myself,9,5,8,22983,2,21,5,298,8.0,1,3,8
33,31117,승리,이즈리얼,Eyes,11,4,13,49735,3,25,9,300,8.1,1,3,8
34,31117,승리,레오나,fengquyunbuhui,3,4,19,9340,14,88,18,82,2.2,1,3,8
35,31117,패배,카밀,미율치에오,9,4,3,36927,1,19,5,371,10.0,1,2,7
36,31117,패배,자크,FVV BETTY,3,4,10,10001,10,29,7,155,4.2,1,2,7
37,31117,패배,아지르,mcmglllc,4,8,3,21352,4,24,5,310,8.4,1,2,7
38,31117,패배,칼리스타,바보팀원,7,10,5,20306,2,31,16,298,8.0,1,2,7
39,31117,패배,바드,단군의청춘부재,2,8,11,16125,10,47,24,44,1.2,1,2,7
40,31118,승리,제이스,Heiz4,8,6,4,27716,0,10,6,225,6.5,1,2,10
41,31118,승리,리 신,트와이스 원스,6,2,15,15994,4,58,10,185,5.3,1,2,10
42,31118,승리,아지르,By myself,8,2,10,42528,5,39,12,298,8.6,1,2,10
43,31118,승리,진,GALA,4,4,11,18390,3,15,10,257,7.4,1,2,10
44,31118,승리,알리스타,sqb,1,4,16,9890,8,51,21,56,1.6,1,2,10
45,31118,패배,마오카이,마산가자,2,7,7,13205,4,19,8,201,5.8,0,0,2
46,31118,패배,니달리,PuncHh,4,5,9,13696,12,47,32,218,6.3,0,0,2
47,31118,패배,피들스틱,FW Maple,3,7,4,19605,4,20,9,250,7.2,0,0,2
48,31118,패배,트리스타나,Mengqiuqiu,7,5,5,32310,1,28,15,376,10.9,0,0,2
49,31118,패배,브라움,삼성갤럭시CoreJJ,2,3,13,11649,9,44,12,63,1.8,0,0,2
50,31119,승리,제이스,find myself,4,11,14,31784,1,18,9,241,6.8,2,3,9
51,31119,승리,쉬바나,yizhiyu,9,9,10,31230,2,8,11,266,7.5,2,3,9
52,31119,승리,베이가,By myself,7,6,8,28206,1,15,3,289,8.1,2,3,9
53,31119,승리,진,GALA,12,4,8,35989,2,13,4,252,7.1,2,3,9
54,31119,승리,브라움,fengquyunbuhui,1,4,20,8615,11,68,15,66,1.9,2,3,9
55,31119,패배,루시안,11 14 9 7 8 20,11,9,6,35554,5,22,10,303,8.5,0,1,7
56,31119,패배,렉사이,Wilder,7,4,15,20474,4,20,6,178,5.0,0,1,7
57,31119,패배,조이,마산가자,7,7,11,36059,6,17,8,234,6.6,0,1,7
58,31119,패배,칼리스타,Mengqiuqiu,5,7,11,20586,2,27,10,331,9.3,0,1,7
59,31119,패배,알리스타,J Spectre G,4,6,14,10979,13,39,10,59,1.7,0,1,7
60,31120,승리,제이스,mcmglllc,1,4,1,6081,0,16,1,165,8.0,0,0,6
61,31120,승리,카직스,FeelsSosoMan,1,1,1,3449,4,16,3,135,6.6,0,0,6
62,31120,승리,카사딘,By myself,0,1,1,4436,5,13,6,199,9.7,0,0,6
63,31120,승리,칼리스타,담원 얼라이브,3,0,1,4564,2,16,7,203,9.9,0,0,6
64,31120,승리,쓰레쉬,선기박,0,0,4,1779,11,22,4,30,1.5,0,0,6
65,31120,패배,카밀,담원 너구리,3,2,0,9596,4,12,5,176,8.6,0,1,0
66,31120,패배,렉사이,Wilder,3,0,0,6689,2,19,10,167,8.1,0,1,0
67,31120,패배,말자하,Heart,0,0,0,469,0,2,0,13,0.6,0,1,0
68,31120,패배,바루스,mide gui tou,0,2,0,3794,2,9,3,157,7.6,0,1,0
69,31120,패배,벨코즈,MSC TRY,0,1,2,5877,4,22,4,49,2.4,0,1,0
70,31121,패배,일라오이,1987 Plls,4,7,0,16555,1,11,3,217,8.6,0,0,5
71,31121,패배,리 신,마산가자,3,6,2,7436,6,23,10,108,4.3,0,0,5
72,31121,패배,조이,By myself,3,6,2,16095,7,27,3,167,6.6,0,0,5
73,31121,패배,케이틀린,Mengqiuqiu,1,6,4,7085,0,13,2,225,8.9,0,0,5
74,31121,패배,모르가나,멘탈 실력 운,2,6,4,9718,5,21,15,21,0.8,0,0,5
75,31121,승리,잭스,나네쫓다꿈소년,11,3,1,21051,1,12,1,244,9.6,1,2,9
76,31121,승리,세주아니,M1anhua,5,2,16,11514,6,38,9,121,4.8,1,2,9
77,31121,승리,말자하,Heart,6,4,11,18383,2,14,5,190,7.5,1,2,9
78,31121,승리,바루스,mide gui tou,4,2,11,18282,3,18,4,196,7.7,1,2,9
79,31121,승리,쉔,fengquyunbuhui,5,2,15,7624,6,30,9,53,2.1,1,2,9
80,31122,패배,카밀,암고잉빽투더스탙,4,5,1,7607,3,12,3,200,8.9,0,2,5
81,31122,패배,잭스,M1anhua,3,7,6,6557,7,24,9,100,4.5,0,2,5
82,31122,패배,라이즈,By myself,2,3,3,10889,3,22,3,182,8.1,0,2,5
83,31122,패배,이즈리얼,Afreeca Aiming,1,7,6,15808,0,11,1,169,7.5,0,2,5
84,31122,패배,쉔,상어가족,5,7,3,5272,5,39,8,38,1.7,0,2,5
85,31122,승리,자르반 4세,풀 뜯는 미드,4,1,11,8242,3,20,6,144,6.4,1,0,5
86,31122,승리,쉬바나,Cuz2,4,4,10,12032,1,5,13,149,6.6,1,0,5
87,31122,승리,피들스틱,FW Maple,8,3,10,15427,1,11,6,189,8.4,1,0,5
88,31122,승리,미스 포츈,RRRuleRRR,9,4,13,18114,3,22,15,184,8.2,1,0,5
89,31122,승리,마오카이,진쟤승,4,3,18,10360,3,27,7,47,2.1,1,0,5
90,31123,승리,카밀,Alielie,7,12,8,28418,2,14,6,236,6.5,1,3,10
91,31123,승리,자르반 4세,죠토마킹,9,5,14,17208,4,48,11,211,5.8,1,3,10
92,31123,승리,피들스틱,FW Maple,9,4,17,24035,5,22,2,229,6.3,1,3,10
93,31123,승리,애쉬,Afreeca Aiming,9,4,16,29672,8,18,5,300,8.3,1,3,10
94,31123,승리,쉔,By myself,6,1,22,7215,18,86,19,86,2.4,1,3,10
95,31123,패배,블라디미르,Kingen,7,8,7,34862,3,21,3,274,7.6,1,1,3
96,31123,패배,리 신,피넛사냥개1,3,9,15,12070,5,51,17,113,3.1,1,1,3
97,31123,패배,베이가,1414774182,7,6,9,27788,1,12,12,324,9.0,1,1,3
98,31123,패배,진,Atlen,9,7,7,23211,3,9,6,256,7.1,1,1,3
99,31123,패배,나미,YOYOuuuuuO,0,10,19,7437,11,51,37,38,1.1,1,1,3
100,31124,승리,나르,1987 Plls,3,1,7,13141,0,14,0,149,7.9,0,1,5
