,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60080,패배,갱플랭크,gamer666,2,2,1,8521,2,8,2,152,7.5,0,0,1
1,60080,패배,자르반 4세,Jun,0,5,3,3807,4,13,1,87,4.3,0,0,1
2,60080,패배,말자하,By 불비,2,3,0,5064,1,9,2,168,8.3,0,0,1
3,60080,패배,베인,혼자가 편해졌어,1,5,1,3924,1,8,3,155,7.7,0,0,1
4,60080,패배,나미,12월27,1,2,0,5059,5,18,4,18,0.9,0,0,1
5,60080,승리,올라프,Super Secret,3,0,3,6452,1,6,2,187,9.3,0,1,1
6,60080,승리,세주아니,죠토마킹,5,0,7,5152,2,8,4,107,5.3,0,1,1
7,60080,승리,오리아나,뿡뿡뿡뿡뿡쁑,4,1,8,9647,2,9,3,178,8.8,0,1,1
8,60080,승리,바루스,KH0216,4,3,7,6669,2,8,5,149,7.4,0,1,1
9,60080,승리,제라스,heeseong,1,2,10,6244,3,20,1,8,0.4,0,1,1
10,60081,패배,신지드,LnD 섹지드,4,5,9,12544,1,17,4,220,5.8,1,0,3
11,60081,패배,렝가,wo yao qu daye,7,10,5,17606,14,30,8,205,5.4,1,0,3
12,60081,패배,조이,나에게 기회를,9,8,9,35966,0,17,8,257,6.8,1,0,3
13,60081,패배,진,상어가족,7,8,12,25404,2,32,4,221,5.8,1,0,3
14,60081,패배,티모,By 불비,8,9,9,30168,3,17,9,38,1.0,1,0,3
15,60081,승리,갱플랭크,gamer666,9,5,11,34105,3,14,9,284,7.5,1,4,8
16,60081,승리,카직스,ROX Se0ngHwan,10,8,9,30225,4,25,8,172,4.5,1,4,8
17,60081,승리,말자하,LFT MID,8,9,11,21296,4,19,8,309,8.1,1,4,8
18,60081,승리,미스 포츈,Hades9,9,7,10,29730,3,14,7,330,8.7,1,4,8
19,60081,승리,블리츠크랭크,FeelsIronMan,4,6,15,9840,11,60,18,55,1.4,1,4,8
20,60082,패배,사이온,ROX Lindarang,2,7,10,15951,5,14,4,136,4.8,0,0,3
21,60082,패배,렝가,wo yao qu daye,5,8,5,14748,6,32,10,158,5.6,0,0,3
22,60082,패배,조이,By 불비,6,7,1,17736,3,14,7,216,7.7,0,0,3
