,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3420,승리,제이스,담원 너구리,7,4,10,32085,6,59,16,412,9.4,0,4,9
1,3420,승리,카직스,Cuz2,9,6,6,29671,2,27,30,266,6.1,0,4,9
2,3420,승리,라이즈,FeelsAwesomeMan,5,4,13,29516,9,15,28,387,8.9,0,4,9
3,3420,승리,미스 포츈,담원 얼라이브,14,5,10,57436,5,16,19,364,8.3,0,4,9
4,3420,승리,제라스,종학윙,3,3,11,34597,3,12,13,91,2.1,0,4,9
5,3420,패배,카밀,춘봉박,8,7,4,24528,2,23,17,397,9.1,2,0,4
6,3420,패배,세주아니,PeanuToT,4,2,10,16848,14,35,15,215,4.9,2,0,4
7,3420,패배,탈리야,겸손하고 근면한,4,13,6,20294,5,39,4,370,8.5,2,0,4
8,3420,패배,진,뒷텔와드점,5,8,9,24132,3,24,4,311,7.1,2,0,4
9,3420,패배,카르마,chorongie,1,8,12,14083,14,82,19,53,1.2,2,0,4
10,3421,패배,갱플랭크,Cuz2,4,7,0,11548,1,14,2,197,7.0,0,1,3
11,3421,패배,카직스,PeanuToT,3,3,3,12713,4,24,11,143,5.1,0,1,3
12,3421,패배,아지르,마산가자,3,3,3,23374,4,13,12,264,9.4,0,1,3
13,3421,패배,이즈리얼,Excal1bur1,0,8,2,16571,2,11,3,219,7.8,0,1,3
14,3421,패배,카르마,FeelsCoffeeMan,0,5,3,9281,6,23,10,26,0.9,0,1,3
15,3421,승리,나르,RVS Poss,4,6,6,14913,3,15,5,193,6.9,1,2,9
16,3421,승리,니달리,종학윙,5,1,8,9951,4,20,10,177,6.3,1,2,9
17,3421,승리,르블랑,Fotune,7,3,3,22303,3,23,3,198,7.1,1,2,9
18,3421,승리,베인,Afreeca Kramer,10,0,5,22897,4,15,8,290,10.4,1,2,9
19,3421,승리,알리스타,진에어 저스티스,0,0,13,4280,11,44,10,46,1.6,1,2,9
20,3422,패배,나르,단군의청춘부재,1,5,0,5829,1,18,4,184,8.3,0,1,1
21,3422,패배,카직스,Cuz2,3,2,4,10574,1,19,6,106,4.8,0,1,1
