,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30440,승리,피오라,Jisu,5,7,2,26945,1,19,1,230,7.2,1,0,10
1,30440,승리,세주아니,ROX Se0ngHwan,4,3,11,11285,7,55,13,154,4.8,1,0,10
2,30440,승리,카사딘,DAN Ggoong,7,3,8,21511,1,15,6,295,9.2,1,0,10
3,30440,승리,바루스,FVV BETTY,5,4,7,23592,3,23,4,262,8.2,1,0,10
4,30440,승리,잔나,FW SwordArT,2,2,15,9369,8,40,11,29,0.9,1,0,10
5,30440,패배,오른,7hal,1,4,8,14948,1,15,8,280,8.7,0,1,3
6,30440,패배,자르반 4세,F0y,10,3,6,21587,7,19,5,186,5.8,0,1,3
7,30440,패배,아지르,LFT MID,4,7,6,30700,4,8,5,248,7.7,0,1,3
8,30440,패배,진,FeelsLovelyMan,3,3,8,15417,6,17,18,212,6.6,0,1,3
9,30440,패배,알리스타,Lvmao,1,6,11,8530,7,30,20,61,1.9,0,1,3
10,30441,승리,마오카이,코w코,0,1,8,8523,2,11,5,207,8.4,1,2,11
11,30441,승리,카직스,일견무시도성빈,13,2,7,20043,4,14,1,103,4.2,1,2,11
12,30441,승리,탈리야,Cepteddddddddddd,13,2,5,21737,2,21,1,276,11.2,1,2,11
13,30441,승리,애쉬,DAN Ggoong,2,5,7,8928,2,11,4,180,7.3,1,2,11
14,30441,승리,미스 포츈,슬프다고말하면,3,5,10,11754,7,24,13,53,2.1,1,2,11
15,30441,패배,자르반 4세,우에하라 크롱,6,4,1,11007,2,23,2,163,6.6,0,0,2
16,30441,패배,쉬바나,yizhiyu,3,8,1,8747,5,10,8,165,6.7,0,0,2
17,30441,패배,바루스,aquariusz,0,8,1,9081,1,10,1,174,7.1,0,0,2
18,30441,패배,트리스타나,FVV BETTY,6,2,0,7358,2,10,4,201,8.1,0,0,2
19,30441,패배,카르마,FeelsLovelyMan,0,9,5,7224,9,19,6,17,0.7,0,0,2
20,30442,패배,카밀,veigar go first,3,13,4,11943,1,9,4,115,4.6,0,1,2
21,30442,패배,세주아니,FVV BETTY,5,7,5,8467,6,19,9,110,4.4,0,1,2
22,30442,패배,탈리야,DAN Ggoong,4,7,4,17864,3,17,5,194,7.7,0,1,2
23,30442,패배,진,Martin VG,3,5,6,15381,1,9,1,218,8.7,0,1,2
24,30442,패배,카르마,PvPpvpPvPpvpPvP,2,4,10,11449,4,23,5,24,1.0,0,1,2
25,30442,승리,제이스,my head,16,4,5,31763,3,10,2,171,6.8,1,0,9
26,30442,승리,자르반 4세,w1sdom ovo,10,2,15,15438,3,18,3,178,7.1,1,0,9
27,30442,승리,트위스티드 페이트,Zhongdan XD,6,4,4,16311,5,14,7,207,8.2,1,0,9
28,30442,승리,이즈리얼,코w코,4,4,12,16261,0,12,3,214,8.5,1,0,9
29,30442,승리,잔나,일견무시도성빈,0,3,15,7751,6,24,10,16,0.6,1,0,9
30,30443,패배,케넨,Like Waves,17,7,8,50588,2,20,6,311,7.7,0,4,6
31,30443,패배,렝가,Jacen,9,12,5,20527,2,6,10,184,4.5,0,4,6
32,30443,패배,카사딘,DAN Ggoong,6,5,12,25898,1,20,6,341,8.4,0,4,6
33,30443,패배,이즈리얼,Yeeclipse,6,9,15,29522,1,22,2,346,8.5,0,4,6
34,30443,패배,카르마,Destiny,2,7,20,15366,19,106,15,51,1.3,0,4,6
35,30443,승리,케일,jjijiijijljli,6,7,14,28415,8,28,4,349,8.6,2,0,9
36,30443,승리,신 짜오,BadeMan,8,11,12,20101,13,28,11,149,3.7,2,0,9
37,30443,승리,루시안,Mengqiuqiu,11,6,7,28560,5,11,20,361,8.9,2,0,9
38,30443,승리,미스 포츈,mid push gogo,5,5,16,25778,1,13,17,336,8.3,2,0,9
39,30443,승리,제라스,Z 2017 11 25,10,11,7,22683,4,43,18,52,1.3,2,0,9
40,30444,승리,마오카이,하얼빈의장첸이야,3,0,13,7847,3,12,2,139,6.8,0,1,4
41,30444,승리,자르반 4세,커닝시티 피그미,6,0,11,9222,4,20,8,112,5.5,0,1,4
42,30444,승리,카사딘,DAN Ggoong,4,3,9,10636,0,7,2,159,7.8,0,1,4
43,30444,승리,진,GuGer,4,2,7,12276,2,9,2,169,8.3,0,1,4
44,30444,승리,알리스타,SKT T1 Effort,3,2,11,3657,7,17,5,28,1.4,0,1,4
45,30444,패배,하이머딩거,Algorism,1,5,1,12445,4,11,6,156,7.6,0,1,3
46,30444,패배,그라가스,SKT T1 Bang,1,5,3,5190,2,19,3,103,5.0,0,1,3
47,30444,패배,제이스,피넛사냥개1,4,4,0,11741,4,24,6,174,8.5,0,1,3
48,30444,패배,베인,Atlen,1,2,2,11050,2,6,3,155,7.6,0,1,3
49,30444,패배,타릭,천천히올라감,0,4,3,3210,2,17,3,43,2.1,0,1,3
50,30445,승리,사이온,삼성갤럭시 cuvee,6,3,4,10193,5,18,3,221,7.1,1,2,9
51,30445,승리,세주아니,스마트섹시뷰티,12,2,14,19632,6,14,4,144,4.6,1,2,9
52,30445,승리,카사딘,DAN Ggoong,5,5,10,17200,3,13,8,232,7.4,1,2,9
53,30445,승리,진,VIP 민형,7,2,16,26393,2,13,1,294,9.4,1,2,9
54,30445,승리,쓰레쉬,루시퍼메이데이,3,3,21,7297,14,59,21,51,1.6,1,2,9
55,30445,패배,제이스,HKA Riris,5,6,4,24436,1,27,7,229,7.3,0,0,3
56,30445,패배,렉사이,F0y,7,8,2,14505,6,25,11,150,4.8,0,0,3
57,30445,패배,조이,피넛사냥개1,2,8,4,20702,1,21,2,161,5.1,0,0,3
58,30445,패배,바루스,Atlen,1,5,3,12139,1,12,2,243,7.8,0,0,3
59,30445,패배,제라스,진쟤승,0,6,5,19352,0,13,2,47,1.5,0,0,3
60,30446,승리,잭스,춘봉박,10,2,7,26088,2,24,7,263,9.1,1,1,9
61,30446,승리,카직스,삼성갤럭시 하루,17,6,15,34025,6,37,9,152,5.2,1,1,9
62,30446,승리,카사딘,DAN Ggoong,13,3,13,30457,1,13,8,159,5.5,1,1,9
63,30446,승리,진,F0y,8,5,10,17958,3,11,5,233,8.0,1,1,9
64,30446,승리,쓰레쉬,루시퍼메이데이,1,4,21,7124,11,44,18,39,1.3,1,1,9
65,30446,패배,오른,atlenismydaddy,3,9,6,20482,3,15,3,164,5.7,0,0,2
66,30446,패배,자크,마이엠브,4,7,8,12291,8,31,12,131,4.5,0,0,2
67,30446,패배,루시안,SnakeLight,7,10,4,22371,2,10,8,218,7.5,0,0,2
68,30446,패배,바루스,Atlen,6,11,2,20731,0,20,11,166,5.7,0,0,2
69,30446,패배,카르마,Only caozuo,0,12,12,9754,11,29,14,59,2.0,0,0,2
70,30447,패배,루시안,삼성갤럭시 하루,1,4,1,6479,3,9,3,127,7.6,0,0,0
71,30447,패배,세주아니,SKT T1 BIank,2,0,2,3673,4,28,8,102,6.1,0,0,0
72,30447,패배,탈리야,DAN Ggoong,2,7,3,8911,2,10,0,102,6.1,0,0,0
73,30447,패배,자야,SnakeLight,1,5,1,4751,1,7,1,113,6.8,0,0,0
74,30447,패배,라칸,taesang,1,4,2,5432,3,14,4,10,0.6,0,0,0
75,30447,승리,제이스,돌잔치때도란잡음,2,2,1,7600,2,9,4,148,8.9,0,0,2
76,30447,승리,카직스,마이엠브,5,1,1,5806,2,13,7,102,6.1,0,0,2
77,30447,승리,카사딘,LPL noob ad QAQ,7,1,5,13413,3,8,3,138,8.3,0,0,2
