,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3140,승리,나르,PuncHh,3,1,2,6493,3,12,3,151,7.3,0,2,6
1,3140,승리,자르반 4세,shirushi,5,1,7,7164,6,25,9,92,4.5,0,2,6
2,3140,승리,말자하,삼성갤럭시 Crown,3,3,4,6122,6,22,3,187,9.1,0,2,6
3,3140,승리,진,DWG BeryL,3,1,4,8386,5,13,4,166,8.1,0,2,6
4,3140,승리,제라스,DWG ShowMaker,0,1,7,7097,6,16,6,17,0.8,0,2,6
5,3140,패배,제이스,우철짱123,4,1,1,9756,3,20,4,188,9.1,0,0,0
6,3140,패배,엘리스,종학윙,0,3,2,1889,2,10,4,92,4.5,0,0,0
7,3140,패배,라이즈,FeelsAwesomeMan,1,3,1,3697,2,9,9,177,8.6,0,0,0
8,3140,패배,바루스,상어가족,0,4,3,6074,1,8,5,107,5.2,0,0,0
9,3140,패배,쉔,담원 크러쉬,2,3,5,3121,4,22,8,28,1.4,0,0,0
10,3141,승리,제이스,pppyp,10,8,6,27426,3,16,4,228,7.4,0,3,5
11,3141,승리,니달리,DS XiaoPeng,6,8,12,14494,4,22,11,163,5.3,0,3,5
12,3141,승리,피들스틱,1414774182,5,12,6,19012,2,13,2,199,6.4,0,3,5
13,3141,승리,루시안,chirchri,3,7,8,16128,4,15,11,232,7.5,0,3,5
14,3141,승리,브라움,DWG BeryL,1,6,14,6565,16,50,11,53,1.7,0,3,5
15,3141,패배,자르반 4세,Heiz4,1,9,19,18787,0,11,4,245,7.9,0,0,1
16,3141,패배,세주아니,MVP ADD,5,5,24,11900,5,25,13,168,5.4,0,0,1
17,3141,패배,아지르,IGS Dasher,15,1,11,36110,6,21,7,283,9.2,0,0,1
18,3141,패배,진,wjhfjihtiu,17,4,6,22183,4,15,6,228,7.4,0,0,1
19,3141,패배,미스 포츈,Lvmao,3,6,22,19500,5,42,12,30,1.0,0,0,1
20,3142,패배,제이스,MVP ADD,8,5,8,28755,4,42,14,306,9.5,0,1,3
21,3142,패배,자르반 4세,수입뿌드,7,8,13,15599,8,32,21,167,5.2,0,1,3
22,3142,패배,코르키,ysdgqxcj,6,4,11,31393,3,13,6,317,9.8,0,1,3
