,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3199,승리,제이스,DWG Nuguri,7,5,4,17724,1,21,3,174,7.9,1,0,10
1,3199,승리,자크,win or win,9,2,14,11838,3,7,2,121,5.5,1,0,10
2,3199,승리,라이즈,격세지감,5,2,12,17197,3,16,1,192,8.7,1,0,10
3,3199,승리,진,Mengqiuqiu,8,3,15,14350,1,9,1,152,6.9,1,0,10
4,3199,승리,카르마,천천히올라감,8,0,20,14558,5,21,1,16,0.7,1,0,10
5,3199,패배,마오카이,Algorism,3,4,2,7451,1,4,3,106,4.8,0,0,1
6,3199,패배,트리스타나,SmartPilot,3,7,4,7127,1,7,0,95,4.3,0,0,1
7,3199,패배,아지르,삼성갤럭시 Crown,3,7,3,11521,2,10,3,179,8.1,0,0,1
8,3199,패배,미스 포츈,RRRuleRRR,2,12,4,10399,3,9,7,131,5.9,0,0,1
9,3199,패배,알리스타,삼성갤럭시CoreJJ,1,7,7,6311,5,23,4,28,1.3,0,0,1
10,3200,패배,나르,DWG Nuguri,4,9,8,24379,3,34,7,244,7.9,1,0,1
11,3200,패배,리 신,9346,7,8,12,12252,3,23,10,116,3.8,1,0,1
12,3200,패배,카사딘,kt Ucal,13,10,8,36679,3,27,3,212,6.9,1,0,1
13,3200,패배,바루스,멸룡마도사 나츠,3,12,5,13311,1,7,3,190,6.2,1,0,1
14,3200,패배,알리스타,강 츄,1,8,14,4763,6,33,6,35,1.1,1,0,1
15,3200,승리,오른,커피물조절장인,9,4,12,24375,2,13,6,247,8.0,0,2,11
16,3200,승리,자르반 4세,정글노바,7,6,12,15243,6,26,7,135,4.4,0,2,11
17,3200,승리,라이즈,Kingen,12,6,7,34465,1,13,11,239,7.8,0,2,11
18,3200,승리,이즈리얼,RRRuleRRR,14,8,7,38325,4,19,5,236,7.7,0,2,11
19,3200,승리,나미,삼성갤럭시CoreJJ,5,4,25,12027,10,35,12,14,0.5,0,2,11
20,3201,승리,이렐리아,DWG Nuguri,9,8,10,41844,3,35,2,241,6.6,2,0,7
21,3201,승리,미스 포츈,담원 얼라이브,8,6,12,28433,4,13,9,339,9.2,2,0,7
22,3201,승리,베이가,Seroum,11,5,6,33637,5,18,7,271,7.4,2,0,7
