,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50514,승리,일라오이,빅파이초코파이,6,7,3,32072,7,20,1,250,9.7,1,2,9
1,50514,승리,카직스,DaYE,8,5,9,20374,1,14,6,107,4.2,1,2,9
2,50514,승리,르블랑,FeelsCoffeeMan,3,1,5,16421,1,21,3,233,9.1,1,2,9
3,50514,승리,트리스타나,비 브이 오 와이,10,3,7,21579,0,21,5,279,10.9,1,2,9
4,50514,승리,쓰레쉬,호경모드,1,5,12,6934,11,31,11,30,1.2,1,2,9
5,50514,패배,마오카이,7895123,3,5,8,12871,3,8,4,153,6.0,0,1,1
6,50514,패배,쉬바나,작전동 노란머리,6,4,5,16579,5,7,14,211,8.2,0,1,1
7,50514,패배,탈론,Afreeca Kuro,5,6,6,10470,4,14,7,181,7.1,0,1,1
8,50514,패배,이즈리얼,GALA,4,9,11,20017,0,10,5,174,6.8,0,1,1
9,50514,패배,브라움,Nova1,3,4,9,5309,11,33,11,58,2.3,0,1,1
10,50515,패배,블라디미르,뒷텔와드점,1,4,4,15455,1,12,4,239,9.4,0,0,1
11,50515,패배,카직스,DaYE,3,7,1,10905,5,24,10,110,4.3,0,0,1
12,50515,패배,탈리야,Lucete,3,5,3,11989,3,11,9,212,8.4,0,0,1
13,50515,패배,미스 포츈,Please find it,1,10,5,8824,1,7,5,169,6.7,0,0,1
14,50515,패배,브라움,Yumemiru Shonen,1,5,5,3530,8,21,13,56,2.2,0,0,1
15,50515,승리,쉔,비 브이 오 와이,4,0,11,12376,1,23,2,155,6.1,1,2,8
16,50515,승리,자르반 4세,MooJin,5,1,6,11124,7,41,7,182,7.2,1,2,8
17,50515,승리,조이,2Kano,9,3,6,23755,2,18,3,193,7.6,1,2,8
18,50515,승리,칼리스타,RRRuleRRR,9,2,6,14180,2,17,8,257,10.1,1,2,8
19,50515,승리,모르가나,BtC Joker,4,3,16,11395,10,37,12,20,0.8,1,2,8
20,50516,패배,제이스,뒷텔와드점,1,10,6,10403,2,21,1,179,7.2,1,0,5
21,50516,패배,카직스,DaYE,13,7,6,23004,4,22,8,116,4.7,1,0,5
22,50516,패배,탈리야,마산가자,2,8,9,21109,4,20,1,192,7.7,1,0,5
23,50516,패배,애쉬,161561,6,7,9,19022,0,8,2,155,6.2,1,0,5
24,50516,패배,모르가나,BtC Joker,3,8,12,12712,15,34,14,38,1.5,1,0,5
25,50516,승리,오른,지현이의빗자루,11,4,10,18270,1,12,2,191,7.7,0,2,7
26,50516,승리,신 짜오,yizhiyu,16,3,10,20039,3,9,6,134,5.4,0,2,7
27,50516,승리,라이즈,FeelsAwesomeMan,6,6,11,16575,3,12,7,183,7.4,0,2,7
28,50516,승리,트리스타나,RRRuleRRR,3,8,9,8864,4,21,5,171,6.9,0,2,7
29,50516,승리,알리스타,IGS Coli,4,4,20,11394,8,34,3,41,1.7,0,2,7
30,50517,승리,라이즈,아테나찡,4,7,6,18194,4,11,2,212,6.7,1,2,10
31,50517,승리,렝가,DaYE,10,4,7,18966,6,25,18,204,6.5,1,2,10
32,50517,승리,코르키,APK Rainbow,15,5,4,36758,5,9,13,299,9.5,1,2,10
33,50517,승리,트리스타나,LPL noob ad QAQ,9,5,10,19728,3,27,13,234,7.4,1,2,10
34,50517,승리,알리스타,먹는건즐거워,2,7,19,8597,10,35,12,49,1.6,1,2,10
35,50517,패배,오른,뒷텔와드점,5,6,11,21239,3,17,3,225,7.1,1,1,3
36,50517,패배,세주아니,마산가자,4,7,8,10961,6,29,13,148,4.7,1,1,3
37,50517,패배,탈리야,Lucete,9,5,12,29721,7,17,4,249,7.9,1,1,3
