,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50178,승리,갱플랭크,피넛사냥개2,5,2,5,11107,2,14,7,190,8.8,0,1,4
1,50178,승리,리 신,h1rb,4,2,6,5222,5,36,7,123,5.7,0,1,4
2,50178,승리,라이즈,reMember Mistake,2,0,4,7962,1,21,5,220,10.2,0,1,4
3,50178,승리,바루스,Deft1,3,0,6,12389,6,14,7,216,10.0,0,1,4
4,50178,승리,카르마,MinKOOK2,0,1,8,4684,6,23,10,15,0.7,0,1,4
5,50178,패배,제이스,ROX Lindarang,2,5,2,13149,5,22,6,182,8.4,0,0,1
6,50178,패배,자르반 4세,마이엠브,2,1,1,4632,6,22,7,105,4.8,0,0,1
7,50178,패배,코르키,담원 얼라이브,0,1,1,6568,2,8,9,234,10.8,0,0,1
8,50178,패배,미스 포츈,그러면안돼요짜샤,0,3,1,4873,2,10,4,172,7.9,0,0,1
9,50178,패배,타릭,천천히올라감,1,4,0,2407,7,18,14,55,2.5,0,0,1
10,50179,승리,마오카이,튀자튀자아,1,6,16,17476,2,17,4,211,5.8,0,3,7
11,50179,승리,쉬바나,마이엠브,8,2,6,17628,6,9,16,243,6.7,0,3,7
12,50179,승리,트위스티드 페이트,혼자해도충분하다,7,8,8,15990,0,14,4,210,5.8,0,3,7
13,50179,승리,미스 포츈,Deft1,6,4,16,43339,6,19,14,345,9.5,0,3,7
14,50179,승리,브라움,MinKOOK2,4,0,18,9883,13,47,7,65,1.8,0,3,7
15,50179,패배,노틸러스,Possible tts,1,3,5,11805,1,16,8,273,7.5,2,1,5
16,50179,패배,이블린,h1rb,10,6,6,24544,3,34,6,176,4.9,2,1,5
17,50179,패배,카사딘,피넛사냥개2,5,3,6,28352,6,22,8,307,8.5,2,1,5
18,50179,패배,이즈리얼,그러면안돼요짜샤,2,6,6,43279,3,20,4,295,8.1,2,1,5
19,50179,패배,알리스타,천천히올라감,2,8,8,9529,18,44,6,60,1.7,2,1,5
20,50180,승리,마오카이,튀자튀자아,6,1,4,5621,1,6,3,126,5.5,0,2,10
21,50180,승리,자르반 4세,정글노바,8,0,9,10235,5,38,6,153,6.7,0,2,10
22,50180,승리,아지르,republic123,2,2,10,14640,2,9,5,192,8.4,0,2,10
23,50180,승리,바루스,Deft1,2,1,10,17516,4,12,3,202,8.8,0,2,10
24,50180,승리,카르마,천천히올라감,1,0,12,8617,3,23,13,14,0.6,0,2,10
25,50180,패배,제이스,피넛사냥개2,0,4,3,15365,2,20,7,175,7.7,0,0,0
26,50180,패배,케인,마이엠브,1,5,1,3822,4,16,4,113,4.9,0,0,0
27,50180,패배,라이즈,피넛사냥개1,3,3,0,7633,0,9,1,190,8.3,0,0,0
28,50180,패배,미스 포츈,먹는건즐거워,0,3,1,6900,1,8,8,179,7.8,0,0,0
