,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50218,승리,갱플랭크,75387,7,1,11,21323,11,17,11,258,8.2,1,3,10
1,50218,승리,쉬바나,TeawaN,11,3,14,29158,6,10,22,241,7.7,1,3,10
2,50218,승리,야스오,KDM Edge,11,5,13,26073,2,15,6,272,8.7,1,3,10
3,50218,승리,진,너만재미써,8,2,13,26430,1,11,4,256,8.2,1,3,10
4,50218,승리,레오나,Detiny,4,3,24,13378,15,53,6,45,1.4,1,3,10
5,50218,패배,나르,퇴근언제하지,2,7,2,18225,4,27,4,250,8.0,0,0,1
6,50218,패배,세주아니,du jia0 shou,1,8,7,11823,3,17,7,153,4.9,0,0,1
7,50218,패배,아지르,시공 여행자,7,8,3,25034,4,17,2,249,7.9,0,0,1
8,50218,패배,바루스,Wzxhhan,4,8,5,16970,2,13,4,227,7.2,0,0,1
9,50218,패배,알리스타,walking300 fan,0,10,10,8565,7,35,8,34,1.1,0,0,1
10,50219,승리,오른,쁘띠예리사랑해요,2,3,12,9561,1,8,5,147,6.4,0,0,7
11,50219,승리,카직스,IGS Coli,7,4,6,12458,2,18,7,141,6.2,0,0,7
12,50219,승리,갈리오,돌고래꼬리,2,0,11,6868,1,11,5,180,7.9,0,0,7
13,50219,승리,칼리스타,너만재미써,11,0,7,25578,1,8,7,245,10.7,0,0,7
14,50219,승리,쓰레쉬,Detiny,5,1,13,6618,9,27,12,58,2.5,0,0,7
15,50219,패배,제이스,HKA Riris,3,5,2,11800,2,20,3,129,5.6,0,2,0
16,50219,패배,쉬바나,TeawaN,3,8,1,9981,5,11,8,154,6.7,0,2,0
17,50219,패배,트위스티드 페이트,PTN Howin,0,2,2,6248,2,7,3,184,8.1,0,2,0
18,50219,패배,루시안,Rabbit312,1,6,0,6338,3,15,2,154,6.7,0,2,0
19,50219,패배,브라움,1874  Eason,0,6,1,3617,3,24,3,37,1.6,0,2,0
20,50220,승리,럼블,동쪽의 청룡,2,1,10,11635,2,12,2,185,7.5,0,2,8
21,50220,승리,카직스,I will not lose,9,3,4,14417,7,24,4,101,4.1,0,2,8
22,50220,승리,라이즈,덤벼보던가,5,4,8,11953,5,9,1,253,10.2,0,2,8
23,50220,승리,진,너만재미써,11,2,7,20358,3,8,4,230,9.3,0,2,8
