,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30180,패배,오른,JAG S0hwan,5,6,3,17809,2,12,2,197,7.9,0,0,3
1,30180,패배,리 신,TeawaN,4,5,4,7184,5,31,4,120,4.8,0,0,3
2,30180,패배,코르키,DWG ShowMaker,2,5,4,15142,4,9,3,227,9.1,0,0,3
3,30180,패배,칼리스타,먹는건즐거워,4,6,5,13793,2,9,2,182,7.3,0,0,3
4,30180,패배,타릭,Dutch Coffee,1,5,10,6384,7,29,12,45,1.8,0,0,3
5,30180,승리,카밀,미율치에오,5,5,6,15382,4,12,3,160,6.4,1,3,11
6,30180,승리,쉬바나,작전동 노란머리,10,3,6,15762,3,9,5,191,7.7,1,3,11
7,30180,승리,카사딘,FeelsCoffeeMan,8,1,9,22678,1,11,5,210,8.4,1,3,11
8,30180,승리,미스 포츈,FVV BETTY,4,2,5,16967,5,27,6,251,10.1,1,3,11
9,30180,승리,알리스타,천천히올라감,0,5,16,6893,8,21,11,39,1.6,1,3,11
10,30181,패배,카밀,미율치에오,6,11,8,19334,1,11,6,165,5.7,1,2,2
11,30181,패배,쉬바나,스마트섹시뷰티,12,4,9,26391,5,10,11,182,6.3,1,2,2
12,30181,패배,아지르,으아으앙으아앙,3,10,8,17442,4,25,5,202,7.0,1,2,2
13,30181,패배,칼리스타,Yeeclipse,6,7,10,20313,2,11,7,212,7.3,1,2,2
14,30181,패배,쓰레쉬,Dutch Coffee,3,7,14,7909,9,37,7,26,0.9,1,2,2
15,30181,승리,럼블,춘봉박,8,5,9,32120,3,15,1,212,7.3,0,1,11
16,30181,승리,렝가,XinyiQAQ,13,8,8,28868,3,8,10,148,5.1,0,1,11
17,30181,승리,코르키,ZhanQiHuaYm,12,4,9,23642,5,11,10,210,7.3,0,1,11
18,30181,승리,미스 포츈,FVV BETTY,3,7,13,19509,3,24,12,208,7.2,0,1,11
19,30181,승리,알리스타,chijixuanshou,3,6,15,7301,11,36,3,40,1.4,0,1,11
20,30182,패배,갱플랭크,쌀국수뚝붸기,2,7,0,11514,1,11,0,161,7.6,0,2,0
21,30182,패배,쉬바나,정글노바,2,4,2,7001,5,11,6,126,5.9,0,2,0
22,30182,패배,조이,PawN God,2,8,1,9606,1,10,6,135,6.3,0,2,0
23,30182,패배,바루스,아트가 앗뜨거,1,3,3,10011,2,10,1,162,7.6,0,2,0
24,30182,패배,잔나,Dutch Coffee,2,5,5,7692,5,24,5,11,0.5,0,2,0
25,30182,승리,카밀,삶이힘든사람,5,1,6,12758,2,11,0,129,6.1,0,0,4
26,30182,승리,자르반 4세,Wilder,4,0,12,8667,2,18,6,115,5.4,0,0,4
27,30182,승리,르블랑,멘탈 실력 운,9,1,7,20309,2,19,1,161,7.6,0,0,4
28,30182,승리,칼리스타,원딜둥이,9,4,5,11350,1,8,8,186,8.7,0,0,4
29,30182,승리,알리스타,다시 돌아갈까요,0,3,15,5727,7,21,4,36,1.7,0,0,4
30,30183,패배,갱플랭크,삶이힘든사람,2,5,1,13551,5,18,1,206,8.0,0,0,1
31,30183,패배,세주아니,좋은날,2,8,3,9048,8,39,5,110,4.3,0,0,1
32,30183,패배,조이,삼성갤럭시 Crown,0,8,2,12063,3,13,5,181,7.0,0,0,1
33,30183,패배,칼리스타,아트가 앗뜨거,5,6,2,14988,2,9,8,220,8.6,0,0,1
34,30183,패배,브라움,Dutch Coffee,1,4,7,5484,5,22,4,34,1.3,0,0,1
35,30183,승리,카밀,쌀국수뚝붸기,4,3,8,16291,0,10,6,218,8.5,1,2,8
36,30183,승리,자르반 4세,Wilder,6,2,13,9851,5,21,9,144,5.6,1,2,8
37,30183,승리,애니비아,송하영 팬,13,2,9,24423,1,11,4,245,9.5,1,2,8
38,30183,승리,미스 포츈,VIP 민형,6,2,12,18439,4,13,9,225,8.8,1,2,8
39,30183,승리,모르가나,BtC Joker,2,2,13,9101,12,40,15,20,0.8,1,2,8
40,30184,패배,마오카이,YOYOuuuuuO,3,4,13,18225,3,9,2,216,6.2,0,0,1
41,30184,패배,카직스,9346,5,14,6,13289,2,22,16,144,4.1,0,0,1
42,30184,패배,카사딘,whisper snow,7,7,8,24486,2,10,5,221,6.3,0,0,1
