,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50118,승리,케넨,201505,5,4,14,26354,3,8,4,242,6.3,2,3,10
1,50118,승리,자르반 4세,Ellim7,8,6,24,26566,4,10,6,112,2.9,2,3,10
2,50118,승리,탈리야,Rapper Fay,10,6,22,39267,1,14,1,319,8.3,2,3,10
3,50118,승리,미스 포츈,리인제이,17,8,9,38975,5,20,10,219,5.7,2,3,10
4,50118,승리,브라움,Permaban10162734,2,3,35,11200,14,50,8,59,1.5,2,3,10
5,50118,패배,제이스,Summe1 Feng,6,7,6,26089,2,19,7,358,9.3,0,0,4
6,50118,패배,세주아니,rainbow321,4,7,11,12466,5,9,12,128,3.3,0,0,4
7,50118,패배,야스오,나의것김혜성그래,3,16,5,16094,0,14,3,246,6.4,0,0,4
8,50118,패배,트리스타나,마마돈워리,14,6,8,47896,2,13,9,444,11.6,0,0,4
9,50118,패배,라칸,이성조,0,6,17,9738,11,51,12,15,0.4,0,0,4
10,50119,승리,라이즈,게임좋아공부싫어,9,1,11,19246,4,13,2,194,7.8,1,1,10
11,50119,승리,자르반 4세,Ellim7,4,4,9,7187,5,9,4,79,3.2,1,1,10
12,50119,승리,피즈,마마돈워리,10,3,8,20779,2,12,0,249,10.0,1,1,10
13,50119,승리,트리스타나,할수있다아아,4,5,10,10367,3,7,2,132,5.3,1,1,10
14,50119,승리,쓰레쉬,이성조,0,3,15,5125,5,23,2,23,0.9,1,1,10
15,50119,패배,나르,cppppc,1,7,1,7024,1,10,2,157,6.3,0,0,4
16,50119,패배,자크,보미팡팡,1,6,7,7520,2,6,3,98,3.9,0,0,4
17,50119,패배,코르키,solo rank k,3,6,1,11949,1,7,5,186,7.5,0,0,4
18,50119,패배,자야,영광 스런 년,10,4,6,21619,4,13,0,231,9.3,0,0,4
19,50119,패배,라칸,Find Realey,1,4,15,7319,5,11,6,15,0.6,0,0,4
20,50120,패배,케넨,cppppc,3,5,4,12162,1,9,6,175,7.6,1,0,1
21,50120,패배,렉사이,Ellim7,4,3,1,5109,5,10,4,82,3.6,1,0,1
22,50120,패배,라이즈,게임좋아공부싫어,2,4,2,7140,7,10,2,169,7.4,1,0,1
23,50120,패배,칼리스타,외전평,2,3,0,10213,3,11,3,167,7.3,1,0,1
24,50120,패배,룰루,BuRn Rumble,0,7,2,3656,2,8,4,16,0.7,1,0,1
25,50120,승리,올라프,코w코,5,4,5,11663,3,12,2,185,8.0,0,2,7
26,50120,승리,리 신,Meow OuO,8,3,5,8025,4,22,1,106,4.6,0,2,7
27,50120,승리,빅토르,Carryder,3,2,8,13836,1,9,2,208,9.1,0,2,7
28,50120,승리,진,Sangchu,5,0,10,14272,0,9,4,203,8.8,0,2,7
29,50120,승리,알리스타,max난,1,2,17,5774,4,27,4,30,1.3,0,2,7
30,50121,승리,신지드,네 명의 짐승 팀,6,3,8,16108,0,11,1,223,8.2,1,1,10
31,50121,승리,니달리,RRRR,7,4,7,14453,2,17,7,144,5.3,1,1,10
32,50121,승리,탈론,UcaL,10,6,8,19895,1,5,3,218,8.0,1,1,10
