,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50258,승리,나르,Eth4n,7,3,2,18481,1,9,5,177,8.0,0,3,11
1,50258,승리,신 짜오,yizhiyu,6,4,6,11226,1,6,11,113,5.1,0,3,11
2,50258,승리,말자하,진에어 저스티스,6,0,8,14113,8,13,7,189,8.5,0,3,11
3,50258,승리,미스 포츈,6 18 5 25 1,5,2,7,14139,1,10,5,198,8.9,0,3,11
4,50258,승리,알리스타,supbest,1,4,10,4283,5,18,4,35,1.6,0,3,11
5,50258,패배,일라오이,FVV BETTY,1,8,3,11492,3,14,0,163,7.3,0,0,1
6,50258,패배,렝가,죠토마킹,7,7,3,9470,1,21,5,134,6.0,0,0,1
7,50258,패배,조이,By myself,3,4,3,16542,4,22,2,169,7.6,0,0,1
8,50258,패배,진,19980823,2,2,1,10146,1,6,2,178,8.0,0,0,1
9,50258,패배,탐 켄치,MinKOOK2,0,4,6,4300,7,26,7,31,1.4,0,0,1
10,50259,승리,카밀,Eth4n,4,3,3,12907,1,10,6,179,8.2,0,1,4
11,50259,승리,세주아니,마이엠브,5,3,11,8617,5,28,9,120,5.5,0,1,4
12,50259,승리,제라스,진에어 저스티스,4,3,13,16408,4,9,11,154,7.0,0,1,4
13,50259,승리,칼리스타,FVV BETTY,11,2,5,13458,2,16,6,212,9.7,0,1,4
14,50259,승리,알리스타,천천히올라감,2,0,15,5810,7,23,4,33,1.5,0,1,4
15,50259,패배,오른,미율치에오,2,4,1,10661,1,9,2,179,8.2,0,0,3
16,50259,패배,자르반 4세,좋은날,5,3,1,7998,6,32,12,116,5.3,0,0,3
17,50259,패배,아지르,Afreeca Kuro,3,5,3,10139,1,23,6,160,7.3,0,0,3
18,50259,패배,진,ROX Sangyoon,1,6,4,9060,1,9,3,172,7.9,0,0,3
19,50259,패배,소라카,ROX 라바,0,9,6,5755,6,17,12,18,0.8,0,0,3
20,50260,패배,나르,Eth4n,9,3,1,18437,2,20,4,199,8.8,0,1,4
21,50260,패배,자르반 4세,Afreeca M0wgli,4,6,3,6336,4,21,4,103,4.5,0,1,4
22,50260,패배,아지르,진에어 저스티스,3,5,4,10211,5,14,4,172,7.6,0,1,4
23,50260,패배,애쉬,선비모드,4,7,8,15418,2,7,3,173,7.6,0,1,4
24,50260,패배,알리스타,천천히올라감,1,5,11,8044,7,24,5,27,1.2,0,1,4
25,50260,승리,오른,암고잉빽투더스탙,2,3,10,14458,0,10,6,168,7.4,1,0,2
26,50260,승리,카직스,마이엠브,5,6,7,11100,5,17,4,86,3.8,1,0,2
27,50260,승리,말자하,ROX 라바,8,3,9,19116,1,11,3,185,8.2,1,0,2
28,50260,승리,진,ROX Sangyoon,7,5,4,13054,3,9,0,190,8.4,1,0,2
29,50260,승리,탐 켄치,뒷텔와드점,4,4,12,9422,4,20,11,49,2.2,1,0,2
30,50261,승리,마스터 이,Eth4n,10,1,1,11725,3,12,2,199,8.1,0,1,6
31,50261,승리,렝가,XinyiQAQ,6,3,4,10995,6,11,20,151,6.2,0,1,6
32,50261,승리,제라스,진에어 저스티스,6,3,9,18261,4,13,10,151,6.2,0,1,6
33,50261,승리,애쉬,선비모드,1,2,11,15233,6,15,10,198,8.1,0,1,6
34,50261,승리,미스 포츈,11 14 9 7 8 20,3,3,12,16124,5,34,10,42,1.7,0,1,6
35,50261,패배,판테온,ROYG,4,6,2,9563,2,5,3,154,6.3,0,0,0
36,50261,패배,세주아니,마이엠브,0,3,9,7969,5,37,8,115,4.7,0,0,0
37,50261,패배,애니비아,송하영 팬,1,6,6,9459,4,9,1,190,7.7,0,0,0
38,50261,패배,진,Afreeca Kramer,4,5,2,13766,6,20,4,197,8.0,0,0,0
39,50261,패배,라칸,IgNar,2,6,4,4185,5,42,9,10,0.4,0,0,0
40,50262,승리,럼블,Eth4n,12,2,12,27860,6,15,8,267,8.6,1,1,10
41,50262,승리,세주아니,마이엠브,6,4,17,14342,8,62,10,159,5.1,1,1,10
42,50262,승리,갱플랭크,진에어 저스티스,10,3,16,21094,6,11,9,260,8.4,1,1,10
43,50262,승리,진,혼자해도충분하다,8,3,16,21166,2,13,7,278,9.0,1,1,10
44,50262,승리,쉔,호잇이,5,8,20,8966,6,29,13,56,1.8,1,1,10
45,50262,패배,나르,chijixuanshou,2,7,4,16720,6,32,5,257,8.3,0,2,3
46,50262,패배,자르반 4세,XinyiQAQ,8,6,5,13488,10,15,10,155,5.0,0,2,3
47,50262,패배,제라스,ZhanQiHuaYm,2,5,5,18077,4,16,8,267,8.6,0,2,3
48,50262,패배,애쉬,선비모드,4,13,7,13896,3,11,6,229,7.4,0,2,3
49,50262,패배,브랜드,SAOR,4,10,7,23058,10,46,15,36,1.2,0,2,3
50,50263,패배,야스오,Eth4n,1,6,0,6530,1,8,0,123,6.6,0,0,0
51,50263,패배,렝가,DS XiaoPeng,1,3,3,3613,3,17,4,107,5.8,0,0,0
52,50263,패배,피즈,reMember Mistake,3,3,1,7069,3,18,4,125,6.7,0,0,0
53,50263,패배,이즈리얼,진에어 저스티스,1,4,1,4060,0,7,0,127,6.9,0,0,0
54,50263,패배,제라스,Jacen,0,3,3,3883,0,7,3,12,0.6,0,0,0
55,50263,승리,오른,암고잉빽투더스탙,4,0,5,9785,1,8,1,156,8.4,0,1,6
