,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50833,패배,오른,Kingen,5,7,7,29964,1,17,9,256,7.3,1,3,5
1,50833,패배,자르반 4세,Twink1e,8,7,9,15705,4,22,11,162,4.6,1,3,5
2,50833,패배,탈리야,송하영 팬,6,11,11,26038,4,18,3,216,6.1,1,3,5
3,50833,패배,미스 포츈,Excal1bur1,6,6,11,23742,4,34,19,305,8.7,1,3,5
4,50833,패배,제라스,최석배 사생팬,5,5,11,30835,4,37,11,56,1.6,1,3,5
5,50833,승리,갱플랭크,피넛사냥개2,6,4,13,32263,1,25,5,344,9.8,1,1,8
6,50833,승리,니달리,PuncHh,7,4,14,23788,5,23,13,225,6.4,1,1,8
7,50833,승리,라이즈,마산가자,7,7,14,30909,5,17,8,301,8.5,1,1,8
8,50833,승리,진,구름꽃길만걷자,9,7,11,30136,2,12,7,265,7.5,1,1,8
9,50833,승리,쉔,534N,7,8,14,10958,5,64,16,90,2.6,1,1,8
10,50834,패배,갱플랭크,Cuz2,4,7,0,11548,1,14,2,197,7.0,0,1,3
11,50834,패배,카직스,PeanuToT,3,3,3,12713,4,24,11,143,5.1,0,1,3
12,50834,패배,아지르,마산가자,3,3,3,23374,4,13,12,264,9.4,0,1,3
13,50834,패배,이즈리얼,Excal1bur1,0,8,2,16571,2,11,3,219,7.8,0,1,3
14,50834,패배,카르마,FeelsCoffeeMan,0,5,3,9281,6,23,10,26,0.9,0,1,3
15,50834,승리,나르,RVS Poss,4,6,6,14913,3,15,5,193,6.9,1,2,9
16,50834,승리,니달리,종학윙,5,1,8,9951,4,20,10,177,6.3,1,2,9
17,50834,승리,르블랑,Fotune,7,3,3,22303,3,23,3,198,7.1,1,2,9
18,50834,승리,베인,Afreeca Kramer,10,0,5,22897,4,15,8,290,10.4,1,2,9
19,50834,승리,알리스타,진에어 저스티스,0,0,13,4280,11,44,10,46,1.6,1,2,9
20,50835,패배,갱플랭크,Shiroma Anna,1,4,6,16155,4,17,0,202,8.7,0,2,4
21,50835,패배,세주아니,mentalboomKid,2,4,2,4268,2,10,0,113,4.9,0,2,4
22,50835,패배,탈리야,The Quibbler,3,3,4,18393,7,11,5,203,8.7,0,2,4
23,50835,패배,칼리스타,Excal1bur1,5,3,4,14937,2,21,7,185,8.0,0,2,4
24,50835,패배,라칸,303079,4,2,7,7123,7,32,9,10,0.4,0,2,4
25,50835,승리,마오카이,Sun이라는 별,2,2,11,10902,1,10,3,161,6.9,1,1,3
26,50835,승리,케인,Diamondprox1,6,4,8,16307,4,9,4,142,6.1,1,1,3
27,50835,승리,오리아나,mcmglllc,5,3,5,14549,2,20,2,218,9.4,1,1,3
28,50835,승리,트리스타나,바보팀원,3,3,1,4933,2,11,9,169,7.3,1,1,3
29,50835,승리,타릭,luv is r6ge,0,3,7,3546,6,23,6,59,2.5,1,1,3
30,50836,승리,카밀,코w코,8,2,5,9877,3,17,2,167,7.6,0,1,4
31,50836,승리,자르반 4세,259x,3,2,13,7866,2,16,7,109,5.0,0,1,4
32,50836,승리,아지르,Excal1bur1,6,0,4,11093,2,18,6,198,9.0,0,1,4
33,50836,승리,진,어두운결과,9,1,6,19871,1,9,4,203,9.3,0,1,4
34,50836,승리,탐 켄치,라인전이기니갱와,1,4,11,5698,4,21,9,42,1.9,0,1,4
35,50836,패배,갱플랭크,mianma,2,6,2,10563,1,7,3,164,7.5,0,1,1
