,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40912,승리,카직스,datura,0,1,3,1297,1,3,0,7,0.8,0,0,5
1,40912,승리,라칸,whisper snow,0,0,8,1191,1,3,0,2,0.2,0,0,5
2,40912,승리,아리,F1owArT,5,1,3,3017,1,2,0,45,5.2,0,0,5
3,40912,승리,칼리스타,옆집스님성당다님,5,0,3,3067,1,3,0,48,5.5,0,0,5
4,40912,승리,럼블,CrazySound,1,0,4,3400,0,3,0,45,5.2,0,0,5
5,40912,패배,리 신,AAAA1234,2,2,0,2468,0,3,0,7,0.8,0,0,0
6,40912,패배,갈리오,Igarashi Yuri,0,3,0,1471,1,1,0,38,4.4,0,0,0
7,40912,패배,초가스,Sumire Yoshida,0,0,1,1186,0,1,0,21,2.4,0,0,0
8,40912,패배,케이틀린,입이더러운사람,0,3,0,1215,1,4,1,11,1.3,0,0,0
9,40912,패배,룰루,IlllllIIIIlIlI,0,3,0,75,0,0,0,0,0.0,0,0,0
10,40913,승리,룰루,F1owArT,8,3,7,13967,2,4,0,135,6.8,0,0,7
11,40913,승리,자르반 4세,니달리벤하면던짐,14,2,12,20688,2,7,3,97,4.9,0,0,7
12,40913,승리,카타리나,재 백,17,3,9,24266,2,9,0,118,5.9,0,0,7
13,40913,승리,코그모,haubangbang,3,7,7,14909,0,5,1,110,5.5,0,0,7
14,40913,승리,쓰레쉬,bdosin,5,4,19,7021,2,12,0,19,1.0,0,0,7
15,40913,패배,다리우스,pi99,4,9,3,8984,1,4,0,134,6.7,0,0,1
16,40913,패배,카직스,SEREND1P1TY,2,11,4,5955,0,5,0,71,3.6,0,0,1
17,40913,패배,갈리오,오우예꼭지,4,6,4,12580,1,5,0,137,6.9,0,0,1
18,40913,패배,진,TheStar,4,14,5,9524,0,4,1,45,2.3,0,0,1
19,40913,패배,알리스타,외전평,5,7,10,6557,2,17,1,31,1.6,0,0,1
20,40914,승리,카서스,900점 복구포기,6,7,13,23537,0,7,0,161,7.3,1,1,4
21,40914,승리,이즈리얼,2342,11,3,8,15087,2,7,4,66,3.0,1,1,4
22,40914,승리,아리,F1owArT,5,1,11,11655,6,13,2,147,6.6,1,1,4
23,40914,승리,칼리스타,잡아주라,5,2,7,6384,3,10,3,153,6.9,1,1,4
24,40914,승리,쓰레쉬,asrw7,4,2,10,5652,5,16,1,21,0.9,1,1,4
25,40914,패배,다리우스,pi99,3,11,1,4849,1,7,0,88,4.0,0,0,0
26,40914,패배,이블린,Sniper Joe,7,8,5,12986,1,7,1,76,3.4,0,0,0
27,40914,패배,초가스,DCCA,1,3,5,6022,2,11,1,115,5.2,0,0,0
