,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3777,승리,갱플랭크,쌀국수뚝붸기,4,6,3,8449,0,9,2,189,7.7,0,0,6
1,3777,승리,자르반 4세,오억만,6,5,8,15976,3,16,7,170,6.9,0,0,6
2,3777,승리,라이즈,마산가자,8,4,4,19682,4,12,8,193,7.9,0,0,6
3,3777,승리,이즈리얼,FVV BETTY,7,3,5,17155,3,15,7,207,8.5,0,0,6
4,3777,승리,카르마,PuncHh,1,2,12,10934,11,29,13,18,0.7,0,0,6
5,3777,패배,나르,우에하라 크롱,4,6,5,10771,4,14,0,175,7.2,1,0,2
6,3777,패배,세주아니,F0y,4,2,7,8713,5,43,11,126,5.1,1,0,2
7,3777,패배,르블랑,피넛사냥개1,9,6,5,17979,5,16,1,184,7.5,1,0,2
8,3777,패배,진,BKKK,0,5,3,6929,1,9,6,172,7.0,1,0,2
9,3777,패배,바드,So1o,3,7,4,7958,5,26,7,19,0.8,1,0,2
10,3778,승리,오른,진쟤승,4,2,8,13079,1,5,4,140,5.9,1,1,10
11,3778,승리,렝가,shirushi,12,2,6,16659,8,24,10,109,4.6,1,1,10
12,3778,승리,라이즈,삼성갤럭시 Crown,5,4,6,13745,8,28,6,215,9.0,1,1,10
13,3778,승리,이즈리얼,FVV BETTY,9,0,11,32875,5,12,8,264,11.1,1,1,10
14,3778,승리,알리스타,BKKK,3,4,11,7132,6,24,7,43,1.8,1,1,10
15,3778,패배,일라오이,xaxaxaxaxa,4,7,0,17274,1,15,0,205,8.6,0,0,3
16,3778,패배,자르반 4세,w1sdom ovo,2,6,4,5509,4,18,6,97,4.1,0,0,3
17,3778,패배,아지르,chirchri,6,5,3,15132,4,10,9,201,8.4,0,0,3
18,3778,패배,시비르,RRRuleRRR,0,9,2,8017,3,12,6,185,7.8,0,0,3
19,3778,패배,탐 켄치,Plz No Die,0,6,5,6377,3,39,6,33,1.4,0,0,3
20,3779,패배,마오카이,h1rb,0,6,2,8370,1,8,0,111,5.2,0,0,0
21,3779,패배,세주아니,Plz No Die,0,9,4,6400,2,31,5,81,3.8,0,0,0
22,3779,패배,오리아나,PuncHh,2,7,3,6699,2,18,4,129,6.0,0,0,0
23,3779,패배,칼리스타,FVV BETTY,4,3,2,11388,2,11,3,206,9.6,0,0,0
24,3779,패배,잔나,IgNar,2,3,4,4883,9,28,2,6,0.3,0,0,0
25,3779,승리,갱플랭크,피넛사냥개2,5,2,7,18368,2,14,2,187,8.7,1,1,10
26,3779,승리,렝가,스마트섹시뷰티,8,1,5,11703,3,9,16,166,7.7,1,1,10
27,3779,승리,아지르,피넛사냥개1,13,1,6,22978,3,19,7,199,9.2,1,1,10
28,3779,승리,이즈리얼,혼자가 편해졌어,2,3,7,11103,2,14,10,181,8.4,1,1,10
29,3779,승리,탐 켄치,160810,0,1,10,4298,5,15,8,49,2.3,1,1,10
30,3780,승리,카밀,덤벼보던가,8,3,5,21773,1,10,2,181,8.1,0,1,6
31,3780,승리,니달리,분당고 엄성현,8,2,6,10057,3,17,8,160,7.1,0,1,6
32,3780,승리,오리아나,PawN God,3,0,4,11745,5,26,7,249,11.1,0,1,6
33,3780,승리,미스 포츈,FVV BETTY,4,1,3,12992,3,13,2,205,9.1,0,1,6
34,3780,승리,알리스타,BKKK,0,4,8,4169,4,28,4,30,1.3,0,1,6
35,3780,패배,갱플랭크,피넛사냥개2,1,10,3,14356,1,10,1,154,6.9,0,1,1
36,3780,패배,렝가,오억만,3,4,6,9818,1,20,11,129,5.8,0,1,1
37,3780,패배,말자하,최석배 사생팬,2,3,5,9360,2,7,11,176,7.9,0,1,1
38,3780,패배,진,SnakeLight,2,4,3,7663,0,6,3,212,9.5,0,1,1
