,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60219,승리,카밀,우철짱123,4,4,4,11464,2,13,7,246,8.0,1,0,10
1,60219,승리,니달리,장난 꾸러기 돼지,8,2,11,17462,4,35,9,188,6.1,1,0,10
2,60219,승리,말자하,FW Maple,7,4,13,29814,4,16,4,270,8.8,1,0,10
3,60219,승리,진,RRRuleRRR,6,3,9,21422,8,28,8,296,9.6,1,0,10
4,60219,승리,알리스타,MataMataMata,2,2,16,8718,14,46,10,43,1.4,1,0,10
5,60219,패배,럼블,빅파이초코파이,2,2,8,22190,4,18,4,286,9.3,0,3,3
6,60219,패배,쉬바나,작전동 노란머리,6,5,3,12423,10,15,21,226,7.3,0,3,3
7,60219,패배,조이,UcaL,2,9,2,12719,8,17,4,259,8.4,0,3,3
8,60219,패배,미스 포츈,비 브이 오 와이,3,5,3,21324,6,15,20,232,7.5,0,3,3
9,60219,패배,쉔,호경모드,2,6,6,5767,12,41,11,62,2.0,0,3,3
10,60220,승리,제이스,Lucete,6,3,5,17101,2,10,1,149,7.1,0,1,10
11,60220,승리,카직스,장난 꾸러기 돼지,8,4,9,12313,3,21,5,105,5.0,0,1,10
12,60220,승리,조이,FW Maple,7,1,7,16982,2,18,1,164,7.8,0,1,10
13,60220,승리,진,Yumemiru Shonen,8,1,9,16995,4,10,4,168,8.0,0,1,10
14,60220,승리,카르마,DDDDNNNN,4,1,11,6434,7,19,6,24,1.1,0,1,10
15,60220,패배,카밀,God보보,1,6,3,5983,1,9,4,77,3.7,0,0,0
16,60220,패배,자르반 4세,나는야베이베이1,2,10,5,5002,5,23,5,55,2.6,0,0,0
17,60220,패배,카사딘,TeachersWu,3,6,3,7980,1,9,3,75,3.6,0,0,0
18,60220,패배,바루스,R0ver,4,5,2,9649,0,6,4,147,7.0,0,0,0
19,60220,패배,잔나,문장 분석기,0,6,5,2772,2,9,7,15,0.7,0,0,0
20,60221,패배,갱플랭크,담원 너구리,3,6,3,29354,5,21,8,248,8.7,0,0,1
21,60221,패배,세주아니,7895123,1,5,3,10418,9,27,11,162,5.7,0,0,1
22,60221,패배,피들스틱,FW Maple,4,8,3,12661,4,14,9,179,6.3,0,0,1
23,60221,패배,진,Heart,0,10,7,19234,4,14,8,195,6.9,0,0,1
24,60221,패배,브라움,YOYOuuuuuO,3,5,3,4679,3,28,12,64,2.3,0,0,1
25,60221,승리,마오카이,TeawaN,3,2,12,19272,1,27,6,211,7.4,1,2,5
26,60221,승리,이블린,h1rb,14,2,12,21762,4,26,8,126,4.4,1,2,5
27,60221,승리,라이즈,By myself,10,1,5,20805,4,29,2,265,9.3,1,2,5
28,60221,승리,칼리스타,FVV BETTY,5,4,5,23000,2,8,8,262,9.2,1,2,5
29,60221,승리,쉔,Nova1,2,2,13,10067,11,41,14,57,2.0,1,2,5
30,60222,승리,잭스,나네쫓다꿈소년,11,2,2,15520,0,10,8,242,10.9,1,2,6
31,60222,승리,쉬바나,yizhiyu,3,2,5,5987,4,9,5,156,7.0,1,2,6
32,60222,승리,아지르,FW Maple,0,4,3,5515,6,18,2,160,7.2,1,2,6
33,60222,승리,미스 포츈,FVV BETTY,4,0,5,8587,3,17,7,188,8.4,1,2,6
34,60222,승리,제라스,DWG ShowMaker,6,0,3,10020,7,19,5,29,1.3,1,2,6
35,60222,패배,나르,단군의청춘부재,1,5,0,5829,1,18,4,184,8.3,0,1,1
36,60222,패배,카직스,Cuz2,3,2,4,10574,1,19,6,106,4.8,0,1,1
37,60222,패배,말자하,MVP Ian,4,5,2,7479,2,12,2,189,8.5,0,1,1
38,60222,패배,진,원딜둥이,0,7,1,5168,0,8,7,188,8.4,0,1,1
39,60222,패배,블리츠크랭크,SKT T1 WoIf,0,5,2,2555,5,25,7,23,1.0,0,1,1
40,60223,승리,잭스,나네쫓다꿈소년,11,6,6,24790,1,15,8,258,8.7,1,0,10
41,60223,승리,세주아니,수지Suzy,8,2,15,13810,8,44,11,183,6.2,1,0,10
42,60223,승리,말자하,FW Maple,10,3,14,29898,1,14,10,258,8.7,1,0,10
43,60223,승리,바루스,Afreeca Aiming,5,9,9,15862,4,13,17,243,8.2,1,0,10
44,60223,승리,탐 켄치,이재훈다딱,4,7,15,10789,5,25,5,51,1.7,1,0,10
45,60223,패배,말파이트,Mengqiuqiu,3,8,10,21365,0,13,7,201,6.8,0,0,0
46,60223,패배,렝가,피넛사냥개1,8,9,2,13162,4,21,6,119,4.0,0,0,0
47,60223,패배,조이,Sakura Angel,4,9,8,17971,1,25,3,199,6.7,0,0,0
48,60223,패배,미스 포츈,원딜둥이,8,7,8,28161,5,13,9,228,7.7,0,0,0
49,60223,패배,잔나,supbest,4,5,15,11333,11,66,12,35,1.2,0,0,0
50,60224,패배,갱플랭크,RVS Poss,1,4,1,5284,1,9,4,98,6.4,0,0,0
51,60224,패배,카직스,h1rb,1,1,1,3351,2,19,3,70,4.6,0,0,0
52,60224,패배,아지르,FW Maple,1,5,0,5032,2,15,0,88,5.8,0,0,0
53,60224,패배,진,DWG BeryL,1,5,1,4700,1,5,0,92,6.0,0,0,0
54,60224,패배,알리스타,토마토페이스트,0,5,2,2951,3,8,2,18,1.2,0,0,0
55,60224,승리,케넨,뒷텔와드점,4,0,3,6473,1,7,3,135,8.9,0,0,4
56,60224,승리,렝가,SKT T1 WoIf,4,1,5,8157,2,12,5,107,7.0,0,0,4
57,60224,승리,조이,마산가자,5,0,3,10884,2,5,2,153,10.0,0,0,4
