,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60737,승리,카밀,FeelsIronMan,8,3,4,18576,7,19,5,220,7.7,2,2,7
1,60737,승리,자르반 4세,먹는건즐거워,5,2,9,12704,1,11,4,210,7.4,2,2,7
2,60737,승리,라이즈,FW Maple,3,2,4,16461,6,34,12,260,9.1,2,2,7
3,60737,승리,진,Lucete,5,4,7,13403,5,15,6,190,6.7,2,2,7
4,60737,승리,잔나,FW SwordArT,2,4,13,4774,9,33,14,20,0.7,2,2,7
5,60737,패배,제이스,JAG S0hwan,6,6,3,14238,4,27,4,197,6.9,0,1,4
6,60737,패배,세주아니,ROX Se0ngHwan,2,2,9,8442,4,44,9,162,5.7,0,1,4
7,60737,패배,카사딘,Zhongdan XD,2,3,4,10992,3,10,11,236,8.3,0,1,4
8,60737,패배,바루스,Bvoy,4,3,4,12698,2,26,4,213,7.5,0,1,4
9,60737,패배,제라스,Nem2sis,1,9,6,9608,3,19,10,16,0.6,0,1,4
10,60738,패배,사이온,baramgaebi,2,9,2,9504,3,10,6,150,7.0,0,0,0
11,60738,패배,니달리,일견무시도성빈,1,5,3,5223,3,18,6,100,4.6,0,0,0
12,60738,패배,조이,FW Maple,1,5,3,11892,4,20,2,165,7.7,0,0,0
13,60738,패배,바루스,슬프다고말하면,1,4,2,10899,1,9,6,158,7.3,0,0,0
14,60738,패배,레오나,FW SwordArT,2,3,2,4082,5,19,8,34,1.6,0,0,0
15,60738,승리,제이스,FeelsIronMan,7,2,8,17500,4,24,6,178,8.3,0,2,10
16,60738,승리,리 신,ROX Se0ngHwan,3,2,15,6112,6,34,8,98,4.6,0,2,10
17,60738,승리,트위스티드 페이트,Lucete,4,3,11,12029,4,12,1,169,7.9,0,2,10
18,60738,승리,칼리스타,덤벼보던가,10,0,4,15392,4,11,7,242,11.2,0,2,10
19,60738,승리,알리스타,Nem2sis,2,1,16,5987,4,29,3,32,1.5,0,2,10
20,60739,승리,일라오이,xaxaxaxaxa,9,9,7,47935,1,24,1,290,7.6,2,3,11
21,60739,승리,자르반 4세,MataMataMata,14,6,16,26161,6,48,15,172,4.5,2,3,11
22,60739,승리,라이즈,FW Maple,6,5,14,31740,6,24,2,287,7.5,2,3,11
23,60739,승리,이즈리얼,먹는건즐거워,10,5,14,46235,1,18,4,317,8.3,2,3,11
24,60739,승리,잔나,FW SwordArT,3,3,24,12732,10,40,12,32,0.8,2,3,11
25,60739,패배,카밀,baramgaebi,8,10,6,27182,2,17,5,249,6.5,1,1,7
26,60739,패배,쉬바나,작전동 노란머리,7,7,9,18760,10,15,18,230,6.0,1,1,7
27,60739,패배,탈리야,chorongie,2,9,12,33733,5,37,4,310,8.1,1,1,7
28,60739,패배,칼리스타,덤벼보던가,9,8,10,36141,1,12,16,426,11.2,1,1,7
29,60739,패배,오른,진쟤승,2,8,16,13808,5,43,5,63,1.7,1,1,7
30,60740,패배,블라디미르,마산가자,2,8,3,9200,5,13,1,143,5.9,0,2,0
31,60740,패배,쉬바나,작전동 노란머리,2,5,8,9363,7,10,11,160,6.7,0,2,0
32,60740,패배,말자하,FW Maple,2,5,5,9758,2,8,0,179,7.4,0,2,0
33,60740,패배,바루스,분당고 엄성현,3,5,4,13389,1,19,2,215,8.9,0,2,0
34,60740,패배,레오나,FW SwordArT,3,5,7,4109,5,21,8,37,1.5,0,2,0
35,60740,승리,잭스,Lvmao,3,5,6,12387,0,10,1,188,7.8,0,1,6
36,60740,승리,카직스,좋은날,12,3,6,14251,3,23,7,127,5.3,0,1,6
37,60740,승리,카르마,5gak,1,1,13,12358,3,8,4,207,8.6,0,1,6
38,60740,승리,진,LPL noob ad QAQ,3,1,13,14478,1,10,4,172,7.2,0,1,6
39,60740,승리,조이,선기박,9,2,8,19030,7,28,6,31,1.3,0,1,6
40,60741,승리,나르,피넛사냥개1,9,9,12,29870,3,46,10,401,8.4,2,1,11
41,60741,승리,자르반 4세,좋은날,13,5,21,35094,7,30,20,223,4.6,2,1,11
42,60741,승리,피들스틱,FW Maple,15,5,13,34878,6,28,12,323,6.7,2,1,11
43,60741,승리,바루스,분당고 엄성현,9,5,16,38227,1,43,29,454,9.5,2,1,11
44,60741,승리,레오나,FW SwordArT,6,3,26,11845,12,61,18,77,1.6,2,1,11
45,60741,패배,잭스,Lvmao,7,11,5,25100,2,48,5,334,7.0,1,2,9
46,60741,패배,카직스,9346,4,14,13,22695,1,41,12,188,3.9,1,2,9
47,60741,패배,아지르,APK Rainbow,10,8,3,41788,2,5,17,449,9.4,1,2,9
48,60741,패배,미스 포츈,SKT T1 Bang,4,9,6,28367,2,41,17,376,7.8,1,2,9
49,60741,패배,쓰레쉬,DDDDNNNN,2,10,7,9574,26,80,20,53,1.1,1,2,9
50,60742,패배,블라디미르,kt Ucal,5,4,2,20450,3,14,4,289,9.9,0,0,1
51,60742,패배,리 신,9346,5,7,9,11322,2,56,11,120,4.1,0,0,1
52,60742,패배,제라스,FW Maple,3,7,4,20012,5,23,8,200,6.9,0,0,1
53,60742,패배,바루스,피넛사냥개1,4,8,8,16881,1,19,6,201,6.9,0,0,1
54,60742,패배,레오나,FW SwordArT,1,6,13,7219,10,32,9,55,1.9,0,0,1
55,60742,승리,초가스,미율치에오,6,3,4,23532,1,13,7,255,8.7,1,4,11
56,60742,승리,렝가,kenzhu9,15,4,10,26582,9,42,14,206,7.1,1,4,11
57,60742,승리,아지르,APK Rainbow,7,3,6,25268,2,12,16,248,8.5,1,4,11
58,60742,승리,진,LPL noob ad QAQ,3,3,12,15462,2,10,6,209,7.2,1,4,11
59,60742,승리,카르마,DDDDNNNN,1,5,16,6977,10,37,21,25,0.9,1,4,11
60,60743,승리,갱플랭크,Kingen,3,2,8,20323,1,16,11,250,8.9,1,1,9
61,60743,승리,자르반 4세,hard girl,3,4,12,6410,4,50,15,119,4.2,1,1,9
62,60743,승리,라이즈,LFT MID,11,3,5,17403,3,8,14,262,9.3,1,1,9
63,60743,승리,이즈리얼,FVV BETTY,10,4,9,27552,3,17,11,236,8.4,1,1,9
64,60743,승리,레오나,FW SwordArT,0,3,14,6345,13,37,25,66,2.3,1,1,9
65,60743,패배,제이스,RVS Poss,4,6,0,17397,1,30,10,227,8.1,0,1,2
66,60743,패배,세주아니,Afreeca M0wgli,3,4,6,6956,10,28,14,117,4.2,0,1,2
67,60743,패배,제라스,스누피808,3,2,4,20242,2,11,4,274,9.8,0,1,2
68,60743,패배,진,Rachel Berry,3,6,9,14027,2,11,8,187,6.7,0,1,2
69,60743,패배,쓰레쉬,Dutch Coffee,3,9,9,5650,11,68,14,28,1.0,0,1,2
70,60744,승리,럼블,Co2dplay,7,2,10,14917,1,9,3,127,6.6,0,1,6
71,60744,승리,리 신,bbq Tempt,6,4,6,10201,4,31,3,101,5.2,0,1,6
72,60744,승리,말자하,LFT MID,2,2,7,10379,3,7,3,166,8.6,0,1,6
73,60744,승리,자야,FVV BETTY,15,3,7,15205,4,10,0,140,7.2,0,1,6
74,60744,승리,라칸,FW SwordArT,2,2,18,6919,5,30,3,11,0.6,0,1,6
75,60744,패배,제이스,코w코,3,4,1,6550,2,14,3,143,7.4,0,0,1
76,60744,패배,세주아니,ROX Se0ngHwan,2,5,5,6401,4,21,6,78,4.0,0,0,1
77,60744,패배,라이즈,Twink1e,4,6,1,7755,1,6,0,163,8.4,0,0,1
78,60744,패배,바루스,Please find it,1,7,2,4986,0,7,4,113,5.8,0,0,1
79,60744,패배,제라스,LPL noob ad QAQ,3,10,7,9506,2,11,3,16,0.8,0,0,1
80,60745,패배,제이스,Afreeca Summit,8,7,4,25789,3,42,13,373,9.8,0,2,4
81,60745,패배,엘리스,THE KING 2000,1,9,5,14617,8,13,16,141,3.7,0,2,4
82,60745,패배,코르키,Heart,3,7,4,29099,3,22,8,442,11.6,0,2,4
83,60745,패배,바루스,FVV BETTY,1,5,7,18902,5,15,7,297,7.8,0,2,4
84,60745,패배,잔나,FW SwordArT,1,4,6,4999,12,44,16,38,1.0,0,2,4
85,60745,승리,쉔,죠토마킹,2,5,14,6842,2,17,1,196,5.2,3,3,11
86,60745,승리,렝가,twice손채영,8,2,10,22794,6,34,18,271,7.1,3,3,11
87,60745,승리,탈리야,푸딩은푸딩해,6,1,9,30121,4,8,6,399,10.5,3,3,11
88,60745,승리,자야,유내현,12,2,4,31192,1,12,14,385,10.1,3,3,11
89,60745,승리,라칸,Kerla,4,4,17,8955,15,87,16,21,0.6,3,3,11
90,60746,승리,마오카이,reMember Mistake,2,7,13,16255,2,13,3,230,6.4,2,2,7
91,60746,승리,쉬바나,FVV BETTY,8,8,12,22453,5,10,16,212,5.9,2,2,7
92,60746,승리,조이,Jin air Yaharong,7,9,4,30521,4,33,11,293,8.2,2,2,7
93,60746,승리,코그모,LPL noob ad QAQ,10,4,10,45175,2,13,1,338,9.4,2,2,7
94,60746,승리,잔나,FW SwordArT,2,1,20,10416,12,49,12,22,0.6,2,2,7
95,60746,패배,제이스,코w코,8,6,11,26086,4,19,11,313,8.7,0,2,7
96,60746,패배,니달리,F0y,6,5,11,22869,5,31,20,201,5.6,0,2,7
97,60746,패배,코르키,Fotune,10,6,8,53165,5,10,10,291,8.1,0,2,7
