,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30480,승리,갱플랭크,Fabu,11,10,22,54349,3,12,10,393,7.1,4,3,9
1,30480,승리,렝가,SKT T1 WoIf,18,9,15,54657,3,35,26,259,4.7,4,3,9
2,30480,승리,아지르,mide gui tou,9,6,16,59756,4,18,23,538,9.7,4,3,9
3,30480,승리,미스 포츈,6학년4반장용준,12,10,24,75019,3,22,17,517,9.3,4,3,9
4,30480,승리,레오나,A weak youth,2,11,27,17324,12,135,30,100,1.8,4,3,9
5,30480,패배,피오라,진에어 저스티스,10,14,8,47763,4,31,17,416,7.5,1,2,8
6,30480,패배,세주아니,마이엠브,8,8,21,22670,7,74,28,246,4.4,1,2,8
7,30480,패배,라이즈,삼성갤럭시 Crown,8,10,13,45298,11,76,17,540,9.7,1,2,8
8,30480,패배,진,먹는건즐거워,15,8,17,55632,5,17,12,500,9.0,1,2,8
9,30480,패배,알리스타,supbest,5,12,24,17400,15,77,30,94,1.7,1,2,8
10,30481,승리,카밀,Fabu,8,6,12,20913,3,16,2,177,6.0,1,1,6
11,30481,승리,자르반 4세,좋은날,3,4,15,11271,4,25,13,158,5.4,1,1,6
12,30481,승리,말자하,Heart,8,4,14,21107,5,19,13,237,8.1,1,1,6
13,30481,승리,진,먹는건즐거워,14,3,12,22663,4,13,14,278,9.5,1,1,6
14,30481,승리,블리츠크랭크,WangChen,6,4,17,10810,14,32,11,30,1.0,1,1,6
15,30481,패배,케넨,Give Top Pls,4,8,9,14852,0,8,2,140,4.8,0,1,1
16,30481,패배,니달리,MansN0tHot,4,5,9,10289,6,49,15,163,5.6,0,1,1
17,30481,패배,제이스,mcmglllc,9,7,7,20764,2,25,5,222,7.6,0,1,1
18,30481,패배,미스 포츈,Afreeca Aiming,3,11,9,21895,0,9,6,220,7.5,0,1,1
19,30481,패배,모르가나,푸딩은푸딩해,1,8,13,10136,10,37,4,21,0.7,0,1,1
20,30482,승리,럼블,Fabu,7,4,13,23456,2,9,6,285,8.8,2,3,8
21,30482,승리,쉬바나,커닝시티 피그미,10,3,12,27679,4,10,16,252,7.8,2,3,8
22,30482,승리,라이즈,KDM PERT,10,5,11,20761,2,18,10,279,8.6,2,3,8
23,30482,승리,이즈리얼,쓰레기새기들,9,11,7,35287,8,22,14,190,5.9,2,3,8
24,30482,승리,브라움,fengquyunbuhui,2,6,24,9608,12,46,13,74,2.3,2,3,8
25,30482,패배,쉔,BBD dog,3,8,7,10639,2,16,5,222,6.8,0,0,3
26,30482,패배,엘리스,마이엠브,13,6,5,25350,10,24,5,122,3.8,0,0,3
27,30482,패배,제이스,Heart,3,9,6,25293,6,39,8,261,8.1,0,0,3
28,30482,패배,트리스타나,피넛사냥개1,7,4,12,28946,0,30,9,280,8.6,0,0,3
29,30482,패배,티모,매우뚱뚱한고양이,3,11,11,27191,5,40,12,31,1.0,0,0,3
30,30483,승리,럼블,Fabu,6,9,20,33465,5,19,4,215,6.2,2,1,6
31,30483,승리,자르반 4세,mcmglllc,9,7,25,21356,8,29,10,124,3.6,2,1,6
32,30483,승리,야스오,R0ver,10,6,18,33001,1,10,9,302,8.7,2,1,6
33,30483,승리,자야,GALAAAA,11,6,8,36585,2,11,10,333,9.6,2,1,6
34,30483,승리,타릭,토마토페이스트,3,2,32,14336,11,50,13,92,2.6,2,1,6
35,30483,패배,오른,baramgaebi,6,6,11,23698,5,21,1,232,6.7,0,4,4
36,30483,패배,쉬바나,커닝시티 피그미,8,5,9,24498,5,10,17,223,6.4,0,4,4
37,30483,패배,제이스,Rain1ng,7,9,9,30387,4,18,7,288,8.3,0,4,4
38,30483,패배,칼리스타,NekoL,6,10,7,33150,1,14,7,324,9.3,0,4,4
39,30483,패배,레오나,66668888,3,9,15,10513,9,69,15,83,2.4,0,4,4
40,30484,패배,일라오이,1987 Plls,4,8,8,30525,0,21,1,244,7.0,0,2,2
41,30484,패배,렝가,THE KING 2000,14,13,9,27664,2,30,1,157,4.5,0,2,2
42,30484,패배,말자하,Fabu,6,11,13,29198,0,14,4,198,5.7,0,2,2
43,30484,패배,진,VIP 민형,7,9,14,24549,2,15,5,269,7.7,0,2,2
44,30484,패배,알리스타,160810,4,3,13,8898,17,67,15,69,2.0,0,2,2
45,30484,승리,카밀,Heiz4,20,7,3,44021,0,13,2,257,7.4,2,2,11
46,30484,승리,쉬바나,커닝시티 피그미,10,6,13,28660,9,11,23,221,6.3,2,2,11
47,30484,승리,라이즈,춘봉박,6,8,9,28701,3,13,4,268,7.7,2,2,11
48,30484,승리,바루스,천점못찍는벌레,5,8,8,24474,4,10,7,219,6.3,2,2,11
49,30484,승리,잔나,FeelsLovelyMan,3,6,24,16890,16,54,16,25,0.7,2,2,11
50,30485,승리,갱플랭크,Fabu,4,4,11,14072,1,22,4,178,7.8,1,1,8
51,30485,승리,엘리스,THE KING 2000,7,4,10,14331,3,7,9,127,5.6,1,1,8
