,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40833,패배,갱플랭크,Cuz2,4,7,0,11548,1,14,2,197,7.0,0,1,3
1,40833,패배,카직스,PeanuToT,3,3,3,12713,4,24,11,143,5.1,0,1,3
2,40833,패배,아지르,마산가자,3,3,3,23374,4,13,12,264,9.4,0,1,3
3,40833,패배,이즈리얼,Excal1bur1,0,8,2,16571,2,11,3,219,7.8,0,1,3
4,40833,패배,카르마,FeelsCoffeeMan,0,5,3,9281,6,23,10,26,0.9,0,1,3
5,40833,승리,나르,RVS Poss,4,6,6,14913,3,15,5,193,6.9,1,2,9
6,40833,승리,니달리,종학윙,5,1,8,9951,4,20,10,177,6.3,1,2,9
7,40833,승리,르블랑,Fotune,7,3,3,22303,3,23,3,198,7.1,1,2,9
8,40833,승리,베인,Afreeca Kramer,10,0,5,22897,4,15,8,290,10.4,1,2,9
9,40833,승리,알리스타,진에어 저스티스,0,0,13,4280,11,44,10,46,1.6,1,2,9
10,40834,승리,일라오이,빅파이초코파이,6,7,3,32072,7,20,1,250,9.7,1,2,9
11,40834,승리,카직스,DaYE,8,5,9,20374,1,14,6,107,4.2,1,2,9
12,40834,승리,르블랑,FeelsCoffeeMan,3,1,5,16421,1,21,3,233,9.1,1,2,9
13,40834,승리,트리스타나,비 브이 오 와이,10,3,7,21579,0,21,5,279,10.9,1,2,9
14,40834,승리,쓰레쉬,호경모드,1,5,12,6934,11,31,11,30,1.2,1,2,9
15,40834,패배,마오카이,7895123,3,5,8,12871,3,8,4,153,6.0,0,1,1
16,40834,패배,쉬바나,작전동 노란머리,6,4,5,16579,5,7,14,211,8.2,0,1,1
17,40834,패배,탈론,Afreeca Kuro,5,6,6,10470,4,14,7,181,7.1,0,1,1
18,40834,패배,이즈리얼,GALA,4,9,11,20017,0,10,5,174,6.8,0,1,1
19,40834,패배,브라움,Nova1,3,4,9,5309,11,33,11,58,2.3,0,1,1
20,40835,패배,니달리,J Spectre G,3,6,7,10135,5,26,14,182,5.7,0,2,3
21,40835,패배,블리츠크랭크,DWG ShowMaker,1,9,10,6835,10,26,10,61,1.9,0,2,3
22,40835,패배,잭스,나네쫓다꿈소년,7,7,2,17722,2,22,5,288,9.0,0,2,3
23,40835,패배,탈리야,Hide on bush,8,5,3,17671,6,38,12,306,9.6,0,2,3
24,40835,패배,진,FeelsCoffeeMan,3,8,8,16560,2,11,13,255,8.0,0,2,3
25,40835,승리,칼리스타,김메피,9,3,9,17739,2,10,9,262,8.2,2,1,9
26,40835,승리,케넨,우에하라 크롱,8,5,9,20569,2,16,4,197,6.2,2,1,9
27,40835,승리,라이즈,MVP Ian,2,1,13,18631,4,19,14,346,10.8,2,1,9
28,40835,승리,제라스,LPL noob ad QAQ,6,8,14,17893,6,44,15,31,1.0,2,1,9
29,40835,승리,자르반 4세,단군의청춘부재,9,5,18,15088,5,65,22,124,3.9,2,1,9
30,40836,승리,갱플랭크,지현이의빗자루,3,6,8,9912,0,18,3,180,7.0,1,1,7
31,40836,승리,렝가,IGS Coli,11,4,6,19761,8,22,8,184,7.1,1,1,7
32,40836,승리,라이즈,FeelsCoffeeMan,1,4,7,9593,5,23,8,225,8.7,1,1,7
33,40836,승리,미스 포츈,VIP 민형,11,2,8,20050,5,12,6,232,9.0,1,1,7
34,40836,승리,레오나,호잇이,3,2,17,7841,10,32,21,53,2.1,1,1,7
35,40836,패배,오른,Delicious Fish,5,4,4,16568,3,14,2,186,7.2,0,2,3
36,40836,패배,카직스,Removed Enterkey,9,6,3,16812,2,16,10,142,5.5,0,2,3
37,40836,패배,카사딘,멘탈 실력 운,0,5,2,10337,5,15,10,219,8.5,0,2,3
38,40836,패배,진,점점나의마음이끌,2,4,2,10646,4,11,3,186,7.2,0,2,3
39,40836,패배,나미,YOYOuuuuuO,2,10,3,6103,7,42,12,13,0.5,0,2,3
40,40837,승리,나르,FeelsCoffeeMan,8,6,12,23837,3,33,7,257,7.4,1,3,9
41,40837,승리,카직스,커닝시티 피그미,15,5,3,28961,4,20,14,185,5.3,1,3,9
42,40837,승리,말자하,Heart,6,7,8,31770,4,22,5,329,9.5,1,3,9
43,40837,승리,바루스,sqb,4,4,15,26459,3,14,5,273,7.9,1,3,9
44,40837,승리,쉔,By myself,0,6,19,8189,17,78,21,65,1.9,1,3,9
45,40837,패배,자르반 4세,Yeeclipse,8,7,12,21586,4,20,7,221,6.4,1,0,3
46,40837,패배,세주아니,마이엠브,4,5,15,14121,10,63,27,173,5.0,1,0,3
