,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40020,승리,초가스,FeelsDaydayMan,7,3,2,13251,3,20,11,347,8.9,2,2,10
1,40020,승리,자크,오억만,6,3,13,14192,6,36,24,236,6.0,2,2,10
2,40020,승리,아지르,피넛사냥개1,4,12,17,19545,3,18,12,275,7.0,2,2,10
3,40020,승리,이즈리얼,Afreeca Aiming,14,8,11,41363,3,23,13,327,8.4,2,2,10
4,40020,승리,카르마,토마토페이스트,4,6,18,12320,19,52,32,52,1.3,2,2,10
5,40020,패배,케넨,커피물조절장인,4,6,8,31943,4,13,13,377,9.7,0,2,6
6,40020,패배,자르반 4세,DWG Nuguri,10,9,16,28133,10,35,12,148,3.8,0,2,6
7,40020,패배,신드라,MVP Ian,5,7,7,32175,3,46,6,314,8.0,0,2,6
8,40020,패배,진,Dingchenyu,9,5,8,34739,4,17,5,329,8.4,0,2,6
9,40020,패배,미스 포츈,Z 2017 11 25,4,8,17,38133,5,72,26,71,1.8,0,2,6
10,40021,패배,오른,퓨 Zl,5,4,4,11344,2,9,1,147,6.2,0,0,1
11,40021,패배,신 짜오,FeelsDaydayMan,1,4,2,5838,2,8,4,141,6.0,0,0,1
12,40021,패배,말자하,Tank KK,1,7,5,10999,5,11,2,188,8.0,0,0,1
13,40021,패배,미스 포츈,Atlen,6,5,7,17761,1,7,2,167,7.1,0,0,1
14,40021,패배,소나,IndonesiaMassage,2,9,12,6755,5,24,2,7,0.3,0,0,1
15,40021,승리,잭스,Possible tts,4,4,1,7661,1,4,1,160,6.8,1,3,10
16,40021,승리,쉬바나,FeelsPepsiMan,5,1,6,11319,4,7,6,181,7.7,1,3,10
17,40021,승리,라이즈,FeelsAwesomeMan,6,3,13,17494,2,9,2,171,7.3,1,3,10
18,40021,승리,진,FeelsWowMan,10,4,6,17044,0,8,0,161,6.8,1,3,10
