,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3380,승리,초가스,Fabu,1,2,7,9547,1,8,0,153,7.2,1,1,4
1,3380,승리,니달리,75387,12,4,5,15077,2,7,3,124,5.8,1,1,4
2,3380,승리,빅토르,FeelsG00DMan,3,1,3,10411,3,8,0,167,7.8,1,1,4
3,3380,승리,자야,GALAAAA,4,3,7,9605,2,8,6,176,8.3,1,1,4
4,3380,승리,탐 켄치,SKT T1 Effort,3,1,15,6132,5,26,12,46,2.2,1,1,4
5,3380,패배,제이스,학교밀베포친키,3,1,2,15106,2,11,1,195,9.1,0,0,2
6,3380,패배,자르반 4세,republic123,2,6,4,4245,3,5,1,83,3.9,0,0,2
7,3380,패배,조이,유내현,2,4,1,10514,1,10,1,145,6.8,0,0,2
8,3380,패배,칼리스타,RRRuleRRR,3,7,1,11575,4,18,3,177,8.3,0,0,2
9,3380,패배,라칸,Destiny,1,5,2,4359,3,26,5,17,0.8,0,0,2
10,3381,승리,카시오페아,SOLCA1,3,3,7,18929,2,11,5,223,9.1,1,3,11
11,3381,승리,쉬바나,Longzhu Cuzz,5,2,8,18687,2,7,7,196,8.0,1,3,11
12,3381,승리,카사딘,FeelsG00DMan,8,6,5,19303,3,10,3,146,6.0,1,3,11
13,3381,승리,트리스타나,LPL noob ad QAQ,11,7,4,25651,0,8,2,209,8.5,1,3,11
14,3381,승리,브라움,마이엠브,1,2,15,5182,5,26,8,47,1.9,1,3,11
15,3381,패배,오른,Fabu,2,6,6,13481,3,9,0,145,5.9,0,0,1
16,3381,패배,자크,Hide on bush,4,4,5,9138,3,38,2,96,3.9,0,0,1
17,3381,패배,탈리야,Fotune,5,7,4,16488,2,10,2,191,7.8,0,0,1
18,3381,패배,자야,담원 얼라이브,5,6,5,13856,3,10,2,170,7.0,0,0,1
19,3381,패배,모르가나,GuGer,3,5,8,15317,9,30,3,31,1.3,0,0,1
20,3382,승리,제이스,Afreeca Summit,6,4,12,23770,1,9,4,161,6.4,0,1,9
21,3382,승리,자크,마이엠브,6,0,21,17477,5,20,2,168,6.7,0,1,9
22,3382,승리,벨코즈,love left,14,2,5,29239,4,13,2,209,8.4,0,1,9
23,3382,승리,루시안,FeelsG00DMan,7,4,12,19650,3,10,4,153,6.1,0,1,9
24,3382,승리,레오나,Possible tts,6,4,21,10520,3,29,3,59,2.4,0,1,9
25,3382,패배,블라디미르,꾸자니 똑땅해,3,6,3,19335,3,9,2,160,6.4,0,0,0
26,3382,패배,잭스,Algorism,3,11,3,7923,2,11,2,88,3.5,0,0,0
27,3382,패배,카시오페아,뽀오뽀오,1,8,3,12418,2,12,1,171,6.8,0,0,0
28,3382,패배,트리스타나,STITCH1,3,6,4,17145,3,9,1,190,7.6,0,0,0
