,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50733,승리,나르,chijixuanshou,8,5,14,17588,5,22,0,184,6.7,1,2,8
1,50733,승리,렉사이,chorongie,8,3,17,18274,8,37,13,173,6.3,1,2,8
2,50733,승리,베이가,ZhanQiHuaYm,8,5,9,23201,4,16,5,235,8.5,1,2,8
3,50733,승리,진,chirchri,10,2,14,25838,2,13,2,218,7.9,1,2,8
4,50733,승리,알리스타,FeelsLovelyMan,2,3,24,12385,12,39,11,46,1.7,1,2,8
5,50733,패배,마오카이,죠토마킹,2,3,6,10353,2,11,6,197,7.1,0,1,2
6,50733,패배,쉬바나,yizhiyu,6,7,4,18848,2,7,11,191,6.9,0,1,2
7,50733,패배,피들스틱,1414774182,3,7,8,14306,3,8,4,172,6.2,0,1,2
8,50733,패배,바루스,supbest,6,9,4,20343,2,10,6,179,6.5,0,1,2
9,50733,패배,쓰레쉬,534N,1,10,9,6299,5,43,9,36,1.3,0,1,2
10,50734,승리,제이스,삶이힘든사람,11,3,7,17775,5,25,3,149,6.4,1,1,5
11,50734,승리,카직스,sanspareil1,11,4,10,15771,4,9,4,124,5.3,1,1,5
12,50734,승리,피즈,By myself,5,2,7,7979,3,24,2,190,8.1,1,1,5
13,50734,승리,진,삼성갤럭시 Ru1er,5,7,11,13826,4,9,5,178,7.6,1,1,5
14,50734,승리,미스 포츈,FeelsLovelyMan,7,7,7,12994,10,23,10,44,1.9,1,1,5
15,50734,패배,요릭,VIP 민형,0,8,2,8111,2,6,2,130,5.6,0,1,4
16,50734,패배,렝가,갱만가드림,7,8,1,9601,5,23,7,113,4.8,0,1,4
17,50734,패배,탈리야,아테나찡,3,6,2,13512,3,23,6,163,7.0,0,1,4
18,50734,패배,시비르,선비모드,6,9,9,12021,4,19,10,175,7.5,0,1,4
19,50734,패배,제라스,AP Innovation,7,8,11,15486,3,7,4,36,1.5,0,1,4
20,50735,패배,제이스,뒷텔와드점,0,8,1,10286,1,13,0,122,6.2,0,0,0
21,50735,패배,신 짜오,Dingchenyu,1,3,2,8063,2,14,6,121,6.1,0,0,0
22,50735,패배,아지르,AP Innovation,1,1,0,12611,3,7,3,154,7.8,0,0,0
23,50735,패배,칼리스타,VIP 민형,1,8,2,6187,1,8,0,71,3.6,0,0,0
24,50735,패배,탐 켄치,FeelsLovelyMan,1,6,3,4832,10,20,4,34,1.7,0,0,0
25,50735,승리,카밀,미율치에오,4,2,2,10659,0,8,3,147,7.5,0,1,11
26,50735,승리,렝가,DS XiaoPeng,9,0,4,11314,2,16,10,117,5.9,0,1,11
27,50735,승리,말자하,마산가자,5,1,9,15321,1,7,5,154,7.8,0,1,11
28,50735,승리,진,Pilott,6,0,11,14088,1,4,1,120,6.1,0,1,11
29,50735,승리,알리스타,MinKOOK2,2,1,14,7003,7,21,2,25,1.3,0,1,11
30,50736,패배,조이,담원 쇼메이커,5,6,3,17027,3,24,4,164,5.8,0,0,1
31,50736,패배,카직스,wo yao qu daye,7,13,9,15255,10,59,9,125,4.4,0,0,1
32,50736,패배,아지르,LFT MID,7,8,8,18057,2,14,5,203,7.2,0,0,1
33,50736,패배,시비르,xaxaxaxaxa,2,6,7,13685,0,10,5,259,9.1,0,0,1
34,50736,패배,모르가나,FeelsLovelyMan,3,8,11,10491,12,32,10,36,1.3,0,0,1
35,50736,승리,카밀,삶이힘든사람,4,7,4,14624,4,26,5,202,7.1,1,2,11
36,50736,승리,렝가,THE KING 2000,11,6,6,20413,4,11,10,181,6.4,1,2,11
37,50736,승리,럼블,챌린져 등반가,9,2,9,24612,2,14,5,207,7.3,1,2,11
38,50736,승리,트리스타나,Hades9,13,5,10,32554,4,14,11,246,8.7,1,2,11
39,50736,승리,브라움,마이엠브,4,4,21,6885,7,32,9,54,1.9,1,2,11
40,50737,패배,자르반 4세,RSARTU,7,3,18,29564,2,46,5,245,7.4,0,2,6
41,50737,패배,니달리,So1o,8,9,12,23014,8,23,11,182,5.5,0,2,6
42,50737,패배,트위스티드 페이트,TeachersWu,8,6,8,15135,3,15,5,261,7.9,0,2,6
43,50737,패배,루시안,FVV BETTY,6,6,6,19012,1,23,7,230,7.0,0,2,6
44,50737,패배,쉔,FeelsLovelyMan,7,4,17,10524,10,39,11,85,2.6,0,2,6
45,50737,승리,카밀,세메론,4,7,7,24565,1,16,4,258,7.8,2,0,10
46,50737,승리,렝가,DS XiaoPeng,7,10,9,19507,3,34,23,158,4.8,2,0,10
47,50737,승리,아지르,mide gui tou,8,7,5,29190,7,17,8,243,7.4,2,0,10
48,50737,승리,미스 포츈,Veritas522,5,4,9,23179,1,13,8,290,8.8,2,0,10
49,50737,승리,탐 켄치,fengquyunbuhui,3,8,14,14438,7,44,7,72,2.2,2,0,10
50,50738,패배,마오카이,혼자해도충분하다,1,4,6,7953,1,10,6,171,6.6,0,1,2
51,50738,패배,쉬바나,일견무시도성빈,3,6,6,12506,3,7,5,121,4.6,0,1,2
52,50738,패배,라이즈,MSC TRY,2,5,3,11141,5,15,7,244,9.4,0,1,2
53,50738,패배,진,VIP 민형,10,4,5,16448,4,12,3,208,8.0,0,1,2
54,50738,패배,미스 포츈,FeelsLovelyMan,2,5,12,17171,10,32,7,49,1.9,0,1,2
55,50738,승리,케넨,WENJUNXI,5,2,9,18756,2,13,2,243,9.3,1,2,9
56,50738,승리,제이스,수입뿌드,8,6,10,17195,4,50,11,154,5.9,1,2,9
57,50738,승리,카사딘,mide gui tou,9,2,6,18304,4,7,6,211,8.1,1,2,9
58,50738,승리,시비르,풀 뜯는 미드,2,4,10,10781,0,11,3,251,9.6,1,2,9
59,50738,승리,오른,JAG S0hwan,0,4,15,7416,2,23,2,49,1.9,1,2,9
60,50739,패배,마오카이,푸딩은푸딩해,2,6,5,7994,1,7,2,82,4.2,0,2,0
61,50739,패배,세주아니,마이엠브,1,6,2,3193,7,30,6,123,6.3,0,2,0
62,50739,패배,제이스,Heart,2,5,2,8201,0,16,4,151,7.7,0,2,0
63,50739,패배,진,SKT T1 Bang,5,3,2,10098,1,9,1,128,6.5,0,2,0
64,50739,패배,제라스,FeelsLovelyMan,1,4,6,8408,7,18,7,18,0.9,0,2,0
65,50739,승리,피오라,SKT T1 Untara,4,2,3,13574,2,25,3,147,7.5,0,0,5
66,50739,승리,카직스,5gak,6,2,5,9840,2,26,4,96,4.9,0,0,5
67,50739,승리,아지르,11 14 9 7 8 20,11,3,5,17523,2,9,3,170,8.7,0,0,5
68,50739,승리,바루스,아이러니,1,0,5,7888,4,8,3,183,9.3,0,0,5
69,50739,승리,바드,선기박,2,4,8,6169,9,23,8,10,0.5,0,0,5
70,50740,패배,제이스,Jisu2,4,4,4,14613,2,25,7,218,8.3,0,1,3
71,50740,패배,니달리,해운대잠만보,4,6,5,9321,4,21,9,130,4.9,0,1,3
72,50740,패배,카사딘,11 14 9 7 8 20,4,8,4,15482,2,12,9,222,8.5,0,1,3
73,50740,패배,바루스,담원 얼라이브,2,6,7,16093,2,9,7,186,7.1,0,1,3
74,50740,패배,미스 포츈,FeelsLovelyMan,2,9,5,12599,7,23,9,46,1.8,0,1,3
75,50740,승리,카밀,Gazuaaaaaaa,6,3,7,16755,1,12,7,217,8.3,1,1,7
76,50740,승리,리 신,FVV BETTY,4,3,9,9657,3,33,1,148,5.6,1,1,7
77,50740,승리,조이,Yaharong,7,1,6,18802,3,24,8,242,9.2,1,1,7
78,50740,승리,트리스타나,코w코,11,4,8,16058,1,20,9,176,6.7,1,1,7
79,50740,승리,쉔,Heart,5,5,18,7913,7,26,7,63,2.4,1,1,7
80,50741,승리,카밀,Possible tts,8,7,9,24664,4,9,4,201,6.7,2,2,8
81,50741,승리,자르반 4세,FVV BETTY,6,5,22,13866,7,55,11,146,4.9,2,2,8
82,50741,승리,라이즈,Heart,14,4,11,27239,3,18,1,243,8.1,2,2,8
83,50741,승리,진,whisper snow,7,4,11,27512,2,11,6,229,7.7,2,2,8
84,50741,승리,알리스타,FeelsLovelyMan,1,4,16,11440,12,40,10,70,2.3,2,2,8
85,50741,패배,일라오이,이기자 할수있다,3,7,4,26107,3,14,1,219,7.3,0,1,4
86,50741,패배,킨드레드,Heiz4,8,10,10,24559,0,12,8,144,4.8,0,1,4
87,50741,패배,미스 포츈,덤벼보던가,6,7,8,25729,4,14,10,267,8.9,0,1,4
88,50741,패배,칼리스타,어껭간만에찾아뵙,5,6,6,18123,1,10,11,244,8.2,0,1,4
89,50741,패배,쉔,진쟤승,2,6,15,11010,5,35,9,51,1.7,0,1,4
90,50742,승리,케넨,WENJUNXI,9,3,10,32103,0,21,18,321,7.1,1,4,9
91,50742,승리,자르반 4세,Heart,5,8,17,16831,3,51,12,224,4.9,1,4,9
92,50742,승리,탈리야,푸딩은푸딩해,4,2,15,44388,4,25,13,432,9.5,1,4,9
93,50742,승리,진,비 브이 오 와이,8,4,12,50791,4,20,13,312,6.9,1,4,9
94,50742,승리,탐 켄치,FeelsLovelyMan,3,5,17,13721,19,76,24,89,2.0,1,4,9
