,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10494,패배,마오카이,오뚜기3분미트볼,3,7,1,12106,0,10,8,166,6.7,1,1,0
1,10494,패배,자르반 4세,FeelsPepsiMan,4,6,5,6972,6,39,8,104,4.2,1,1,0
2,10494,패배,아지르,Hide on bush,1,4,6,10126,2,11,14,242,9.8,1,1,0
3,10494,패배,진,fndasjkfkqw,3,5,0,9921,1,20,7,172,6.9,1,1,0
4,10494,패배,탐 켄치,12월27,0,7,5,4884,10,33,15,39,1.6,1,1,0
5,10494,승리,제이스,JAG S0hwan,5,4,9,23554,1,20,1,204,8.2,0,0,7
6,10494,승리,렝가,twice손채영,8,4,9,15754,5,19,7,182,7.3,0,0,7
7,10494,승리,르블랑,chirchri,6,2,4,12287,4,18,6,178,7.2,0,0,7
8,10494,승리,칼리스타,학식먹을나이,7,0,10,16279,2,28,10,281,11.3,0,0,7
9,10494,승리,블리츠크랭크,IgNar,3,1,13,5830,8,53,13,44,1.8,0,0,7
10,10495,패배,제이스,ROX Lindarang,1,7,0,6357,1,13,1,76,4.8,0,0,0
11,10495,패배,자르반 4세,FeelsPepsiMan,0,1,1,1197,2,1,0,61,3.9,0,0,0
12,10495,패배,리산드라,꾸자니 똑땅해,0,2,1,3940,1,14,1,125,8.0,0,0,0
13,10495,패배,바루스,VIP 민형,0,6,0,4669,2,4,2,67,4.3,0,0,0
14,10495,패배,카르마,11 14 9 7 8 20,0,8,0,4007,1,7,1,9,0.6,0,0,0
15,10495,승리,마오카이,우철짱123,7,1,7,7603,1,6,2,102,6.5,0,1,5
16,10495,승리,카직스,매우뚱뚱한고양이,11,0,1,7140,5,11,3,88,5.6,0,1,5
17,10495,승리,아지르,LFT MID,0,0,1,4762,0,5,1,138,8.8,0,1,5
18,10495,승리,이즈리얼,RRRuleRRR,2,0,9,7811,0,7,2,130,8.3,0,1,5
19,10495,승리,제라스,DWG ShowMaker,4,0,9,6553,4,8,1,11,0.7,0,1,5
20,10496,패배,마오카이,ROX Hoon,1,3,7,10626,1,13,3,223,7.6,0,0,2
21,10496,패배,자르반 4세,FeelsPepsiMan,4,5,8,7904,6,52,20,115,3.9,0,0,2
22,10496,패배,오리아나,LFT MID,6,5,3,16084,5,10,7,263,9.0,0,0,2
23,10496,패배,진,FeelsWowMan,3,8,6,10221,4,13,5,241,8.2,0,0,2
24,10496,패배,미스 포츈,SKT T1 WoIf,3,8,5,12641,6,47,23,48,1.6,0,0,2
25,10496,승리,제이스,담원 너구리,6,2,5,25690,4,33,5,299,10.2,1,2,11
26,10496,승리,카직스,sanspareil1,14,3,4,21742,7,13,13,145,4.9,1,2,11
27,10496,승리,트위스티드 페이트,PawN God,3,4,10,16548,3,31,19,233,7.9,1,2,11
28,10496,승리,시비르,SKT T1 Bang,3,3,7,12153,4,26,9,285,9.7,1,2,11
29,10496,승리,쓰레쉬,twice손채영,2,6,13,5358,17,42,25,46,1.6,1,2,11
30,10497,승리,사이온,빅파이초코파이,3,3,12,17733,1,23,3,201,7.1,1,0,10
31,10497,승리,렝가,9346,12,5,7,17404,1,25,11,173,6.1,1,0,10
32,10497,승리,오리아나,LFT MID,3,2,11,17051,2,8,4,265,9.3,1,0,10
33,10497,승리,이즈리얼,튀자튀자아,11,3,9,30063,2,14,4,214,7.5,1,0,10
34,10497,승리,탐 켄치,FeelsPepsiMan,1,3,13,6330,9,36,5,50,1.8,1,0,10
35,10497,패배,제이스,Flyquest Flame,3,11,2,17962,3,24,3,183,6.4,0,2,3
36,10497,패배,카직스,PawN God,5,6,5,16182,6,16,8,128,4.5,0,2,3
37,10497,패배,트위스티드 페이트,TeachersWu,4,4,7,15309,2,13,8,177,6.2,0,2,3
38,10497,패배,자야,11 14 9 7 8 20,3,4,5,23367,2,12,3,271,9.5,0,2,3
39,10497,패배,브라움,Afreeca Kuro,1,5,6,6073,7,34,10,56,2.0,0,2,3
40,10498,승리,갱플랭크,11 14 9 7 8 20,7,6,5,24988,1,18,4,277,8.9,0,2,11
41,10498,승리,자르반 4세,FeelsPepsiMan,2,3,13,5989,6,49,12,134,4.3,0,2,11
42,10498,승리,오리아나,LFT MID,4,4,14,18403,5,10,6,244,7.8,0,2,11
43,10498,승리,자야,Haemam,15,3,5,22112,2,20,12,299,9.6,0,2,11
44,10498,승리,라칸,Sake of it,2,2,20,10751,9,37,8,18,0.6,0,2,11
45,10498,패배,노틸러스,Please find it,3,6,4,11623,1,19,2,183,5.9,1,0,1
46,10498,패배,녹턴,9346,5,3,9,15544,0,20,11,157,5.0,1,0,1
47,10498,패배,말자하,Afreeca Kuro,5,5,5,19764,2,16,8,286,9.2,1,0,1
48,10498,패배,이즈리얼,튀자튀자아,4,10,7,23050,5,19,8,228,7.3,1,0,1
49,10498,패배,카르마,Misdate,1,6,10,13181,13,32,15,43,1.4,1,0,1
50,10499,승리,나르,FeelsPepsiMan,2,5,11,29380,2,40,13,396,9.2,1,1,9
51,10499,승리,니달리,담원 크러쉬,13,5,10,31464,11,35,23,233,5.4,1,1,9
52,10499,승리,리산드라,꾸자니 똑땅해,3,13,11,24729,3,45,14,312,7.2,1,1,9
53,10499,승리,진,Peecaboo,7,3,13,43345,3,13,9,418,9.7,1,1,9
54,10499,승리,탐 켄치,taesang,1,8,19,12990,16,55,26,87,2.0,1,1,9
55,10499,패배,사이온,atlenismydaddy,2,4,9,21144,8,27,11,334,7.8,1,2,5
56,10499,패배,엘리스,작전동 노란머리,8,7,20,27326,11,78,35,219,5.1,1,2,5
57,10499,패배,조이,bbq Tempt,9,5,18,52847,6,20,5,350,8.1,1,2,5
58,10499,패배,바루스,Atlen,10,4,12,51672,3,27,13,286,6.6,1,2,5
59,10499,패배,쓰레쉬,Fission,5,6,15,11441,13,63,8,51,1.2,1,2,5
60,10500,패배,마오카이,분실 된 지혜,2,5,2,11154,0,10,1,156,6.4,0,0,0
61,10500,패배,자르반 4세,FeelsPepsiMan,2,4,4,9628,4,44,13,120,4.9,0,0,0
62,10500,패배,카사딘,UcaL,1,3,2,9861,1,11,6,230,9.4,0,0,0
63,10500,패배,트리스타나,FeelsWowMan,2,5,5,10401,3,19,5,196,8.0,0,0,0
64,10500,패배,블리츠크랭크,play ni ma sup,2,6,4,5300,4,23,7,32,1.3,0,0,0
65,10500,승리,카밀,로리쇼타조아욘,8,1,1,17454,2,12,3,234,9.6,1,3,11
66,10500,승리,렉사이,Meigui,7,1,7,7958,2,20,8,152,6.2,1,3,11
67,10500,승리,라이즈,이치방츠요이야츠,3,2,5,17093,4,20,10,245,10.0,1,3,11
68,10500,승리,미스 포츈,Bvoy,4,4,9,17728,2,11,5,194,7.9,1,3,11
69,10500,승리,알리스타,호잇이,1,1,14,6659,7,29,13,55,2.3,1,3,11
