,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3619,승리,갱플랭크,love left,4,4,9,20590,6,17,1,217,8.1,1,1,4
1,3619,승리,세주아니,FeelsSosoMan,7,2,15,12883,6,24,6,134,5.0,1,1,4
2,3619,승리,아지르,KDM PERT,4,2,8,17682,4,16,15,229,8.6,1,1,4
3,3619,승리,바루스,Yeeclipse,6,2,13,21987,1,11,4,209,7.8,1,1,4
4,3619,승리,잔나,XinMo,6,3,18,13482,15,63,9,15,0.6,1,1,4
5,3619,패배,마오카이,푸딩은푸딩해,4,5,5,12128,2,11,6,193,7.2,0,2,3
6,3619,패배,쉬바나,ROX 곰,4,3,3,18273,8,10,9,201,7.5,0,2,3
7,3619,패배,르블랑,Firework37,3,4,3,15427,3,12,7,188,7.0,0,2,3
8,3619,패배,애쉬,Zhongdan XD,1,7,5,11198,5,13,11,197,7.4,0,2,3
9,3619,패배,쉔,PeanuToT,1,8,8,4651,7,32,19,61,2.3,0,2,3
10,3620,승리,제이스,mcmglllc,1,4,1,6081,0,16,1,165,8.0,0,0,6
11,3620,승리,카직스,FeelsSosoMan,1,1,1,3449,4,16,3,135,6.6,0,0,6
12,3620,승리,카사딘,By myself,0,1,1,4436,5,13,6,199,9.7,0,0,6
13,3620,승리,칼리스타,담원 얼라이브,3,0,1,4564,2,16,7,203,9.9,0,0,6
14,3620,승리,쓰레쉬,선기박,0,0,4,1779,11,22,4,30,1.5,0,0,6
15,3620,패배,카밀,담원 너구리,3,2,0,9596,4,12,5,176,8.6,0,1,0
16,3620,패배,렉사이,Wilder,3,0,0,6689,2,19,10,167,8.1,0,1,0
17,3620,패배,말자하,Heart,0,0,0,469,0,2,0,13,0.6,0,1,0
18,3620,패배,바루스,mide gui tou,0,2,0,3794,2,9,3,157,7.6,0,1,0
19,3620,패배,벨코즈,MSC TRY,0,1,2,5877,4,22,4,49,2.4,0,1,0
20,3621,승리,마오카이,담원 너구리,5,5,8,20929,4,21,17,296,7.5,1,4,10
21,3621,승리,이즈리얼,작전동 노란머리,8,3,12,28847,9,50,33,322,8.2,1,4,10
22,3621,승리,아지르,이도류,4,6,6,25762,5,21,25,364,9.2,1,4,10
23,3621,승리,바루스,아 백,7,2,9,20892,6,18,28,293,7.4,1,4,10
24,3621,승리,제라스,FeelsSosoMan,6,3,11,28413,5,49,15,75,1.9,1,4,10
25,3621,패배,제이스,해운대잠만보,4,7,6,28812,2,47,16,328,8.3,1,1,4
26,3621,패배,리 신,Wilder,6,8,6,14983,7,55,17,143,3.6,1,1,4
27,3621,패배,탈리야,IGS Dasher,2,5,5,19510,9,29,8,332,8.4,1,1,4
28,3621,패배,칼리스타,DWG ShowMaker,2,7,8,10880,5,31,12,355,9.0,1,1,4
29,3621,패배,자이라,삼성갤럭시CoreJJ,5,3,10,33991,14,90,31,105,2.7,1,1,4
30,3622,승리,제이스,삶이힘든사람,6,3,1,23297,6,44,10,356,9.8,1,3,8
31,3622,승리,쉬바나,FeelsSosoMan,8,2,6,20877,10,26,23,251,6.9,1,3,8
32,3622,승리,신드라,으아으앙으아앙,6,3,7,24426,4,31,20,363,10.0,1,3,8
33,3622,승리,미스 포츈,FVV BETTY,1,3,8,16470,5,37,23,320,8.8,1,3,8
34,3622,승리,쉔,TeawaN,1,7,7,3724,17,89,19,54,1.5,1,3,8
35,3622,패배,마오카이,우에하라 크롱,0,4,7,9127,3,19,15,238,6.6,1,1,6
36,3622,패배,렝가,kenzhu9,1,5,8,14978,11,72,19,231,6.4,1,1,6
37,3622,패배,아지르,피넛사냥개1,6,5,4,20702,3,41,15,311,8.6,1,1,6
