,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40377,패배,잭스,TOP아빠,7,8,9,38191,9,33,4,356,9.0,1,2,8
1,40377,패배,렝가,Seroum,6,4,8,25739,5,10,12,194,4.9,1,2,8
2,40377,패배,탈리야,최석배 사생팬,7,5,7,30816,7,14,8,400,10.1,1,2,8
3,40377,패배,칼리스타,fengquyunbuhui,5,8,9,16181,1,16,20,324,8.1,1,2,8
4,40377,패배,미스 포츈,Find Realey,3,10,7,16166,9,102,28,74,1.9,1,2,8
5,40377,승리,마오카이,Nem2sis,1,3,7,27017,3,20,5,286,7.2,1,0,8
6,40377,승리,카직스,9346,10,8,6,24949,3,21,19,173,4.4,1,0,8
7,40377,승리,트위스티드 페이트,UcaL,6,6,8,25250,4,18,5,426,10.7,1,0,8
8,40377,승리,진,구름꽃길만걷자,16,4,8,42181,3,13,15,368,9.3,1,0,8
9,40377,승리,쉔,Nova1,2,7,17,7077,26,80,33,89,2.2,1,0,8
10,40378,패배,오른,삶이힘든사람,3,4,10,17199,5,19,10,271,8.5,0,0,2
11,40378,패배,렉사이,find myself,5,5,10,12111,4,15,15,154,4.8,0,0,2
12,40378,패배,라이즈,마산가자,4,6,4,17726,4,26,9,273,8.6,0,0,2
13,40378,패배,진,구름꽃길만걷자,7,4,6,23207,2,13,19,266,8.3,0,0,2
14,40378,패배,제라스,Find Realey,1,6,7,13327,8,31,32,59,1.8,0,0,2
15,40378,승리,갱플랭크,뒷텔와드점,7,2,8,25906,2,20,8,312,9.8,0,3,8
16,40378,승리,카직스,appearflawless,7,4,6,21984,5,43,8,162,5.1,0,3,8
17,40378,승리,오리아나,미율치에오,7,7,4,21057,2,33,13,289,9.1,0,3,8
18,40378,승리,미스 포츈,VIP 민형,3,3,5,19721,3,13,9,261,8.2,0,3,8
19,40378,승리,브라움,fengquyunbuhui,1,4,11,8185,9,64,16,66,2.1,0,3,8
20,40379,패배,갱플랭크,xiaolonda,1,3,1,5531,2,11,0,128,5.9,0,0,1
21,40379,패배,세주아니,욘 드,0,3,3,5430,4,9,4,126,5.8,0,0,1
22,40379,패배,카타리나,duibuqiziji,3,4,0,6550,1,7,0,159,7.3,0,0,1
23,40379,패배,시비르,비 브이 오 와이,1,3,0,9526,2,10,3,206,9.5,0,0,1
24,40379,패배,레오나,Find Realey,0,3,3,3572,4,20,7,36,1.7,0,0,1
25,40379,승리,럼블,삶이힘든사람,4,2,5,13627,2,10,3,203,9.4,1,3,5
26,40379,승리,쉬바나,킹갓엠페러무진,6,2,6,7810,4,8,3,141,6.5,1,3,5
27,40379,승리,아지르,너와나의연결Gori,2,0,1,8556,2,11,1,215,9.9,1,3,5
28,40379,승리,진,AGanQAQ,3,1,7,9398,0,7,1,177,8.2,1,3,5
29,40379,승리,탐 켄치,YserAoA,1,0,8,4422,5,23,1,58,2.7,1,3,5
30,40380,승리,오른,pokeryo,2,4,15,17863,4,32,15,269,6.8,1,1,9
31,40380,승리,카직스,Boldness,14,5,9,25025,1,7,20,243,6.2,1,1,9
32,40380,승리,갈리오,SP님이다,8,5,22,30405,4,23,13,304,7.7,1,1,9
33,40380,승리,진,JAG SnowFlower,10,7,14,40067,5,33,21,292,7.4,1,1,9
34,40380,승리,미스 포츈,Find Realey,4,3,23,26430,10,106,48,88,2.2,1,1,9
35,40380,패배,제이스,WENJUNXI,10,6,5,38149,4,38,10,334,8.5,1,2,3
36,40380,패배,엘리스,GReenshower,3,9,7,16121,12,30,33,248,6.3,1,2,3
37,40380,패배,말자하,마산가자,4,8,5,25532,7,21,10,322,8.2,1,2,3
38,40380,패배,루시안,Gambit Support,2,7,8,18190,3,16,27,296,7.5,1,2,3
39,40380,패배,쉔,wojuede OK,4,8,8,7615,15,93,24,83,2.1,1,2,3
40,40381,패배,카밀,담원 너구리,7,9,5,40606,7,27,20,318,8.0,1,3,4
41,40381,패배,쉬바나,ROX 곰,10,6,7,23397,4,37,16,309,7.8,1,3,4
42,40381,패배,라이즈,Kingen,4,11,5,37352,0,15,6,341,8.6,1,3,4
43,40381,패배,애쉬,161561,1,22,7,14682,4,10,5,227,5.7,1,3,4
44,40381,패배,미스 포츈,Find Realey,7,6,4,25213,6,69,31,143,3.6,1,3,4
45,40381,승리,제이스,CutieMisaki,7,5,17,31069,3,45,11,264,6.7,1,2,9
46,40381,승리,자르반 4세,남 탓 보 다 반성,8,5,17,19253,8,65,24,257,6.5,1,2,9
47,40381,승리,카사딘,El psy Congro0,7,9,17,28506,6,21,6,206,5.2,1,2,9
48,40381,승리,진,LPL noob ad QAQ,18,4,17,41927,3,17,13,289,7.3,1,2,9
49,40381,승리,제라스,11 14 9 7 8 20,14,6,21,43999,1,19,8,119,3.0,1,2,9
50,40382,패배,블라디미르,담원 너구리,1,2,1,11777,4,14,4,252,10.1,0,0,0
51,40382,패배,엘리스,종학윙,4,5,1,6012,6,11,10,114,4.5,0,0,0
52,40382,패배,제이스,11 14 9 7 8 20,2,9,1,17241,3,9,4,208,8.3,0,0,0
53,40382,패배,미스 포츈,어껭간만에찾아뵙,1,5,3,7037,1,10,3,170,6.8,0,0,0
54,40382,패배,나미,Find Realey,1,5,4,5482,6,23,19,31,1.2,0,0,0
55,40382,승리,카사딘,남 탓 보 다 반성,4,1,3,16661,1,12,2,195,7.8,1,2,8
56,40382,승리,세주아니,마이엠브,10,2,8,10031,6,39,3,182,7.3,1,2,8
57,40382,승리,자르반 4세,Kingen,4,4,9,12538,0,22,5,219,8.7,1,2,8
58,40382,승리,이즈리얼,Bvoy,6,1,10,21125,2,13,8,248,9.9,1,2,8
59,40382,승리,카르마,토마토페이스트,1,1,15,7879,8,29,9,29,1.2,1,2,8
60,40383,승리,제이스,chorongie,1,2,0,5933,2,24,10,181,8.2,0,2,9
61,40383,승리,렝가,DS XiaoPeng,5,0,4,10132,3,20,8,122,5.6,0,2,9
62,40383,승리,신드라,검은머리사나이,2,0,5,8626,4,12,2,211,9.6,0,2,9
63,40383,승리,미스 포츈,ARE2A,5,1,7,13006,2,8,10,150,6.8,0,2,9
64,40383,승리,나미,Find Realey,4,1,7,6343,8,28,12,19,0.9,0,2,9
65,40383,패배,카밀,SKT T1 Untara,2,3,0,5636,3,12,7,155,7.1,0,0,2
66,40383,패배,세주아니,SKT T1 WoIf,0,6,1,4036,3,23,9,129,5.9,0,0,2
67,40383,패배,카르마,GuGer,0,1,1,8789,5,13,3,174,7.9,0,0,2
68,40383,패배,진,Atlen,2,4,0,6025,1,5,2,173,7.9,0,0,2
69,40383,패배,소라카,YOYOuuuuuO,0,3,1,4284,5,25,7,11,0.5,0,0,2
70,40384,승리,나르,FVV BETTY,3,7,6,21450,1,20,4,222,6.9,1,4,10
71,40384,승리,쉬바나,작전동 노란머리,6,1,4,14443,13,14,19,298,9.3,1,4,10
72,40384,승리,라이즈,IGS Dasher,2,3,5,12677,4,19,11,285,8.9,1,4,10
73,40384,승리,트리스타나,Mengqiuqiu,2,1,7,14265,0,26,8,241,7.5,1,4,10
74,40384,승리,쉔,Find Realey,1,2,7,5493,10,40,9,50,1.6,1,4,10
75,40384,패배,마오카이,Alielie,1,4,6,13718,10,9,2,167,5.2,0,0,5
76,40384,패배,리 신,여청추,4,3,5,10461,5,47,16,136,4.2,0,0,5
77,40384,패배,오리아나,republic123,1,2,5,20809,3,13,6,332,10.3,0,0,5
78,40384,패배,미스 포츈,Afreeca Aiming,8,3,0,27327,4,14,14,311,9.7,0,0,5
79,40384,패배,레오나,YserAoA,0,2,7,3548,11,29,10,55,1.7,0,0,5
80,40385,패배,오른,Lvmao,2,3,1,9365,2,8,1,129,7.6,0,0,0
81,40385,패배,카직스,XinyiQAQ,2,3,2,3872,3,7,3,66,3.9,0,0,0
82,40385,패배,벨코즈,IGS Dasher,0,3,0,4105,2,17,4,142,8.4,0,0,0
83,40385,패배,미스 포츈,Yeeclipse,0,2,1,9246,1,7,1,156,9.2,0,0,0
84,40385,패배,잔나,Find Realey,1,2,0,5782,2,9,6,11,0.6,0,0,0
85,40385,승리,갱플랭크,sanspareil1,2,2,1,7765,0,9,2,127,7.5,0,1,3
86,40385,승리,니달리,니달리버프좀해줘,6,2,4,6584,3,14,2,98,5.8,0,1,3
87,40385,승리,아지르,mide gui tou,4,0,1,7478,3,10,5,193,11.4,0,1,3
88,40385,승리,시비르,LPL noob ad QAQ,0,0,3,4058,1,7,1,153,9.0,0,1,3
89,40385,승리,타릭,YOYOuuuuuO,1,1,3,2427,2,9,1,33,1.9,0,1,3
90,40386,승리,블라디미르,kfo,3,3,4,14828,1,11,4,209,8.5,0,1,1
91,40386,승리,쉬바나,마이엠브,9,5,7,13151,8,25,16,159,6.4,0,1,1
92,40386,승리,르블랑,세메론,4,0,11,15357,1,13,5,217,8.8,0,1,1
93,40386,승리,케이틀린,아트가 앗뜨거,8,3,6,11988,4,12,9,200,8.1,0,1,1
94,40386,승리,소라카,Find Realey,1,6,14,6025,3,23,7,14,0.6,0,1,1
95,40386,패배,자르반 4세,Rain1ng,3,2,7,15639,1,10,1,199,8.0,0,1,3
96,40386,패배,엘리스,CatRats,1,8,2,6406,2,38,12,101,4.1,0,1,3
97,40386,패배,야스오,R0ver,2,6,3,12394,1,6,3,208,8.4,0,1,3
98,40386,패배,애쉬,선비모드,5,4,9,16576,5,11,6,206,8.3,0,1,3
99,40386,패배,미스 포츈,GuGer,6,5,6,15931,7,32,11,61,2.5,0,1,3
100,40387,승리,제이스,무슨말이야,6,2,13,25158,2,24,6,182,6.8,1,3,11
101,40387,승리,쉬바나,말고 계속 항복,8,1,9,16760,6,13,4,176,6.5,1,3,11
102,40387,승리,제라스,킬안주면꼬라박음,4,4,12,20230,2,24,5,206,7.6,1,3,11
103,40387,승리,자야,kn9ght,3,6,9,12998,0,10,5,243,9.0,1,3,11
104,40387,승리,쉔,Find Realey,6,2,15,9150,8,26,9,53,2.0,1,3,11
105,40387,패배,블라디미르,Kingen,1,11,5,15709,2,12,1,172,6.4,0,0,1
106,40387,패배,세주아니,아트가 앗뜨거,3,4,3,8566,4,35,6,128,4.8,0,0,1
107,40387,패배,아지르,2Kano,9,1,3,22450,0,11,8,255,9.5,0,0,1
108,40387,패배,바루스,SnakeLight,0,3,5,14153,0,9,7,248,9.2,0,0,1
109,40387,패배,알리스타,KDM PERT,2,8,7,7714,3,24,8,39,1.4,0,0,1
110,40388,패배,쉔,원딜둥이,3,7,4,7629,1,13,7,176,6.5,0,0,0
111,40388,패배,렝가,PeanuToT,10,7,4,17692,4,17,7,155,5.7,0,0,0
112,40388,패배,트위스티드 페이트,상어가족,3,7,5,11723,1,6,6,217,8.0,0,0,0
113,40388,패배,미스 포츈,FVV BETTY,1,6,7,19336,3,19,5,218,8.0,0,0,0
114,40388,패배,레오나,Find Realey,3,6,7,6228,12,33,17,62,2.3,0,0,0
115,40388,승리,나르,MVP ADD,7,4,8,25329,4,28,5,234,8.6,1,3,10
116,40388,승리,카직스,매우뚱뚱한고양이,8,5,13,17942,6,20,11,137,5.1,1,3,10
117,40388,승리,라이즈,chirchri,8,3,11,22992,4,8,7,258,9.5,1,3,10
118,40388,승리,진,담원 얼라이브,6,5,11,15680,3,10,6,228,8.4,1,3,10
119,40388,승리,탐 켄치,진쟤승,4,4,19,10870,6,35,10,46,1.7,1,3,10
120,40389,승리,쉔,원딜둥이,7,3,9,14721,2,18,17,271,8.0,2,2,10
121,40389,승리,카직스,PeanuToT,10,3,9,23166,6,37,11,215,6.3,2,2,10
122,40389,승리,트위스티드 페이트,상어가족,4,4,5,16190,3,13,10,268,7.9,2,2,10
123,40389,승리,진,ROX Sangyoon,7,3,6,20123,3,11,11,291,8.6,2,2,10
124,40389,승리,제라스,Find Realey,1,3,10,23106,10,39,28,66,1.9,2,2,10
125,40389,패배,갱플랭크,ROX Lindarang,5,4,3,22182,2,16,3,299,8.8,0,0,4
126,40389,패배,리 신,PuncHh,4,6,4,8981,14,69,8,138,4.1,0,0,4
127,40389,패배,아지르,chirchri,3,4,4,25452,3,16,6,289,8.5,0,0,4
128,40389,패배,바루스,FVV BETTY,1,6,7,17108,3,10,5,249,7.3,0,0,4
129,40389,패배,미스 포츈,FeelsSosoMan,3,9,5,13625,6,60,10,64,1.9,0,0,4
130,40390,승리,오른,7hal,5,2,10,17905,2,9,7,224,7.1,1,3,7
131,40390,승리,니달리,ROX Se0ngHwan,3,7,9,11963,6,54,21,139,4.4,1,3,7
132,40390,승리,아지르,KDM PERT,6,3,4,21525,5,16,18,266,8.4,1,3,7
133,40390,승리,시비르,풀 뜯는 미드,7,4,9,24965,2,15,15,341,10.8,1,3,7
134,40390,승리,카르마,Find Realey,2,5,18,11907,11,37,20,28,0.9,1,3,7
135,40390,패배,케넨,jkasjhiufgha,0,7,5,18177,5,16,9,244,7.7,0,0,3
136,40390,패배,자르반 4세,정글노바,2,6,9,9847,7,47,11,151,4.8,0,0,3
137,40390,패배,라이즈,춘봉박,7,3,3,11677,3,9,8,287,9.1,0,0,3
138,40390,패배,진,PeanuToT,5,5,8,18181,4,30,12,271,8.6,0,0,3
139,40390,패배,쉔,호잇이,7,2,9,11481,10,45,17,86,2.7,0,0,3
140,40391,패배,오른,커피물조절장인,0,4,5,9391,2,10,2,158,7.0,0,0,0
141,40391,패배,잭스,ysdgqxcj,3,5,4,6338,3,10,6,83,3.7,0,0,0
142,40391,패배,라이즈,푸딩은푸딩해,5,2,2,13124,3,7,1,187,8.3,0,0,0
143,40391,패배,드레이븐,FeelsWowMan,1,5,2,8539,2,10,2,170,7.5,0,0,0
144,40391,패배,브라움,Find Realey,0,3,3,4466,8,25,6,39,1.7,0,0,0
145,40391,승리,판테온,God보보,5,1,2,8243,4,13,2,191,8.5,1,2,7
146,40391,승리,세주아니,Fission,1,0,14,6857,4,21,2,127,5.6,1,2,7
147,40391,승리,카시오페아,11 14 9 7 8 20,2,6,10,16630,2,11,2,165,7.3,1,2,7
148,40391,승리,칼리스타,deft123456,11,0,3,16323,1,9,10,245,10.9,1,2,7
149,40391,승리,쉔,리인제이,0,2,14,4920,4,28,3,48,2.1,1,2,7
150,40392,승리,갱플랭크,담원 너구리,3,2,0,2297,0,3,0,65,6.5,0,0,7
151,40392,승리,엘리스,좋은날,3,1,1,1783,0,4,0,36,3.6,0,0,7
152,40392,승리,제이스,love left,4,1,2,2819,0,6,1,54,5.4,0,0,7
153,40392,승리,진,Rachel Berry,3,0,4,3684,0,2,0,49,4.9,0,0,7
154,40392,승리,레오나,Find Realey,1,1,1,1905,0,2,0,12,1.2,0,0,7
155,40392,패배,케이틀린,ysdgqxcj,0,0,1,80,0,0,0,0,0.0,0,1,0
156,40392,패배,그레이브즈,리인제이,2,3,1,3481,0,6,1,61,6.1,0,1,0
157,40392,패배,미스 포츈,천점못찍는벌레,0,4,0,946,0,4,0,0,0.0,0,1,0
158,40392,패배,야스오,미율치에오,2,6,0,2282,0,6,0,14,1.4,0,1,0
159,40392,패배,블리츠크랭크,Fission,1,1,1,559,0,0,0,1,0.1,0,1,0
160,40393,패배,카밀,미율치에오,3,3,2,9254,1,9,2,143,7.3,0,0,0
161,40393,패배,자르반 4세,리인제이,2,6,5,3524,5,16,7,98,5.0,0,0,0
162,40393,패배,카사딘,ysdgqxcj,0,4,2,4533,2,5,0,86,4.4,0,0,0
163,40393,패배,진,열심히하겠슴다,2,7,2,6423,1,8,2,136,6.9,0,0,0
164,40393,패배,카르마,Find Realey,5,6,4,7860,5,17,8,35,1.8,0,0,0
165,40393,승리,잭스,Possible tts,0,1,4,8499,0,9,1,179,9.1,0,1,9
166,40393,승리,이블린,love left,1,2,2,1642,1,22,2,119,6.1,0,1,9
167,40393,승리,카타리나,find myself,19,1,1,25678,1,4,2,152,7.7,0,1,9
168,40393,승리,이즈리얼,Dingchenyu,4,3,12,14754,1,9,1,162,8.3,0,1,9
169,40393,승리,레오나,Z 2017 11 25,2,5,13,4191,5,24,6,28,1.4,0,1,9
170,40394,패배,카밀,해산물shangdan,1,4,3,4769,1,5,0,114,7.1,0,0,0
171,40394,패배,신 짜오,나는야베이베이1,1,7,2,4680,4,10,3,49,3.0,0,0,0
172,40394,패배,라이즈,춘봉박,1,5,2,6011,1,7,1,115,7.1,0,0,0
173,40394,패배,자야,FVV BETTY,2,5,0,4730,0,4,0,104,6.4,0,0,0
174,40394,패배,라칸,Find Realey,0,4,1,3782,4,12,4,10,0.6,0,0,0
175,40394,승리,올라프,코w코,7,3,3,9397,1,7,1,101,6.3,0,1,5
176,40394,승리,렝가,Jacen,4,1,4,4753,1,6,3,79,4.9,0,1,5
177,40394,승리,조이,담원 베리릴,2,0,6,7501,1,15,1,114,7.1,0,1,5
178,40394,승리,시비르,선비모드,8,1,6,13706,2,6,1,154,9.5,0,1,5
179,40394,승리,타릭,호경모드,4,0,15,4268,5,15,2,23,1.4,0,1,5
180,40395,승리,잭스,IndonesiaMassage,1,3,4,5189,0,4,1,111,5.2,1,0,7
181,40395,승리,세주아니,So1o,8,1,11,10928,7,31,6,127,6.0,1,0,7
182,40395,승리,루시안,11 14 9 7 8 20,17,2,5,24259,2,7,2,202,9.5,1,0,7
183,40395,승리,코그모,여청추,5,1,5,13383,3,8,6,174,8.2,1,0,7
184,40395,승리,브라움,Find Realey,0,2,13,3956,3,14,4,37,1.7,1,0,7
185,40395,패배,케넨,MVP ADD,1,3,2,10216,2,21,4,207,9.7,0,0,3
186,40395,패배,카밀,일견무시도성빈,3,10,2,7554,3,18,8,71,3.3,0,0,3
187,40395,패배,카사딘,sanspareil1,2,9,3,9882,1,9,0,124,5.8,0,0,3
188,40395,패배,칼리스타,play ni ma sup,3,5,1,8390,1,8,3,132,6.2,0,0,3
189,40395,패배,레오나,Sim Student,0,4,4,3735,5,18,3,41,1.9,0,0,3
190,40396,패배,마오카이,코w코,0,0,2,5006,2,8,3,160,8.3,0,0,1
191,40396,패배,트리스타나,ysdgqxcj,1,0,1,3183,3,15,1,83,4.3,0,0,1
192,40396,패배,탈리야,미율치에오,1,2,0,5442,1,15,3,202,10.5,0,0,1
193,40396,패배,이즈리얼,11 14 9 7 8 20,4,5,1,12566,0,6,2,164,8.5,0,0,1
194,40396,패배,브라움,Find Realey,0,2,5,3815,5,17,0,33,1.7,0,0,1
195,40396,승리,갱플랭크,Fabu,0,0,4,9042,1,11,2,180,9.4,0,0,2
196,40396,승리,자르반 4세,Meigui,1,2,5,4193,2,16,2,108,5.6,0,0,2
197,40396,승리,오리아나,LFT MID,5,0,2,10116,1,5,11,190,9.9,0,0,2
198,40396,승리,미스 포츈,퓨 Zl,3,1,4,10620,2,9,4,148,7.7,0,0,2
199,40396,승리,노틸러스,MinKOOK2,0,3,7,4966,5,17,4,29,1.5,0,0,2
