,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50138,승리,나르,RVS Poss,4,6,6,14913,3,15,5,193,6.9,1,2,9
1,50138,승리,니달리,종학윙,5,1,8,9951,4,20,10,177,6.3,1,2,9
2,50138,승리,르블랑,Fotune,7,3,3,22303,3,23,3,198,7.1,1,2,9
3,50138,승리,베인,Afreeca Kramer,10,0,5,22897,4,15,8,290,10.4,1,2,9
4,50138,승리,알리스타,진에어 저스티스,0,0,13,4280,11,44,10,46,1.6,1,2,9
5,50138,패배,갱플랭크,Cuz2,4,7,0,11548,1,14,2,197,7.0,0,1,3
6,50138,패배,카직스,PeanuToT,3,3,3,12713,4,24,11,143,5.1,0,1,3
7,50138,패배,아지르,마산가자,3,3,3,23374,4,13,12,264,9.4,0,1,3
8,50138,패배,이즈리얼,Excal1bur1,0,8,2,16571,2,11,3,219,7.8,0,1,3
9,50138,패배,카르마,FeelsCoffeeMan,0,5,3,9281,6,23,10,26,0.9,0,1,3
10,50139,패배,카밀,pppyp,1,8,6,17111,1,15,13,225,6.8,1,1,2
11,50139,패배,카직스,Fotune,4,9,12,15956,3,31,9,187,5.6,1,1,2
12,50139,패배,라이즈,ysdgqxcj,9,5,9,23776,1,15,3,288,8.7,1,1,2
13,50139,패배,미스 포츈,너만재미써,9,7,12,36303,3,11,10,216,6.5,1,1,2
14,50139,패배,레오나,Detiny,2,8,16,9617,19,66,13,56,1.7,1,1,2
15,50139,승리,피오라,Delicious Fish,5,4,7,26312,0,44,3,313,9.4,1,3,8
16,50139,승리,렝가,죠토마킹,17,7,8,27192,2,21,10,178,5.4,1,3,8
17,50139,승리,탈리야,1112213311,6,4,13,29102,4,16,6,288,8.7,1,3,8
18,50139,승리,진,점점나의마음이끌,6,4,15,22324,5,12,11,246,7.4,1,3,8
19,50139,승리,쓰레쉬,신이 진짜 야하네,3,6,17,8521,6,34,15,41,1.2,1,3,8
20,50140,패배,카밀,미율치에오,5,12,3,20784,1,14,4,176,5.3,1,1,2
