,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60757,승리,제이스,Delicious Fish,5,1,0,14228,3,22,5,185,9.3,0,2,8
1,60757,승리,니달리,점점나의마음이끌,0,0,5,5608,4,19,7,125,6.3,0,2,8
2,60757,승리,탈리야,Lucete,3,1,3,10864,3,11,4,185,9.3,0,2,8
3,60757,승리,트리스타나,GALA,8,1,1,5634,4,19,4,190,9.6,0,2,8
4,60757,승리,마오카이,Nova1,0,1,9,4939,8,18,9,41,2.1,0,2,8
5,60757,패배,카밀,Co1dplay,2,2,0,4076,2,9,5,140,7.1,0,0,0
6,60757,패배,카직스,So1o,0,2,2,3738,5,15,6,103,5.2,0,0,0
7,60757,패배,르블랑,Jin air Yaharong,1,4,0,7076,2,20,6,150,7.6,0,0,0
8,60757,패배,진,김메피,1,5,1,4470,2,9,3,150,7.6,0,0,0
9,60757,패배,제라스,강고릴,0,3,2,8103,1,9,8,33,1.7,0,0,0
10,60758,패배,사이온,JAG S0hwan,2,1,7,13306,5,16,2,214,7.5,0,0,2
11,60758,패배,엘리스,작전동 노란머리,1,4,10,12376,10,50,19,150,5.3,0,0,2
12,60758,패배,아지르,진에어 저스티스,5,4,3,20891,3,15,16,232,8.1,0,0,2
13,60758,패배,진,GALA,7,5,5,18389,3,11,1,196,6.9,0,0,2
14,60758,패배,오른,진쟤승,4,3,6,9700,2,28,8,62,2.2,0,0,2
15,60758,승리,나르,커피물조절장인,3,6,4,13560,3,27,6,232,8.1,1,2,10
16,60758,승리,세주아니,So1o,1,2,9,10765,5,46,7,148,5.2,1,2,10
17,60758,승리,제이스,ysdgqxcj,8,2,5,22843,3,9,10,262,9.2,1,2,10
18,60758,승리,트리스타나,RRRuleRRR,2,5,8,26702,3,19,10,245,8.6,1,2,10
19,60758,승리,브라움,Nova1,3,4,7,7952,16,48,24,52,1.8,1,2,10
20,60759,패배,나르,Co1dplay,4,3,3,12332,3,25,4,222,8.5,0,1,4
21,60759,패배,엘리스,마이엠브,7,4,4,14315,10,29,6,136,5.2,0,1,4
22,60759,패배,조이,PawN God,2,7,4,13032,3,24,4,209,8.0,0,1,4
23,60759,패배,미스 포츈,GALA,3,4,2,13559,2,19,3,190,7.3,0,1,4
24,60759,패배,알리스타,강고릴,0,2,5,2949,9,31,7,37,1.4,0,1,4
25,60759,승리,카밀,TnTeddy,1,7,5,12730,2,13,3,213,8.2,0,2,6
26,60759,승리,쉬바나,75387,7,2,2,8106,6,12,15,171,6.6,0,2,6
27,60759,승리,코르키,ysdgqxcj,10,1,2,23028,2,12,11,280,10.8,0,2,6
28,60759,승리,코그모,6학년4반장용준,2,3,2,11232,1,11,5,249,9.6,0,2,6
29,60759,승리,브라움,GuGer,0,3,6,5956,10,31,18,61,2.3,0,2,6
30,60760,승리,제이스,chirchri,1,2,9,13065,5,21,2,202,9.2,1,0,8
31,60760,승리,카직스,피넛사냥개1,9,1,7,13363,4,17,2,114,5.2,1,0,8
32,60760,승리,말자하,APK Rainbow,6,0,8,8871,2,10,3,209,9.5,1,0,8
33,60760,승리,미스 포츈,GALA,12,1,9,24929,3,17,3,166,7.5,1,0,8
34,60760,승리,브라움,supbest,2,5,15,5889,5,23,5,24,1.1,1,0,8
35,60760,패배,피오라,kenzhu9,2,5,1,5290,1,10,5,189,8.6,0,2,0
36,60760,패배,쉬바나,TeawaN,4,9,4,9915,3,9,7,131,5.9,0,2,0
37,60760,패배,라이즈,Lucete,1,5,3,5196,2,8,2,159,7.2,0,2,0
38,60760,패배,진,Yumemiru Shonen,2,7,4,5873,2,8,2,138,6.3,0,2,0
39,60760,패배,알리스타,Z 2017 11 25,0,4,6,3163,4,15,8,41,1.9,0,2,0
40,60761,패배,마오카이,7895123,3,5,8,12871,3,8,4,153,6.0,0,1,1
41,60761,패배,쉬바나,작전동 노란머리,6,4,5,16579,5,7,14,211,8.2,0,1,1
42,60761,패배,탈론,Afreeca Kuro,5,6,6,10470,4,14,7,181,7.1,0,1,1
43,60761,패배,이즈리얼,GALA,4,9,11,20017,0,10,5,174,6.8,0,1,1
44,60761,패배,브라움,Nova1,3,4,9,5309,11,33,11,58,2.3,0,1,1
45,60761,승리,일라오이,빅파이초코파이,6,7,3,32072,7,20,1,250,9.7,1,2,9
46,60761,승리,카직스,DaYE,8,5,9,20374,1,14,6,107,4.2,1,2,9
47,60761,승리,르블랑,FeelsCoffeeMan,3,1,5,16421,1,21,3,233,9.1,1,2,9
48,60761,승리,트리스타나,비 브이 오 와이,10,3,7,21579,0,21,5,279,10.9,1,2,9
49,60761,승리,쓰레쉬,호경모드,1,5,12,6934,11,31,11,30,1.2,1,2,9
50,60762,패배,나르,FeelsAwesomeMan,2,6,1,7595,1,7,3,109,5.9,0,1,0
51,60762,패배,리 신,chijixuanshou,0,3,3,3825,5,25,2,75,4.1,0,1,0
52,60762,패배,베이가,ZhanQiHuaYm,2,5,2,6958,3,6,4,155,8.4,0,1,0
53,60762,패배,미스 포츈,GALA,4,7,2,10694,1,13,1,136,7.3,0,1,0
54,60762,패배,알리스타,강고릴,2,3,2,4585,5,17,3,30,1.6,0,1,0
