,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40318,승리,루시안,뒷텔와드점,4,6,10,30714,2,37,11,268,8.0,2,1,8
1,40318,승리,엘리스,종학윙,9,6,10,18981,3,16,6,186,5.5,2,1,8
2,40318,승리,아지르,나는야 누구일까,11,4,8,34120,6,28,6,308,9.2,2,1,8
3,40318,승리,미스 포츈,GALAAAA,7,7,6,17865,6,13,7,239,7.1,2,1,8
4,40318,승리,알리스타,SKT T1 WoIf,3,4,21,10006,14,38,13,57,1.7,2,1,8
5,40318,패배,나르,암고잉빽투더스탙,5,8,5,14180,6,37,7,234,7.0,0,2,4
6,40318,패배,렝가,DS XiaoPeng,8,7,9,21648,2,26,17,226,6.7,0,2,4
7,40318,패배,카사딘,reMember Mistake,7,5,10,23688,4,14,3,210,6.3,0,2,4
8,40318,패배,진,피넛사냥개1,5,6,10,28626,1,27,6,275,8.2,0,2,4
9,40318,패배,쉔,Dutch Coffee,2,8,6,7059,10,42,18,73,2.2,0,2,4
10,40319,승리,카밀,암고잉빽투더스탙,7,3,4,11455,1,10,1,122,7.7,0,1,4
11,40319,승리,카직스,커닝시티 피그미,9,1,7,10150,4,15,2,74,4.7,0,1,4
12,40319,승리,라이즈,FW Maple,3,0,5,4503,3,8,3,150,9.5,0,1,4
13,40319,승리,바루스,GALAAAA,5,2,8,7979,1,5,1,109,6.9,0,1,4
14,40319,승리,미스 포츈,Hades9,5,2,9,8791,1,12,3,29,1.8,0,1,4
15,40319,패배,야스오,트와이스 원스,1,10,1,7858,0,2,3,85,5.4,0,0,0
16,40319,패배,렝가,DS XiaoPeng,4,4,0,5135,4,23,11,90,5.7,0,0,0
17,40319,패배,오리아나,종학윙,0,3,0,2579,1,0,0,136,8.6,0,0,0
18,40319,패배,진,Gon123,2,5,2,6468,0,5,1,95,6.0,0,0,0
19,40319,패배,제라스,혼자가 편해졌어,1,7,2,5851,4,9,1,6,0.4,0,0,0
20,40320,승리,제이스,FeelsIronMan,6,3,2,16431,2,21,4,185,7.7,0,1,8
21,40320,승리,니달리,분당고 엄성현,6,3,15,14216,5,18,5,120,5.0,0,1,8
22,40320,승리,아지르,Twink1e,10,3,7,21586,2,17,3,195,8.1,0,1,8
23,40320,승리,칼리스타,GALAAAA,6,3,7,12364,2,15,3,194,8.0,0,1,8
24,40320,승리,타릭,wojuede OK,2,4,18,4173,6,19,6,44,1.8,0,1,8
25,40320,패배,카밀,피넛사냥개2,4,6,5,12143,3,13,5,158,6.6,0,2,2
26,40320,패배,쉬바나,9346,2,9,4,6649,2,5,7,124,5.1,0,2,2
27,40320,패배,라이즈,Lgp,1,5,9,9957,3,8,7,201,8.3,0,2,2
28,40320,패배,진,바보팀원,6,4,5,14971,3,12,7,163,6.8,0,2,2
29,40320,패배,미스 포츈,BtC Joker,3,7,8,19211,5,26,7,39,1.6,0,2,2
30,40321,승리,케넨,baramgaebi,6,4,9,25287,1,18,5,240,6.8,1,1,9
31,40321,승리,이즈리얼,9346,6,7,16,29325,2,15,24,200,5.6,1,1,9
32,40321,승리,탈리야,kt Ucal,13,5,11,40802,1,28,5,361,10.2,1,1,9
33,40321,승리,진,GALAAAA,13,6,12,39079,3,14,11,267,7.5,1,1,9
34,40321,승리,알리스타,Heart,3,12,21,12216,5,21,8,47,1.3,1,1,9
35,40321,패배,제이스,Kingen,9,8,12,35567,3,39,5,253,7.1,0,1,4
36,40321,패배,렝가,wo yao qu daye,9,10,9,17959,16,30,6,147,4.1,0,1,4
37,40321,패배,라이즈,ysdgqxcj,6,5,7,41420,6,19,3,333,9.4,0,1,4
38,40321,패배,칼리스타,mcmglllc,4,10,12,16401,1,27,8,252,7.1,0,1,4
39,40321,패배,쉔,zaqzxcazxcv,6,8,18,15167,9,41,9,77,2.2,0,1,4
40,40322,승리,갱플랭크,11 14 9 7 8 20,7,6,10,24764,4,17,6,298,10.0,1,4,9
41,40322,승리,쉬바나,Cuz2,11,2,6,22768,4,8,23,261,8.8,1,4,9
42,40322,승리,조이,PawN God,7,6,10,25081,7,19,11,195,6.5,1,4,9
43,40322,승리,진,GALAAAA,11,3,8,21802,4,14,6,254,8.5,1,4,9
44,40322,승리,제라스,FeelsAwesomeMan,3,1,18,24120,7,33,11,49,1.6,1,4,9
45,40322,패배,나르,Eth4n,6,9,2,18142,1,28,4,228,7.6,0,0,1
46,40322,패배,잭스,chorongie,2,5,7,7249,10,61,7,162,5.4,0,0,1
47,40322,패배,아지르,진에어 저스티스,3,8,7,21901,5,17,6,213,7.1,0,0,1
48,40322,패배,미스 포츈,DWG BeryL,4,6,5,15409,5,12,3,230,7.7,0,0,1
49,40322,패배,알리스타,슬프다고말하면,3,11,1,5371,15,38,4,36,1.2,0,0,1
50,40323,패배,제이스,Alielie,5,6,1,9951,2,5,0,147,7.1,0,0,0
51,40323,패배,리 신,chorongie,3,6,3,5112,4,28,2,91,4.4,0,0,0
52,40323,패배,르블랑,11 14 9 7 8 20,3,6,3,9203,2,10,4,146,7.0,0,0,0
53,40323,패배,진,GALAAAA,2,5,7,11791,3,8,5,167,8.0,0,0,0
54,40323,패배,마오카이,Yumemiru Shonen,2,5,4,8165,5,13,3,43,2.1,0,0,0
55,40323,승리,사이온,Eth4n,1,1,8,6233,2,9,2,180,8.7,0,1,3
56,40323,승리,카직스,오억만,17,2,5,19686,1,10,4,109,5.2,0,1,3
57,40323,승리,아지르,진에어 저스티스,2,3,9,11213,5,12,8,149,7.2,0,1,3
58,40323,승리,트리스타나,Please find it,6,7,5,12222,0,12,2,132,6.4,0,1,3
59,40323,승리,오른,KT MATA,2,2,15,9415,8,26,2,51,2.5,0,1,3
60,40324,승리,제이스,우에하라 크롱,14,7,10,38996,3,22,7,282,6.7,1,1,10
61,40324,승리,엘리스,Jacen,5,13,13,19295,12,17,9,136,3.2,1,1,10
62,40324,승리,라이즈,MSC TRY,13,7,15,40795,5,14,13,286,6.8,1,1,10
63,40324,승리,미스 포츈,GALAAAA,11,9,20,51486,5,18,11,243,5.8,1,1,10
64,40324,승리,제라스,11 14 9 7 8 20,5,11,17,30478,1,24,8,128,3.0,1,1,10
65,40324,패배,럼블,Boldness,4,11,13,24361,5,19,4,272,6.5,1,3,8
66,40324,패배,카직스,wo yao qu daye,6,10,15,22766,15,34,9,186,4.4,1,3,8
67,40324,패배,애니비아,ROYG,8,8,15,24955,0,16,4,332,7.9,1,3,8
68,40324,패배,진,LPL noob ad QAQ,21,7,14,49509,3,16,8,288,6.8,1,3,8
69,40324,패배,오른,Lvmao,8,12,20,22070,7,44,9,78,1.9,1,3,8
70,40325,승리,제이스,해운대잠만보,4,6,4,13008,1,15,0,140,6.1,1,1,9
71,40325,승리,카직스,PeanuToT,5,3,4,8262,6,21,7,139,6.1,1,1,9
72,40325,승리,라이즈,송하영 팬,12,4,9,22564,2,11,7,160,7.0,1,1,9
73,40325,승리,칼리스타,GALAAAA,9,3,7,17544,2,19,5,220,9.6,1,1,9
74,40325,승리,알리스타,By myself,2,3,17,6386,13,50,7,25,1.1,1,1,9
75,40325,패배,사이온,Eth4n,1,3,6,8506,1,9,4,122,5.3,0,0,0
76,40325,패배,리 신,Rain1ng,6,5,8,11374,4,21,6,99,4.3,0,0,0
77,40325,패배,탈리야,chirchri,4,10,9,16801,3,24,13,154,6.7,0,0,0
78,40325,패배,진,아트가 앗뜨거,7,6,6,18678,4,9,4,173,7.5,0,0,0
79,40325,패배,탐 켄치,진에어 저스티스,1,9,4,4842,2,21,12,31,1.3,0,0,0
80,40326,패배,오른,Eth4n,2,4,8,19946,2,16,2,282,8.7,0,1,3
81,40326,패배,니달리,So1o,4,6,10,21750,8,26,17,205,6.3,0,1,3
82,40326,패배,제드,진에어 저스티스,10,5,3,14843,6,19,16,231,7.1,0,1,3
83,40326,패배,이즈리얼,GALAAAA,5,10,2,19479,2,15,9,229,7.0,0,1,3
84,40326,패배,미스 포츈,Empmuyi,1,6,6,13770,4,63,24,48,1.5,0,1,3
85,40326,승리,나르,Excal1bur1,3,4,9,17482,2,9,10,241,7.4,1,2,8
86,40326,승리,리 신,커닝시티 피그미,7,3,9,13009,6,69,13,184,5.6,1,2,8
87,40326,승리,르블랑,으아으앙으아앙,7,6,7,16931,3,9,8,234,7.2,1,2,8
88,40326,승리,진,삼성갤럭시 Ru1er,7,5,10,23381,6,11,15,285,8.7,1,2,8
89,40326,승리,자이라,삼성갤럭시CoreJJ,7,4,12,22041,8,57,17,51,1.6,1,2,8
90,40327,승리,제이스,zaqzxcazxcv,7,1,6,14994,1,24,13,238,10.6,0,2,4
91,40327,승리,니달리,분당고 엄성현,6,5,17,13596,5,21,7,100,4.4,0,2,4
92,40327,승리,탈리야,Jin air Yaharong,8,4,7,17344,2,20,6,176,7.8,0,2,4
93,40327,승리,미스 포츈,GALAAAA,10,7,5,14208,3,9,6,142,6.3,0,2,4
94,40327,승리,제라스,11 14 9 7 8 20,3,9,16,12194,2,11,6,32,1.4,0,2,4
