,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30040,패배,신지드,네 명의 짐승 팀,5,5,4,14256,1,9,0,147,6.7,0,2,3
1,30040,패배,루시안,GabrielCRO,6,5,8,12806,4,9,9,110,5.0,0,2,3
2,30040,패배,카시오페아,SOLCA1,8,4,5,19267,4,8,2,197,9.0,0,2,3
3,30040,패배,이즈리얼,YOLO 겨레,3,13,6,12147,0,10,0,117,5.3,0,2,3
4,30040,패배,미스 포츈,LPL noob ad QAQ,2,11,8,7415,0,17,8,42,1.9,0,2,3
5,30040,승리,아칼리,J푸른하늘,7,7,4,13880,2,8,1,121,5.5,1,0,5
6,30040,승리,카직스,이 차가 식기전에,8,5,6,12553,1,18,1,123,5.6,1,0,5
7,30040,승리,라이즈,Zhongdan XD,4,4,9,10027,5,13,4,128,5.8,1,0,5
8,30040,승리,자야,Mengqiuqiu,15,3,9,24318,2,11,1,157,7.1,1,0,5
9,30040,승리,라칸,남 탓 보 다 반성,4,6,18,6472,5,20,2,8,0.4,1,0,5
10,30041,패배,잭스,Klmjg,7,4,6,10586,1,15,4,282,8.1,0,2,7
11,30041,패배,리 신,GabrielCRO,6,6,10,13078,2,28,6,142,4.1,0,2,7
12,30041,패배,말자하,박투신,7,8,10,24275,7,24,1,242,7.0,0,2,7
13,30041,패배,바루스,LPL noob ad QAQ,9,9,10,29003,4,14,9,276,7.9,0,2,7
14,30041,패배,모르가나,FeelsLovelyMan,6,3,17,25413,18,51,11,79,2.3,0,2,7
15,30041,승리,럼블,이기자 할수있다,1,6,14,22927,5,19,2,260,7.5,2,2,7
16,30041,승리,이즈리얼,피넛사냥개2,9,7,11,29609,4,4,20,203,5.8,2,2,7
17,30041,승리,라이즈,FeelsG00DMan,10,4,12,23004,3,12,7,283,8.1,2,2,7
18,30041,승리,트리스타나,Mengqiuqiu,8,11,9,22820,1,14,5,275,7.9,2,2,7
19,30041,승리,브라움,zhang jian xiang,2,7,15,8085,7,49,13,57,1.6,2,2,7
20,30042,패배,럼블,커피물조절장인,2,4,7,13043,0,5,0,138,8.0,0,0,2
21,30042,패배,카직스,GabrielCRO,9,2,4,9840,1,6,2,65,3.7,0,0,2
22,30042,패배,에코,Possible tts,2,4,2,4483,0,6,1,128,7.4,0,0,2
23,30042,패배,케이틀린,Peecaboo,1,4,2,7920,2,7,2,138,8.0,0,0,2
24,30042,패배,쓰레쉬,T 1 a n,1,4,3,4027,3,9,1,26,1.5,0,0,2
25,30042,승리,뽀삐,누구를 위한,1,2,4,4706,0,6,0,107,6.2,0,1,5
26,30042,승리,쉬바나,yizhiyu,9,3,2,12650,2,6,0,156,9.0,0,1,5
27,30042,승리,야스오,미율치에오,2,6,4,7201,2,9,1,122,7.0,0,1,5
28,30042,승리,트리스타나,이승주,4,2,1,5503,1,5,2,147,8.5,0,1,5
29,30042,승리,오른,담원 호잇이,2,2,9,9220,3,15,1,37,2.1,0,1,5
30,30043,승리,나르,GabrielCRO,3,1,1,8161,1,8,0,123,7.2,0,0,2
31,30043,승리,렝가,not for self,4,1,5,8194,1,8,3,115,6.7,0,0,2
32,30043,승리,탈리야,에어맨,3,2,6,10132,3,10,1,135,7.9,0,0,2
33,30043,승리,코그모,ESRS10,4,3,3,11942,0,6,1,155,9.1,0,0,2
34,30043,승리,럭스,Cheers,5,0,5,10496,4,18,8,11,0.6,0,0,2
35,30043,패배,오른,커피물조절장인,0,3,2,8013,0,5,1,127,7.4,0,0,0
36,30043,패배,잭스,도령니이임,3,2,0,2730,0,5,1,85,5.0,0,0,0
37,30043,패배,피즈,마산가자,2,4,1,4926,1,13,0,109,6.4,0,0,0
38,30043,패배,트리스타나,losedenaodaipain,1,5,1,5116,3,7,1,122,7.1,0,0,0
39,30043,패배,타릭,Z 2017 11 25,1,5,3,2085,1,17,1,25,1.5,0,0,0
40,30044,패배,제이스,HKA Riris,9,12,11,36928,5,36,9,234,6.7,0,0,1
41,30044,패배,세주아니,GabrielCRO,2,7,15,9004,8,26,4,148,4.3,0,0,1
42,30044,패배,라이즈,6학년4반장용준,5,11,12,28070,7,19,2,220,6.3,0,0,1
43,30044,패배,이즈리얼,KDM SSol,15,9,13,49207,4,15,2,221,6.4,0,0,1
44,30044,패배,라칸,taesang,4,17,14,11460,10,36,7,26,0.7,0,0,1
45,30044,승리,나르,VIP 민형,14,7,15,38170,3,7,5,247,7.1,1,3,6
46,30044,승리,카밀,Longzhu Cuzz,18,10,11,38405,1,5,11,156,4.5,1,3,6
47,30044,승리,카시오페아,아라가키 유이,7,4,13,23110,5,12,13,309,8.9,1,3,6
48,30044,승리,진,혼자해도충분하다,16,5,12,39507,1,13,13,323,9.3,1,3,6
49,30044,승리,오른,은종섭,1,9,29,17397,11,43,13,68,2.0,1,3,6
50,30045,패배,자르반 4세,비트는기리보이,3,10,6,19125,4,10,1,179,6.0,0,2,3
51,30045,패배,쉬바나,ATBT,2,7,5,17229,6,45,3,161,5.4,0,2,3
52,30045,패배,에코,우주제일미소녀,4,2,3,17616,3,4,4,239,8.1,0,2,3
53,30045,패배,진,GabrielCRO,5,5,2,17793,3,13,2,218,7.4,0,2,3
54,30045,패배,모르가나,은종섭,1,6,9,15748,8,25,11,19,0.6,0,2,3
55,30045,승리,잭스,HKA Riris,8,8,5,28129,3,20,4,234,7.9,1,2,11
56,30045,승리,세주아니,Longzhu Cuzz,2,3,9,16728,3,19,9,178,6.0,1,2,11
