,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50873,승리,사이온,Gazuaaaaaaa,2,1,12,15946,10,26,6,292,7.6,2,4,8
1,50873,승리,니달리,So1o,13,7,9,26833,1,26,15,217,5.7,2,4,8
2,50873,승리,탈리야,송하영 팬,11,5,8,31873,2,19,5,322,8.4,2,4,8
3,50873,승리,트리스타나,KDM SSol,10,4,10,48219,2,25,10,375,9.8,2,4,8
4,50873,승리,알리스타,KDM 유준,1,6,17,7281,13,52,16,35,0.9,2,4,8
5,50873,패배,제이스,우에하라 크롱,3,6,6,26328,4,41,10,298,7.8,0,0,3
6,50873,패배,세주아니,좋은날,0,12,9,11305,11,38,23,154,4.0,0,0,3
7,50873,패배,코르키,reMember Mistake,11,5,8,34868,5,23,10,377,9.9,0,0,3
8,50873,패배,미스 포츈,MVP Ian,2,8,9,27987,3,16,4,294,7.7,0,0,3
9,50873,패배,쉔,오억만,7,6,6,18089,0,53,11,92,2.4,0,0,3
10,50874,승리,레넥톤,Gazuaaaaaaa,3,4,8,22749,3,36,12,338,8.6,2,1,8
11,50874,승리,자르반 4세,KDM 유준,3,3,18,10129,10,80,22,165,4.2,2,1,8
12,50874,승리,베이가,ZhanQiHuaYm,11,6,5,38202,3,8,25,361,9.2,2,1,8
13,50874,승리,미스 포츈,6학년4반장용준,6,5,12,32738,1,13,19,374,9.5,2,1,8
14,50874,승리,쉔,좋은날,5,5,11,9186,16,101,22,70,1.8,2,1,8
15,50874,패배,카밀,쌀국수뚝붸기,2,7,7,24669,3,20,8,296,7.5,0,2,4
16,50874,패배,세주아니,reMember Mistake,4,5,12,14251,13,64,27,158,4.0,0,2,4
17,50874,패배,조이,MVP Ian,9,6,7,41798,5,44,17,303,7.7,0,2,4
18,50874,패배,트리스타나,우에하라 크롱,7,3,6,27714,2,13,17,403,10.3,0,2,4
19,50874,패배,브라움,1414774182,1,7,11,8449,17,58,28,84,2.1,0,2,4
20,50875,승리,나르,Gazuaaaaaaa,10,5,5,24939,7,42,14,293,8.4,1,3,8
21,50875,승리,자르반 4세,Afreeca M0wgli,6,2,22,15952,12,39,17,173,5.0,1,3,8
22,50875,승리,라이즈,KDM 유준,6,3,13,27334,1,15,6,287,8.3,1,3,8
23,50875,승리,미스 포츈,6학년4반장용준,10,4,8,33551,3,15,6,309,8.9,1,3,8
24,50875,승리,쉔,JAG SnowFlower,2,4,20,13586,8,38,13,84,2.4,1,3,8
25,50875,패배,이렐리아,빅파이초코파이,5,9,3,20214,4,36,13,284,8.2,0,0,3
26,50875,패배,렝가,SKT T1 WoIf,5,9,6,17291,6,26,10,170,4.9,0,0,3
27,50875,패배,카사딘,점점나의마음이끌,3,6,5,19875,3,17,8,289,8.3,0,0,3
28,50875,패배,진,GuGer,5,6,4,28997,0,11,8,268,7.7,0,0,3
29,50875,패배,트런들,Delicious Fish,0,4,8,6318,17,52,27,94,2.7,0,0,3
30,50876,패배,나르,Gazuaaaaaaa,1,8,4,13429,1,13,1,158,7.3,0,0,1
31,50876,패배,자르반 4세,ROX Se0ngHwan,4,4,1,6241,4,32,4,103,4.7,0,0,1
32,50876,패배,라이즈,KDM 유준,0,3,1,8671,1,9,2,180,8.3,0,0,1
33,50876,패배,진,분당고 엄성현,1,4,2,8933,2,19,4,148,6.8,0,0,1
34,50876,패배,알리스타,MataMataMata,2,6,2,4779,9,25,1,24,1.1,0,0,1
35,50876,승리,카밀,빅파이초코파이,5,2,3,10748,2,11,6,190,8.7,1,3,7
36,50876,승리,쉬바나,XinyiQAQ,2,3,7,8056,5,7,11,135,6.2,1,3,7
37,50876,승리,카사딘,점점나의마음이끌,7,1,9,15979,2,11,4,168,7.7,1,3,7
38,50876,승리,칼리스타,비 브이 오 와이,11,1,6,20434,1,9,9,208,9.6,1,3,7
39,50876,승리,세주아니,Delicious Fish,0,1,18,9131,7,22,12,40,1.8,1,3,7
40,50877,승리,갱플랭크,Gazuaaaaaaa,5,2,13,26989,10,24,8,246,7.8,1,3,6
41,50877,승리,쉬바나,yizhiyu,3,6,13,19696,6,12,15,202,6.4,1,3,6
42,50877,승리,라이즈,KDM 유준,6,3,4,17564,1,14,9,283,9.0,1,3,6
43,50877,승리,바루스,쌀국수뚝붸기,9,3,5,15919,5,16,5,226,7.2,1,3,6
44,50877,승리,제라스,호잇이,9,0,11,32642,7,21,20,48,1.5,1,3,6
45,50877,패배,이렐리아,승 로,3,5,3,17327,1,13,2,267,8.5,0,1,1
46,50877,패배,니달리,PeanuToT,4,6,6,18187,8,32,13,228,7.2,0,1,1
47,50877,패배,조이,PawN God,3,4,5,25049,5,33,7,225,7.2,0,1,1
48,50877,패배,미스 포츈,Afreeca Kramer,3,8,3,15016,3,29,8,240,7.6,0,1,1
49,50877,패배,소라카,YOYOuuuuuO,1,9,7,3994,5,27,3,9,0.3,0,1,1
50,50878,승리,카밀,Gazuaaaaaaa,3,1,5,6689,2,9,3,178,9.6,0,0,5
51,50878,승리,세주아니,종학윙,6,2,6,8074,2,20,2,94,5.1,0,0,5
52,50878,승리,라이즈,KDM 유준,7,1,4,10954,1,7,4,185,10.0,0,0,5
53,50878,승리,이즈리얼,161561,4,5,8,12623,0,9,7,135,7.3,0,0,5
54,50878,승리,탐 켄치,SKT T1 WoIf,4,1,5,5212,3,15,6,45,2.4,0,0,5
55,50878,패배,나르,FeelsAwesomeMan,2,6,1,7595,1,7,3,109,5.9,0,1,0
56,50878,패배,리 신,chijixuanshou,0,3,3,3825,5,25,2,75,4.1,0,1,0
57,50878,패배,베이가,ZhanQiHuaYm,2,5,2,6958,3,6,4,155,8.4,0,1,0
58,50878,패배,미스 포츈,GALA,4,7,2,10694,1,13,1,136,7.3,0,1,0
59,50878,패배,알리스타,강고릴,2,3,2,4585,5,17,3,30,1.6,0,1,0
60,50879,패배,케일,피넛사냥개2,6,10,4,27365,4,20,13,377,10.4,1,2,5
61,50879,패배,자르반 4세,KDM 유준,11,8,7,24091,4,9,14,171,4.7,1,2,5
62,50879,패배,탈리야,bbq Tempt,12,5,8,27822,5,28,9,338,9.3,1,2,5
63,50879,패배,진,Gazuaaaaaaa,4,7,10,16862,4,17,10,267,7.3,1,2,5
64,50879,패배,미스 포츈,Nem2sis,2,5,11,18095,5,86,30,72,2.0,1,2,5
65,50879,승리,갱플랭크,MVP ADD,7,8,9,27991,12,38,8,298,8.2,1,2,8
66,50879,승리,니달리,chijixuanshou,6,7,8,12800,2,26,23,251,6.9,1,2,8
67,50879,승리,아지르,FW Maple,10,7,12,26566,9,45,15,260,7.1,1,2,8
68,50879,승리,이즈리얼,ysdgqxcj,9,8,11,29258,2,24,15,303,8.3,1,2,8
69,50879,승리,제라스,ZhanQiHuaYm,3,5,9,17406,7,50,17,100,2.7,1,2,8
70,50880,승리,럼블,Gazuaaaaaaa,2,0,5,16579,3,13,7,235,10.0,1,2,10
71,50880,승리,쉬바나,yizhiyu,5,2,5,12939,3,8,13,199,8.5,1,2,10
72,50880,승리,아지르,KDM PERT,7,5,4,19958,2,11,6,193,8.2,1,2,10
73,50880,승리,진,어껭간만에찾아뵙,6,2,7,13220,1,9,8,189,8.0,1,2,10
74,50880,승리,렝가,KDM 유준,10,6,4,10777,2,9,13,42,1.8,1,2,10
75,50880,패배,자르반 4세,M1anhua,2,5,2,9295,4,23,2,140,5.9,0,0,0
76,50880,패배,리 신,jinwandalaohu,5,3,3,7216,3,33,1,68,2.9,0,0,0
77,50880,패배,카사딘,나네쫓다꿈소년,2,9,2,9805,2,6,1,149,6.3,0,0,0
78,50880,패배,이즈리얼,FVV BETTY,5,6,2,14941,3,9,3,190,8.1,0,0,0
79,50880,패배,미스 포츈,YserAoA,1,7,6,11366,4,38,10,48,2.0,0,0,0
80,50881,승리,갱플랭크,Gazuaaaaaaa,2,4,9,26441,6,22,7,255,8.1,1,1,7
81,50881,승리,세주아니,KDM 유준,4,1,16,17858,5,11,14,171,5.4,1,1,7
82,50881,승리,아지르,FW Maple,6,9,7,17232,8,38,11,240,7.6,1,1,7
83,50881,승리,칼리스타,SnakeLight,12,3,6,30150,2,11,9,282,8.9,1,1,7
84,50881,승리,브라움,DWG BeryL,1,4,22,13833,14,46,13,62,2.0,1,1,7
85,50881,패배,초가스,Delicious Fish,3,4,6,20230,6,19,6,261,8.3,0,1,2
86,50881,패배,카직스,chijixuanshou,4,5,8,21192,6,26,9,172,5.4,0,1,2
87,50881,패배,베이가,ZhanQiHuaYm,12,5,5,28103,8,13,16,273,8.6,0,1,2
88,50881,패배,미스 포츈,점점나의마음이끌,1,6,8,22408,7,29,4,215,6.8,0,1,2
89,50881,패배,알리스타,먹는건즐거워,1,5,6,7743,7,39,13,53,1.7,0,1,2
90,50882,패배,애니,Gazuaaaaaaa,0,3,0,7721,4,10,3,166,7.4,0,0,1
91,50882,패배,렝가,KDM 유준,1,5,1,8223,3,9,7,113,5.1,0,0,1
92,50882,패배,말자하,이치방츠요이야츠,0,6,2,9398,2,9,4,179,8.0,0,0,1
93,50882,패배,이즈리얼,DWG BeryL,4,2,2,15803,5,15,9,191,8.5,0,0,1
94,50882,패배,알리스타,먹는건즐거워,3,8,4,6796,2,22,11,42,1.9,0,0,1
95,50882,승리,나르,JAG S0hwan,2,1,8,11897,2,19,2,210,9.4,1,3,5
96,50882,승리,쉬바나,작전동 노란머리,7,2,7,9007,6,16,3,159,7.1,1,3,5
97,50882,승리,카사딘,ROX 라바,7,1,7,17222,3,13,2,191,8.5,1,3,5
98,50882,승리,미스 포츈,삼성갤럭시CoreJJ,5,3,8,13977,6,32,14,182,8.1,1,3,5
99,50882,승리,탐 켄치,160810,3,1,7,6141,10,27,2,36,1.6,1,3,5
100,50883,승리,갱플랭크,Gazuaaaaaaa,0,1,6,7506,2,11,5,166,8.8,0,1,5
101,50883,승리,렝가,KDM 유준,12,2,1,15533,3,7,7,124,6.5,0,1,5
102,50883,승리,말자하,이치방츠요이야츠,1,0,2,3182,1,7,3,169,8.9,0,1,5
103,50883,승리,진,DWG BeryL,4,0,5,8536,4,10,3,188,9.9,0,1,5
104,50883,승리,알리스타,160810,2,0,4,3091,6,17,12,39,2.1,0,1,5
105,50883,패배,자르반 4세,Like Waves,0,4,1,5152,4,18,2,122,6.4,0,1,0
106,50883,패배,쉬바나,마이엠브,1,4,0,4591,6,17,0,104,5.5,0,1,0
107,50883,패배,카사딘,DWG ShowMaker,0,2,0,3403,4,11,3,173,9.1,0,1,0
108,50883,패배,미스 포츈,ROX Sangyoon,1,5,0,5454,1,7,1,158,8.3,0,1,0
109,50883,패배,잔나,ROX 라바,1,4,0,2910,5,21,4,15,0.8,0,1,0
110,50884,승리,카밀,Gazuaaaaaaa,2,2,9,15865,6,20,11,319,9.6,1,2,11
111,50884,승리,카직스,KDM 유준,12,4,4,21929,5,31,22,194,5.9,1,2,11
112,50884,승리,탈리야,Afreeca Kuro,5,3,5,15589,1,35,11,331,10.0,1,2,11
113,50884,승리,바루스,sqb,4,1,6,18837,1,12,11,325,9.8,1,2,11
114,50884,승리,브라움,마이엠브,2,3,9,4682,7,43,32,99,3.0,1,2,11
115,50884,패배,제이스,Like Waves,1,9,5,16718,5,34,9,248,7.5,0,1,3
116,50884,패배,니달리,해운대잠만보,4,7,4,9307,4,22,18,187,5.6,0,1,3
117,50884,패배,라이즈,ROX 라바,4,3,3,16277,4,19,3,353,10.7,0,1,3
118,50884,패배,진,ROX Sangyoon,3,1,6,16595,3,9,2,312,9.4,0,1,3
119,50884,패배,카르마,wo yao qu daye,1,5,5,5582,11,65,20,24,0.7,0,1,3
120,50885,패배,갱플랭크,Gazuaaaaaaa,1,5,1,7164,3,9,4,147,7.3,0,0,0
121,50885,패배,카직스,KDM 유준,3,4,3,8034,2,18,9,94,4.6,0,0,0
122,50885,패배,탈리야,송하영 팬,3,8,0,10489,2,9,5,151,7.5,0,0,0
123,50885,패배,드레이븐,Afreeca Kramer,0,6,2,6733,5,14,8,160,7.9,0,0,0
124,50885,패배,쉔,Nova1,0,6,2,1228,5,22,11,34,1.7,0,0,0
125,50885,승리,제이스,Kingen,2,1,9,14585,0,17,5,130,6.4,0,1,3
126,50885,승리,엘리스,IGS Dasher,8,2,6,9536,5,23,2,94,4.6,0,1,3
127,50885,승리,조이,By myself,10,3,4,19067,5,19,0,150,7.4,0,1,3
128,50885,승리,진,FeelsCoffeeMan,8,1,7,12233,1,7,8,178,8.8,0,1,3
129,50885,승리,브라움,삼성갤럭시CoreJJ,1,0,15,7626,5,40,6,40,2.0,0,1,3
130,50886,승리,제이스,Gazuaaaaaaa,12,1,3,19527,2,20,10,210,10.4,0,1,5
131,50886,승리,세주아니,KDM 유준,3,1,9,5243,4,8,4,102,5.1,0,1,5
132,50886,승리,탈리야,IGS Dasher,3,1,4,8267,3,10,2,190,9.4,0,1,5
133,50886,승리,이즈리얼,아트가 앗뜨거,1,1,4,9045,2,12,5,186,9.2,0,1,5
134,50886,승리,쉔,By myself,0,0,6,2744,7,38,8,36,1.8,0,1,5
135,50886,패배,렝가,THE KING 2000,1,8,1,6385,2,17,5,141,7.0,0,0,0
136,50886,패배,니달리,해운대잠만보,1,2,2,4151,2,14,3,109,5.4,0,0,0
137,50886,패배,오리아나,LFT MID,1,5,0,7788,3,12,2,192,9.5,0,0,0
138,50886,패배,진,GuGer,1,3,0,7659,1,7,4,187,9.3,0,0,0
139,50886,패배,브라움,Martin VG,0,1,1,1984,2,21,14,46,2.3,0,0,0
140,50887,승리,갱플랭크,Gazuaaaaaaa,1,0,6,12996,2,11,2,224,11.2,0,1,10
141,50887,승리,카직스,KDM 유준,7,2,4,11576,1,22,6,83,4.1,0,1,10
142,50887,승리,말자하,나에게 기회를,6,2,6,18973,1,5,0,172,8.6,0,1,10
143,50887,승리,이즈리얼,GALA,3,4,6,16138,2,11,2,145,7.2,0,1,10
144,50887,승리,타릭,yigejiqiplayer,1,2,8,2423,5,18,4,33,1.6,0,1,10
145,50887,패배,나르,pokeryo,1,4,0,7069,3,11,4,152,7.6,0,0,2
146,50887,패배,리 신,kpyh5,3,5,5,6412,5,23,2,77,3.8,0,0,2
147,50887,패배,라이즈,1112213311,1,5,3,7510,4,9,2,146,7.3,0,0,2
148,50887,패배,베인,아트가 앗뜨거,4,3,3,6694,4,10,6,159,7.9,0,0,2
149,50887,패배,브라움,Nem2sis,1,1,6,2964,3,43,1,30,1.5,0,0,2
150,50888,승리,카밀,kfo,4,1,3,7408,1,5,3,119,7.8,0,0,4
151,50888,승리,카직스,KDM 유준,11,0,4,12440,1,12,5,73,4.8,0,0,4
152,50888,승리,탈리야,으아으앙으아앙,2,2,5,8294,3,15,4,137,9.0,0,0,4
153,50888,승리,진,LPL noob ad QAQ,6,1,5,8474,1,6,0,123,8.1,0,0,4
154,50888,승리,탐 켄치,Gazuaaaaaaa,3,0,7,3898,5,14,2,28,1.8,0,0,4
155,50888,패배,나르,RVS Poss,1,6,0,5808,4,12,0,75,4.9,0,0,0
156,50888,패배,리 신,TeawaN,2,8,0,3566,5,17,5,54,3.5,0,0,0
157,50888,패배,갈리오,kenzhu9,1,5,1,4654,2,12,1,101,6.6,0,0,0
158,50888,패배,시비르,비 브이 오 와이,0,3,1,5459,2,7,2,98,6.4,0,0,0
159,50888,패배,제라스,세메론,0,4,0,5069,2,8,2,8,0.5,0,0,0
160,50889,패배,애니,Gazuaaaaaaa,2,4,3,16658,2,10,2,182,7.2,0,1,2
161,50889,패배,자르반 4세,선비모드,8,7,5,16674,1,20,10,103,4.1,0,1,2
162,50889,패배,코르키,11 14 9 7 8 20,5,5,2,21025,1,7,6,223,8.9,0,1,2
163,50889,패배,미스 포츈,Rachel Berry,2,9,6,13152,2,10,7,135,5.4,0,1,2
164,50889,패배,제라스,TeachersWu,1,11,6,7164,8,29,6,16,0.6,0,1,2
165,50889,승리,갱플랭크,피넛사냥개2,3,6,8,13802,1,11,3,222,8.8,1,0,11
166,50889,승리,카직스,5gak,12,3,2,16838,8,32,4,138,5.5,1,0,11
167,50889,승리,라이즈,으아으앙으아앙,5,3,4,15271,3,6,3,220,8.7,1,0,11
168,50889,승리,이즈리얼,KDM SSol,11,3,12,29488,2,13,4,200,7.9,1,0,11
169,50889,승리,노틸러스,선기박,5,3,15,11583,9,33,13,57,2.3,1,0,11
170,50890,패배,나르,Gon123,1,5,0,3475,0,3,1,70,4.5,0,0,0
171,50890,패배,카직스,chorongie,1,5,1,3264,1,10,2,53,3.4,0,0,0
172,50890,패배,조이,Gazuaaaaaaa,1,5,0,6090,1,6,0,88,5.7,0,0,0
173,50890,패배,코그모,whisper snow,4,2,1,5335,1,4,0,77,5.0,0,0,0
174,50890,패배,모르가나,너와나의연결Gori,1,1,5,5303,1,8,2,18,1.2,0,0,0
175,50890,승리,잭스,미율치에오,4,0,1,6566,3,8,0,132,8.5,0,0,10
176,50890,승리,세주아니,장난 꾸러기 돼지,5,3,4,4489,2,21,1,89,5.7,0,0,10
177,50890,승리,카사딘,FeelsAwesomeMan,4,1,5,8973,2,7,5,138,8.9,0,0,10
