,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40119,패배,카밀,jkasjhiufgha,7,8,6,24639,3,18,6,217,6.4,1,1,5
1,40119,패배,니달리,F0y,4,6,15,16586,6,35,20,227,6.7,1,1,5
2,40119,패배,제라스,나라카일,2,6,8,17040,1,12,7,241,7.1,1,1,5
3,40119,패배,이즈리얼,Greed A Pride,13,5,5,35657,8,28,15,242,7.1,1,1,5
4,40119,패배,카르마,BKKK,2,6,14,12829,15,61,13,19,0.6,1,1,5
5,40119,승리,갱플랭크,피넛사냥개2,9,10,4,29733,0,18,3,291,8.6,0,3,7
6,40119,승리,세주아니,JAG UmTi,8,4,13,11710,8,27,18,141,4.2,0,3,7
7,40119,승리,아지르,성혁님미드가신다,7,3,13,21798,7,22,16,283,8.3,0,3,7
8,40119,승리,애쉬,ROX Sangyoon,4,3,11,16492,2,9,3,307,9.1,0,3,7
9,40119,승리,알리스타,du jia0 shou,3,8,14,6553,9,62,10,35,1.0,0,3,7
10,40120,패배,카밀,FeelsIronMan,1,5,3,12968,1,11,2,169,6.1,0,0,0
11,40120,패배,렝가,죠토마킹,1,4,3,5214,5,25,9,122,4.4,0,0,0
12,40120,패배,탈리야,DWG ShowMaker,3,5,2,14987,4,13,7,265,9.6,0,0,0
13,40120,패배,이즈리얼,Greed A Pride,2,4,3,20242,8,22,10,237,8.6,0,0,0
14,40120,패배,쓰레쉬,나라카일,2,5,3,5425,1,12,5,41,1.5,0,0,0
15,40120,승리,갱플랭크,피넛사냥개2,5,2,8,20881,4,14,2,236,8.6,1,2,10
16,40120,승리,카직스,담원 크러쉬,4,0,10,10111,7,21,4,150,5.5,1,2,10
17,40120,승리,트위스티드 페이트,상어가족,5,1,9,15202,4,9,11,207,7.5,1,2,10
18,40120,승리,진,Co1dplay,6,3,7,16615,4,12,9,238,8.7,1,2,10
19,40120,승리,탐 켄치,강고릴,3,3,11,5767,9,35,6,57,2.1,1,2,10
20,40121,패배,나르,빅파이초코파이,5,11,5,23516,2,23,8,343,7.6,2,3,10
21,40121,패배,렝가,담원 크러쉬,5,9,8,21878,6,28,19,216,4.8,2,3,10
22,40121,패배,라이즈,마산가자,8,8,11,37073,9,29,10,369,8.2,2,3,10
23,40121,패배,미스 포츈,Greed A Pride,14,6,6,31110,9,58,34,373,8.3,2,3,10
24,40121,패배,레오나,160810,3,7,16,12144,18,68,23,78,1.7,2,3,10
25,40121,승리,카밀,쌀국수뚝붸기,13,7,11,32374,2,22,10,324,7.2,1,1,8
26,40121,승리,카직스,6학년4반장용준,7,5,11,19712,12,46,17,239,5.3,1,1,8
27,40121,승리,탈리야,DWG ShowMaker,8,7,17,46065,6,11,8,404,9.0,1,1,8
28,40121,승리,진,상어가족,6,7,19,31983,2,19,17,263,5.9,1,1,8
29,40121,승리,제라스,PawN God,7,9,17,35704,11,101,28,117,2.6,1,1,8
30,40122,패배,카밀,TnTeddy,3,12,5,17463,0,18,2,145,6.1,0,0,0
31,40122,패배,니달리,So1o,4,10,3,7416,4,20,11,122,5.1,0,0,0
32,40122,패배,탈리야,최석배 사생팬,2,6,6,11645,2,9,4,222,9.3,0,0,0
33,40122,패배,미스 포츈,Greed A Pride,5,1,4,17245,5,21,2,165,6.9,0,0,0
34,40122,패배,마오카이,Lucete,0,7,5,4218,3,21,2,24,1.0,0,0,0
35,40122,승리,오른,Co1dplay,3,4,8,14012,1,9,4,144,6.0,0,2,8
36,40122,승리,렝가,w1sdom ovo,17,1,5,26357,2,18,11,141,5.9,0,2,8
37,40122,승리,애니비아,송하영 팬,2,3,8,12454,2,11,4,194,8.1,0,2,8
38,40122,승리,이즈리얼,KDM SSol,12,3,4,20080,1,13,5,176,7.4,0,2,8
39,40122,승리,카르마,강고릴,2,3,11,10035,7,20,7,26,1.1,0,2,8
40,40123,패배,일라오이,xaxaxaxaxa,3,2,7,18417,2,15,1,241,9.2,0,0,2
41,40123,패배,엘리스,마이엠브,7,4,4,14700,6,16,2,153,5.8,0,0,2
42,40123,패배,라이즈,송하영 팬,3,6,2,8375,3,12,8,217,8.3,0,0,2
