,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3519,승리,노틸러스,H Dean,3,1,7,9452,2,10,2,145,6.7,0,0,2
1,3519,승리,자르반 4세,9346,3,2,7,6494,3,42,13,111,5.2,0,0,2
2,3519,승리,트위스티드 페이트,UcaL,4,0,8,9710,2,11,6,221,10.3,0,0,2
3,3519,승리,미스 포츈,Deft1,8,1,7,14403,7,15,5,192,8.9,0,0,2
4,3519,승리,알리스타,시어니보고싶움,0,2,13,3571,8,26,10,44,2.0,0,0,2
5,3519,패배,올라프,코w코,2,2,2,10254,5,22,8,189,8.8,0,0,1
6,3519,패배,렝가,커닝시티 피그미,2,3,1,5131,6,28,8,141,6.5,0,0,1
7,3519,패배,오리아나,ysdgqxcj,0,2,2,8966,4,9,4,211,9.8,0,0,1
8,3519,패배,진,Afreeca Kramer,2,4,0,7041,4,24,8,185,8.6,0,0,1
9,3519,패배,브라움,yizhiyu,0,7,2,2406,4,17,12,35,1.6,0,0,1
10,3520,승리,노틸러스,H Dean,3,1,8,11716,2,12,0,184,6.6,1,2,11
11,3520,승리,쉬바나,스마트섹시뷰티,4,4,9,10453,9,14,15,151,5.4,1,2,11
12,3520,승리,말자하,R4phael,4,1,8,15781,6,15,8,241,8.6,1,2,11
13,3520,승리,진,해운대잠만보,7,4,5,19785,2,9,6,202,7.2,1,2,11
14,3520,승리,제라스,FeelsSosoMan,1,3,8,13060,6,36,2,18,0.6,1,2,11
15,3520,패배,올라프,Super Secret,1,2,3,9304,2,7,5,176,6.3,0,1,3
16,3520,패배,렝가,Afreeca Aiming,6,7,3,11207,7,32,10,190,6.8,0,1,3
17,3520,패배,카사딘,ysdgqxcj,3,3,3,10118,4,14,5,272,9.7,0,1,3
18,3520,패배,칼리스타,VIP 민형,1,4,5,7555,3,12,6,253,9.1,0,1,3
19,3520,패배,카르마,FW SwordArT,1,3,8,7837,9,34,8,18,0.6,0,1,3
20,3521,승리,쉔,커피물조절장인,3,0,14,8043,0,8,3,114,5.9,0,1,4
21,3521,승리,카직스,Twink1e,11,4,1,12976,2,14,3,99,5.1,0,1,4
22,3521,승리,탈리야,republic123,7,2,7,15100,1,8,0,181,9.3,0,1,4
23,3521,승리,진,chirchri,2,1,6,7016,2,9,1,150,7.7,0,1,4
24,3521,승리,탐 켄치,H Dean,3,1,6,5080,5,17,10,34,1.8,0,1,4
25,3521,패배,제이스,암고잉빽투더스탙,1,7,2,9875,2,17,3,157,8.1,0,0,2
26,3521,패배,리 신,ZhanQiHuaYm,1,6,1,4793,3,16,3,106,5.5,0,0,2
27,3521,패배,피즈,reMember Mistake,2,5,2,6852,1,10,1,124,6.4,0,0,2
28,3521,패배,바루스,아이러니,1,4,2,7988,2,5,3,155,8.0,0,0,2
29,3521,패배,알리스타,Destiny,3,4,0,5212,3,18,3,27,1.4,0,0,2
30,3522,승리,제이스,P2k Key,6,10,8,22941,5,15,12,227,6.9,2,0,11
31,3522,승리,니달리,Boldness,10,5,11,22400,6,29,15,160,4.9,2,0,11
32,3522,승리,빅토르,멘탈 실력 운,6,5,10,29660,3,14,10,257,7.8,2,0,11
33,3522,승리,케이틀린,Afreeca Aiming,9,5,7,35303,4,23,11,371,11.3,2,0,11
34,3522,승리,나미,H Dean,2,5,19,8548,9,44,9,15,0.5,2,0,11
35,3522,패배,쉔,reMember Mistake,6,5,8,14787,4,14,1,226,6.9,0,3,6
36,3522,패배,마스터 이,ZhanQiHuaYm,7,9,3,15080,5,30,15,193,5.9,0,3,6
37,3522,패배,라이즈,마산가자,3,7,6,19584,9,38,4,311,9.5,0,3,6
38,3522,패배,진,이노리QAQ,12,5,9,31406,2,14,5,250,7.6,0,3,6
39,3522,패배,카르마,Mengqiuqiu,2,7,14,16335,9,41,14,33,1.0,0,3,6
40,3523,승리,마오카이,Shiroma Anna,1,0,2,4822,1,6,5,126,8.2,0,0,3
41,3523,승리,자르반 4세,Boldness,5,1,5,5732,4,19,4,68,4.4,0,0,3
42,3523,승리,조이,FW Maple,7,1,3,10820,2,15,3,105,6.8,0,0,3
43,3523,승리,미스 포츈,열심히하겠슴다,2,0,2,6534,1,7,0,134,8.7,0,0,3
44,3523,승리,카르마,H Dean,0,0,3,4732,5,12,6,12,0.8,0,0,3
45,3523,패배,나르,MVP ADD,1,2,0,8950,2,15,2,116,7.6,0,0,0
46,3523,패배,카직스,nekoneko1,1,3,1,3177,2,6,3,76,5.0,0,0,0
47,3523,패배,탈리야,reMember Mistake,0,6,1,5562,2,14,5,100,6.5,0,0,0
48,3523,패배,칼리스타,hard girl,0,1,0,1877,2,7,2,138,9.0,0,0,0
49,3523,패배,브라움,스칼렛 십자군,0,3,1,1694,3,8,3,16,1.0,0,0,0
50,3524,승리,야스오,카페베네설탕도둑,18,4,2,26725,0,4,4,206,9.0,0,1,10
51,3524,승리,리 신,일견무시도성빈,8,3,12,10784,3,32,5,112,4.9,0,1,10
52,3524,승리,르블랑,reMember Mistake,5,2,8,19931,2,20,2,201,8.8,0,1,10
53,3524,승리,바루스,FeelsAwesomeMan,2,4,7,14377,1,7,0,179,7.8,0,1,10
54,3524,승리,카르마,H Dean,2,3,13,7122,6,21,3,14,0.6,0,1,10
55,3524,패배,카밀,my head,1,7,8,11867,3,8,2,136,5.9,0,0,0
56,3524,패배,쉬바나,강고릴,3,7,4,8396,2,8,3,96,4.2,0,0,0
57,3524,패배,카사딘,republic123,6,6,3,13803,1,18,5,120,5.2,0,0,0
