,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30300,승리,카밀,암고잉빽투더스탙,7,3,4,11455,1,10,1,122,7.7,0,1,4
1,30300,승리,카직스,커닝시티 피그미,9,1,7,10150,4,15,2,74,4.7,0,1,4
2,30300,승리,라이즈,FW Maple,3,0,5,4503,3,8,3,150,9.5,0,1,4
3,30300,승리,바루스,GALAAAA,5,2,8,7979,1,5,1,109,6.9,0,1,4
4,30300,승리,미스 포츈,Hades9,5,2,9,8791,1,12,3,29,1.8,0,1,4
5,30300,패배,야스오,트와이스 원스,1,10,1,7858,0,2,3,85,5.4,0,0,0
6,30300,패배,렝가,DS XiaoPeng,4,4,0,5135,4,23,11,90,5.7,0,0,0
7,30300,패배,오리아나,종학윙,0,3,0,2579,1,0,0,136,8.6,0,0,0
8,30300,패배,진,Gon123,2,5,2,6468,0,5,1,95,6.0,0,0,0
9,30300,패배,제라스,혼자가 편해졌어,1,7,2,5851,4,9,1,6,0.4,0,0,0
10,30301,승리,갱플랭크,Shi  Yue,0,3,8,10563,0,7,1,209,9.2,0,1,6
11,30301,승리,자르반 4세,삼성갤럭시 하루,11,2,10,16652,7,23,5,111,4.9,0,1,6
12,30301,승리,라이즈,삼성갤럭시 Crown,4,4,8,12414,5,13,4,192,8.5,0,1,6
13,30301,승리,트리스타나,Hades9,7,2,4,10804,2,17,3,206,9.1,0,1,6
14,30301,승리,알리스타,암고잉빽투더스탙,1,2,14,6058,4,17,7,32,1.4,0,1,6
15,30301,패배,나르,뱃살만찌는사람,3,3,2,10949,2,11,3,192,8.5,0,0,3
16,30301,패배,니달리,DS XiaoPeng,2,5,3,8092,2,19,14,145,6.4,0,0,3
17,30301,패배,조이,UcaL,3,7,5,13190,6,13,3,156,6.9,0,0,3
18,30301,패배,진,mentalboomKid,5,3,3,15722,1,8,3,185,8.2,0,0,3
19,30301,패배,브라움,yizhiyu,0,5,9,5499,2,17,9,46,2.0,0,0,3
20,30302,승리,르블랑,박효신사생팬,10,3,6,19887,2,6,10,189,7.0,1,2,4
21,30302,승리,자르반 4세,삼성갤럭시 하루,10,1,9,13616,9,40,20,139,5.2,1,2,4
22,30302,승리,조이,삼성갤럭시 Crown,3,4,5,15705,5,15,11,221,8.2,1,2,4
23,30302,승리,진,Hades9,5,1,5,10587,5,16,8,240,8.9,1,2,4
24,30302,승리,알리스타,천천히올라감,1,3,10,4709,10,25,16,56,2.1,1,2,4
25,30302,패배,제이스,암고잉빽투더스탙,3,11,2,13112,2,27,9,195,7.2,0,0,2
26,30302,패배,카직스,Cuz2,5,6,6,12359,4,20,6,128,4.7,0,0,2
27,30302,패배,라이즈,나는야 누구일까,2,1,4,15539,4,13,6,253,9.4,0,0,2
28,30302,패배,미스 포츈,Excal1bur1,0,5,1,9711,3,19,4,236,8.8,0,0,2
29,30302,패배,잔나,리인제이,2,6,4,11382,8,54,15,18,0.7,0,0,2
30,30303,승리,갱플랭크,Shi  Yue,8,4,8,25141,0,6,0,164,6.6,1,2,5
31,30303,승리,니달리,진에어 저스티스,10,1,8,18497,3,20,9,184,7.4,1,2,5
32,30303,승리,르블랑,박효신사생팬,7,4,7,17538,1,5,5,165,6.7,1,2,5
33,30303,승리,미스 포츈,Hades9,2,5,8,12296,4,18,2,218,8.8,1,2,5
34,30303,승리,쉔,덤벼보던가,1,5,12,8051,5,21,7,57,2.3,1,2,5
35,30303,패배,블라디미르,SKT T1 Untara,1,8,5,13343,3,9,2,201,8.1,0,0,3
36,30303,패배,람머스,ESRS10,4,4,5,8992,2,12,2,103,4.2,0,0,3
37,30303,패배,라이즈,마레말해뭘말해,4,4,3,12627,2,17,5,193,7.8,0,0,3
38,30303,패배,진,AGanQAQ,6,6,7,19041,1,8,3,154,6.2,0,0,3
39,30303,패배,알리스타,SKT T1 WoIf,4,6,7,9811,8,21,11,48,1.9,0,0,3
40,30304,승리,나르,Flyquest Flame,2,8,6,15570,2,29,5,215,6.6,1,1,10
