,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50673,패배,제이스,Heiz4,3,10,6,24085,0,12,19,219,6.6,0,0,3
1,50673,패배,자르반 4세,So1o,10,4,9,15639,6,30,24,169,5.1,0,0,3
2,50673,패배,라이즈,KDM Edge,5,5,4,18850,6,14,4,296,9.0,0,0,3
3,50673,패배,바루스,어껭간만에찾아뵙,8,4,11,25692,5,15,15,257,7.8,0,0,3
4,50673,패배,제라스,김메피,4,6,11,19411,9,36,19,32,1.0,0,0,3
5,50673,승리,갱플랭크,미율치에오,3,4,9,21800,3,35,7,316,9.6,0,1,8
6,50673,승리,렝가,삼성갤럭시 하루,18,8,2,27957,11,44,11,148,4.5,0,1,8
7,50673,승리,말자하,삼성갤럭시 Crown,2,6,8,15524,9,21,10,270,8.2,0,1,8
8,50673,승리,이즈리얼,ROX Se0ngHwan,4,8,7,20033,3,18,4,252,7.6,0,1,8
9,50673,승리,미스 포츈,PuncHh,2,4,7,11937,13,79,23,44,1.3,0,1,8
10,50674,승리,자르반 4세,Heiz4,1,9,19,18787,0,11,4,245,7.9,1,2,9
11,50674,승리,세주아니,MVP ADD,5,5,24,11900,5,25,13,168,5.4,1,2,9
12,50674,승리,아지르,IGS Dasher,15,1,11,36110,6,21,7,283,9.2,1,2,9
13,50674,승리,진,wjhfjihtiu,17,4,6,22183,4,15,6,228,7.4,1,2,9
14,50674,승리,미스 포츈,Lvmao,3,6,22,19500,5,42,12,30,1.0,1,2,9
15,50674,패배,제이스,pppyp,10,8,6,27426,3,16,4,228,7.4,0,1,3
16,50674,패배,니달리,DS XiaoPeng,6,8,12,14494,4,22,11,163,5.3,0,1,3
17,50674,패배,피들스틱,1414774182,5,12,6,19012,2,13,2,199,6.4,0,1,3
18,50674,패배,루시안,chirchri,3,7,8,16128,4,15,11,232,7.5,0,1,3
19,50674,패배,브라움,DWG BeryL,1,6,14,6565,16,50,11,53,1.7,0,1,3
20,50675,승리,제이스,Heiz4,6,6,6,13404,0,7,3,137,6.8,0,2,8
21,50675,승리,니달리,DS XiaoPeng,3,1,8,8146,3,24,18,128,6.4,0,2,8
22,50675,승리,탈리야,으아으앙으아앙,10,1,5,12032,2,7,6,181,9.0,0,2,8
23,50675,승리,미스 포츈,SnakeLight,10,0,4,15641,2,9,2,198,9.8,0,2,8
