,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50853,패배,신지드,Here we go,3,6,11,20120,4,20,4,279,6.9,1,4,7
1,50853,패배,리 신,J Spectre G,7,8,14,13500,11,66,11,155,3.8,1,4,7
2,50853,패배,모르가나,R4phael,2,7,16,27006,4,12,8,293,7.2,1,4,7
3,50853,패배,이즈리얼,먹는건즐거워,17,5,9,45817,3,28,11,369,9.1,1,4,7
4,50853,패배,쓰레쉬,혼자가 편해졌어,1,10,15,7996,17,88,25,66,1.6,1,4,7
5,50853,승리,케넨,Like Waves,6,4,15,38669,5,24,15,303,7.5,1,1,9
6,50853,승리,렝가,kenzhu9,17,8,8,41542,11,67,30,274,6.7,1,1,9
7,50853,승리,트위스티드 페이트,상어가족,5,5,12,28526,3,9,15,316,7.8,1,1,9
8,50853,승리,칼리스타,입이더러운사람,7,8,18,34470,4,17,33,415,10.2,1,1,9
9,50853,승리,브라움,ROX Sangyoon,1,6,25,10579,13,60,17,74,1.8,1,1,9
10,50854,패배,제이스,Like Waves,1,5,0,9314,3,12,1,108,7.1,0,0,0
11,50854,패배,세주아니,kenzhu9,2,4,1,2498,3,9,2,64,4.2,0,0,0
12,50854,패배,오리아나,LFT MID,2,5,1,3612,0,4,2,87,5.8,0,0,0
13,50854,패배,진,먹는건즐거워,1,5,2,4257,0,4,1,69,4.6,0,0,0
14,50854,패배,레오나,Here we go,0,5,1,3104,3,4,2,17,1.1,0,0,0
15,50854,승리,카밀,Heiz4,5,1,3,8436,0,4,1,114,7.5,0,1,10
16,50854,승리,니달리,J Spectre G,4,1,9,6459,3,16,5,83,5.5,0,1,10
17,50854,승리,코르키,fndasjkfkqw,5,2,5,5727,4,13,0,106,7.0,0,1,10
18,50854,승리,미스 포츈,입이더러운사람,7,1,5,10976,4,8,2,110,7.3,0,1,10
19,50854,승리,쉔,PeanuToT,3,1,12,3944,2,13,2,22,1.5,0,1,10
20,50855,패배,신지드,Here we go,1,1,1,3737,1,3,0,75,6.4,0,0,0
21,50855,패배,쉬바나,yizhiyu,2,2,1,2105,0,3,1,42,3.6,0,0,0
22,50855,패배,루시안,뿡뿡뿡뿡뿡쁑,0,2,2,3299,0,3,1,58,4.9,0,0,0
23,50855,패배,이즈리얼,Rachel Berry,1,4,1,3164,1,3,1,50,4.3,0,0,0
24,50855,패배,브라움,슬프다고말하면,0,3,3,1547,1,5,0,13,1.1,0,0,0
25,50855,승리,마오카이,TeawaN,2,1,1,2587,1,5,0,74,6.3,0,1,6
26,50855,승리,렝가,twice손채영,2,1,3,3985,2,11,1,71,6.0,0,1,6
27,50855,승리,오리아나,LFT MID,2,0,0,2695,1,5,0,94,8.0,0,1,6
28,50855,승리,트리스타나,피넛사냥개1,6,0,2,7287,0,3,1,99,8.4,0,1,6
29,50855,승리,나미,꼬맹이전쟁,0,2,8,3395,3,8,1,4,0.3,0,1,6
30,50856,패배,사이온,Here we go,2,7,5,14916,3,14,8,210,7.4,0,2,2
31,50856,패배,세주아니,작전동 노란머리,5,4,4,8336,3,19,10,164,5.8,0,2,2
32,50856,패배,리산드라,IndonesiaMassage,5,6,5,11177,1,7,1,221,7.8,0,2,2
33,50856,패배,진,Hades9,4,6,5,10750,3,14,7,208,7.3,0,2,2
34,50856,패배,바드,SnakeLight,4,10,5,10942,5,22,9,20,0.7,0,2,2
35,50856,승리,럼블,커피물조절장인,4,7,7,18018,3,12,1,206,7.3,1,1,9
36,50856,승리,리 신,h1rb,9,3,12,21577,3,43,2,145,5.1,1,1,9
37,50856,승리,아지르,FW Maple,9,2,9,31065,4,31,6,261,9.2,1,1,9
38,50856,승리,바루스,Veritas522,7,5,11,22300,2,14,4,216,7.6,1,1,9
