,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10137,승리,클레드,VIP 민형,10,7,11,24571,3,4,4,147,6.2,1,2,10
1,10137,승리,렝가,Hide on bush,15,2,7,20980,4,25,8,157,6.6,1,2,10
2,10137,승리,아지르,겸손하고 근면한,8,2,4,23191,2,9,1,242,10.2,1,2,10
3,10137,승리,진,LPL noob ad QAQ,7,2,9,19684,3,10,3,194,8.2,1,2,10
4,10137,승리,탐 켄치,라인전이기니갱와,0,0,20,9893,4,17,3,30,1.3,1,2,10
5,10137,패배,초가스,지현이의빗자루,5,10,0,17693,0,8,1,129,5.5,0,0,1
6,10137,패배,니달리,PuncHh,2,9,3,9309,4,17,8,94,4.0,0,0,1
7,10137,패배,카타리나,DWG ShowMaker,2,7,1,12711,2,8,4,189,8.0,0,0,1
8,10137,패배,칼리스타,Afreeca Aiming,2,9,1,10197,1,6,4,133,5.6,0,0,1
9,10137,패배,알리스타,IGS Coli,1,5,1,6032,5,23,0,36,1.5,0,0,1
10,10138,패배,니달리,J Spectre G,3,6,7,10135,5,26,14,182,5.7,0,2,3
11,10138,패배,블리츠크랭크,DWG ShowMaker,1,9,10,6835,10,26,10,61,1.9,0,2,3
12,10138,패배,잭스,나네쫓다꿈소년,7,7,2,17722,2,22,5,288,9.0,0,2,3
13,10138,패배,탈리야,Hide on bush,8,5,3,17671,6,38,12,306,9.6,0,2,3
14,10138,패배,진,FeelsCoffeeMan,3,8,8,16560,2,11,13,255,8.0,0,2,3
15,10138,승리,칼리스타,김메피,9,3,9,17739,2,10,9,262,8.2,2,1,9
16,10138,승리,케넨,우에하라 크롱,8,5,9,20569,2,16,4,197,6.2,2,1,9
17,10138,승리,라이즈,MVP Ian,2,1,13,18631,4,19,14,346,10.8,2,1,9
18,10138,승리,제라스,LPL noob ad QAQ,6,8,14,17893,6,44,15,31,1.0,2,1,9
19,10138,승리,자르반 4세,단군의청춘부재,9,5,18,15088,5,65,22,124,3.9,2,1,9
20,10139,패배,나르,kfo,0,5,3,7616,0,10,2,185,7.3,0,0,3
21,10139,패배,자르반 4세,h1rb,2,6,3,8164,4,17,2,114,4.5,0,0,3
22,10139,패배,조이,Hide on bush,4,3,4,23475,2,23,4,208,8.2,0,0,3
23,10139,패배,미스 포츈,Gon123,1,7,5,12527,0,6,1,172,6.8,0,0,3
24,10139,패배,쉔,PeanuToT,5,8,6,5790,5,27,12,60,2.4,0,0,3
25,10139,승리,카밀,우철짱123,11,1,7,14208,3,13,5,186,7.3,1,2,11
26,10139,승리,카직스,7895123,6,1,8,10816,9,25,10,148,5.8,1,2,11
27,10139,승리,말자하,Kimimaro,0,1,12,14272,3,13,6,193,7.6,1,2,11
28,10139,승리,칼리스타,SnakeLight,11,3,5,15330,1,10,5,248,9.8,1,2,11
29,10139,승리,마오카이,진쟤승,1,6,17,11169,5,25,2,33,1.3,1,2,11
30,10140,패배,제이스,KDM PERT,7,7,5,23103,0,29,12,245,7.9,0,0,3
31,10140,패배,세주아니,Afreeca M0wgli,4,4,7,8461,10,34,16,142,4.6,0,0,3
32,10140,패배,조이,Hide on bush,4,4,6,28256,2,26,11,273,8.8,0,0,3
