,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50534,승리,카밀,Gon123,5,3,8,14389,2,11,4,183,8.5,1,2,4
1,50534,승리,세주아니,5gak,5,0,10,8260,2,16,7,129,6.0,1,2,4
2,50534,승리,탈리야,IGS Dasher,10,2,6,14898,5,27,6,197,9.2,1,2,4
3,50534,승리,진,deft123456,3,1,11,9409,4,18,2,171,8.0,1,2,4
4,50534,승리,알리스타,선기박,1,3,11,5508,7,27,6,36,1.7,1,2,4
5,50534,패배,잭스,MVP ADD,2,6,2,7273,3,14,2,138,6.4,0,0,2
6,50534,패배,자르반 4세,F0y,2,6,5,6879,3,24,9,106,4.9,0,0,2
7,50534,패배,트위스티드 페이트,YM  zhongdan,3,4,2,8485,3,11,10,189,8.8,0,0,2
8,50534,패배,미스 포츈,혼자해도충분하다,1,4,4,9704,0,8,4,181,8.4,0,0,2
9,50534,패배,쉔,Lvmao,1,4,3,6231,4,12,6,50,2.3,0,0,2
10,50535,승리,초가스,MVP Ian,6,0,2,15813,3,14,2,191,7.6,1,2,8
11,50535,승리,리 신,5gak,7,3,10,15007,3,40,8,150,5.9,1,2,8
12,50535,승리,탈리야,IGS Dasher,12,1,6,25468,4,15,8,225,8.9,1,2,8
13,50535,승리,진,YM  zhongdan,2,8,11,11768,2,11,8,200,7.9,1,2,8
14,50535,승리,제라스,선기박,4,3,6,12337,13,50,11,39,1.5,1,2,8
15,50535,패배,요릭,MVP ADD,0,7,1,16622,2,11,5,195,7.7,0,0,4
16,50535,패배,자르반 4세,DS XiaoPeng,6,6,8,7015,9,57,15,109,4.3,0,0,4
17,50535,패배,코르키,F0y,4,7,2,11125,2,11,10,195,7.7,0,0,4
18,50535,패배,미스 포츈,혼자해도충분하다,4,7,5,11940,0,9,3,215,8.5,0,0,4
19,50535,패배,오른,Lvmao,1,4,8,8455,4,21,8,65,2.6,0,0,4
20,50536,승리,자르반 4세,Heiz4,1,9,19,18787,0,11,4,245,7.9,1,2,9
21,50536,승리,세주아니,MVP ADD,5,5,24,11900,5,25,13,168,5.4,1,2,9
22,50536,승리,아지르,IGS Dasher,15,1,11,36110,6,21,7,283,9.2,1,2,9
23,50536,승리,진,wjhfjihtiu,17,4,6,22183,4,15,6,228,7.4,1,2,9
24,50536,승리,미스 포츈,Lvmao,3,6,22,19500,5,42,12,30,1.0,1,2,9
25,50536,패배,제이스,pppyp,10,8,6,27426,3,16,4,228,7.4,0,1,3
26,50536,패배,니달리,DS XiaoPeng,6,8,12,14494,4,22,11,163,5.3,0,1,3
27,50536,패배,피들스틱,1414774182,5,12,6,19012,2,13,2,199,6.4,0,1,3
28,50536,패배,루시안,chirchri,3,7,8,16128,4,15,11,232,7.5,0,1,3
29,50536,패배,브라움,DWG BeryL,1,6,14,6565,16,50,11,53,1.7,0,1,3
30,50537,패배,잭스,TOP아빠,3,6,4,9048,6,33,12,251,7.8,0,0,2
31,50537,패배,세주아니,담원 크러쉬,3,6,11,8063,11,13,14,129,4.0,0,0,2
32,50537,패배,탈리야,IGS Dasher,7,6,4,22381,7,35,8,245,7.6,0,0,2
33,50537,패배,칼리스타,담원 얼라이브,8,4,5,11581,3,23,9,313,9.7,0,0,2
34,50537,패배,바드,Lvmao,1,8,13,9814,9,36,21,30,0.9,0,0,2
35,50537,승리,제이스,MVP ADD,8,5,8,28755,4,42,14,306,9.5,1,2,8
36,50537,승리,자르반 4세,수입뿌드,7,8,13,15599,8,32,21,167,5.2,1,2,8
37,50537,승리,코르키,ysdgqxcj,6,4,11,31393,3,13,6,317,9.8,1,2,8
38,50537,승리,진,DWG BeryL,8,2,10,27787,3,13,6,284,8.8,1,2,8
39,50537,승리,쓰레쉬,supbest,1,3,19,7869,11,48,23,41,1.3,1,2,8
40,50538,패배,블라디미르,IGS Dasher,2,4,5,8387,5,17,2,242,8.4,0,0,4
41,50538,패배,엘리스,종학윙,3,7,10,8767,7,12,10,111,3.9,0,0,4
42,50538,패배,아지르,아테나찡,7,8,4,21619,4,11,5,245,8.5,0,0,4
43,50538,패배,이즈리얼,NekoL,3,6,4,16960,1,15,2,263,9.1,0,0,4
44,50538,패배,쉔,천천히올라감,1,9,7,3967,10,35,4,48,1.7,0,0,4
45,50538,승리,제이스,Heiz4,2,5,9,11656,0,12,4,259,9.0,1,3,8
46,50538,승리,렝가,마산가자,7,3,12,16273,4,20,6,162,5.6,1,3,8
