,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10591,승리,카밀,코w코,6,2,5,11306,1,9,0,136,6.7,0,1,5
1,10591,승리,쉬바나,PeanuToT,5,2,4,7660,5,10,16,137,6.7,0,1,5
2,10591,승리,말자하,chirchri,2,0,7,8768,3,9,14,205,10.0,0,1,5
3,10591,승리,코그모,6학년4반장용준,4,1,3,7732,3,9,9,187,9.2,0,1,5
4,10591,승리,타릭,IGS Doran,1,0,9,3850,7,25,4,34,1.7,0,1,5
5,10591,패배,잭스,Like Waves,1,4,1,6580,1,14,0,146,7.2,0,1,3
6,10591,패배,카직스,Wilder,2,4,1,8388,5,18,0,91,4.5,0,1,3
7,10591,패배,빅토르,DWG ShowMaker,0,4,2,5330,4,12,1,177,8.7,0,1,3
8,10591,패배,이즈리얼,Yeeclipse,1,1,0,12225,0,12,0,177,8.7,0,1,3
9,10591,패배,탐 켄치,진쟤승,1,5,1,4769,2,27,7,34,1.7,0,1,3
10,10592,패배,제이스,Like Waves,1,6,0,8589,3,13,3,119,7.3,0,0,2
11,10592,패배,자르반 4세,ROX Se0ngHwan,2,4,1,2853,2,18,6,72,4.4,0,0,2
12,10592,패배,카사딘,PeanuToT,3,6,1,4975,1,12,1,97,6.0,0,0,2
13,10592,패배,칼리스타,RRRuleRRR,2,3,2,6110,3,11,5,164,10.1,0,0,2
14,10592,패배,타릭,IGS Doran,1,2,4,3164,5,15,3,32,2.0,0,0,2
15,10592,승리,카밀,코w코,5,1,5,9659,1,6,5,115,7.1,0,1,5
16,10592,승리,세주아니,마이엠브,6,0,9,7608,2,22,2,104,6.4,0,1,5
17,10592,승리,루시안,Afreeca Kuro,7,1,3,10629,3,8,6,165,10.2,0,1,5
18,10592,승리,진,LPL noob ad QAQ,2,4,5,4343,0,6,2,83,5.1,0,1,5
19,10592,승리,미스 포츈,쌀국수뚝붸기,1,3,10,6907,6,26,4,16,1.0,0,1,5
20,10593,승리,사이온,ROX Lindarang,5,4,9,12465,5,18,2,196,6.5,1,1,7
21,10593,승리,쉬바나,yizhiyu,11,5,7,25453,3,9,13,204,6.8,1,1,7
22,10593,승리,아지르,FeelsAwesomeMan,3,3,10,19498,5,17,10,233,7.8,1,1,7
23,10593,승리,진,Do LaoN,1,0,10,12018,0,11,13,234,7.8,1,1,7
24,10593,승리,카르마,IGS Doran,4,3,13,9855,12,47,14,25,0.8,1,1,7
25,10593,패배,제이스,kfo,6,7,1,25537,2,15,6,227,7.6,0,1,3
26,10593,패배,니달리,작전동 노란머리,3,4,9,17056,9,51,15,203,6.8,0,1,3
27,10593,패배,트위스티드 페이트,PawN God,5,7,4,17313,4,18,2,246,8.2,0,1,3
28,10593,패배,애쉬,STITCH1,1,3,6,19498,3,29,11,301,10.0,0,1,3
29,10593,패배,잔나,VeryBitter,0,3,9,5113,14,41,12,18,0.6,0,1,3
30,10594,승리,마오카이,담원 크러쉬,1,3,16,19664,6,19,2,248,6.0,2,2,10
31,10594,승리,자르반 4세,ROX Se0ngHwan,6,2,25,16232,7,76,29,205,5.0,2,2,10
32,10594,승리,라이즈,피넛사냥개1,17,8,9,44338,8,44,9,340,8.2,2,2,10
33,10594,승리,애쉬,퓨 Zl,17,10,11,54059,4,12,12,312,7.5,2,2,10
34,10594,승리,타릭,IGS Doran,2,6,33,11842,9,50,24,94,2.3,2,2,10
35,10594,패배,카르마,DWG ShowMaker,5,7,16,43994,1,20,10,271,6.5,1,1,7
36,10594,패배,렝가,삼성갤럭시 하루,8,12,6,27156,12,34,23,224,5.4,1,1,7
37,10594,패배,탈리야,KDM PERT,5,5,15,49085,3,21,11,298,7.2,1,1,7
38,10594,패배,미스 포츈,whisper snow,7,9,12,44395,3,13,6,307,7.4,1,1,7
39,10594,패배,쉔,GuGer,4,10,20,16067,14,85,20,74,1.8,1,1,7
