,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3559,패배,마오카이,h1rb,0,6,2,8370,1,8,0,111,5.2,0,0,0
1,3559,패배,세주아니,Plz No Die,0,9,4,6400,2,31,5,81,3.8,0,0,0
2,3559,패배,오리아나,PuncHh,2,7,3,6699,2,18,4,129,6.0,0,0,0
3,3559,패배,칼리스타,FVV BETTY,4,3,2,11388,2,11,3,206,9.6,0,0,0
4,3559,패배,잔나,IgNar,2,3,4,4883,9,28,2,6,0.3,0,0,0
5,3559,승리,갱플랭크,피넛사냥개2,5,2,7,18368,2,14,2,187,8.7,1,1,10
6,3559,승리,렝가,스마트섹시뷰티,8,1,5,11703,3,9,16,166,7.7,1,1,10
7,3559,승리,아지르,피넛사냥개1,13,1,6,22978,3,19,7,199,9.2,1,1,10
8,3559,승리,이즈리얼,혼자가 편해졌어,2,3,7,11103,2,14,10,181,8.4,1,1,10
9,3559,승리,탐 켄치,160810,0,1,10,4298,5,15,8,49,2.3,1,1,10
10,3560,패배,일라오이,xaxaxaxaxa,3,2,7,18417,2,15,1,241,9.2,0,0,2
11,3560,패배,엘리스,마이엠브,7,4,4,14700,6,16,2,153,5.8,0,0,2
12,3560,패배,라이즈,송하영 팬,3,6,2,8375,3,12,8,217,8.3,0,0,2
13,3560,패배,바루스,Greed A Pride,1,6,5,10126,5,24,3,196,7.5,0,0,2
14,3560,패배,미스 포츈,IgNar,0,8,4,9099,3,8,10,43,1.6,0,0,2
15,3560,승리,하이머딩거,Kingen,3,5,7,14381,1,10,1,167,6.4,1,3,8
16,3560,승리,쉬바나,F0y,11,2,4,19975,7,9,9,197,7.5,1,3,8
17,3560,승리,아지르,chirchri,5,1,7,13768,6,10,6,226,8.6,1,3,8
18,3560,승리,진,Afreeca Kramer,4,2,12,14773,4,19,6,233,8.9,1,3,8
19,3560,승리,쉔,Afreeca Kuro,3,4,12,8152,5,26,7,71,2.7,1,3,8
20,3561,패배,카밀,갱만가드림,2,3,1,6828,0,10,3,162,6.8,0,0,1
21,3561,패배,세주아니,마이엠브,3,0,7,6230,6,45,8,99,4.2,0,0,1
22,3561,패배,라이즈,승 로,3,3,4,10436,1,11,2,180,7.6,0,0,1
23,3561,패배,진,Greed A Pride,2,2,4,7001,4,11,8,214,9.0,0,0,1
24,3561,패배,갈리오,IgNar,0,4,7,3207,7,31,9,45,1.9,0,0,1
25,3561,승리,나르,이도류,4,0,1,14093,3,24,4,198,8.4,0,1,6
26,3561,승리,아이번,kenzhu9,1,1,8,3900,2,22,9,138,5.8,0,1,6
27,3561,승리,말자하,chirchri,4,5,2,7396,3,12,5,160,6.8,0,1,6
28,3561,승리,이즈리얼,아 백,2,1,7,23870,2,12,9,238,10.0,0,1,6
29,3561,승리,탐 켄치,MataMataMata,1,3,3,3671,6,27,4,47,2.0,0,1,6
30,3562,패배,나르,커피물조절장인,1,5,1,8135,1,17,1,136,6.6,0,0,2
31,3562,패배,세주아니,IgNar,4,3,2,4778,5,21,2,94,4.6,0,0,2
32,3562,패배,라이즈,ysdgqxcj,1,4,1,5863,2,9,6,149,7.2,0,0,2
33,3562,패배,미스 포츈,YM  zhongdan,1,6,3,7728,0,6,13,127,6.2,0,0,2
34,3562,패배,쉔,XinMo,1,0,5,2035,6,17,8,55,2.7,0,0,2
35,3562,승리,잭스,나네쫓다꿈소년,5,2,3,10650,1,9,4,208,10.1,0,2,11
36,3562,승리,리 신,SnakeLight,2,3,7,6645,1,22,3,121,5.9,0,2,11
37,3562,승리,조이,피넛사냥개1,7,0,2,21516,2,18,2,148,7.2,0,2,11
38,3562,승리,드레이븐,kiyomia,2,3,2,10869,0,6,2,179,8.7,0,2,11
39,3562,승리,잔나,리인제이,2,0,6,9621,7,39,5,10,0.5,0,2,11
40,3563,승리,마오카이,IgNar,2,3,7,10253,2,12,5,181,6.2,1,2,8
41,3563,승리,자르반 4세,XinyiQAQ,7,4,18,19410,11,13,9,154,5.3,1,2,8
42,3563,승리,말자하,Heart,3,6,8,14303,1,15,5,290,10.0,1,2,8
43,3563,승리,드레이븐,kiyomia,15,7,6,35282,0,9,4,235,8.1,1,2,8
44,3563,승리,잔나,리인제이,4,6,21,12385,9,37,15,18,0.6,1,2,8
45,3563,패배,갱플랭크,피넛사냥개2,4,5,7,24816,0,14,1,276,9.5,0,0,4
46,3563,패배,카직스,땅우양,9,7,7,18443,1,19,6,182,6.3,0,0,4
47,3563,패배,코르키,Fotune,8,7,2,21069,1,12,3,263,9.1,0,0,4
48,3563,패배,미스 포츈,혼자가 편해졌어,3,9,8,16715,2,29,11,224,7.7,0,0,4
49,3563,패배,알리스타,Bvoy,2,3,13,5891,11,36,6,53,1.8,0,0,4
50,3564,패배,일라오이,JAG S0hwan,0,8,3,11286,3,15,3,207,7.2,0,1,2
51,3564,패배,쉬바나,작전동 노란머리,1,4,4,13762,7,12,11,197,6.9,0,1,2
52,3564,패배,제이스,Fotune,6,5,1,17411,4,14,7,257,9.0,0,1,2
53,3564,패배,케이틀린,쌀국수뚝붸기,2,5,1,9059,1,9,3,221,7.7,0,1,2
54,3564,패배,쓰레쉬,IgNar,2,5,4,4142,12,60,11,38,1.3,0,1,2
55,3564,승리,카밀,담원 너구리,6,3,9,30938,2,15,7,260,9.1,1,2,8
56,3564,승리,렝가,Wilder,8,5,4,17149,5,23,9,173,6.0,1,2,8
57,3564,승리,신드라,reMember Mistake,6,2,8,20643,2,28,3,238,8.3,1,2,8
58,3564,승리,진,Bvoy,6,0,10,18308,5,12,5,275,9.6,1,2,8
59,3564,승리,쉔,호잇이,1,1,11,5046,8,33,26,75,2.6,1,2,8
60,3565,패배,말파이트,바보처럼 왜,3,3,1,7852,0,11,4,89,5.7,0,0,0
61,3565,패배,카직스,Wilder,2,4,4,4602,2,16,5,90,5.8,0,0,0
62,3565,패배,코르키,Fotune,3,2,2,8447,1,6,0,150,9.6,0,0,0
63,3565,패배,미스 포츈,비 브이 오 와이,1,4,0,4809,3,12,2,80,5.1,0,0,0
64,3565,패배,제라스,IgNar,0,5,2,4794,1,6,3,4,0.3,0,0,0
65,3565,승리,카밀,쌀국수뚝붸기,5,2,0,8105,1,11,3,110,7.1,0,0,1
66,3565,승리,자르반 4세,5gak,3,2,6,3052,3,25,5,89,5.7,0,0,1
