,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40258,패배,마오카이,이기자 할수있다,1,5,16,15982,3,9,1,184,5.9,0,0,0
1,40258,패배,자르반 4세,Iime,6,14,21,20081,7,14,5,101,3.2,0,0,0
2,40258,패배,카사딘,커닝시티 피그미,22,8,5,37163,5,17,3,190,6.1,0,0,0
3,40258,패배,진,내 마음 아프니까,6,10,17,25457,0,7,2,191,6.1,0,0,0
4,40258,패배,알리스타,심심풀이 남신,1,10,12,6441,7,66,8,45,1.4,0,0,0
5,40258,승리,쉔,GEWINN1,11,3,13,28669,2,14,6,223,7.2,1,4,11
6,40258,승리,렝가,PeanuToT,9,10,8,21204,2,8,6,169,5.4,1,4,11
7,40258,승리,블라디미르,선비모드,5,10,16,34166,2,13,2,162,5.2,1,4,11
8,40258,승리,칼리스타,메 끠,14,7,13,35666,2,9,8,290,9.3,1,4,11
9,40258,승리,브라움,일 편,8,6,29,13678,10,48,14,57,1.8,1,4,11
10,40259,승리,제이스,JAG S0hwan,7,6,6,21348,4,27,3,214,8.3,1,3,10
11,40259,승리,이즈리얼,Iime,5,2,3,18606,7,17,7,185,7.2,1,3,10
12,40259,승리,카시오페아,Yaharong,8,2,7,21092,3,13,5,213,8.2,1,3,10
13,40259,승리,트리스타나,튀자튀자아,5,2,5,16572,4,11,8,254,9.8,1,3,10
14,40259,승리,룰루,FeelsLovelyMan,1,4,12,6207,6,27,10,23,0.9,1,3,10
15,40259,패배,자르반 4세,cbzOvO,4,6,7,7700,0,7,2,182,7.0,0,0,2
16,40259,패배,세주아니,이 차가 식기전에,4,4,7,7962,3,24,9,138,5.3,0,0,2
17,40259,패배,신드라,단군의청춘부재,4,7,4,14598,4,13,6,197,7.6,0,0,2
18,40259,패배,트위치,wowowowoowowowo,4,5,4,9189,6,13,4,205,7.9,0,0,2
19,40259,패배,잔나,강고릴,0,4,10,4019,4,23,5,10,0.4,0,0,2
20,40260,승리,이렐리아,JAG S0hwan,4,3,2,9708,3,16,1,125,7.2,0,0,6
21,40260,승리,자르반 4세,Iime,11,2,7,13086,0,7,1,83,4.8,0,0,6
22,40260,승리,신드라,FeelsPepsiMan,5,2,3,6355,2,7,2,113,6.5,0,0,6
23,40260,승리,트리스타나,Hades9,7,3,2,8952,2,9,0,136,7.8,0,0,6
24,40260,승리,블리츠크랭크,아트가 앗뜨거,1,2,13,4554,6,18,3,23,1.3,0,0,6
25,40260,패배,레넥톤,임모탈스 Flame,1,8,2,5390,0,6,2,131,7.5,0,1,1
26,40260,패배,카직스,Longzhu Cuzz,7,5,1,8343,3,6,3,90,5.2,0,1,1
27,40260,패배,카사딘,Afreeca Aiming,2,6,0,5597,1,6,0,85,4.9,0,1,1
28,40260,패배,이즈리얼,튀자튀자아,1,4,3,8831,0,7,1,130,7.5,0,1,1
29,40260,패배,모르가나,T 1 a n,1,5,3,3637,2,10,1,16,0.9,0,1,1
30,40261,패배,자르반 4세,임모탈스 Flame,1,6,3,7516,4,12,4,112,5.0,0,1,5
31,40261,패배,니달리,Longzhu Cuzz,9,3,1,12792,3,6,6,160,7.2,0,1,5
32,40261,패배,라이즈,남 탓 보 다 반성,3,1,3,7479,3,12,6,198,8.9,0,1,5
33,40261,패배,자야,Hades9,1,6,6,9798,3,12,3,172,7.7,0,1,5
34,40261,패배,카르마,Iime,2,6,5,7526,8,21,6,21,0.9,0,1,5
35,40261,승리,나르,JAG S0hwan,2,2,9,15269,4,22,2,187,8.4,1,1,7
36,40261,승리,카직스,FeelsPepsiMan,8,5,1,10242,7,26,8,96,4.3,1,1,7
37,40261,승리,말자하,Mengqiuqiu,3,4,5,10430,1,10,3,201,9.0,1,1,7
38,40261,승리,트리스타나,whisper snow,6,3,6,11642,0,6,4,216,9.7,1,1,7
39,40261,승리,라칸,MataMataMata,3,2,12,5872,9,29,7,9,0.4,1,1,7
40,40262,패배,자르반 4세,배린e,1,6,13,6881,1,10,0,168,7.0,0,0,2
41,40262,패배,카직스,Iime,6,12,8,10336,6,13,1,68,2.8,0,0,2
42,40262,패배,아지르,GG00NG,7,6,10,24471,2,11,3,204,8.5,0,0,2
43,40262,패배,바루스,Deft1,7,10,10,18676,1,9,6,196,8.1,0,0,2
44,40262,패배,라칸,MataMataMata,4,10,9,7086,7,40,6,15,0.6,0,0,2
45,40262,승리,카밀,010723,5,2,11,12116,1,6,2,168,7.0,1,1,10
46,40262,승리,니달리,Longzhu Cuzz,13,6,13,19596,3,5,6,162,6.7,1,1,10
47,40262,승리,말자하,nekoneko1,5,7,10,12117,2,11,2,156,6.5,1,1,10
48,40262,승리,자야,Afreeca Aiming,15,5,16,33154,3,12,7,236,9.8,1,1,10
49,40262,승리,소라카,천천히올라감,5,5,24,9525,4,26,2,9,0.4,1,1,10
50,40263,승리,자르반 4세,Iime,13,3,18,16491,4,20,5,114,4.5,1,1,9
51,40263,승리,트리스타나,LPL noob ad QAQ,15,4,13,36302,1,8,6,189,7.5,1,1,9
52,40263,승리,레오나,FeelsLovelyMan,6,3,26,10149,11,35,6,29,1.1,1,1,9
53,40263,승리,탈리야,남 탓 보 다 반성,5,3,19,24883,2,7,8,202,8.0,1,1,9
54,40263,승리,초가스,FeelsPepsiMan,7,2,18,15852,2,8,2,161,6.4,1,1,9
55,40263,패배,루시안,학식먹을나이,4,9,9,20351,1,19,5,183,7.2,0,0,0
56,40263,패배,세주아니,이 차가 식기전에,3,5,6,6448,2,24,2,102,4.0,0,0,0
57,40263,패배,이즈리얼,Peecaboo,7,8,4,26504,1,13,4,186,7.4,0,0,0
58,40263,패배,블리츠크랭크,한쿡말알아,0,9,8,4112,4,14,4,45,1.8,0,0,0
59,40263,패배,럼블,HKA Riris,1,15,4,14678,2,9,5,156,6.2,0,0,0
60,40264,승리,잭스,Riyon,9,4,3,16164,1,6,1,185,9.8,0,1,7
61,40264,승리,렝가,not for self,6,2,5,9723,1,7,6,107,5.7,0,1,7
62,40264,승리,르블랑,Yaharong,4,2,3,9062,3,11,2,134,7.1,0,1,7
63,40264,승리,트리스타나,에어맨,3,4,4,5760,1,8,2,128,6.8,0,1,7
64,40264,승리,카르마,Iime,1,1,9,8366,3,16,3,44,2.3,0,1,7
65,40264,패배,초가스,MeteorOvO,1,7,5,5371,1,8,1,97,5.1,0,0,0
66,40264,패배,헤카림,xiaolonda,5,4,4,7714,3,8,0,97,5.1,0,0,0
67,40264,패배,이즈리얼,마산가자,5,5,1,13602,3,19,3,176,9.3,0,0,0
68,40264,패배,바루스,ESRS10,2,6,1,6516,0,7,1,142,7.5,0,0,0
69,40264,패배,룰루,도령니이임,0,1,5,3158,2,7,2,10,0.5,0,0,0
70,40265,승리,럼블,마마돈워리,5,9,11,25132,4,38,4,237,6.4,1,1,10
71,40265,승리,자르반 4세,Iime,11,5,25,21653,3,8,7,183,4.9,1,1,10
72,40265,승리,리산드라,꾸자니 똑땅해,11,4,13,31047,0,39,6,303,8.1,1,1,10
73,40265,승리,케이틀린,Peecaboo,11,7,13,34299,4,12,5,315,8.4,1,1,10
74,40265,승리,쓰레쉬,YM  zhongdan,4,7,23,9615,8,47,9,34,0.9,1,1,10
75,40265,패배,제이스,Yaharong,11,10,5,35579,4,20,9,300,8.0,1,1,3
76,40265,패배,엘리스,매우뚱뚱한고양이,3,9,10,15584,9,10,12,131,3.5,1,1,3
77,40265,패배,트위스티드 페이트,유튜브충현랩모음,7,5,8,25667,0,11,5,265,7.1,1,1,3
78,40265,패배,코그모,수입뿌드,8,9,6,30321,0,12,4,304,8.2,1,1,3
79,40265,패배,그라가스,아라가키 유이,2,9,16,12150,11,50,16,70,1.9,1,1,3
80,40266,패배,나르,커피물조절장인,5,9,3,17582,3,15,1,233,7.3,2,1,5
81,40266,패배,이즈리얼,Iime,7,8,11,24572,3,16,1,135,4.2,2,1,5
82,40266,패배,라이즈,YOLO 겨레,8,11,7,21346,4,12,2,214,6.7,2,1,5
83,40266,패배,트리스타나,Nearly,4,7,6,9584,2,12,14,234,7.3,2,1,5
84,40266,패배,알리스타,160810,3,5,8,9912,14,47,10,58,1.8,2,1,5
85,40266,승리,자르반 4세,문장 분석기,15,2,14,28015,1,15,2,261,8.2,0,2,9
86,40266,승리,카직스,So1o,10,2,15,23735,3,9,12,150,4.7,0,2,9
87,40266,승리,피즈,Afreeca Aiming,5,10,7,14504,1,14,5,186,5.8,0,2,9
88,40266,승리,코그모,온몸에 담,5,6,15,24500,1,11,7,290,9.1,0,2,9
89,40266,승리,쓰레쉬,다시 돌아갈까요,5,7,15,8920,10,40,12,59,1.8,0,2,9
90,40267,승리,마오카이,Here we go,2,1,7,7072,4,12,3,129,6.6,0,2,7
91,40267,승리,이즈리얼,Iime,5,0,8,9329,1,9,1,91,4.7,0,2,7
92,40267,승리,르블랑,Sakura Devil,5,3,4,11875,2,7,0,122,6.2,0,2,7
93,40267,승리,코그모,aquariusz,8,1,3,17907,2,9,4,202,10.3,0,2,7
94,40267,승리,룰루,FW SwordArT,0,1,10,2603,6,16,1,3,0.2,0,2,7
95,40267,패배,제이스,Afreeca Summit,3,7,1,13867,2,9,1,167,8.5,0,0,1
96,40267,패배,세주아니,DaYE,1,4,2,3856,6,21,2,68,3.5,0,0,1
97,40267,패배,블라디미르,Lucete,1,5,0,5361,2,8,1,128,6.5,0,0,1
98,40267,패배,트위치,VIP 민형,1,2,0,6650,0,4,4,136,7.0,0,0,1
99,40267,패배,잔나,안개 낀 미드,0,2,1,2071,3,10,1,8,0.4,0,0,1
100,40268,승리,이렐리아,Here we go,7,3,5,12219,3,14,3,183,7.3,1,1,7
101,40268,승리,이즈리얼,Iime,5,6,9,17377,4,10,6,125,5.0,1,1,7
102,40268,승리,카사딘,멘탈 실력 운,8,5,6,18644,4,10,2,182,7.3,1,1,7
103,40268,승리,바루스,옷벗고춤추고싶다,6,2,8,11276,3,11,5,216,8.6,1,1,7
104,40268,승리,쓰레쉬,Detiny,2,1,16,4790,6,27,3,35,1.4,1,1,7
105,40268,패배,케넨,IGS Bear,1,9,5,9017,1,10,1,121,4.8,0,1,0
106,40268,패배,자르반 4세,정글노바,4,6,11,11159,8,12,3,106,4.2,0,1,0
107,40268,패배,신드라,Sakura Devil,6,5,6,15129,1,6,3,163,6.5,0,1,0
108,40268,패배,자야,성민콩,3,4,7,13224,0,7,4,217,8.7,0,1,0
109,40268,패배,모르가나,FW SwordArT,3,4,7,6182,8,26,6,10,0.4,0,1,0
110,40269,패배,잭스,IGS Bear,4,10,0,16255,4,14,4,226,6.9,1,1,3
111,40269,패배,이즈리얼,Iime,6,9,5,28817,9,21,4,118,3.6,1,1,3
112,40269,패배,라이즈,Sakura Devil,0,6,9,25784,3,17,4,261,7.9,1,1,3
113,40269,패배,칼리스타,옷벗고춤추고싶다,3,9,7,25065,2,10,3,220,6.7,1,1,3
114,40269,패배,라칸,Detiny,3,5,12,10837,7,38,14,29,0.9,1,1,3
115,40269,승리,신지드,Here we go,6,5,23,21889,4,17,2,219,6.7,1,2,8
116,40269,승리,자르반 4세,챌도못찍냐,9,3,26,16904,11,35,13,114,3.5,1,2,8
117,40269,승리,카사딘,FeelsCoffeeMan,14,1,11,31135,3,14,2,291,8.9,1,2,8
118,40269,승리,드레이븐,FeelsWowMan,8,6,17,25018,2,13,7,229,7.0,1,2,8
119,40269,승리,브라움,좋은날,2,2,24,10046,10,38,10,63,1.9,1,2,8
120,40270,승리,나르,WENJUNXI,7,1,2,12130,2,9,4,171,8.3,0,2,6
121,40270,승리,엘리스,Iime,3,1,10,7673,6,12,1,69,3.4,0,2,6
122,40270,승리,르블랑,Sakura Devil,2,0,5,8687,0,9,2,150,7.3,0,2,6
123,40270,승리,트리스타나,Xero,6,1,6,8552,1,9,3,152,7.4,0,2,6
124,40270,승리,쓰레쉬,Detiny,1,0,14,5058,7,23,4,23,1.1,0,2,6
125,40270,패배,이렐리아,Here we go,2,3,0,4050,2,6,1,126,6.1,0,0,0
126,40270,패배,리 신,Boldness,0,3,2,4723,4,22,2,83,4.0,0,0,0
127,40270,패배,카사딘,멘탈 실력 운,0,2,0,7848,1,9,1,169,8.2,0,0,0
128,40270,패배,드레이븐,FeelsWowMan,1,6,1,9905,1,7,1,171,8.3,0,0,0
129,40270,패배,잔나,바람의 늑대,0,5,2,2455,4,14,3,8,0.4,0,0,0
130,40271,승리,케넨,커피물조절장인,5,2,1,9951,2,11,1,178,7.7,1,2,2
131,40271,승리,이즈리얼,Iime,5,3,4,15024,4,13,4,106,4.6,1,2,2
132,40271,승리,라이즈,안개 낀 미드,1,1,5,6728,3,11,5,157,6.8,1,2,2
133,40271,승리,트리스타나,Afreeca Aiming,3,2,0,8711,2,11,7,230,9.9,1,2,2
134,40271,승리,타릭,토마토페이스트,0,2,3,1381,5,23,2,34,1.5,1,2,2
135,40271,패배,블라디미르,군산신사장,4,3,1,11186,4,9,4,177,7.6,0,0,2
136,40271,패배,엘리스,백수 JJUN,2,3,2,4391,3,7,4,82,3.5,0,0,2
137,40271,패배,말자하,Sakura Devil,1,3,4,6482,2,12,2,205,8.8,0,0,2
138,40271,패배,자야,aquariusz,0,3,2,9079,3,8,4,207,8.9,0,0,2
139,40271,패배,쓰레쉬,FeelsWowMan,2,2,4,4569,6,29,8,28,1.2,0,0,2
140,40272,패배,럼블,쌀국수뚝붸기,6,3,4,15138,2,13,2,205,7.7,0,0,1
141,40272,패배,자르반 4세,Iime,2,9,10,9554,4,10,2,121,4.6,0,0,1
142,40272,패배,말자하,Xero,5,4,7,10568,6,15,2,230,8.7,0,0,1
143,40272,패배,진,혼자해도충분하다,5,4,14,19325,0,8,6,208,7.8,0,0,1
144,40272,패배,블리츠크랭크,바람의 늑대,2,3,8,7010,4,27,6,39,1.5,0,0,1
145,40272,승리,레넥톤,땅우양,2,3,6,9367,0,9,2,213,8.0,1,2,9
146,40272,승리,이즈리얼,AAAA1234,11,3,5,19243,7,20,5,107,4.0,1,2,9
147,40272,승리,트위스티드 페이트,유튜브충현랩모음,5,1,5,13942,2,13,4,230,8.7,1,2,9
148,40272,승리,트리스타나,YOLO 겨레,2,7,6,9055,0,9,5,187,7.0,1,2,9
149,40272,승리,잔나,Z 2017 11 25,2,6,11,4032,5,22,4,9,0.3,1,2,9
150,40273,패배,레넥톤,세메론,1,2,0,6013,1,6,0,93,5.8,0,0,0
151,40273,패배,자르반 4세,Iime,1,6,2,2847,4,8,1,51,3.2,0,0,0
152,40273,패배,말자하,수영장파티박종우,1,4,1,2498,1,6,0,99,6.2,0,0,0
153,40273,패배,트리스타나,Nearly,0,3,1,3107,2,8,2,65,4.1,0,0,0
154,40273,패배,트런들,wadid,1,4,1,2617,2,8,1,18,1.1,0,0,0
155,40273,승리,블라디미르,By Ranger,1,0,3,5663,0,5,1,128,8.0,0,0,6
156,40273,승리,엘리스,Lz Tv SuShi,7,2,6,7569,0,4,2,65,4.1,0,0,6
157,40273,승리,제이스,너와나의연결Gori,5,1,2,6015,3,8,1,138,8.6,0,0,6
158,40273,승리,케이틀린,뿡뿡뿡뿡뿡쁑,5,1,7,6475,2,8,1,122,7.6,0,0,6
159,40273,승리,오른,유내현,1,0,11,5111,1,15,4,43,2.7,0,0,6
160,40274,패배,쉔,IGS Bear,1,2,2,4679,1,10,6,182,7.3,0,1,2
161,40274,패배,제이스,Iime,2,5,4,9723,5,28,5,124,5.0,0,1,2
162,40274,패배,트위스티드 페이트,수영장파티박종우,2,5,2,7774,4,13,3,200,8.0,0,1,2
163,40274,패배,트리스타나,Nearly,4,4,2,11431,4,11,3,199,8.0,0,1,2
164,40274,패배,라칸,wadid,1,1,7,6137,6,22,6,7,0.3,0,1,2
165,40274,승리,갱플랭크,세메론,2,1,3,14937,5,13,1,229,9.2,1,1,7
166,40274,승리,렉사이,Lz Tv SuShi,3,2,9,7704,3,10,3,113,4.5,1,1,7
167,40274,승리,라이즈,뿡뿡뿡뿡뿡쁑,7,1,4,14155,5,11,8,225,9.0,1,1,7
168,40274,승리,자야,FeelsCoffeeMan,3,3,5,7262,2,7,7,200,8.0,1,1,7
169,40274,승리,오른,유내현,2,3,8,7990,7,30,9,54,2.2,1,1,7
170,40275,승리,오른,우르프rider,4,1,12,19172,2,17,4,208,6.5,2,1,8
171,40275,승리,이즈리얼,Iime,15,4,10,33586,5,18,3,152,4.8,2,1,8
172,40275,승리,카타리나,h1rb,13,3,9,29520,2,15,3,245,7.7,2,1,8
173,40275,승리,바루스,혼자해도충분하다,4,3,15,14746,1,13,6,243,7.6,2,1,8
174,40275,승리,쓰레쉬,KT MATA,2,2,15,7603,14,46,8,38,1.2,2,1,8
175,40275,패배,다이애나,이야공,3,11,1,17139,1,6,4,236,7.4,0,1,1
176,40275,패배,니달리,bbq Ghost,3,7,4,13475,8,13,9,175,5.5,0,1,1
177,40275,패배,베이가,ZhanQiHuaYm,3,7,4,19531,6,12,5,250,7.8,0,1,1
178,40275,패배,칼리스타,deft123456,2,9,5,18374,6,18,6,268,8.4,0,1,1
179,40275,패배,브라움,커소리어스나,2,4,7,7666,11,50,9,51,1.6,0,1,1
180,40276,승리,쉔,멍멍이2,7,3,18,16682,9,22,4,243,7.3,2,3,9
181,40276,승리,이즈리얼,Iime,8,5,16,27052,10,21,7,205,6.2,2,3,9
182,40276,승리,럼블,Kingen,9,6,18,33745,1,14,4,218,6.6,2,3,9
183,40276,승리,드레이븐,FeelsWowMan,7,5,15,23400,5,16,9,231,7.0,2,3,9
184,40276,승리,타릭,토마토페이스트,2,6,13,4080,12,35,17,67,2.0,2,3,9
185,40276,패배,신지드,JAG S0hwan,2,7,12,15157,4,17,2,228,6.9,0,1,4
186,40276,패배,자르반 4세,F0y,4,8,12,9546,8,28,14,155,4.7,0,1,4
187,40276,패배,말자하,Xero,7,7,9,25430,7,18,6,245,7.4,0,1,4
188,40276,패배,자야,이제 졸려,10,6,9,29883,3,10,10,249,7.5,0,1,4
189,40276,패배,라칸,JAG SnowFlower,2,6,17,5520,12,35,10,12,0.4,0,1,4
190,40277,승리,잭스,쌀국수뚝붸기,5,9,5,12628,1,10,1,229,6.2,2,2,9
191,40277,승리,자르반 4세,Iime,2,5,22,12371,8,31,13,102,2.8,2,2,9
192,40277,승리,신드라,나는 죽은 사람,7,3,2,27347,6,23,6,309,8.4,2,2,9
193,40277,승리,드레이븐,FeelsWowMan,17,4,5,36711,4,14,17,314,8.5,2,2,9
