,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,31054,승리,나르,Gazuaaaaaaa,10,5,5,24939,7,42,14,293,8.4,1,3,8
1,31054,승리,자르반 4세,Afreeca M0wgli,6,2,22,15952,12,39,17,173,5.0,1,3,8
2,31054,승리,라이즈,KDM 유준,6,3,13,27334,1,15,6,287,8.3,1,3,8
3,31054,승리,미스 포츈,6학년4반장용준,10,4,8,33551,3,15,6,309,8.9,1,3,8
4,31054,승리,쉔,JAG SnowFlower,2,4,20,13586,8,38,13,84,2.4,1,3,8
5,31054,패배,이렐리아,빅파이초코파이,5,9,3,20214,4,36,13,284,8.2,0,0,3
6,31054,패배,렝가,SKT T1 WoIf,5,9,6,17291,6,26,10,170,4.9,0,0,3
7,31054,패배,카사딘,점점나의마음이끌,3,6,5,19875,3,17,8,289,8.3,0,0,3
8,31054,패배,진,GuGer,5,6,4,28997,0,11,8,268,7.7,0,0,3
9,31054,패배,트런들,Delicious Fish,0,4,8,6318,17,52,27,94,2.7,0,0,3
10,31055,승리,제이스,분당고 엄성현,5,1,3,9632,2,19,3,196,10.2,0,1,5
11,31055,승리,라이즈,덤벼보던가,12,2,5,16187,2,8,6,216,11.3,0,1,5
12,31055,승리,자르반 4세,XinyiQAQ,4,0,11,7112,6,12,6,87,4.5,0,1,5
13,31055,승리,케넨,JAG SnowFlower,2,3,8,6312,4,21,6,15,0.8,0,1,5
14,31055,승리,애쉬,혼자해도충분하다,1,3,1,6797,0,7,2,143,7.5,0,1,5
15,31055,패배,쉔,비 브이 오 와이,1,5,2,2955,2,16,1,104,5.4,0,0,1
16,31055,패배,진,RRRuleRRR,3,6,1,8021,3,7,1,145,7.6,0,0,1
17,31055,패배,카직스,매우뚱뚱한고양이,2,3,2,7810,2,13,5,106,5.5,0,0,1
18,31055,패배,카르마,Wilder,1,4,3,7399,7,16,5,20,1.0,0,0,1
19,31055,패배,탈리야,FeelsAwesomeMan,2,6,1,7263,2,17,3,132,6.9,0,0,1
20,31056,패배,잭스,Lvmao,3,7,2,23116,2,26,1,256,7.9,0,1,6
21,31056,패배,엘리스,DaYE,3,7,10,16899,8,55,14,143,4.4,0,1,6
22,31056,패배,제이스,Lucete,4,8,7,25114,4,35,22,246,7.6,0,1,6
23,31056,패배,미스 포츈,쓰레기새기들,5,5,4,25825,5,13,12,275,8.5,0,1,6
24,31056,패배,쉔,JAG SnowFlower,4,8,8,13679,6,29,13,68,2.1,0,1,6
25,31056,승리,블라디미르,kfo,12,3,11,35858,1,12,12,305,9.4,1,0,8
26,31056,승리,세주아니,mide gui tou,3,4,15,12814,6,45,13,162,5.0,1,0,8
27,31056,승리,조이,FW Maple,10,5,7,26482,7,33,11,216,6.7,1,0,8
28,31056,승리,진,LPL noob ad QAQ,9,3,11,19103,3,14,11,238,7.4,1,0,8
29,31056,승리,알리스타,supbest,1,4,21,7179,14,49,16,48,1.5,1,0,8
30,31057,패배,갱플랭크,JAG SnowFlower,1,9,3,24063,3,17,3,295,9.2,0,3,4
31,31057,패배,누누,She Jinping,0,6,5,5649,10,31,15,162,5.1,0,3,4
32,31057,패배,조이,DWG BeryL,8,4,4,34345,4,29,5,216,6.7,0,3,4
33,31057,패배,애쉬,NekoL,2,10,2,13362,5,11,4,257,8.0,0,3,4
34,31057,패배,트런들,Lvmao,6,10,8,8770,7,34,11,56,1.7,0,3,4
35,31057,승리,뽀삐,담원 쇼메이커,9,4,10,28628,3,16,4,175,5.5,1,1,9
36,31057,승리,헤카림,yizhiyu,5,5,12,18129,2,20,6,173,5.4,1,1,9
37,31057,승리,카사딘,By myself,14,1,8,40560,4,19,14,258,8.0,1,1,9
38,31057,승리,미스 포츈,Bvoy,9,4,13,45210,1,11,6,239,7.5,1,1,9
39,31057,승리,라칸,Excal1bur1,2,3,23,11165,10,33,12,14,0.4,1,1,9
40,31058,패배,카사딘,Bvoy,0,7,4,8930,1,7,3,88,4.5,0,0,0
41,31058,패배,자르반 4세,삼성갤럭시 하루,5,11,2,8452,4,16,5,55,2.8,0,0,0
42,31058,패배,진,6학년4반장용준,0,7,2,6788,2,8,0,138,7.0,0,0,0
43,31058,패배,말파이트,JAG SnowFlower,4,7,1,11684,1,7,1,79,4.0,0,0,0
44,31058,패배,쉔,삼성갤럭시CoreJJ,1,9,4,7797,2,14,0,25,1.3,0,0,0
45,31058,승리,조이,피넛사냥개1,9,3,8,13414,3,13,4,106,5.4,0,0,11
46,31058,승리,리 신,Alielie,16,0,11,17432,1,24,1,153,7.8,0,0,11
47,31058,승리,미스 포츈,NekoL,3,5,17,14195,3,8,1,92,4.7,0,0,11
48,31058,승리,제이스,담원 너구리,7,2,7,17921,1,13,1,155,7.9,0,0,11
49,31058,승리,트런들,Lvmao,6,0,8,9186,0,15,7,54,2.8,0,0,11
50,31059,승리,잭스,나네쫓다꿈소년,10,0,2,12862,1,6,0,152,9.7,0,1,7
51,31059,승리,세주아니,M1anhua,1,1,5,2135,2,19,9,88,5.6,0,1,7
52,31059,승리,탈리야,으아으앙으아앙,1,1,2,4950,2,8,4,125,8.0,0,1,7
53,31059,승리,진,담원 얼라이브,3,0,3,4551,3,8,3,140,8.9,0,1,7
54,31059,승리,쉔,JAG SnowFlower,1,1,6,3433,3,11,1,34,2.2,0,1,7
55,31059,패배,카밀,Heiz4,1,6,0,5019,1,7,1,99,6.3,0,0,0
56,31059,패배,자르반 4세,ROX Se0ngHwan,0,4,1,1041,3,20,2,56,3.6,0,0,0
57,31059,패배,제라스,Jin air Yaharong,0,2,1,6214,3,7,1,131,8.3,0,0,0
58,31059,패배,바루스,호잇이,1,1,0,4752,0,6,1,134,8.5,0,0,0
59,31059,패배,탐 켄치,Sim Student,1,3,1,3153,3,10,2,25,1.6,0,0,0
60,31060,승리,카밀,jkasjhiufgha,11,6,9,27729,5,18,0,244,7.6,0,0,8
61,31060,승리,세주아니,pokeryo,3,4,11,14927,5,45,11,148,4.6,0,0,8
62,31060,승리,카사딘,PawN God,11,6,7,24019,7,20,2,237,7.3,0,0,8
63,31060,승리,미스 포츈,nekoneko1,5,7,7,31952,3,11,11,255,7.9,0,0,8
64,31060,승리,쉔,JAG SnowFlower,1,7,17,12587,7,28,7,67,2.1,0,0,8
65,31060,패배,자르반 4세,oahizdasfaswzxeo,3,8,11,10357,1,11,6,181,5.6,1,2,8
66,31060,패배,쉬바나,MVP Ian,6,4,11,21929,6,13,23,197,6.1,1,2,8
67,31060,패배,아지르,너와나의연결Gori,9,6,12,46663,4,16,7,259,8.0,1,2,8
68,31060,패배,루시안,Pilott,9,7,9,32838,3,14,12,274,8.5,1,2,8
69,31060,패배,브라움,GuGer,3,6,20,11920,11,44,7,51,1.6,1,2,8
70,31061,승리,오른,pokeryo,2,4,15,17863,4,32,15,269,6.8,1,1,9
71,31061,승리,카직스,Boldness,14,5,9,25025,1,7,20,243,6.2,1,1,9
72,31061,승리,갈리오,SP님이다,8,5,22,30405,4,23,13,304,7.7,1,1,9
73,31061,승리,진,JAG SnowFlower,10,7,14,40067,5,33,21,292,7.4,1,1,9
74,31061,승리,미스 포츈,Find Realey,4,3,23,26430,10,106,48,88,2.2,1,1,9
75,31061,패배,제이스,WENJUNXI,10,6,5,38149,4,38,10,334,8.5,1,2,3
76,31061,패배,엘리스,GReenshower,3,9,7,16121,12,30,33,248,6.3,1,2,3
77,31061,패배,말자하,마산가자,4,8,5,25532,7,21,10,322,8.2,1,2,3
78,31061,패배,루시안,Gambit Support,2,7,8,18190,3,16,27,296,7.5,1,2,3
79,31061,패배,쉔,wojuede OK,4,8,8,7615,15,93,24,83,2.1,1,2,3
80,31062,패배,카밀,Gon123,6,4,1,16079,0,12,0,196,7.2,0,2,1
81,31062,패배,카직스,Wilder,5,5,6,14657,7,24,12,133,4.9,0,2,1
82,31062,패배,카타리나,find myself,4,7,4,13594,2,4,3,139,5.1,0,2,1
83,31062,패배,진,먹는건즐거워,5,5,7,10890,1,10,2,165,6.1,0,2,1
84,31062,패배,미스 포츈,JAG SnowFlower,2,12,8,15419,5,40,12,86,3.2,0,2,1
85,31062,승리,오른,쌀국수뚝붸기,5,2,4,16058,1,11,6,214,7.9,1,0,8
86,31062,승리,자르반 4세,sanspareil1,2,5,12,8674,6,31,9,118,4.4,1,0,8
87,31062,승리,아지르,reMember Mistake,3,3,3,14183,1,29,7,232,8.6,1,0,8
88,31062,승리,이즈리얼,삼성갤럭시 Ru1er,16,6,9,28821,2,9,6,237,8.8,1,0,8
89,31062,승리,제라스,푸딩은푸딩해,7,6,6,16867,4,27,5,25,0.9,1,0,8
90,31063,패배,니달리,mid push gogo,6,7,6,11834,3,13,3,138,5.2,0,2,3
91,31063,패배,나르,jjijiijijljli,2,6,0,9243,4,27,6,216,8.2,0,2,3
92,31063,패배,칼리스타,Leelaa,7,9,5,12062,2,9,7,132,5.0,0,2,3
93,31063,패배,미스 포츈,JAG SnowFlower,1,9,11,18878,2,30,9,90,3.4,0,2,3
94,31063,패배,카사딘,나네쫓다꿈소년,6,5,3,12600,1,4,9,185,7.0,0,2,3
95,31063,승리,자르반 4세,Rousal,7,6,17,16341,5,14,4,98,3.7,1,0,8
96,31063,승리,이즈리얼,먹는건즐거워,14,7,10,25716,2,14,10,212,8.0,1,0,8
97,31063,승리,케넨,WENJUNXI,5,2,2,8561,3,17,5,239,9.1,1,0,8
98,31063,승리,탈리야,푸딩은푸딩해,5,3,9,17090,3,7,4,229,8.7,1,0,8
99,31063,승리,르블랑,박효신사생팬,5,4,12,9295,4,27,4,10,0.4,1,0,8
100,31064,패배,오른,jjijiijijljli,2,3,3,11360,4,13,5,158,7.2,0,0,0
101,31064,패배,헤카림,yizhiyu,6,8,4,7922,1,14,4,89,4.0,0,0,0
102,31064,패배,아리,WENJUNXI,3,2,3,8553,5,23,5,156,7.1,0,0,0
103,31064,패배,칼리스타,먹는건즐거워,1,5,5,9687,1,7,7,196,8.9,0,0,0
104,31064,패배,브라움,JAG SnowFlower,0,4,7,6180,7,25,5,40,1.8,0,0,0
105,31064,승리,잭스,나네쫓다꿈소년,5,2,0,14644,2,13,1,195,8.8,1,1,5
106,31064,승리,쉬바나,chorongie,4,2,6,7890,5,12,10,149,6.8,1,1,5
107,31064,승리,탈리야,푸딩은푸딩해,8,2,6,19521,2,7,3,223,10.1,1,1,5
108,31064,승리,미스 포츈,Gon123,1,6,9,10724,0,8,5,156,7.1,1,1,5
109,31064,승리,쉔,wojuede OK,3,0,13,7853,7,41,8,41,1.9,1,1,5
110,31065,패배,잭스,ysdgqxcj,3,4,1,8045,4,9,0,156,7.4,0,0,0
111,31065,패배,자르반 4세,먹는건즐거워,2,3,1,4516,2,14,2,103,4.9,0,0,0
112,31065,패배,르블랑,삼성갤럭시 Crown,1,2,2,7463,7,23,3,197,9.4,0,0,0
113,31065,패배,진,열심히하겠슴다,1,4,2,8872,1,8,0,160,7.6,0,0,0
114,31065,패배,미스 포츈,JAG SnowFlower,1,5,3,11460,4,22,3,21,1.0,0,0,0
115,31065,승리,갱플랭크,Shi  Yue,3,3,3,12647,1,8,2,186,8.9,0,2,3
116,31065,승리,쉬바나,이도류,3,1,7,6782,5,7,8,179,8.5,0,2,3
117,31065,승리,탈리야,푸딩은푸딩해,6,1,6,9109,2,7,5,183,8.7,0,2,3
118,31065,승리,루시안,ARE2A,5,1,5,6756,2,6,5,167,8.0,0,2,3
119,31065,승리,쉔,Lehends,1,2,12,3629,4,22,9,51,2.4,0,2,3
120,31066,패배,피오라,JAG SnowFlower,3,7,6,15299,3,22,3,278,8.7,0,2,3
121,31066,패배,자르반 4세,yizhiyu,3,8,18,17522,3,22,6,138,4.3,0,2,3
122,31066,패배,아지르,OMG jiho,4,6,4,14546,4,15,4,230,7.2,0,2,3
123,31066,패배,진,원딜왕자 빛종인,9,3,10,24115,8,18,4,220,6.9,0,2,3
124,31066,패배,타릭,ollehKing,6,4,18,7835,9,40,10,72,2.3,0,2,3
125,31066,승리,제이스,6 18 5 25 1,12,5,9,45153,4,19,11,274,8.6,1,2,10
126,31066,승리,엘리스,종학윙,7,5,15,20961,4,7,7,158,4.9,1,2,10
127,31066,승리,카타리나,Haide yapI,5,4,11,19833,2,6,4,190,5.9,1,2,10
128,31066,승리,칼리스타,Atlen,4,5,5,11860,0,9,10,277,8.7,1,2,10
129,31066,승리,잔나,duibuqiziji,0,6,13,5895,6,29,8,17,0.5,1,2,10
130,31067,패배,갱플랭크,삶이힘든사람,8,9,8,31803,7,31,2,305,7.8,0,0,4
131,31067,패배,자르반 4세,ROX Se0ngHwan,10,8,15,19356,6,62,7,141,3.6,0,0,4
132,31067,패배,오리아나,11 14 9 7 8 20,3,12,9,41685,1,4,9,304,7.8,0,0,4
133,31067,패배,진,LPL noob ad QAQ,9,12,10,33886,4,15,7,265,6.8,0,0,4
134,31067,패배,조이,JAG SnowFlower,3,12,12,38605,9,58,8,60,1.5,0,0,4
135,31067,승리,럼블,SKT T1 Untara,9,4,15,28865,5,24,6,304,7.8,3,5,9
136,31067,승리,쉬바나,작전동 노란머리,14,7,11,33835,9,15,23,355,9.1,3,5,9
