,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10770,패배,제이스,KDM Roach,7,7,4,18946,1,31,6,249,8.2,0,0,3
1,10770,패배,자르반 4세,좋은날,6,5,7,14372,7,29,12,139,4.6,0,0,3
2,10770,패배,조이,DWG ShowMaker,6,9,5,12751,4,19,9,221,7.3,0,0,3
3,10770,패배,미스 포츈,Martin VG,2,9,4,11560,0,10,10,204,6.7,0,0,3
4,10770,패배,블리츠크랭크,XinyiQAQ,0,5,7,5080,10,49,17,43,1.4,0,0,3
5,10770,승리,카밀,뒷텔와드점,4,6,10,15041,4,17,8,223,7.4,1,2,10
6,10770,승리,카직스,어껭간만에찾아뵙,16,4,5,19364,4,22,11,137,4.5,1,2,10
7,10770,승리,벨코즈,피넛사냥개1,5,4,9,20853,4,26,4,239,7.9,1,2,10
8,10770,승리,진,Afreeca Kramer,5,4,11,16924,4,27,10,299,9.9,1,2,10
9,10770,승리,제라스,이치방츠요이야츠,5,3,13,17425,9,39,17,37,1.2,1,2,10
10,10771,승리,카밀,KDM Roach,5,2,6,10845,1,15,2,136,8.2,0,1,5
11,10771,승리,리 신,PuncHh,8,0,5,6759,3,32,4,103,6.2,0,1,5
12,10771,승리,르블랑,IGS Dasher,6,1,7,10730,3,14,1,100,6.1,0,1,5
13,10771,승리,진,Afreeca Kramer,4,0,7,10686,1,15,4,164,9.9,0,1,5
14,10771,승리,레오나,박투신,0,2,10,2794,4,10,5,31,1.9,0,1,5
15,10771,패배,쉔,좋은날,1,3,3,3497,1,4,4,97,5.9,0,0,0
16,10771,패배,트리스타나,작전동 노란머리,4,7,1,7424,3,9,10,81,4.9,0,0,0
17,10771,패배,카사딘,DWG ShowMaker,0,4,1,4582,2,5,1,105,6.4,0,0,0
18,10771,패배,바루스,원딜둥이,0,4,2,4212,2,9,5,137,8.3,0,0,0
19,10771,패배,타릭,MinKOOK2,0,5,3,2288,4,16,3,20,1.2,0,0,0
20,10772,패배,니달리,니달리버프좀해줘,3,7,3,10329,1,6,10,106,4.1,0,0,0
21,10772,패배,르블랑,IGS Dasher,5,7,5,13674,5,20,5,154,5.9,0,0,0
22,10772,패배,알리스타,FW SwordArT,1,5,9,3877,5,26,3,25,1.0,0,0,0
23,10772,패배,미스 포츈,12월27,3,7,6,15174,0,9,2,148,5.7,0,0,0
24,10772,패배,야스오,KDM Roach,4,7,1,10342,5,25,2,229,8.8,0,0,0
25,10772,승리,자르반 4세,7895123,11,3,16,20642,4,18,3,187,7.2,1,2,9
26,10772,승리,잔나,우지나 나 갸영이,7,2,15,13321,6,38,12,46,1.8,1,2,9
27,10772,승리,카사딘,Siste aeterno,6,8,5,14106,2,13,1,145,5.6,1,2,9
28,10772,승리,오른,MVP ADD,5,1,13,16492,4,15,7,202,7.8,1,2,9
29,10772,승리,바루스,스마트섹시뷰티,4,2,9,19648,3,11,0,163,6.3,1,2,9
30,10773,승리,카밀,KDM Roach,6,2,7,12654,4,16,4,217,7.8,1,1,7
31,10773,승리,이즈리얼,kfo,10,3,8,23867,2,14,10,162,5.8,1,1,7
32,10773,승리,르블랑,Yaharong,4,1,7,19528,4,15,11,190,6.8,1,1,7
33,10773,승리,자야,남 탓 보 다 반성,4,2,6,12395,2,12,9,237,8.5,1,1,7
34,10773,승리,라칸,진쟤승,2,4,14,4777,5,30,15,17,0.6,1,1,7
35,10773,패배,제이스,JAG S0hwan,8,8,0,22258,3,14,7,204,7.3,0,1,2
36,10773,패배,그레이브즈,아라가키 유이,0,5,3,7225,5,46,9,148,5.3,0,1,2
37,10773,패배,룰루,Siste aeterno,2,5,3,12223,3,13,3,182,6.5,0,1,2
38,10773,패배,진,wowowowoowowowo,1,4,4,12235,6,12,3,257,9.2,0,1,2
39,10773,패배,탐 켄치,H Dean,1,5,5,5932,11,40,6,60,2.2,0,1,2
40,10774,승리,오른,KDM Roach,2,0,14,10820,3,11,1,145,6.9,0,1,9
41,10774,승리,신 짜오,Maan de st,6,1,5,10851,3,6,3,117,5.5,0,1,9
42,10774,승리,탈리야,ADEPT1,10,3,7,16501,3,8,4,147,7.0,0,1,9
43,10774,승리,진,진쟤승,15,4,9,22737,0,7,3,140,6.6,0,1,9
44,10774,승리,탐 켄치,H Dean,5,2,19,10221,5,19,3,31,1.5,0,1,9
45,10774,패배,갱플랭크,귤수호자 만기,1,7,4,13795,2,8,2,160,7.6,0,0,0
46,10774,패배,올라프,귀여운스티치,5,5,2,14940,4,16,2,112,5.3,0,0,0
47,10774,패배,말자하,Yaharong,1,7,3,9672,2,9,0,120,5.7,0,0,0
48,10774,패배,베인,JAG S0hwan,1,11,1,8496,1,7,0,95,4.5,0,0,0
49,10774,패배,룰루,Siste aeterno,2,8,3,7175,3,9,3,18,0.9,0,0,0
50,10775,승리,제이스,KDM Roach,10,6,14,29823,3,38,5,264,7.2,1,1,9
51,10775,승리,렝가,좋은날,12,10,7,23133,1,12,3,228,6.2,1,1,9
52,10775,승리,코그모,Afreeca Aiming,11,10,9,31072,4,17,4,276,7.5,1,1,9
