,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,20500,승리,사이온,Gazuaaaaaaa,2,1,12,15946,10,26,6,292,7.6,2,4,8
1,20500,승리,니달리,So1o,13,7,9,26833,1,26,15,217,5.7,2,4,8
2,20500,승리,탈리야,송하영 팬,11,5,8,31873,2,19,5,322,8.4,2,4,8
3,20500,승리,트리스타나,KDM SSol,10,4,10,48219,2,25,10,375,9.8,2,4,8
4,20500,승리,알리스타,KDM 유준,1,6,17,7281,13,52,16,35,0.9,2,4,8
5,20500,패배,제이스,우에하라 크롱,3,6,6,26328,4,41,10,298,7.8,0,0,3
6,20500,패배,세주아니,좋은날,0,12,9,11305,11,38,23,154,4.0,0,0,3
7,20500,패배,코르키,reMember Mistake,11,5,8,34868,5,23,10,377,9.9,0,0,3
8,20500,패배,미스 포츈,MVP Ian,2,8,9,27987,3,16,4,294,7.7,0,0,3
9,20500,패배,쉔,오억만,7,6,6,18089,0,53,11,92,2.4,0,0,3
10,20501,승리,오른,Co1dplay,3,4,8,14012,1,9,4,144,6.0,0,2,8
11,20501,승리,렝가,w1sdom ovo,17,1,5,26357,2,18,11,141,5.9,0,2,8
12,20501,승리,애니비아,송하영 팬,2,3,8,12454,2,11,4,194,8.1,0,2,8
13,20501,승리,이즈리얼,KDM SSol,12,3,4,20080,1,13,5,176,7.4,0,2,8
14,20501,승리,카르마,강고릴,2,3,11,10035,7,20,7,26,1.1,0,2,8
15,20501,패배,카밀,TnTeddy,3,12,5,17463,0,18,2,145,6.1,0,0,0
16,20501,패배,니달리,So1o,4,10,3,7416,4,20,11,122,5.1,0,0,0
17,20501,패배,탈리야,최석배 사생팬,2,6,6,11645,2,9,4,222,9.3,0,0,0
18,20501,패배,미스 포츈,Greed A Pride,5,1,4,17245,5,21,2,165,6.9,0,0,0
19,20501,패배,마오카이,Lucete,0,7,5,4218,3,21,2,24,1.0,0,0,0
20,20502,승리,갱플랭크,피넛사냥개2,3,6,8,13802,1,11,3,222,8.8,1,0,11
21,20502,승리,카직스,5gak,12,3,2,16838,8,32,4,138,5.5,1,0,11
22,20502,승리,라이즈,으아으앙으아앙,5,3,4,15271,3,6,3,220,8.7,1,0,11
23,20502,승리,이즈리얼,KDM SSol,11,3,12,29488,2,13,4,200,7.9,1,0,11
24,20502,승리,노틸러스,선기박,5,3,15,11583,9,33,13,57,2.3,1,0,11
25,20502,패배,애니,Gazuaaaaaaa,2,4,3,16658,2,10,2,182,7.2,0,1,2
26,20502,패배,자르반 4세,선비모드,8,7,5,16674,1,20,10,103,4.1,0,1,2
27,20502,패배,코르키,11 14 9 7 8 20,5,5,2,21025,1,7,6,223,8.9,0,1,2
28,20502,패배,미스 포츈,Rachel Berry,2,9,6,13152,2,10,7,135,5.4,0,1,2
29,20502,패배,제라스,TeachersWu,1,11,6,7164,8,29,6,16,0.6,0,1,2
30,20503,패배,제이스,지현이의빗자루,5,4,1,9703,2,13,3,272,9.5,0,2,3
31,20503,패배,신 짜오,KDM SSol,3,8,6,13301,6,11,8,145,5.0,0,2,3
32,20503,패배,라이즈,LFT MID,5,6,6,10636,2,7,5,252,8.8,0,2,3
33,20503,패배,트리스타나,whisper snow,3,4,7,9751,2,10,8,239,8.3,0,2,3
34,20503,패배,브랜드,By myself,0,9,9,9470,16,38,21,41,1.4,0,2,3
35,20503,승리,케넨,JAG S0hwan,5,3,10,15781,3,13,3,242,8.4,1,1,9
36,20503,승리,자르반 4세,너와나의연결Gori,14,5,9,23246,5,28,10,138,4.8,1,1,9
37,20503,승리,아지르,스누피808,8,3,10,17107,3,7,3,248,8.6,1,1,9
38,20503,승리,진,Do LaoN,2,2,15,14153,4,14,6,246,8.6,1,1,9
39,20503,승리,알리스타,GuGer,2,3,14,7715,12,42,9,43,1.5,1,1,9
40,20504,승리,오른,KDM SSol,0,1,1,8715,2,7,8,170,8.3,0,1,7
41,20504,승리,리 신,PuncHh,5,1,4,6025,5,39,6,115,5.6,0,1,7
42,20504,승리,리산드라,FVV BETTY,8,6,8,11575,3,10,5,156,7.6,0,1,7
43,20504,승리,진,구름꽃길만걷자,13,1,5,21632,2,6,4,173,8.4,0,1,7
44,20504,승리,레오나,FW SwordArT,1,5,15,5383,6,18,8,36,1.8,0,1,7
45,20504,패배,마오카이,코w코,0,2,6,7115,0,7,2,146,7.1,0,0,0
46,20504,패배,카직스,일견무시도성빈,7,7,3,9669,3,17,3,97,4.7,0,0,0
47,20504,패배,르블랑,JAG SnowFlower,4,3,1,7533,3,18,7,151,7.3,0,0,0
48,20504,패배,칼리스타,Hades9,2,9,3,7935,0,14,0,157,7.6,0,0,0
49,20504,패배,모르가나,GuGer,1,6,8,8982,4,26,8,17,0.8,0,0,0
50,20505,패배,럼블,ToTrAce,3,7,2,14929,3,13,2,214,7.6,0,1,3
51,20505,패배,트위치,송하영 팬,4,7,2,9065,3,12,10,97,3.4,0,1,3
