,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3460,승리,블라디미르,Zhongdan XD,5,10,9,23561,2,18,6,247,7.1,1,1,9
1,3460,승리,자르반 4세,KDM U jun,11,6,19,26745,3,8,11,171,4.9,1,1,9
2,3460,승리,탈리야,Fotune,6,6,12,27418,5,17,8,252,7.3,1,1,9
3,3460,승리,드레이븐,FeelsWowMan,12,5,14,30046,4,16,17,256,7.4,1,1,9
4,3460,승리,브라움,SKT T1 Effort,1,7,26,9442,14,49,8,74,2.1,1,1,9
5,3460,패배,케넨,커피물조절장인,6,8,12,22038,1,14,4,284,8.2,1,2,7
6,3460,패배,렝가,Koed OwO,11,10,11,25926,5,11,4,152,4.4,1,2,7
7,3460,패배,르블랑,Hide on bush,8,5,14,32240,3,40,7,251,7.2,1,2,7
8,3460,패배,진,퓨 Zl,8,6,7,16112,6,17,5,245,7.1,1,2,7
9,3460,패배,알리스타,양갱뿌,1,6,21,9205,18,54,12,49,1.4,1,2,7
10,3461,승리,마오카이,Algorism,1,3,4,8885,2,11,1,159,7.3,1,1,7
11,3461,승리,세주아니,KDM U jun,2,0,9,3832,5,20,7,120,5.5,1,1,7
12,3461,승리,르블랑,555555555554,5,3,3,11962,4,25,4,166,7.6,1,1,7
13,3461,승리,드레이븐,FeelsWowMan,11,0,2,25818,2,10,3,222,10.1,1,1,7
14,3461,승리,브라움,SKT T1 Effort,0,4,14,4985,5,17,5,35,1.6,1,1,7
15,3461,패배,피오라,뒷텔와드점,1,2,3,7524,1,9,2,195,8.9,0,1,3
16,3461,패배,렝가,Koed OwO,3,5,3,8079,1,6,7,137,6.3,0,1,3
17,3461,패배,탈리야,Fotune,4,5,3,14067,3,11,2,157,7.2,0,1,3
18,3461,패배,칼리스타,아트가 앗뜨거,1,4,3,5298,3,9,4,140,6.4,0,1,3
19,3461,패배,알리스타,Hide on bush,1,3,3,2917,5,24,12,35,1.6,0,1,3
20,3462,패배,잭스,마이엠브,3,6,6,27062,7,17,4,254,7.8,0,1,1
21,3462,패배,자르반 4세,KDM U jun,7,8,9,15193,5,11,5,145,4.4,0,1,1
22,3462,패배,르블랑,bbq Tempt,6,6,7,21101,1,23,1,232,7.1,0,1,1
23,3462,패배,바루스,영광 스런 년,6,4,8,26057,3,14,10,310,9.5,0,1,1
24,3462,패배,카르마,FeelsWowMan,2,6,12,17833,11,41,11,31,0.9,0,1,1
25,3462,승리,마오카이,atlenismydaddy,3,3,12,24735,3,16,8,249,7.6,2,2,8
26,3462,승리,킨드레드,삼성갤럭시 하루,10,6,10,25327,10,31,11,193,5.9,2,2,8
27,3462,승리,말자하,Hide on bush,9,8,5,25684,3,16,9,290,8.9,2,2,8
28,3462,승리,이즈리얼,아트가 앗뜨거,8,3,9,34344,4,22,8,263,8.1,2,2,8
29,3462,승리,타릭,6학년4반장용준,0,4,19,4591,10,37,8,47,1.4,2,2,8
30,3463,승리,갱플랭크,세메론,2,7,10,14065,2,11,0,219,7.7,1,0,7
31,3463,승리,자르반 4세,KDM U jun,7,3,11,15176,3,11,6,140,4.9,1,0,7
32,3463,승리,블라디미르,친하다,11,2,3,21199,2,15,1,256,9.1,1,0,7
33,3463,승리,미스 포츈,Excal1bur1,0,0,6,12114,1,9,9,263,9.3,1,0,7
34,3463,승리,레오나,삶이힘든사람,1,3,9,6015,10,29,21,71,2.5,1,0,7
35,3463,패배,초가스,lover li,5,2,6,13029,3,15,1,236,8.3,0,2,3
36,3463,패배,니달리,wo liang le,7,5,3,13308,6,14,5,194,6.9,0,2,3
37,3463,패배,야스오,h1rb,1,8,2,8677,3,13,2,251,8.9,0,2,3
38,3463,패배,트리스타나,STITCH1,1,3,2,8119,3,9,10,266,9.4,0,2,3
39,3463,패배,탐 켄치,H Dean,1,3,4,6060,11,40,5,46,1.6,0,2,3
40,3464,패배,렝가,KDM U jun,2,9,4,4901,0,8,3,83,4.0,0,0,0
41,3464,패배,루시안,MeteorOvO,5,7,4,9769,7,12,8,118,5.6,0,0,0
42,3464,패배,아지르,MVP Ian,2,7,6,12022,1,8,2,184,8.8,0,0,0
43,3464,패배,이즈리얼,Dingchenyu,4,6,8,19403,2,9,2,145,6.9,0,0,0
44,3464,패배,럭스,IndonesiaMassage,2,7,9,9755,1,23,1,28,1.3,0,0,0
45,3464,승리,다리우스,pi9,11,3,3,14971,0,8,2,158,7.6,0,1,10
46,3464,승리,자르반 4세,cbzOvO,9,2,12,9208,2,5,2,111,5.3,0,1,10
47,3464,승리,말자하,Hide on bush,6,3,12,12846,2,11,8,149,7.1,0,1,10
48,3464,승리,미스 포츈,GuGer,7,4,9,15704,1,9,2,181,8.7,0,1,10
49,3464,승리,알리스타,난Max,3,3,14,2758,6,19,5,20,1.0,0,1,10
50,3465,승리,퀸,deft123456,7,6,13,29433,5,16,7,230,7.6,1,2,9
51,3465,승리,렝가,KDM U jun,17,2,5,21950,0,11,6,180,5.9,1,2,9
52,3465,승리,탈론,Yaharong,8,3,6,25422,3,25,5,268,8.8,1,2,9
53,3465,승리,자야,영광 스런 년,4,5,11,20294,6,15,4,288,9.5,1,2,9
54,3465,승리,타릭,zhang jian xiang,1,5,20,7081,6,37,21,70,2.3,1,2,9
55,3465,패배,갱플랭크,king2n,5,12,4,15761,2,18,5,248,8.1,0,0,2
56,3465,패배,엘리스,백수 JJUN,6,6,10,17569,3,4,8,160,5.3,0,0,2
57,3465,패배,카사딘,SKT T1 Untara,2,8,10,18090,4,16,9,200,6.6,0,0,2
58,3465,패배,트위치,Meow OuO,8,6,5,23255,3,14,5,260,8.5,0,0,2
59,3465,패배,브라움,H Dean,0,5,15,5339,12,43,14,68,2.2,0,0,2
60,3466,패배,나르,Yaharong,0,4,1,4924,2,7,1,117,7.7,0,0,0
61,3466,패배,리 신,KDM U jun,3,2,0,5821,0,10,0,59,3.9,0,0,0
62,3466,패배,오리아나,he  nan    yu,0,4,0,3711,1,6,1,80,5.2,0,0,0
63,3466,패배,코그모,Dingchenyu,1,5,1,5874,0,6,1,115,7.5,0,0,0
64,3466,패배,카르마,Z 2017 11 25,0,5,1,4481,1,11,1,22,1.4,0,0,0
65,3466,승리,에코,암고잉빽투더스탙,4,1,0,9002,2,8,1,120,7.9,0,0,4
66,3466,승리,자르반 4세,cbzOvO,4,1,8,6554,2,6,1,84,5.5,0,0,4
67,3466,승리,카사딘,ZhanQiHuaYm,5,0,2,6312,1,7,1,117,7.7,0,0,4
68,3466,승리,자야,Hades9,4,2,7,6740,3,8,1,115,7.5,0,0,4
69,3466,승리,라칸,KDM Secret,3,0,12,4768,4,19,2,3,0.2,0,0,4
70,3467,승리,갱플랭크,하늘킹,1,5,5,8868,1,13,0,166,7.7,0,0,4
71,3467,승리,세주아니,KDM U jun,6,2,9,10577,7,13,4,95,4.4,0,0,4
72,3467,승리,카사딘,뿡뿡뿡뿡뿡쁑,12,0,3,20394,2,6,5,172,8.0,0,0,4
73,3467,승리,트위치,Veritas522,1,2,7,8095,2,10,2,172,8.0,0,0,4
74,3467,승리,타릭,Hades9,0,2,8,3780,6,23,4,37,1.7,0,0,4
75,3467,패배,럼블,뒷텔와드점,6,1,3,15754,3,11,0,202,9.4,0,1,1
76,3467,패배,렝가,트와이스 원스,5,7,2,11270,1,21,2,133,6.2,0,1,1
77,3467,패배,루시안,승 로,0,4,0,9318,2,10,2,173,8.0,0,1,1
78,3467,패배,칼리스타,Permaban00152487,0,5,2,7482,0,6,8,152,7.1,0,1,1
79,3467,패배,브라움,SKT T1 Effort,0,3,5,4068,6,18,4,32,1.5,0,1,1
80,3468,패배,럼블,선비모드,3,8,6,11900,3,10,0,109,5.2,0,0,0
81,3468,패배,자르반 4세,KDM U jun,4,6,3,7784,0,17,4,80,3.8,0,0,0
82,3468,패배,말자하,승 로,2,7,2,10395,1,9,2,158,7.5,0,0,0
83,3468,패배,케이틀린,Yeeclipse,0,3,2,7683,3,10,3,168,8.0,0,0,0
84,3468,패배,알리스타,160810,2,4,6,5337,3,17,5,30,1.4,0,0,0
85,3468,승리,야스오,SKT T1 Huni,6,4,5,12290,2,8,3,185,8.8,0,1,11
86,3468,승리,렉사이,MikeYeunglol,9,2,12,15280,3,14,2,129,6.2,0,1,11
87,3468,승리,카사딘,강 츄,7,2,9,13205,1,9,6,146,7.0,0,1,11
88,3468,승리,자야,SKT T1 Bang,6,0,7,12417,1,9,0,188,9.0,0,1,11
89,3468,승리,라칸,Hades9,0,3,13,5408,7,21,9,11,0.5,0,1,11
90,3469,패배,탐 켄치,IndonesiaMassage,2,8,5,8668,0,14,2,233,7.3,0,1,3
91,3469,패배,렝가,KDM U jun,6,6,4,16907,0,6,14,194,6.0,0,1,3
92,3469,패배,블라디미르,친하다,6,5,5,25603,5,19,4,291,9.1,0,1,3
93,3469,패배,이즈리얼,nekoneko1,13,9,4,34856,0,12,5,251,7.8,0,1,3
94,3469,패배,카르마,Yeeclipse,0,11,10,11181,11,36,11,38,1.2,0,1,3
95,3469,승리,에코,010723,13,5,9,29744,0,14,0,215,6.7,1,1,10
96,3469,승리,니달리,BadeMan,11,5,11,19887,4,28,7,163,5.1,1,1,10
97,3469,승리,트위스티드 페이트,AP Innovation,5,2,10,22953,2,17,0,311,9.7,1,1,10
98,3469,승리,루시안,강 츄,7,6,11,13697,0,13,6,234,7.3,1,1,10
99,3469,승리,미스 포츈,160810,3,9,19,20410,0,22,5,47,1.5,1,1,10
100,3470,승리,럼블,SKT T1 Huni,3,0,8,5940,2,6,0,99,8.6,0,0,7
101,3470,승리,자르반 4세,SKT T1 WoIf,3,0,8,1952,2,4,0,59,5.1,0,0,7
102,3470,승리,루시안,하늘킹,5,1,0,5549,1,4,0,89,7.7,0,0,7
103,3470,승리,진,쫄깃한 우동사리,9,0,4,8809,1,4,2,103,8.9,0,0,7
104,3470,승리,쓰레쉬,KDM U jun,3,0,10,2494,0,7,0,11,1.0,0,0,7
105,3470,패배,잭스,yizhiyu,0,4,0,1253,0,3,1,44,3.8,0,0,0
106,3470,패배,킨드레드,MeteorOvO,0,7,1,2549,3,5,0,25,2.2,0,0,0
107,3470,패배,카사딘,FeelsPepsiMan,1,1,0,1953,1,2,0,43,3.7,0,0,0
108,3470,패배,케이틀린,king2n,0,7,0,2927,0,5,1,49,4.2,0,0,0
109,3470,패배,카르마,AGanQAQ,0,4,0,2121,1,2,0,2,0.2,0,0,0
110,3471,패배,갱플랭크,KDM U jun,0,7,0,4531,0,6,2,61,4.0,0,0,0
111,3471,패배,렝가,T 1 a n,2,6,3,5914,2,15,1,94,6.1,0,0,0
112,3471,패배,카타리나,소요하다 곡 작,3,8,0,6636,0,5,1,61,4.0,0,0,0
113,3471,패배,바루스,VIP 민형,1,7,2,4110,1,6,5,95,6.2,0,0,0
114,3471,패배,라칸,진쟤승,2,4,3,2339,3,5,1,14,0.9,0,0,0
115,3471,승리,제이스,암고잉빽투더스탙,6,3,3,8294,3,8,1,110,7.2,0,1,5
116,3471,승리,리 신,nekoneko1,8,1,9,6683,5,23,2,69,4.5,0,1,5
117,3471,승리,카사딘,시공 여행자,9,0,5,12393,0,6,2,141,9.2,0,1,5
118,3471,승리,이즈리얼,Peecaboo,8,2,6,14046,1,6,0,143,9.3,0,1,5
119,3471,승리,블리츠크랭크,IgNar,1,2,17,4107,4,14,0,15,1.0,0,1,5
120,3472,승리,케넨,Peecaboo,7,4,8,22575,2,13,1,308,9.6,1,0,11
121,3472,승리,엘리스,KDM U jun,6,4,20,32723,2,8,9,154,4.8,1,0,11
122,3472,승리,루시안,푸딩은푸딩해,6,4,7,17652,4,23,6,313,9.7,1,0,11
123,3472,승리,드레이븐,FeelsWowMan,14,6,8,33430,3,13,5,240,7.5,1,0,11
124,3472,승리,레오나,KDM Secret,2,8,19,7724,11,46,6,34,1.1,1,0,11
125,3472,패배,쉔,FeelsPepsiMan,7,5,11,14266,4,14,6,233,7.2,1,3,5
126,3472,패배,자르반 4세,sanspareil1,2,9,16,12472,5,31,14,139,4.3,1,3,5
127,3472,패배,아지르,555555555554,3,9,9,19990,3,13,10,200,6.2,1,3,5
128,3472,패배,트리스타나,VIP 민형,12,7,6,34601,1,9,8,281,8.7,1,3,5
129,3472,패배,브라움,Afreeca Kramer,2,5,19,7510,5,47,6,68,2.1,1,3,5
130,3473,승리,이렐리아,JAG S0hwan,11,4,5,26381,3,30,4,271,8.5,1,1,10
131,3473,승리,렝가,KDM U jun,7,7,13,23097,2,9,16,155,4.9,1,1,10
132,3473,승리,카사딘,성민콩,9,5,11,26822,4,11,8,209,6.5,1,1,10
133,3473,승리,드레이븐,FeelsWowMan,13,4,11,36187,3,14,9,321,10.0,1,1,10
134,3473,승리,레오나,KDM Secret,4,3,20,10612,19,60,12,47,1.5,1,1,10
135,3473,패배,신 짜오,돌잔치때도란잡음,1,10,9,24082,2,27,2,216,6.8,1,0,3
136,3473,패배,카직스,PuncHh,6,9,7,15461,5,11,13,160,5.0,1,0,3
137,3473,패배,갱플랭크,Hide on bush,10,8,7,32180,1,33,3,281,8.8,1,0,3
138,3473,패배,자야,SKT T1 Bang,3,5,4,10684,2,12,2,221,6.9,1,0,3
139,3473,패배,질리언,진쟤승,3,12,11,8646,4,33,6,18,0.6,1,0,3
140,3474,승리,퀸,Dingchenyu,5,4,2,9680,2,11,2,175,8.3,0,1,9
141,3474,승리,자르반 4세,KDM U jun,3,1,14,7595,4,19,4,107,5.1,0,1,9
142,3474,승리,베이가,ZhanQiHuaYm,5,0,5,10033,6,14,3,213,10.1,0,1,9
143,3474,승리,칼리스타,6학년4반장용준,8,1,3,10753,3,9,2,215,10.2,0,1,9
144,3474,승리,탐 켄치,IndonesiaMassage,2,1,12,5953,4,15,4,45,2.1,0,1,9
145,3474,패배,제이스,reMember Mistake,3,4,2,12726,3,12,1,192,9.1,0,0,2
146,3474,패배,렝가,작전동 노란머리,2,6,2,4572,4,16,3,84,4.0,0,0,2
147,3474,패배,피즈,Fotune,1,2,0,5416,1,8,6,170,8.1,0,0,2
148,3474,패배,코그모,Longzhu Cuzz,0,6,1,5724,0,8,3,120,5.7,0,0,2
149,3474,패배,쓰레쉬,심심풀이 남신,1,5,0,1588,6,38,3,31,1.5,0,0,2
150,3475,패배,럼블,문장 분석기,4,4,0,10579,3,12,4,188,8.6,0,0,4
151,3475,패배,카직스,KDM U jun,5,4,1,8567,1,8,4,105,4.8,0,0,4
152,3475,패배,카서스,빛 종 서,0,8,5,14592,2,8,1,147,6.7,0,0,4
153,3475,패배,케이틀린,Mengqiuqiu,3,7,3,9686,1,9,2,185,8.4,0,0,4
154,3475,패배,탐 켄치,taesang,1,7,7,5362,5,24,2,37,1.7,0,0,4
155,3475,승리,카밀,my head,9,2,2,12615,1,8,2,157,7.1,1,2,5
156,3475,승리,자르반 4세,심심풀이 남신,2,1,17,8244,4,19,3,114,5.2,1,2,5
157,3475,승리,탈리야,Fotune,11,3,7,20396,3,10,1,172,7.8,1,2,5
158,3475,승리,자야,nekoneko1,6,3,11,13406,2,6,4,173,7.9,1,2,5
159,3475,승리,라칸,진쟤승,2,4,12,3367,4,27,8,12,0.5,1,2,5
160,3476,승리,오리아나,덤벼보던가,5,3,12,24476,4,8,5,254,8.4,1,3,11
