,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3219,승리,제이스,Gazuaaaaaaa,4,1,2,19578,6,32,10,256,10.3,1,0,7
1,3219,승리,니달리,sanspareil1,4,2,4,11662,2,19,11,161,6.5,1,0,7
2,3219,승리,벨코즈,삼성갤럭시 Crown,0,2,5,18703,8,17,11,241,9.7,1,0,7
3,3219,승리,칼리스타,아트가 앗뜨거,4,2,1,7458,2,9,3,231,9.3,1,0,7
4,3219,승리,쓰레쉬,KT MATA,1,3,7,4803,8,52,18,42,1.7,1,0,7
5,3219,패배,마오카이,MVP Ian,0,2,3,7211,3,14,7,193,7.8,0,2,2
6,3219,패배,쉬바나,M1anhua,6,4,3,11825,7,13,18,142,5.7,0,2,2
7,3219,패배,아지르,By myself,1,2,2,6095,6,25,4,217,8.8,0,2,2
8,3219,패배,진,BtC Hollow,1,2,4,8202,4,10,11,238,9.6,0,2,2
9,3219,패배,알리스타,fengquyunbuhui,2,3,7,5198,10,52,11,42,1.7,0,2,2
10,3220,승리,나르,피넛사냥개2,8,2,12,18500,3,19,2,166,7.4,0,2,9
11,3220,승리,니달리,9346,16,3,11,17115,1,27,0,147,6.6,0,2,9
12,3220,승리,블라디미르,UcaL,8,4,10,21450,1,9,0,196,8.7,0,2,9
13,3220,승리,미스 포츈,덤벼보던가,6,4,9,17173,1,10,2,183,8.2,0,2,9
14,3220,승리,쉔,KT MATA,2,4,18,5507,10,28,8,38,1.7,0,2,9
15,3220,패배,갱플랭크,zaqzxcazxcv,8,7,5,18083,1,10,6,182,8.1,1,0,0
16,3220,패배,세주아니,sanspareil1,1,9,9,6519,4,23,8,85,3.8,1,0,0
17,3220,패배,코르키,구름꽃길만걷자,3,11,4,11706,0,2,3,114,5.1,1,0,0
18,3220,패배,진,담원 얼라이브,2,7,6,10722,4,9,3,152,6.8,1,0,0
19,3220,패배,탐 켄치,Dutch Coffee,3,6,5,6292,4,19,3,39,1.7,1,0,0
20,3221,승리,사이온,Eth4n,1,1,8,6233,2,9,2,180,8.7,0,1,3
21,3221,승리,카직스,오억만,17,2,5,19686,1,10,4,109,5.2,0,1,3
22,3221,승리,아지르,진에어 저스티스,2,3,9,11213,5,12,8,149,7.2,0,1,3
23,3221,승리,트리스타나,Please find it,6,7,5,12222,0,12,2,132,6.4,0,1,3
24,3221,승리,오른,KT MATA,2,2,15,9415,8,26,2,51,2.5,0,1,3
25,3221,패배,제이스,Alielie,5,6,1,9951,2,5,0,147,7.1,0,0,0
26,3221,패배,리 신,chorongie,3,6,3,5112,4,28,2,91,4.4,0,0,0
27,3221,패배,르블랑,11 14 9 7 8 20,3,6,3,9203,2,10,4,146,7.0,0,0,0
28,3221,패배,진,GALAAAA,2,5,7,11791,3,8,5,167,8.0,0,0,0
29,3221,패배,마오카이,Yumemiru Shonen,2,5,4,8165,5,13,3,43,2.1,0,0,0
30,3222,패배,일라오이,xaxaxaxaxa,6,6,1,28085,1,15,0,192,7.5,0,0,2
31,3222,패배,자르반 4세,Please find it,0,8,6,5851,2,18,0,95,3.7,0,0,2
32,3222,패배,라이즈,KDM PERT,1,3,4,6382,3,12,5,211,8.3,0,0,2
33,3222,패배,트리스타나,어껭간만에찾아뵙,4,3,1,11782,0,8,3,238,9.3,0,0,2
34,3222,패배,레오나,KT MATA,1,4,3,3318,9,28,10,50,2.0,0,0,2
35,3222,승리,오른,Mengqiuqiu,4,4,8,9615,2,12,2,138,5.4,1,2,9
