,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30000,승리,갱플랭크,11 14 9 7 8 20,13,1,11,30447,1,11,2,217,8.9,1,1,6
1,30000,승리,카직스,9346,8,5,7,15931,1,25,10,131,5.4,1,1,6
2,30000,승리,베이가,kt Ucal,10,5,9,16858,3,12,6,195,8.0,1,1,6
3,30000,승리,진,161561,3,5,6,10455,5,12,4,175,7.2,1,1,6
4,30000,승리,탐 켄치,Kerla,2,6,13,7442,9,28,17,44,1.8,1,1,6
5,30000,패배,신지드,네 명의 짐승 팀,2,7,4,8656,1,11,1,195,8.0,0,2,1
6,30000,패배,리 신,쌀국수뚝붸기,2,8,10,7053,2,42,5,91,3.7,0,2,1
7,30000,패배,조이,By myself,9,8,6,21949,6,26,5,174,7.1,0,2,1
8,30000,패배,칼리스타,LPL noob ad QAQ,3,6,4,9880,1,14,4,181,7.4,0,2,1
9,30000,패배,레오나,supbest,6,7,9,7579,12,25,10,40,1.6,0,2,1
10,30001,패배,카밀,쌀국수뚝붸기,4,5,3,17918,1,10,5,171,7.3,0,0,3
11,30001,패배,엘리스,161561,3,9,4,6848,3,23,5,84,3.6,0,0,3
12,30001,패배,코르키,11 14 9 7 8 20,6,4,3,20620,2,9,8,218,9.3,0,0,3
13,30001,패배,트리스타나,VIP 민형,3,5,4,10106,5,9,5,160,6.8,0,0,3
14,30001,패배,알리스타,Kerla,0,5,9,6812,16,41,7,27,1.2,0,0,3
15,30001,승리,갱플랭크,bbq Tempt,3,5,3,13498,3,24,3,170,7.3,1,1,5
16,30001,승리,렝가,9346,10,6,3,14352,1,24,12,137,5.9,1,1,5
17,30001,승리,베이가,kt Ucal,4,0,6,12852,2,11,3,226,9.7,1,1,5
18,30001,승리,진,여청추,10,4,4,14810,4,13,2,175,7.5,1,1,5
19,30001,승리,브라움,yizhiyu,1,2,14,6740,5,23,12,44,1.9,1,1,5
20,30002,승리,카밀,FeelsIronMan,7,1,0,14208,1,9,5,214,9.5,0,2,7
21,30002,승리,카직스,Reborn3,9,3,7,13925,5,11,0,115,5.1,0,2,7
22,30002,승리,라이즈,Jin air Yaharong,13,1,2,17581,2,8,1,245,10.8,0,2,7
23,30002,승리,진,쌀국수뚝붸기,6,5,12,14463,1,7,1,166,7.3,0,2,7
24,30002,승리,타릭,Kerla,3,3,16,6274,8,45,13,42,1.9,0,2,7
25,30002,패배,제이스,ysdgqxcj,2,9,1,15306,3,7,0,149,6.6,0,0,0
26,30002,패배,니달리,So1o,5,6,4,11700,3,17,6,133,5.9,0,0,0
27,30002,패배,아지르,삼성갤럭시 Crown,4,6,0,9371,2,11,2,168,7.4,0,0,0
28,30002,패배,미스 포츈,VIP 민형,2,8,7,12249,6,13,11,137,6.1,0,0,0
29,30002,패배,애니비아,ROYG,0,9,6,5834,3,16,4,48,2.1,0,0,0
30,30003,패배,제이스,ysdgqxcj,6,4,5,39017,4,16,4,270,7.1,0,2,3
31,30003,패배,쉬바나,ROX 곰,6,6,5,14657,4,9,20,243,6.3,0,2,3
32,30003,패배,피들스틱,1414774182,3,8,10,21799,10,24,13,297,7.8,0,2,3
